from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,Toluene,AT,SR,RH,RF,WS,WD,to date,station
01-Jan-2020 - 00:00,29.78,38.46,5.49,8.46,2.97,72.67,8.65,0.3,38.2,0.0,0.0,0.0,0.0,34.79,156.48,61.88,0.0,5.56,166.58,02-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
02-Jan-2020 - 00:00,-3.99,23.11,5.65,9.49,3.85,69.32,12.68,0.38,38.41,0.0,0.0,0.0,0.0,34.97,246.47,62.0,0.0,5.96,139.06,03-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
03-Jan-2020 - 00:00,23.99,37.26,5.48,9.23,3.75,57.73,21.94,0.42,38.55,0.0,0.0,0.0,0.0,34.9,374.24,62.05,0.0,6.28,114.52,04-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
04-Jan-2020 - 00:00,25.77,45.04,6.52,9.87,3.35,52.65,17.3,0.49,38.3,0.0,0.0,0.0,0.0,34.93,245.04,62.02,0.0,6.49,100.29,05-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
05-Jan-2020 - 00:00,18.3,30.73,4.9,6.49,1.58,52.75,12.46,0.37,38.53,0.0,0.0,0.0,0.0,34.65,208.59,61.91,0.0,5.94,95.22,06-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
06-Jan-2020 - 00:00,16.71,25.65,4.48,5.83,1.35,50.27,14.69,0.31,38.22,0.0,0.0,0.0,0.0,34.62,207.09,61.86,0.0,6.24,148.08,07-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
07-Jan-2020 - 00:00,32.84,41.41,4.63,5.61,0.98,49.28,22.6,0.33,38.25,0.0,0.0,0.0,0.0,34.52,286.42,61.86,0.0,6.81,141.04,08-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
08-Jan-2020 - 00:00,44.21,63.2,5.56,6.87,1.31,51.73,28.82,0.36,38.25,0.0,0.0,0.0,0.0,34.73,352.5,62.02,0.0,6.4,167.93,09-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
09-Jan-2020 - 00:00,42.66,75.75,7.6,10.73,3.13,54.12,12.37,0.43,38.31,0.0,0.0,0.0,0.0,34.8,371.9,62.11,0.0,6.69,159.72,10-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
10-Jan-2020 - 00:00,40.79,68.72,7.61,11.05,3.43,65.04,7.91,0.53,38.11,0.0,0.0,0.0,0.0,34.98,364.94,62.13,0.0,6.77,182.64,11-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
11-Jan-2020 - 00:00,46.85,73.64,8.11,11.38,3.27,73.53,10.06,0.55,38.0,0.0,0.0,0.0,0.0,34.65,358.87,61.98,0.0,6.58,183.17,12-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
12-Jan-2020 - 00:00,54.91,73.6,5.53,7.78,2.24,71.51,3.12,0.57,38.3,0.0,0.0,0.0,0.0,34.34,241.45,61.73,0.0,6.24,178.71,13-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
13-Jan-2020 - 00:00,77.89,121.8,6.28,8.28,2.0,83.88,4.46,0.6,38.16,0.0,0.0,0.0,0.0,34.54,353.35,61.91,0.0,6.83,169.77,14-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
14-Jan-2020 - 00:00,121.09,149.91,8.74,17.8,9.09,87.11,15.07,1.08,37.8,0.0,0.0,0.0,0.0,35.07,372.63,61.99,0.0,6.85,157.12,15-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
15-Jan-2020 - 00:00,48.02,66.95,6.57,8.71,2.14,45.95,18.12,0.54,36.94,0.0,0.0,0.0,0.0,34.81,367.62,61.18,0.0,2.87,171.9,16-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
16-Jan-2020 - 00:00,31.8,43.54,5.92,7.66,1.74,44.04,18.2,0.48,36.99,0.0,0.0,0.0,0.0,34.79,383.23,61.88,0.0,1.5,164.25,17-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
17-Jan-2020 - 00:00,37.09,53.22,5.96,8.19,2.23,35.52,18.07,0.48,36.87,0.0,0.0,0.0,0.0,35.41,197.36,62.27,0.0,1.14,143.11,18-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
18-Jan-2020 - 00:00,22.3,28.95,5.43,7.15,1.71,31.77,18.14,0.46,36.6,0.0,0.0,0.0,0.0,35.64,272.42,62.43,0.0,0.99,137.7,19-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
19-Jan-2020 - 00:00,27.67,33.41,5.08,6.72,1.65,41.56,16.16,0.46,36.6,0.0,0.0,0.0,0.0,35.57,366.18,62.43,0.0,1.42,161.04,20-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
20-Jan-2020 - 00:00,35.2,54.39,7.32,10.28,2.97,66.05,16.06,0.5,35.54,0.0,0.0,0.0,0.0,34.75,378.09,61.12,0.0,1.64,168.2,21-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
21-Jan-2020 - 00:00,36.08,60.79,7.77,9.74,1.97,60.11,15.77,0.51,37.94,0.0,0.0,0.0,0.0,,,,0.0,,,22-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
22-Jan-2020 - 00:00,44.19,63.89,8.17,14.23,8.68,74.87,15.48,0.55,37.45,0.0,0.0,0.0,0.0,33.85,360.14,61.24,0.0,2.83,162.77,23-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
23-Jan-2020 - 00:00,54.28,86.88,8.83,11.12,2.28,64.78,15.79,0.64,38.12,0.0,0.0,0.0,0.0,34.52,357.43,61.87,0.0,10.99,178.78,24-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
24-Jan-2020 - 00:00,61.71,112.23,12.39,18.47,6.07,56.2,17.61,0.75,37.93,0.0,0.0,0.0,0.0,34.47,412.78,61.94,0.0,5.37,190.6,25-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
25-Jan-2020 - 00:00,54.07,96.6,9.78,15.72,5.94,66.06,16.94,0.7,38.0,0.0,0.0,0.0,0.0,34.45,412.67,61.96,0.0,2.72,176.37,26-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
26-Jan-2020 - 00:00,32.43,89.28,10.5,18.36,7.86,57.83,15.39,0.75,38.27,0.0,0.0,0.0,0.0,34.65,415.95,60.93,0.0,3.07,111.54,27-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
27-Jan-2020 - 00:00,42.95,75.98,8.99,12.25,3.26,46.3,15.18,0.85,37.92,0.0,0.0,0.0,0.0,34.68,414.05,61.87,0.0,2.82,111.26,28-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
28-Jan-2020 - 00:00,43.72,68.12,8.65,10.81,2.16,42.21,15.13,0.88,37.96,0.0,0.0,0.0,0.0,34.61,385.99,61.34,0.0,2.98,105.04,29-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
29-Jan-2020 - 00:00,44.48,65.46,7.82,11.95,4.43,43.43,15.16,0.77,30.97,0.0,0.0,0.0,0.0,34.56,402.81,61.98,0.0,3.14,98.99,30-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
30-Jan-2020 - 00:00,34.07,59.42,5.24,10.62,5.39,48.33,14.44,0.63,19.24,0.0,0.0,0.0,0.0,34.67,435.99,62.02,0.0,3.0,105.43,31-Jan-2020 - 00:00,"Manali Village, Chennai - TNPCB"
31-Jan-2020 - 00:00,21.72,52.9,5.06,8.93,3.88,49.81,14.88,0.51,25.45,0.0,0.0,0.0,0.0,34.76,388.85,62.02,0.0,6.54,99.83,01-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
01-Feb-2020 - 00:00,19.38,50.4,5.25,8.21,2.96,46.89,14.73,0.45,25.42,0.0,0.0,0.0,0.0,34.93,390.87,62.08,0.0,9.28,96.12,02-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
02-Feb-2020 - 00:00,18.01,38.25,4.41,6.41,2.0,43.61,14.72,0.4,25.36,0.0,0.0,0.0,0.0,34.88,434.67,62.08,0.0,9.71,87.97,03-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
03-Feb-2020 - 00:00,24.54,57.49,4.32,6.99,2.67,43.93,14.64,0.43,25.29,0.0,0.0,0.0,0.0,34.58,442.48,61.88,0.0,9.6,137.42,04-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
04-Feb-2020 - 00:00,25.03,65.72,4.4,6.78,2.38,35.06,14.81,0.46,25.23,0.0,0.0,0.0,0.0,34.83,309.74,62.01,0.0,9.37,138.57,05-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
05-Feb-2020 - 00:00,25.27,59.25,5.09,7.26,2.17,30.02,14.92,0.57,25.27,0.0,0.0,0.0,0.0,35.08,457.74,61.48,0.0,4.23,110.32,06-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
06-Feb-2020 - 00:00,22.93,55.89,6.03,9.3,3.27,28.42,14.87,0.72,25.31,0.0,0.0,0.0,0.0,34.83,458.11,61.47,0.0,2.43,97.68,07-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
07-Feb-2020 - 00:00,22.39,55.89,6.18,8.86,2.68,27.92,14.9,0.7,25.26,0.0,0.0,0.0,0.0,34.91,372.36,62.12,0.0,8.52,91.56,08-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
08-Feb-2020 - 00:00,19.97,49.03,6.14,8.39,2.25,28.06,14.93,0.65,25.17,0.0,0.0,0.0,0.0,35.01,427.44,60.93,0.0,5.91,87.77,09-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
09-Feb-2020 - 00:00,20.88,43.61,4.88,7.32,2.44,36.58,14.92,0.63,25.26,0.0,0.0,0.0,0.0,34.71,277.28,61.98,0.0,4.08,132.85,10-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
10-Feb-2020 - 00:00,27.88,62.2,4.78,6.34,1.56,36.15,14.75,0.6,25.31,0.0,0.0,0.0,0.0,34.39,427.55,61.46,0.0,4.85,141.69,11-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
11-Feb-2020 - 00:00,25.25,68.16,5.08,6.76,1.68,35.79,14.69,0.66,25.03,0.0,0.0,2.76,0.0,34.13,334.94,61.19,0.0,3.58,150.83,12-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
12-Feb-2020 - 00:00,28.45,77.82,8.13,10.17,2.04,34.88,14.98,0.68,25.16,57.55,0.0,6.31,0.0,34.74,357.6,62.13,0.0,2.55,166.77,13-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
13-Feb-2020 - 00:00,33.32,99.01,7.93,10.36,2.43,34.98,15.07,0.72,25.18,12.55,0.0,5.89,0.0,34.75,441.15,62.16,0.0,2.89,179.69,14-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
14-Feb-2020 - 00:00,35.67,102.02,6.0,8.32,2.33,34.86,15.07,0.78,25.16,3.09,0.0,0.12,0.0,34.58,457.85,60.69,0.0,2.89,151.24,15-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
15-Feb-2020 - 00:00,32.83,85.42,7.71,9.44,6.72,45.71,11.33,0.53,23.84,2.63,0.0,0.13,0.0,34.55,489.29,59.26,0.0,2.89,123.19,16-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
16-Feb-2020 - 00:00,21.27,52.29,3.83,7.34,3.51,12.15,7.48,0.43,13.68,0.0,0.0,0.0,0.0,35.08,487.96,61.14,0.0,2.73,112.51,17-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
17-Feb-2020 - 00:00,26.49,66.81,6.15,9.54,3.4,29.75,7.69,0.52,16.18,0.0,0.0,0.0,0.0,35.06,478.53,59.77,0.0,2.78,135.67,18-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
18-Feb-2020 - 00:00,29.6,79.73,11.27,25.79,14.53,58.0,7.76,0.45,15.56,0.0,0.0,0.0,0.0,35.02,463.03,60.44,0.0,2.67,130.85,19-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
19-Feb-2020 - 00:00,37.55,92.77,5.82,15.7,9.87,137.55,7.25,0.3,7.06,0.0,0.0,0.0,0.0,34.58,395.35,61.44,0.0,2.27,140.97,20-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
20-Feb-2020 - 00:00,28.93,70.44,5.27,8.26,3.97,132.97,8.0,0.18,5.91,0.39,0.0,0.02,0.09,34.36,444.27,60.91,0.0,2.3,141.24,21-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
21-Feb-2020 - 00:00,6.43,125.11,23.29,43.14,29.23,151.71,7.62,0.39,23.65,1.67,0.0,0.06,0.0,34.36,475.96,62.09,0.0,3.93,178.58,22-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
22-Feb-2020 - 00:00,22.39,51.94,5.55,12.45,6.9,173.71,7.51,0.23,16.91,2.15,0.0,0.05,0.0,34.47,388.81,62.01,0.0,5.08,166.04,23-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
23-Feb-2020 - 00:00,22.76,53.18,1.88,3.79,2.57,161.51,7.36,0.28,13.45,2.45,0.0,0.05,0.0,34.66,319.48,62.05,0.0,3.63,162.39,24-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
24-Feb-2020 - 00:00,24.41,73.45,3.5,5.51,3.06,148.59,7.34,0.38,16.98,2.7,0.0,0.07,0.0,34.58,318.14,62.04,0.0,5.84,141.79,25-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
25-Feb-2020 - 00:00,19.13,56.87,6.98,10.09,4.06,107.76,7.27,0.43,28.26,2.77,0.0,0.1,0.0,34.53,400.3,62.06,0.0,5.89,89.06,26-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
26-Feb-2020 - 00:00,20.12,63.51,6.15,7.93,1.82,35.13,7.85,0.52,49.19,2.64,0.0,0.2,0.0,35.06,447.07,61.95,0.0,6.15,109.71,27-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
27-Feb-2020 - 00:00,26.23,71.65,4.35,5.55,1.4,36.83,7.75,0.41,42.18,2.38,0.0,0.1,0.0,35.09,392.68,62.21,0.0,6.11,124.85,28-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
28-Feb-2020 - 00:00,20.22,49.21,5.24,6.97,1.74,35.41,7.92,0.38,44.83,2.21,0.0,0.07,0.0,34.96,418.9,62.22,0.0,6.1,119.99,29-Feb-2020 - 00:00,"Manali Village, Chennai - TNPCB"
29-Feb-2020 - 00:00,24.47,84.46,6.55,11.37,4.83,44.3,7.89,0.47,44.65,2.33,0.0,0.09,0.06,34.78,328.39,62.15,0.0,5.83,132.33,01-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
01-Mar-2020 - 00:00,20.1,43.68,5.42,7.18,1.76,23.25,7.46,0.34,48.68,2.24,0.0,0.07,0.0,34.8,494.97,62.06,0.0,5.85,84.03,02-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
02-Mar-2020 - 00:00,27.07,65.54,7.19,9.64,2.45,22.4,7.83,0.42,50.81,2.74,0.0,0.09,0.0,35.03,332.26,61.35,0.0,5.43,114.13,03-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
03-Mar-2020 - 00:00,31.88,94.15,14.98,24.24,9.25,20.89,7.84,0.6,48.91,1.91,0.0,0.12,0.0,34.78,404.09,61.43,0.0,5.65,116.06,04-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
04-Mar-2020 - 00:00,27.48,67.91,10.62,16.32,5.7,27.54,7.35,0.48,57.21,3.08,0.0,0.14,0.03,34.42,417.7,61.79,0.0,10.9,106.02,05-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
05-Mar-2020 - 00:00,-12.9,31.19,13.84,21.07,13.94,28.05,7.95,0.57,49.73,1.91,0.0,0.08,0.0,34.57,502.71,61.88,0.0,9.82,74.88,06-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
06-Mar-2020 - 00:00,-9.79,25.2,11.56,18.52,14.92,36.41,7.66,0.55,52.47,2.13,0.0,0.07,0.0,34.67,354.98,62.05,0.0,10.43,107.59,07-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
07-Mar-2020 - 00:00,-3.23,26.76,14.56,30.69,22.37,123.21,6.82,0.47,25.98,1.3,0.0,0.04,0.0,34.53,433.31,62.0,0.0,10.48,163.26,08-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
08-Mar-2020 - 00:00,11.32,25.72,3.89,12.83,8.94,133.42,6.69,0.33,34.88,2.72,0.0,0.07,0.0,34.58,446.72,62.0,0.0,7.56,151.77,09-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
09-Mar-2020 - 00:00,13.62,35.62,6.12,18.04,11.93,137.45,6.8,0.32,29.42,2.75,0.0,0.09,0.0,34.47,466.25,61.65,0.0,6.53,169.26,10-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
10-Mar-2020 - 00:00,10.95,41.62,7.63,18.96,11.33,128.73,6.77,0.3,31.61,2.22,0.0,0.1,0.0,34.57,463.07,62.08,0.0,6.92,166.35,11-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
11-Mar-2020 - 00:00,13.8,38.25,12.52,20.92,8.39,9.87,7.33,0.31,60.39,2.09,0.0,0.09,0.0,35.56,438.52,62.35,0.0,3.52,170.22,12-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
12-Mar-2020 - 00:00,15.69,41.89,11.52,18.39,6.86,33.2,7.34,0.3,58.27,1.95,0.0,0.08,0.0,35.23,450.79,62.1,0.0,4.18,167.78,13-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
