from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
15-Jan-2020 - 00:00,10.39,992.58,206.54,134.44,75.31,74.06,147.87,0.5,7.19,35.29,41.47,19.07,37.22,35.35,22.61,10.33,0.71,16-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Jan-2020 - 00:00,9.98,991.52,215.56,165.62,80.02,32.75,113.48,0.53,6.63,32.74,43.27,24.7,36.0,39.28,12.37,9.31,0.74,17-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Jan-2020 - 00:00,10.34,992.78,173.69,128.12,83.51,50.84,144.69,0.53,5.6,33.45,38.37,26.19,28.94,36.75,11.73,8.64,0.79,18-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Jan-2020 - 00:00,10.09,994.47,215.0,144.73,80.28,71.21,156.03,0.45,7.53,35.65,38.24,31.51,37.72,45.76,15.07,7.51,0.75,19-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Jan-2020 - 00:00,9.49,995.2,190.62,139.5,77.95,88.41,185.57,0.95,4.07,12.51,36.64,11.53,28.6,24.62,17.59,7.81,0.54,20-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Jan-2020 - 00:00,9.8,994.21,252.17,175.19,80.78,60.17,153.01,0.74,5.85,27.02,38.75,23.55,33.92,37.24,17.18,9.26,1.15,21-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Jan-2020 - 00:00,10.47,994.96,405.4,276.53,79.23,69.86,79.02,0.59,9.64,49.69,48.56,82.23,37.35,86.91,18.66,9.42,2.06,22-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Jan-2020 - 00:00,10.06,996.63,293.52,206.83,80.81,84.19,156.35,0.7,9.29,40.87,44.0,35.0,36.34,47.86,11.09,7.24,1.01,23-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Jan-2020 - 00:00,10.73,994.83,145.96,81.35,62.21,94.81,184.37,1.06,3.08,15.01,32.29,13.01,45.55,34.83,16.58,8.57,0.42,24-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Jan-2020 - 00:00,10.66,992.31,167.06,96.23,58.94,95.69,162.76,1.14,4.08,27.58,32.89,24.55,58.49,51.13,19.97,12.7,0.64,25-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Jan-2020 - 00:00,10.39,992.64,260.62,160.19,67.39,88.6,136.36,0.45,6.94,38.73,45.12,49.27,66.73,75.65,17.02,10.72,0.96,26-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Jan-2020 - 00:00,10.79,990.91,362.21,249.27,72.08,85.93,130.7,0.54,8.05,41.06,60.13,78.72,50.49,91.04,16.05,9.94,1.56,27-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Jan-2020 - 00:00,11.18,988.38,380.6,263.44,71.1,51.63,67.3,0.81,10.1,49.61,63.86,116.69,72.76,133.84,11.08,10.11,1.63,28-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Jan-2020 - 00:00,11.32,987.18,148.14,117.38,75.32,59.13,62.83,1.22,6.09,29.32,44.82,16.98,39.98,35.1,13.2,9.44,0.72,29-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Jan-2020 - 00:00,10.99,992.98,137.78,91.96,72.81,88.57,109.08,0.66,4.43,22.18,37.75,24.1,41.53,41.74,15.5,8.4,0.59,30-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Jan-2020 - 00:00,10.93,993.73,169.24,105.56,70.92,90.3,177.01,0.43,4.64,25.48,34.35,34.82,50.77,55.38,15.47,10.22,0.58,31-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-Jan-2020 - 00:00,10.16,991.69,182.49,114.44,71.1,96.32,147.44,0.66,4.99,35.11,33.57,28.56,50.73,50.27,11.5,8.97,0.67,01-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Feb-2020 - 00:00,10.34,994.47,231.24,139.92,72.25,88.51,144.51,0.43,4.92,27.89,37.87,47.82,42.42,61.55,16.55,8.95,0.73,02-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Feb-2020 - 00:00,10.16,995.92,216.11,146.27,74.1,94.41,168.37,0.51,4.28,28.62,38.09,37.56,57.81,61.37,16.67,8.81,0.73,03-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Feb-2020 - 00:00,10.49,994.58,259.9,159.17,67.85,97.7,151.21,0.55,5.44,42.49,37.18,53.2,55.64,72.96,22.38,10.37,1.11,04-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Feb-2020 - 00:00,10.67,993.03,351.41,214.92,67.78,84.99,80.72,0.5,8.56,46.16,36.64,90.07,61.56,106.18,25.36,11.6,1.0,05-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Feb-2020 - 00:00,10.91,993.15,247.91,154.55,66.01,85.84,176.09,0.37,4.31,29.67,40.12,28.31,49.93,49.62,20.5,13.47,0.59,06-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Feb-2020 - 00:00,10.39,992.54,210.91,135.68,67.78,93.86,145.78,0.69,3.98,23.14,35.76,27.29,49.18,48.4,24.0,10.65,0.73,07-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Feb-2020 - 00:00,10.37,994.99,251.8,155.68,69.08,87.22,112.47,0.44,4.93,27.94,39.62,39.92,45.91,56.96,19.44,11.16,0.77,08-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Feb-2020 - 00:00,11.0,996.77,231.98,164.76,66.17,93.82,173.54,0.51,4.01,24.45,39.91,21.07,45.85,41.57,24.63,15.49,0.57,09-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Feb-2020 - 00:00,11.02,997.26,254.17,171.3,65.91,92.67,146.17,0.47,4.98,28.22,38.55,29.65,50.23,50.9,24.43,17.91,0.72,10-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Feb-2020 - 00:00,10.77,995.34,319.18,202.96,68.67,93.91,140.28,0.38,6.16,42.73,40.87,58.19,50.86,74.49,25.34,14.24,1.27,11-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Feb-2020 - 00:00,10.98,995.59,335.41,200.23,68.58,94.1,146.45,0.36,8.33,68.64,40.64,70.99,53.19,86.15,33.25,13.43,1.12,12-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Feb-2020 - 00:00,11.98,994.72,287.74,175.02,64.98,90.78,171.49,0.99,4.71,38.13,41.75,19.82,45.2,40.2,38.73,15.64,0.71,13-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Feb-2020 - 00:00,13.0,991.71,189.68,100.75,58.29,95.02,181.66,1.4,3.11,26.0,33.43,7.66,33.46,24.05,32.96,20.2,0.62,14-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Feb-2020 - 00:00,12.6,989.06,193.54,83.77,57.32,100.22,180.53,1.14,2.2,16.8,29.28,6.95,29.26,21.23,33.26,15.79,0.55,15-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Feb-2020 - 00:00,12.52,989.22,181.88,87.94,51.64,100.48,179.99,1.21,2.73,26.88,27.37,9.49,33.3,25.45,39.75,20.42,0.72,16-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Feb-2020 - 00:00,12.28,992.34,258.39,160.88,59.68,100.89,184.5,0.56,4.26,28.93,35.22,27.81,41.71,44.86,37.25,26.65,1.03,17-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Feb-2020 - 00:00,12.51,993.36,288.95,165.73,59.78,102.61,172.8,0.75,5.41,36.74,37.79,30.71,39.86,46.24,31.13,21.08,0.98,18-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Feb-2020 - 00:00,12.46,990.66,257.91,133.67,54.7,103.24,154.38,0.91,3.88,33.11,32.38,32.11,43.03,49.08,33.93,23.05,1.4,19-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Feb-2020 - 00:00,12.62,989.59,304.79,154.96,60.74,85.4,65.06,0.83,6.35,67.21,40.55,72.79,42.96,82.19,27.96,20.01,1.97,20-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Feb-2020 - 00:00,13.7,988.98,258.41,109.38,55.26,86.9,65.34,1.36,4.9,40.2,34.44,6.5,40.61,26.9,51.76,9.56,0.71,21-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Feb-2020 - 00:00,11.69,993.35,72.77,48.29,73.43,39.68,56.83,2.15,3.1,23.57,30.04,6.89,28.14,20.58,30.67,9.92,0.61,22-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Feb-2020 - 00:00,12.31,996.55,132.73,72.5,70.11,94.58,44.84,1.01,3.11,19.82,32.99,40.19,43.89,56.11,21.2,17.87,1.14,23-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Feb-2020 - 00:00,13.07,994.16,178.67,104.38,68.05,89.05,103.86,0.53,3.84,29.32,41.73,25.45,43.0,43.62,21.02,20.08,0.57,24-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Feb-2020 - 00:00,13.1,990.88,169.12,83.23,64.62,104.03,115.29,0.5,2.93,27.83,36.97,33.09,57.65,57.64,23.35,28.2,0.84,25-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Feb-2020 - 00:00,13.23,989.59,227.29,142.5,67.09,100.83,169.33,0.44,3.19,34.21,40.9,38.17,64.49,65.42,25.67,24.52,0.9,26-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Feb-2020 - 00:00,13.37,990.25,288.25,163.98,67.32,104.6,130.43,0.67,5.22,36.55,40.92,65.01,60.32,85.11,24.99,20.89,1.22,27-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Feb-2020 - 00:00,13.67,990.6,205.98,118.46,66.92,94.22,71.54,0.68,4.37,27.25,42.41,15.14,52.3,40.16,26.24,21.53,0.86,28-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Feb-2020 - 00:00,13.82,989.37,159.83,88.79,64.75,90.92,63.66,1.15,2.8,21.8,39.29,6.3,31.99,22.15,30.94,16.02,0.63,29-Feb-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Feb-2020 - 00:00,13.36,988.67,114.16,62.39,66.94,94.32,59.63,1.52,2.38,16.86,32.71,6.42,30.59,21.51,27.23,16.39,0.58,01-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Mar-2020 - 00:00,13.53,989.25,105.03,56.52,65.82,119.64,82.21,0.64,2.31,18.46,30.83,15.47,47.87,38.09,32.19,17.71,0.85,02-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Mar-2020 - 00:00,13.71,988.82,215.92,109.1,68.23,112.6,94.2,0.42,4.59,31.64,41.63,58.8,55.29,77.35,25.9,20.44,1.07,03-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Mar-2020 - 00:00,14.0,987.34,177.45,80.92,60.81,130.9,122.85,0.47,3.22,37.92,36.31,28.44,51.17,50.41,22.08,19.38,0.69,04-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Mar-2020 - 00:00,17.34,986.72,170.8,82.71,61.04,106.04,76.49,0.96,3.66,18.59,35.1,20.91,43.38,40.13,33.3,21.38,0.67,05-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Mar-2020 - 00:00,21.59,986.88,65.27,39.23,66.61,96.54,68.12,1.4,1.99,16.63,28.08,8.57,31.14,23.56,28.59,14.17,0.56,06-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Mar-2020 - 00:00,19.74,985.87,39.5,23.27,75.78,94.25,67.28,1.77,1.98,18.55,23.67,8.17,33.05,24.24,20.92,15.31,0.54,07-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Mar-2020 - 00:00,20.24,990.19,89.49,,73.28,78.74,83.39,0.76,2.38,16.87,23.52,15.8,36.01,32.03,25.68,13.07,0.74,08-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Mar-2020 - 00:00,21.16,992.03,177.61,,68.83,156.5,154.47,0.43,4.81,37.36,27.74,74.29,45.41,84.72,21.04,16.09,1.03,09-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Mar-2020 - 00:00,21.25,989.23,132.98,109.13,61.24,164.62,178.22,0.49,1.58,13.46,26.61,17.03,43.84,37.2,25.05,22.46,0.56,10-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Mar-2020 - 00:00,21.68,987.95,152.35,95.81,60.0,150.68,100.9,0.65,2.35,13.5,26.13,11.11,35.61,27.99,46.08,25.11,0.59,11-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Mar-2020 - 00:00,22.71,985.46,109.83,65.47,62.74,136.77,74.68,1.03,2.12,11.9,28.8,5.4,26.22,18.35,33.82,19.09,0.52,12-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Mar-2020 - 00:00,22.79,987.74,158.06,73.64,62.0,133.8,90.34,0.91,3.43,17.25,29.07,21.13,36.83,36.82,26.25,18.77,0.94,13-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Mar-2020 - 00:00,22.87,989.53,197.79,68.79,54.81,146.59,123.06,0.71,3.1,22.22,25.14,19.2,40.43,37.15,29.56,20.14,0.49,14-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Mar-2020 - 00:00,20.83,990.97,72.47,55.2,71.56,98.1,63.14,1.16,2.01,15.75,26.09,7.61,30.21,22.28,20.82,13.95,0.59,15-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Mar-2020 - 00:00,20.79,992.66,124.69,82.73,68.48,148.75,91.78,0.66,2.61,21.1,26.37,28.09,40.63,44.52,29.39,18.23,0.6,16-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Mar-2020 - 00:00,21.99,992.23,132.27,74.08,64.63,152.92,183.48,0.42,2.04,20.75,26.9,25.54,52.31,48.65,27.02,21.2,0.6,17-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Mar-2020 - 00:00,22.73,992.12,149.44,85.27,61.84,179.58,171.11,0.43,1.93,19.96,25.97,26.26,53.72,49.98,31.88,25.49,0.66,18-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Mar-2020 - 00:00,23.63,990.26,151.69,77.71,59.2,175.78,162.82,0.54,3.89,20.34,24.87,18.07,48.96,40.76,34.68,23.65,0.75,19-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Mar-2020 - 00:00,23.9,987.28,194.58,113.73,63.36,158.09,144.73,0.58,3.65,27.33,31.01,28.39,44.42,46.77,36.54,25.48,0.79,20-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Mar-2020 - 00:00,24.25,986.19,195.1,96.09,60.4,143.59,64.38,0.96,6.2,36.39,29.01,32.24,51.19,53.5,30.47,23.0,1.2,21-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Mar-2020 - 00:00,24.35,986.55,197.65,96.39,58.74,131.26,111.01,0.58,4.58,32.58,33.04,20.35,48.4,42.33,34.57,26.87,0.75,22-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Mar-2020 - 00:00,24.53,988.39,134.35,86.46,56.18,167.15,91.37,0.62,3.7,8.07,30.19,6.03,23.97,17.65,36.87,27.27,0.52,23-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Mar-2020 - 00:00,24.53,987.89,119.11,67.21,55.18,162.05,,,2.55,7.46,27.39,5.99,24.63,17.98,40.55,,0.62,24-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Mar-2020 - 00:00,24.12,986.58,104.93,65.37,62.47,117.96,,,3.27,7.58,27.64,5.92,21.31,16.17,27.61,,0.56,25-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Mar-2020 - 00:00,24.85,986.94,69.69,41.14,63.03,180.81,214.86,0.49,2.52,7.62,32.66,5.52,15.46,12.68,17.21,20.42,0.5,26-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Mar-2020 - 00:00,24.29,988.2,81.48,58.33,62.62,117.6,184.87,1.98,1.48,3.72,33.94,3.95,12.32,9.78,18.74,16.1,0.45,27-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Mar-2020 - 00:00,22.72,989.97,44.81,27.98,69.31,93.94,109.18,0.78,1.14,3.22,26.3,4.11,10.07,8.7,17.28,14.92,0.37,28-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Mar-2020 - 00:00,23.1,990.33,34.7,25.07,68.19,203.14,,,2.15,4.85,24.78,4.25,11.67,9.68,15.64,,0.43,29-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Mar-2020 - 00:00,24.15,988.2,51.94,31.17,57.77,204.84,197.72,0.53,1.97,2.26,24.79,3.21,9.34,7.59,20.99,16.24,0.36,30-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Mar-2020 - 00:00,23.95,988.2,60.85,38.34,55.9,204.16,172.99,0.58,1.51,2.92,23.8,3.47,11.96,9.2,24.39,14.72,0.39,31-Mar-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-Mar-2020 - 00:00,24.76,986.92,65.32,37.2,54.08,176.97,187.37,0.56,1.17,2.73,21.9,3.47,11.8,9.11,27.0,17.63,0.38,01-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Apr-2020 - 00:00,25.29,986.03,74.19,45.29,53.54,187.66,172.33,0.57,1.26,3.86,23.33,3.86,12.85,9.99,24.49,20.27,0.42,02-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Apr-2020 - 00:00,24.96,986.39,61.58,32.9,51.87,205.14,182.94,0.66,1.07,2.76,21.46,3.4,11.08,8.66,26.59,15.26,0.38,03-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Apr-2020 - 00:00,24.21,987.65,60.9,34.62,46.98,207.19,176.27,0.47,1.73,3.02,19.46,3.13,13.61,9.8,36.23,15.57,0.39,04-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Apr-2020 - 00:00,24.45,987.67,81.0,51.88,50.03,207.21,143.99,0.4,3.16,5.44,20.86,4.69,19.37,14.12,29.99,16.99,0.53,05-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Apr-2020 - 00:00,25.16,988.37,107.04,67.94,50.92,186.3,86.17,0.7,2.5,6.02,24.16,4.0,18.8,13.23,32.93,20.87,0.56,06-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Apr-2020 - 00:00,26.92,987.08,121.98,70.79,46.71,195.85,157.43,0.51,2.95,6.51,25.74,4.44,18.56,13.49,31.42,20.53,0.54,07-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Apr-2020 - 00:00,25.9,985.23,97.71,31.69,47.85,192.72,193.19,0.7,1.27,2.84,24.26,3.36,12.59,9.42,31.43,17.79,0.4,08-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Apr-2020 - 00:00,25.94,985.77,80.17,30.12,43.27,201.03,208.67,0.39,1.8,2.83,21.88,3.13,12.42,9.14,35.67,16.46,0.39,09-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Apr-2020 - 00:00,25.49,986.17,78.1,38.6,45.8,195.64,156.94,0.51,2.03,3.96,23.45,3.85,16.18,11.74,36.1,18.64,0.49,10-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Apr-2020 - 00:00,26.54,987.04,109.96,64.77,44.65,195.14,120.39,0.39,3.05,9.85,24.66,5.39,23.57,16.9,31.42,22.91,0.58,11-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Apr-2020 - 00:00,27.61,987.92,111.95,60.73,43.38,187.07,105.01,0.55,2.83,5.25,26.89,3.94,16.96,12.23,38.15,24.02,0.49,12-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Apr-2020 - 00:00,27.47,985.68,79.17,38.71,43.12,200.68,185.25,0.56,1.66,3.25,24.58,3.42,13.29,9.84,37.58,14.59,0.45,13-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Apr-2020 - 00:00,27.93,983.6,118.44,63.48,44.25,191.43,145.15,0.66,2.49,6.32,25.89,3.79,18.67,13.02,33.91,18.9,0.57,14-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Apr-2020 - 00:00,28.73,983.97,121.09,57.23,43.74,150.42,98.3,0.46,2.93,12.02,28.0,4.26,21.97,15.16,38.55,15.88,0.62,15-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Apr-2020 - 00:00,29.06,983.59,174.1,59.91,38.37,178.21,121.42,0.5,3.38,10.29,28.09,6.53,23.98,18.08,32.3,13.39,0.61,16-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Apr-2020 - 00:00,28.75,982.43,189.6,80.9,37.99,178.63,143.06,0.55,3.57,10.45,30.69,4.7,22.17,15.64,37.37,18.34,0.56,17-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Apr-2020 - 00:00,28.5,982.11,85.8,24.67,38.42,163.61,110.32,0.99,1.26,3.55,28.4,2.91,11.78,8.59,46.59,12.82,0.43,18-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Apr-2020 - 00:00,26.77,984.03,85.96,28.1,48.61,164.89,62.06,1.44,1.58,2.72,27.51,3.44,11.03,8.65,37.34,12.99,0.47,19-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Apr-2020 - 00:00,26.35,983.47,53.91,31.91,50.23,215.61,128.44,0.67,1.65,5.06,28.71,4.65,19.22,13.97,26.97,10.69,0.52,20-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Apr-2020 - 00:00,25.53,984.37,98.35,64.02,51.44,128.32,122.31,0.97,4.09,8.44,32.18,8.08,19.66,17.04,20.84,13.07,0.56,21-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Apr-2020 - 00:00,26.28,984.62,74.0,42.61,48.53,204.23,129.56,0.62,2.21,4.58,30.46,3.72,14.81,10.84,35.33,12.75,0.48,22-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Apr-2020 - 00:00,26.94,983.16,115.1,70.67,44.25,209.59,121.96,0.49,3.4,9.33,28.39,5.34,22.31,16.21,38.01,16.34,0.65,23-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Apr-2020 - 00:00,26.97,982.23,107.77,59.75,43.79,105.79,138.26,0.53,3.38,11.15,28.83,4.54,21.33,15.05,36.58,13.64,0.61,24-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Apr-2020 - 00:00,27.5,980.73,105.42,66.4,46.51,192.87,90.83,0.54,3.47,11.99,33.18,4.42,20.41,14.43,41.42,13.98,0.62,25-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Apr-2020 - 00:00,28.15,981.0,72.69,24.85,42.39,167.62,118.91,0.79,1.23,4.01,27.99,3.0,12.68,9.17,47.69,11.52,0.41,26-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
