from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
01-Jan-2020 - 00:00,9.21,997.07,491.04,385.33,77.19,66.25,61.15,0.69,10.02,59.06,50.34,110.49,48.83,116.07,15.94,18.36,3.01,02-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Jan-2020 - 00:00,10.29,996.74,482.78,376.29,74.7,67.76,70.99,0.54,9.95,87.74,52.2,132.54,49.71,134.5,11.29,18.91,2.68,03-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Jan-2020 - 00:00,10.98,994.46,341.08,235.42,73.37,69.81,91.13,0.44,8.22,93.62,47.63,94.89,41.4,99.37,11.31,15.24,2.17,04-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Jan-2020 - 00:00,10.89,993.46,399.48,282.73,72.54,60.69,132.85,0.39,8.98,79.73,47.24,90.64,59.13,105.31,12.92,11.54,1.46,05-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Jan-2020 - 00:00,10.86,993.89,288.48,195.35,66.91,61.1,163.12,0.63,6.0,30.9,41.78,16.49,45.1,37.43,15.27,11.69,0.66,06-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Jan-2020 - 00:00,10.9,994.91,266.58,169.35,69.17,35.31,118.68,0.83,6.29,25.42,41.94,20.3,42.01,38.89,7.03,11.56,0.75,07-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Jan-2020 - 00:00,11.11,992.77,192.0,141.65,74.72,37.35,47.75,1.06,7.58,33.2,38.06,15.9,38.37,33.37,9.44,10.88,0.86,08-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Jan-2020 - 00:00,10.43,990.84,164.33,144.8,85.15,11.42,128.35,0.59,5.83,21.24,38.25,16.8,32.06,30.75,4.45,7.59,0.7,09-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Jan-2020 - 00:00,9.32,995.54,143.9,102.27,78.79,73.17,194.03,0.42,3.86,18.73,28.15,13.1,29.85,26.56,9.72,8.59,0.54,10-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Jan-2020 - 00:00,9.47,995.58,210.58,142.19,75.73,85.76,167.71,0.65,5.68,30.68,28.12,21.0,42.56,39.75,12.94,10.75,0.81,11-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Jan-2020 - 00:00,9.99,995.3,260.73,166.65,68.5,88.05,151.75,0.49,6.28,40.42,34.35,49.7,55.49,70.03,18.25,11.85,1.21,12-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Jan-2020 - 00:00,10.53,992.32,380.08,240.25,71.43,80.64,125.08,0.56,9.11,58.68,50.83,86.59,58.19,101.54,28.89,11.49,1.79,13-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Jan-2020 - 00:00,11.13,987.85,344.0,242.27,72.85,47.1,109.21,0.47,9.86,39.35,61.94,34.47,43.42,51.21,25.85,9.12,0.94,14-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Jan-2020 - 00:00,10.51,991.53,180.14,133.85,77.06,68.77,189.84,0.38,5.66,29.73,46.27,13.53,30.39,27.19,15.66,8.81,0.58,15-Jan-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
