from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,BP,SR,WS,WD,to date,station
28-Jan-2020 - 00:00,48.63,145.61,8.39,6.96,15.3,18.88,23.4,1.03,5.7,10.07,57.07,22.83,25.29,,147.88,0.74,171.46,29-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
29-Jan-2020 - 00:00,39.45,157.25,9.92,4.29,13.78,19.26,21.93,0.83,5.32,10.0,51.03,20.57,24.61,,192.0,0.71,168.8,30-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
30-Jan-2020 - 00:00,59.02,183.89,6.61,5.96,12.57,23.08,23.02,0.95,7.89,9.84,47.82,18.67,23.41,,213.22,0.68,155.54,31-Jan-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
31-Jan-2020 - 00:00,76.78,201.2,8.24,6.8,14.61,24.41,22.58,1.27,5.98,12.23,54.38,23.79,24.48,,220.5,0.65,160.43,01-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
01-Feb-2020 - 00:00,98.32,238.4,5.91,6.98,12.9,22.8,23.07,1.38,6.69,13.86,61.55,24.94,25.46,,202.44,0.61,153.15,02-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
02-Feb-2020 - 00:00,97.15,254.01,10.01,23.62,33.64,24.65,25.2,1.95,8.53,19.59,111.64,45.49,26.9,,205.83,0.61,149.15,03-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
03-Feb-2020 - 00:00,96.63,246.77,8.91,11.06,19.96,24.82,24.25,1.71,7.07,13.54,71.24,25.66,31.09,,351.46,0.83,160.74,04-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
04-Feb-2020 - 00:00,102.63,227.2,5.9,5.93,11.83,19.98,24.22,1.45,7.07,13.73,61.51,24.39,26.03,,200.24,0.6,161.29,05-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
05-Feb-2020 - 00:00,80.53,218.71,8.86,6.33,15.19,20.15,23.62,1.22,7.27,12.14,63.45,25.37,26.11,,223.93,0.65,156.11,06-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
06-Feb-2020 - 00:00,99.41,228.02,11.67,7.88,19.56,21.2,24.7,1.48,8.55,16.5,73.56,28.5,25.37,,224.15,0.59,162.81,07-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
07-Feb-2020 - 00:00,77.72,205.4,10.06,8.17,18.24,20.72,24.44,1.3,11.9,13.76,63.38,23.67,23.39,,236.31,0.68,141.94,08-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
