from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,BP,SR,WS,WD,to date,station
08-May-2020 - 00:00,20.54,96.38,6.64,1.08,7.72,3.4,,,,,,,,,,,,09-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
09-May-2020 - 00:00,38.19,90.76,7.42,2.22,9.5,4.58,,,,,,,,,,,,10-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
10-May-2020 - 00:00,18.35,91.44,6.04,1.08,7.11,4.62,37.34,0.15,62.52,,,,35.12,,619.8,0.88,163.13,11-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
11-May-2020 - 00:00,20.74,84.35,12.71,6.59,19.31,4.49,37.61,0.24,48.92,,,,32.37,,346.21,0.72,156.85,12-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
12-May-2020 - 00:00,18.29,74.86,6.25,1.41,7.57,3.12,35.64,0.09,48.24,,,,31.92,,390.38,0.8,156.32,13-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
13-May-2020 - 00:00,18.72,82.99,6.23,1.23,7.46,3.71,36.41,0.11,51.43,,,,33.04,,328.47,0.91,163.88,14-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
14-May-2020 - 00:00,20.7,83.86,7.59,2.73,10.27,3.45,38.14,0.15,56.48,,,,33.89,,332.31,0.92,161.25,15-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
15-May-2020 - 00:00,23.05,87.45,6.22,1.21,7.42,1.43,53.63,0.1,55.06,,,,34.27,,399.65,0.83,155.56,16-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
16-May-2020 - 00:00,44.66,168.32,9.74,3.12,12.85,6.5,179.8,0.27,93.57,,,,37.34,,386.35,1.16,170.08,17-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
17-May-2020 - 00:00,40.06,148.14,6.13,1.24,7.25,5.07,177.07,0.18,83.38,,,,34.97,,396.76,1.15,169.23,18-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
18-May-2020 - 00:00,29.13,107.32,7.27,1.4,8.61,4.34,105.08,0.14,69.09,,,,33.29,,263.59,0.98,164.3,19-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
19-May-2020 - 00:00,16.67,74.63,5.82,1.03,6.79,3.16,23.9,0.11,59.11,,,,32.79,,336.84,0.96,159.42,20-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
20-May-2020 - 00:00,19.76,69.06,8.65,2.03,10.67,3.49,49.34,0.07,67.83,,,,32.92,,355.16,0.92,165.98,21-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
21-May-2020 - 00:00,17.66,64.33,9.35,2.36,11.7,2.86,45.87,0.1,62.78,,,,33.38,,397.22,0.78,161.95,22-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
22-May-2020 - 00:00,17.71,55.06,13.79,7.3,21.09,1.18,177.0,0.14,38.63,,,,31.7,,204.79,0.7,166.81,23-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
23-May-2020 - 00:00,20.57,75.4,7.21,1.99,9.19,2.71,,0.15,60.24,,,,32.59,,404.9,0.75,153.81,24-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
24-May-2020 - 00:00,19.34,58.69,5.62,1.32,6.92,2.75,,0.11,53.76,,,,33.3,,423.44,0.72,152.86,25-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
25-May-2020 - 00:00,20.0,79.76,6.54,5.93,11.88,5.72,74.78,0.24,80.04,,,,35.19,,420.02,1.08,165.04,26-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
26-May-2020 - 00:00,17.77,67.3,7.27,11.67,17.93,3.68,0.46,0.18,52.58,,,,32.6,,224.76,0.86,158.26,27-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
27-May-2020 - 00:00,17.81,64.38,6.83,2.04,8.78,3.15,,0.15,50.8,,,,32.97,,413.95,0.9,164.09,28-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
28-May-2020 - 00:00,17.52,67.74,9.0,10.06,18.42,2.94,10.76,0.15,44.52,,,,33.4,,343.8,0.92,168.27,29-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
29-May-2020 - 00:00,11.39,57.34,6.47,2.19,8.67,4.56,,0.13,46.03,,,,33.3,,296.46,0.89,166.04,30-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
30-May-2020 - 00:00,12.26,52.13,5.09,1.81,6.84,2.46,,0.06,37.93,,,,34.04,,406.57,0.93,162.36,31-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
31-May-2020 - 00:00,15.15,67.05,5.26,37.69,39.57,5.74,2.78,0.15,79.72,,,,39.83,,540.4,1.17,167.03,01-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
01-Jun-2020 - 00:00,25.24,76.49,14.55,4.05,18.61,3.5,,0.32,89.7,,,,34.68,,176.04,0.77,164.66,02-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
02-Jun-2020 - 00:00,36.94,73.45,13.27,2.54,15.75,2.61,,0.31,62.1,,,,31.62,999.91,102.31,0.77,156.4,03-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
03-Jun-2020 - 00:00,10.13,15.45,6.51,1.92,8.38,0.58,,0.04,46.79,,,,26.76,996.13,55.65,1.0,173.45,04-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
04-Jun-2020 - 00:00,18.62,33.53,14.01,5.25,19.15,0.64,,0.28,47.08,,,,26.28,,80.47,0.95,183.04,05-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
05-Jun-2020 - 00:00,18.13,53.25,10.76,4.96,15.37,1.8,,0.11,62.25,,,,30.22,,395.51,0.81,167.5,06-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
06-Jun-2020 - 00:00,15.03,42.18,9.31,4.77,14.08,2.98,,0.08,40.93,,,,29.23,,319.97,1.07,178.63,07-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
07-Jun-2020 - 00:00,18.33,59.61,15.45,10.93,26.37,2.83,,0.2,27.96,,,,30.19,,348.68,0.78,161.29,08-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
08-Jun-2020 - 00:00,16.1,40.78,16.76,5.11,21.86,4.05,,0.12,54.31,,,,29.91,,361.75,0.91,172.24,09-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
09-Jun-2020 - 00:00,16.13,53.6,16.71,7.82,24.53,3.61,,0.13,40.09,,,,31.2,,336.38,0.86,170.42,10-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
10-Jun-2020 - 00:00,18.51,57.19,15.06,8.82,23.87,3.45,,0.13,35.14,,,,31.37,,285.64,0.78,164.97,11-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
11-Jun-2020 - 00:00,14.91,37.37,15.01,8.76,23.78,3.36,,0.16,29.54,,,,29.04,999.32,266.91,0.71,161.17,12-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
12-Jun-2020 - 00:00,13.94,41.36,13.21,7.15,20.3,3.17,,0.17,39.96,,,,29.93,998.83,186.74,0.63,158.3,13-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
13-Jun-2020 - 00:00,16.82,36.84,14.28,5.33,19.61,3.19,,0.25,38.72,,,,28.49,998.64,142.18,0.89,204.09,14-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
14-Jun-2020 - 00:00,14.55,30.83,12.5,5.69,18.16,3.81,,0.18,40.58,,,,29.08,999.4,280.31,1.02,218.22,15-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
15-Jun-2020 - 00:00,18.04,35.87,16.04,9.87,25.88,3.62,,0.31,27.56,,,,29.06,999.34,124.42,0.58,158.54,16-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
16-Jun-2020 - 00:00,18.16,38.0,14.72,6.65,21.36,5.05,,0.26,46.61,,,,29.89,998.69,211.49,0.75,172.95,17-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
17-Jun-2020 - 00:00,6.81,29.54,17.78,7.54,25.28,5.7,,0.08,19.79,0.0,0.0,0.0,29.77,999.15,254.02,0.88,170.38,18-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
18-Jun-2020 - 00:00,9.58,22.94,15.9,12.64,28.54,5.29,,0.17,1.78,0.0,0.0,0.0,27.75,999.79,80.8,0.68,163.99,19-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
19-Jun-2020 - 00:00,12.72,46.94,11.23,9.73,20.93,3.95,,0.14,1.45,0.0,0.0,0.0,29.55,,260.33,0.71,152.54,20-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
20-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,21-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
21-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,22-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
22-Jun-2020 - 00:00,19.01,63.89,10.91,7.77,18.65,12.22,,0.45,1.11,0.0,0.0,0.0,30.78,999.86,431.77,0.89,170.68,23-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
23-Jun-2020 - 00:00,12.52,36.94,13.09,10.14,23.23,6.23,,0.28,1.03,0.0,0.0,0.0,27.4,,254.47,0.68,158.87,24-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
24-Jun-2020 - 00:00,16.24,39.94,12.83,6.85,19.68,4.71,,0.21,0.94,,,,31.92,,374.12,0.83,176.54,25-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
25-Jun-2020 - 00:00,22.82,51.76,11.36,10.55,21.91,4.55,,0.72,1.21,0.23,0.53,0.0,31.42,999.75,301.93,0.69,161.13,26-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
26-Jun-2020 - 00:00,27.16,62.13,24.98,38.4,86.61,3.33,,0.34,1.23,,,,32.33,,287.06,0.7,161.58,27-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
27-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,28-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
28-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,29-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
29-Jun-2020 - 00:00,15.02,33.85,8.56,19.34,27.85,2.08,,0.29,1.18,,,,29.66,999.53,265.99,0.72,152.81,30-Jun-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
30-Jun-2020 - 00:00,11.29,26.14,6.26,29.4,35.64,1.32,,0.26,1.16,,,,28.77,999.18,260.03,0.71,160.99,01-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
01-Jul-2020 - 00:00,9.44,23.22,4.02,26.02,30.01,,,0.25,1.21,,,,29.37,,215.3,0.86,172.39,02-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
02-Jul-2020 - 00:00,8.12,16.46,2.19,30.16,32.33,1.24,,0.2,1.24,,,,28.53,,209.14,0.67,161.13,03-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
03-Jul-2020 - 00:00,9.9,17.09,4.2,24.54,28.74,,,0.25,1.21,,,,26.18,999.43,56.79,0.67,153.21,04-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
04-Jul-2020 - 00:00,8.87,14.47,2.74,30.72,33.34,,,0.23,1.28,,,,25.74,998.85,62.05,0.93,186.36,05-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
05-Jul-2020 - 00:00,12.39,25.66,3.32,19.41,22.73,,,0.22,1.27,,,,25.39,998.47,37.19,1.12,243.38,06-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
06-Jul-2020 - 00:00,13.91,41.27,2.81,11.05,13.75,0.13,,0.19,1.18,,,,26.2,997.44,222.55,1.16,204.54,07-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
07-Jul-2020 - 00:00,12.49,26.36,5.21,15.77,20.98,,,0.26,1.17,,,,25.56,998.71,78.22,1.01,174.55,08-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
08-Jul-2020 - 00:00,16.41,32.49,3.74,21.85,25.57,0.77,,0.28,1.21,,,,26.17,999.88,161.55,0.73,163.22,09-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
09-Jul-2020 - 00:00,17.54,36.87,2.45,33.18,34.61,1.08,,0.27,1.19,,,,26.66,,201.16,0.64,160.42,10-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
10-Jul-2020 - 00:00,15.3,40.85,1.98,32.55,33.26,1.41,,0.24,1.17,,,,27.88,,209.64,0.73,159.92,11-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
11-Jul-2020 - 00:00,16.51,38.68,2.52,42.75,43.37,1.87,,0.25,1.19,,,,27.89,,222.03,0.77,167.43,12-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
12-Jul-2020 - 00:00,16.53,26.38,0.49,50.15,50.33,0.1,,0.24,1.13,,,,25.43,,76.43,0.63,170.21,13-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
13-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,14-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
14-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,15-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
15-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,16-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
16-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,17-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
17-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,18-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
18-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,19-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
19-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,20-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
20-Jul-2020 - 00:00,28.51,52.3,2.94,26.88,28.49,8.11,,0.45,1.22,,,,31.51,,291.45,0.71,171.51,21-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
21-Jul-2020 - 00:00,24.58,47.64,7.35,33.55,35.92,2.83,72.63,0.3,1.19,,,,30.17,,192.38,0.66,168.33,22-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
22-Jul-2020 - 00:00,19.87,33.44,7.19,35.46,36.63,,,,1.18,,,,30.28,,202.69,0.59,161.63,23-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
23-Jul-2020 - 00:00,16.86,36.57,7.25,42.69,43.18,,,0.35,1.08,4.69,39.46,9.17,27.35,,132.56,0.57,161.09,24-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
24-Jul-2020 - 00:00,13.22,17.58,0.67,43.85,40.97,,,0.33,1.15,3.36,35.3,8.48,26.38,,88.81,0.47,149.8,25-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
25-Jul-2020 - 00:00,27.61,40.72,3.46,39.97,38.92,,,0.36,1.13,4.05,33.99,8.15,28.27,,188.88,0.54,158.42,26-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
26-Jul-2020 - 00:00,11.01,21.19,2.84,26.09,26.31,,,0.26,1.08,2.51,29.74,7.21,28.73,,177.59,0.74,158.12,27-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
27-Jul-2020 - 00:00,10.42,17.47,0.85,41.48,40.2,,,0.29,1.1,2.71,32.26,7.58,26.94,,148.09,0.67,162.15,28-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
28-Jul-2020 - 00:00,14.51,21.29,4.38,41.64,40.52,,,0.36,4.15,3.67,36.45,8.08,25.95,,99.71,0.55,153.5,29-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
29-Jul-2020 - 00:00,17.67,29.23,7.23,40.48,40.75,,,0.42,3.66,3.46,37.18,7.84,26.93,,133.17,0.53,151.62,30-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
30-Jul-2020 - 00:00,20.88,29.74,3.78,48.98,47.4,,,0.41,3.29,4.19,35.58,7.32,28.43,,173.78,0.61,159.73,31-Jul-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
31-Jul-2020 - 00:00,19.65,31.72,6.99,45.45,46.04,,,0.39,3.85,4.19,35.58,7.32,29.45,999.8,188.22,0.63,168.41,01-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
01-Aug-2020 - 00:00,17.56,33.34,5.19,30.56,31.6,,,0.35,3.59,3.93,32.75,7.0,30.47,999.43,264.04,0.68,172.5,02-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
02-Aug-2020 - 00:00,11.21,22.89,3.95,24.63,25.94,,,0.3,3.96,2.48,33.19,7.73,30.76,998.91,263.77,0.84,175.05,03-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
03-Aug-2020 - 00:00,5.59,12.17,1.93,27.32,27.95,,,0.28,3.34,2.47,36.29,7.91,28.95,998.25,200.08,0.97,173.83,04-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
04-Aug-2020 - 00:00,9.95,15.55,2.67,25.49,26.52,,,0.32,2.75,3.21,41.55,8.6,26.56,994.57,62.34,0.93,175.24,05-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
05-Aug-2020 - 00:00,9.14,14.85,3.41,25.58,27.8,,,0.3,3.7,3.02,42.94,9.95,25.87,991.96,67.72,1.0,199.34,06-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
06-Aug-2020 - 00:00,9.98,16.58,2.52,17.19,19.48,0.23,,0.34,5.42,3.45,49.86,10.54,25.58,993.51,73.09,0.9,168.76,07-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
07-Aug-2020 - 00:00,14.73,25.77,3.06,20.04,22.75,5.62,,0.42,4.13,4.8,48.32,12.24,26.49,997.94,112.79,0.79,166.18,08-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
08-Aug-2020 - 00:00,17.66,30.88,2.96,21.9,24.48,3.34,,0.4,3.47,5.19,58.97,12.63,27.2,,154.77,0.75,159.52,09-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
09-Aug-2020 - 00:00,21.45,46.32,2.75,24.84,27.13,4.97,,0.35,4.14,5.07,63.91,13.4,29.39,,237.32,0.74,160.38,10-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
10-Aug-2020 - 00:00,23.86,41.14,2.17,27.18,29.29,4.88,,0.42,3.63,6.75,75.22,15.49,28.89,,123.24,0.63,165.66,11-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
11-Aug-2020 - 00:00,17.02,29.89,1.59,34.79,35.56,3.31,,0.46,3.08,7.83,80.97,16.9,27.48,,72.12,0.66,157.59,12-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
12-Aug-2020 - 00:00,14.85,23.24,2.35,29.61,30.93,2.98,,0.44,3.25,6.15,85.43,17.64,26.8,,38.03,0.79,147.48,13-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
13-Aug-2020 - 00:00,11.02,22.59,2.61,22.13,23.95,3.64,,0.37,3.59,4.71,77.78,15.84,27.68,,81.41,0.81,159.37,14-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
14-Aug-2020 - 00:00,15.32,26.72,2.28,30.54,32.24,1.74,,0.39,3.38,5.26,80.39,16.85,27.08,999.37,45.23,0.9,157.39,15-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
15-Aug-2020 - 00:00,12.63,36.76,2.81,19.22,21.99,2.93,,0.49,3.7,4.97,76.9,15.7,28.57,999.59,55.06,0.84,170.74,16-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
16-Aug-2020 - 00:00,11.85,30.95,1.69,18.33,20.01,2.92,,0.39,3.64,4.7,79.3,16.08,28.97,999.87,66.38,0.81,170.03,17-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
17-Aug-2020 - 00:00,11.39,27.34,0.95,25.89,26.65,2.23,,0.34,3.36,4.01,78.28,16.07,28.35,999.83,32.88,0.73,173.44,18-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
18-Aug-2020 - 00:00,20.07,33.86,1.17,26.91,28.07,0.36,,0.49,2.62,,,,28.75,,65.41,0.85,177.04,19-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
19-Aug-2020 - 00:00,12.97,24.35,1.76,30.02,31.15,2.05,,0.46,2.75,5.66,59.71,11.34,28.74,,84.82,0.81,160.04,20-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
20-Aug-2020 - 00:00,12.71,23.05,0.23,56.09,53.1,1.34,,0.45,2.83,6.07,75.39,15.94,28.28,999.62,38.64,0.78,164.34,21-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
21-Aug-2020 - 00:00,13.45,23.31,0.46,49.25,47.18,1.8,,0.44,2.69,6.26,79.5,16.73,27.99,,32.6,0.91,231.3,22-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
22-Aug-2020 - 00:00,11.65,19.85,1.02,38.3,36.65,3.33,,0.32,2.75,4.6,72.06,14.38,28.66,,73.56,0.9,193.39,23-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
23-Aug-2020 - 00:00,15.35,30.01,1.24,33.01,32.52,2.81,,0.31,,5.1,67.6,13.74,,,,,,24-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
24-Aug-2020 - 00:00,14.4,35.38,3.31,33.62,33.86,3.5,,0.38,2.88,6.82,67.73,13.6,29.04,,,0.7,186.97,25-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
25-Aug-2020 - 00:00,13.92,33.53,1.84,35.97,35.0,2.96,,0.35,3.03,6.83,73.6,15.45,30.35,,118.28,0.77,174.3,26-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
26-Aug-2020 - 00:00,12.22,29.19,2.25,29.88,29.52,3.29,,0.36,3.16,5.83,70.41,14.86,30.39,,180.14,0.72,172.9,27-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
27-Aug-2020 - 00:00,12.3,29.26,3.65,32.0,31.87,2.45,,0.32,3.0,6.13,63.53,13.2,30.83,,203.93,0.7,170.81,28-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
28-Aug-2020 - 00:00,11.39,17.67,0.1,29.91,28.74,3.62,,0.34,2.91,6.19,70.43,14.86,28.31,,51.94,0.8,146.55,29-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
29-Aug-2020 - 00:00,11.87,18.53,0.15,31.25,30.19,3.16,,0.4,2.94,7.28,70.76,15.29,28.17,,40.64,0.73,116.27,30-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
30-Aug-2020 - 00:00,16.13,26.81,0.49,28.63,27.58,2.7,,0.41,2.87,7.28,79.85,16.51,28.49,,53.9,0.76,137.3,31-Aug-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
31-Aug-2020 - 00:00,14.5,26.52,1.15,25.56,25.01,1.94,,0.4,2.9,6.26,79.03,16.47,29.1,,58.07,2.39,155.75,01-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
01-Sep-2020 - 00:00,19.09,38.79,2.04,22.78,22.57,2.32,,0.43,3.12,8.53,77.78,16.3,31.21,,119.33,0.62,172.19,02-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
02-Sep-2020 - 00:00,20.06,65.99,1.84,22.35,21.69,2.46,,0.43,3.77,7.5,80.89,17.07,31.95,,192.93,0.58,161.08,03-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
03-Sep-2020 - 00:00,28.86,90.2,2.8,17.95,17.69,2.01,,0.29,4.11,5.12,66.99,14.96,31.19,,166.71,0.49,162.57,04-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
04-Sep-2020 - 00:00,21.68,69.05,4.25,10.19,13.55,3.3,,0.4,4.16,5.81,47.74,9.76,33.86,,175.2,0.63,159.96,05-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
05-Sep-2020 - 00:00,32.75,89.26,3.76,9.71,12.53,3.8,,0.4,4.63,7.25,55.68,12.16,33.74,,198.67,0.65,163.46,06-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
06-Sep-2020 - 00:00,27.83,68.36,2.79,9.4,12.04,3.49,,0.42,3.96,5.55,56.88,12.56,32.62,,100.07,0.6,148.16,07-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
07-Sep-2020 - 00:00,14.15,36.58,3.06,8.35,11.4,3.43,,0.34,3.89,5.11,59.02,12.14,31.36,,193.88,0.86,172.44,08-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
08-Sep-2020 - 00:00,12.61,51.15,2.25,11.78,13.8,4.08,,0.32,3.45,4.1,58.41,12.3,32.64,,210.62,0.67,161.18,09-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
09-Sep-2020 - 00:00,18.45,63.16,2.42,9.65,12.0,3.93,,0.37,3.77,4.8,64.37,13.07,32.25,,175.63,0.65,162.09,10-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
10-Sep-2020 - 00:00,30.16,61.18,3.44,12.2,15.46,3.28,,0.48,4.27,9.03,72.83,15.73,32.62,999.34,205.06,0.66,170.01,11-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
11-Sep-2020 - 00:00,9.98,38.53,2.54,7.08,9.62,3.54,,0.28,3.63,3.76,60.28,12.51,32.52,999.62,224.36,0.6,168.63,12-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
12-Sep-2020 - 00:00,10.02,20.2,3.84,5.24,9.08,2.17,,0.38,3.5,4.71,50.16,10.67,31.74,,191.83,1.05,172.92,13-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
13-Sep-2020 - 00:00,12.35,24.69,1.89,12.88,14.19,2.06,,0.39,2.84,5.84,75.22,15.92,29.69,,125.47,0.84,175.81,14-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
14-Sep-2020 - 00:00,13.04,31.23,2.26,13.7,14.9,2.02,,0.38,3.18,5.58,78.39,16.13,30.12,,140.39,0.66,168.65,15-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
15-Sep-2020 - 00:00,15.15,35.46,4.47,14.73,17.68,2.4,,0.43,2.94,6.16,69.84,15.07,30.81,,136.82,0.71,168.13,16-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
16-Sep-2020 - 00:00,24.76,44.87,3.48,23.6,25.76,1.98,,0.46,2.87,8.82,75.8,16.45,30.7,,128.21,0.64,168.01,17-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
17-Sep-2020 - 00:00,23.39,46.89,2.46,26.78,27.05,1.18,,0.52,3.41,10.48,82.07,17.55,30.56,,116.98,0.7,175.43,18-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
