from date,NO,NO2,NOx,SO2,CO,Ozone,PM10,PM2.5,NH3,AT,RH,WS,VWS,WD,SR,BP,RF,Benzene,Toluene,MP-Xylene,Xylene,Temp,to date,station
24-Oct-2020 - 00:00,3.1,20.8,13.48,20.25,0.95,47.27,121.65,70.39,5.79,29.62,79.98,1.22,0.0,177.23,83.73,752.85,0.0,3.28,33.5,1.15,1.18,26.63,25-Oct-2020 - 00:00,"Secretariat, Amaravati - APPCB"
25-Oct-2020 - 00:00,3.05,15.29,10.76,15.32,0.99,53.04,115.98,71.12,7.25,30.36,76.33,1.36,0.04,91.54,79.56,754.96,0.0,3.33,30.87,0.67,1.08,26.6,26-Oct-2020 - 00:00,"Secretariat, Amaravati - APPCB"
26-Oct-2020 - 00:00,2.6,17.83,11.45,17.36,0.84,62.62,102.96,56.52,1.27,29.2,73.76,1.72,0.05,100.85,68.74,755.69,0.0,2.44,19.35,0.66,0.91,26.49,27-Oct-2020 - 00:00,"Secretariat, Amaravati - APPCB"
27-Oct-2020 - 00:00,2.91,17.94,11.91,17.77,0.86,57.02,104.24,57.35,11.02,29.82,73.83,1.35,0.03,143.67,82.49,755.27,0.0,2.41,14.47,0.47,0.72,28.36,28-Oct-2020 - 00:00,"Secretariat, Amaravati - APPCB"
28-Oct-2020 - 00:00,3.32,13.74,9.98,18.76,0.85,60.77,117.97,54.93,8.5,29.84,71.16,1.66,0.02,134.47,78.19,756.17,0.0,3.3,45.49,0.95,0.89,26.98,29-Oct-2020 - 00:00,"Secretariat, Amaravati - APPCB"
29-Oct-2020 - 00:00,3.9,12.9,9.89,17.67,0.79,54.97,107.01,43.81,7.04,30.14,69.0,1.0,0.0,187.09,63.74,756.4,0.0,4.36,30.73,0.29,0.6,27.79,30-Oct-2020 - 00:00,"Secretariat, Amaravati - APPCB"
30-Oct-2020 - 00:00,3.46,12.55,9.45,21.16,0.93,48.98,127.19,60.61,9.06,28.63,74.66,1.51,0.02,149.51,43.77,755.36,0.0,6.13,85.8,1.5,1.95,28.68,31-Oct-2020 - 00:00,"Secretariat, Amaravati - APPCB"
31-Oct-2020 - 00:00,3.5,9.39,7.46,23.97,0.84,62.14,128.14,67.54,8.41,28.79,71.32,1.49,-0.01,215.07,72.38,755.73,0.0,3.35,26.15,0.41,0.78,29.25,01-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
01-Nov-2020 - 00:00,3.36,5.79,5.62,21.49,0.94,59.1,119.58,66.01,8.99,29.74,70.85,1.46,0.0,187.15,84.84,756.19,0.0,3.3,24.04,0.28,0.63,29.9,02-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
02-Nov-2020 - 00:00,3.39,17.51,11.28,27.9,1.05,48.65,126.0,67.95,23.6,29.85,75.26,1.26,0.0,180.79,76.93,757.14,0.0,3.45,26.79,0.68,0.77,28.8,03-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
03-Nov-2020 - 00:00,2.11,22.61,13.74,14.19,0.91,45.61,98.72,55.79,27.33,29.26,80.83,1.64,0.03,141.03,66.14,757.44,0.49,2.98,33.37,0.46,0.71,27.99,04-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
04-Nov-2020 - 00:00,2.01,20.77,12.69,17.18,0.98,58.94,87.35,55.71,14.64,28.58,81.62,2.05,-0.03,228.67,59.37,757.27,0.02,2.11,13.34,0.19,0.51,28.31,05-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
