from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WS,WD,AT,RH,RF,SR,to date,station
31-Mar-2020 - 00:00,32.61,50.21,,0.0,,,25.09,0.53,59.67,5.74,12.37,25.35,46.53,18.02,0.87,263.49,23.96,51.17,,384.09,01-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
01-Apr-2020 - 00:00,31.11,53.1,,0.0,,,24.83,0.54,50.92,3.38,6.95,13.44,25.65,10.12,0.79,256.67,24.42,57.44,,445.69,02-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
02-Apr-2020 - 00:00,26.0,46.97,,0.0,,,25.41,0.53,62.09,0.0,0.0,0.0,0.0,0.0,0.87,281.35,24.01,51.16,,563.11,03-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
03-Apr-2020 - 00:00,29.4,48.77,,0.0,,,23.28,0.56,67.22,0.0,0.0,0.0,0.0,0.0,0.81,238.81,22.72,44.88,,521.38,04-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
04-Apr-2020 - 00:00,33.63,55.08,,0.0,,,22.2,0.57,53.09,0.0,0.0,0.0,0.0,0.0,0.83,190.3,22.75,50.52,,538.39,05-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
05-Apr-2020 - 00:00,48.06,69.46,,0.0,,,22.73,0.7,56.52,0.0,0.0,0.0,0.0,0.0,0.69,169.03,24.17,51.4,,480.94,06-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
06-Apr-2020 - 00:00,56.57,84.12,,0.0,,,23.74,0.72,51.78,0.0,0.0,0.0,0.0,0.0,0.72,209.08,26.79,43.68,,506.36,07-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
07-Apr-2020 - 00:00,29.38,74.45,,0.0,,,22.34,0.54,63.57,0.0,0.0,0.0,0.0,0.0,0.87,229.79,25.5,46.87,,488.39,08-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
08-Apr-2020 - 00:00,28.72,73.48,,0.0,,,21.36,0.49,67.1,0.06,0.05,0.0,0.0,0.0,0.83,269.72,25.42,39.51,,518.59,09-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
09-Apr-2020 - 00:00,33.3,62.16,,0.0,,,20.72,0.55,64.07,0.18,0.0,0.0,0.0,0.0,0.87,190.54,23.95,44.94,,501.12,10-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
10-Apr-2020 - 00:00,39.11,70.95,,0.0,,,20.72,0.62,53.83,0.09,0.0,0.0,0.0,0.0,0.7,177.22,25.73,44.56,,491.23,11-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
11-Apr-2020 - 00:00,53.41,86.6,,0.0,,,21.61,0.76,64.62,0.0,0.0,0.0,0.0,0.0,0.64,199.8,28.09,41.39,,468.52,12-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
12-Apr-2020 - 00:00,32.5,69.77,,0.0,,,20.97,0.55,65.3,0.0,0.0,0.0,0.0,0.0,0.8,256.15,28.04,38.95,,494.47,13-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
13-Apr-2020 - 00:00,49.69,102.95,,0.0,,,19.87,0.67,52.76,0.0,0.0,0.0,0.0,0.0,0.86,191.25,28.7,42.33,,472.07,14-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
14-Apr-2020 - 00:00,47.6,102.52,1.15,0.01,,,18.01,0.62,46.72,2.67,0.6,0.31,0.2,25.94,0.67,149.25,30.25,40.61,,385.64,15-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
15-Apr-2020 - 00:00,60.06,151.75,,0.0,,,18.96,0.66,46.35,16.37,3.2,1.82,1.14,39.93,0.67,179.95,30.01,33.96,,413.6,16-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
16-Apr-2020 - 00:00,61.03,127.08,,0.0,,,19.87,0.69,54.81,17.36,3.33,1.88,1.22,23.22,0.75,244.56,30.0,29.98,,413.34,17-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
17-Apr-2020 - 00:00,30.07,70.15,,0.0,,,17.43,0.53,79.11,16.06,2.92,1.75,1.14,21.48,0.87,208.46,31.18,26.21,,469.75,18-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
18-Apr-2020 - 00:00,31.21,79.85,,0.0,,,17.11,0.48,74.2,16.29,2.31,1.55,0.99,20.77,1.1,121.37,22.44,38.04,,,19-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
19-Apr-2020 - 00:00,31.57,57.77,,0.0,,,17.4,0.56,65.13,16.53,2.6,1.62,1.03,21.43,0.88,211.15,27.01,43.14,,467.19,20-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
20-Apr-2020 - 00:00,47.0,74.73,,0.0,,,18.29,0.68,40.11,17.61,2.38,1.58,1.03,22.41,0.86,155.76,24.44,48.83,,229.02,21-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
21-Apr-2020 - 00:00,37.02,61.32,,0.0,,,18.03,0.58,63.39,16.85,2.62,1.61,1.01,21.94,0.79,203.79,26.16,46.54,,472.35,22-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
22-Apr-2020 - 00:00,47.07,86.46,,0.0,,,16.59,0.63,62.58,16.7,2.89,1.66,1.05,21.74,0.75,167.71,26.79,41.27,,497.19,23-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
23-Apr-2020 - 00:00,53.82,92.26,2.35,0.82,2.58,,15.71,0.63,50.26,15.88,2.32,1.49,0.95,20.42,0.76,158.7,27.84,37.7,,329.89,24-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
24-Apr-2020 - 00:00,60.16,92.85,3.0,2.98,3.71,,13.95,0.64,67.84,14.51,1.99,1.35,0.79,18.98,0.78,154.31,28.56,43.05,,442.65,25-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
25-Apr-2020 - 00:00,30.46,50.55,3.0,3.02,3.77,,13.62,0.51,77.23,13.02,1.94,1.26,0.73,17.26,0.83,149.13,29.47,36.86,,317.81,26-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
26-Apr-2020 - 00:00,50.99,86.82,3.0,3.05,3.81,,11.43,0.6,50.94,11.89,1.23,1.01,0.53,15.7,1.04,136.28,23.37,68.11,,185.2,27-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
27-Apr-2020 - 00:00,30.67,45.99,3.01,3.05,3.8,,9.14,0.47,64.75,10.39,1.04,0.82,0.4,13.16,1.71,97.39,24.55,68.34,,486.98,28-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
