from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,AT,RH,BP,SR,WS,WD,to date,station
01-Jan-2020 - 00:00,117.59,211.18,60.01,37.9,97.91,6.76,7.03,1.44,8.22,6.29,10.55,22.42,24.02,,,318.16,1.08,179.56,02-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
02-Jan-2020 - 00:00,164.77,256.34,56.92,18.27,75.2,8.52,9.13,1.54,8.29,7.45,9.35,18.74,24.28,,,341.16,0.78,176.67,03-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
03-Jan-2020 - 00:00,86.67,147.67,29.8,5.96,35.1,26.55,15.29,1.38,8.24,4.62,8.53,0.91,29.12,,,534.61,1.5,194.99,04-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
04-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,05-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
05-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,06-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
06-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,07-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
07-Jan-2020 - 00:00,108.81,187.48,38.53,29.62,67.65,26.16,14.45,1.74,10.24,6.72,9.17,1.55,30.77,57.82,,309.7,1.3,183.19,08-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
08-Jan-2020 - 00:00,105.32,184.8,32.04,42.13,74.22,30.06,16.76,1.54,7.91,3.76,8.01,0.63,30.37,,,264.59,1.53,121.12,09-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
09-Jan-2020 - 00:00,52.72,116.97,47.9,12.2,59.64,12.85,2.98,1.24,16.27,4.36,10.04,20.0,27.94,50.48,,257.0,1.05,112.25,10-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
10-Jan-2020 - 00:00,79.45,173.68,59.81,37.26,97.08,15.6,5.74,1.3,8.2,5.26,11.55,23.09,27.4,,,322.23,1.0,125.91,11-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
11-Jan-2020 - 00:00,81.74,176.05,51.64,47.92,99.56,14.72,4.22,1.09,8.24,8.34,18.88,49.95,29.6,,,301.1,1.09,111.49,12-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
12-Jan-2020 - 00:00,102.97,206.35,48.94,51.86,100.79,16.51,5.09,1.25,8.23,12.0,21.72,55.15,28.6,,,292.35,0.99,180.37,13-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
13-Jan-2020 - 00:00,83.7,157.89,42.95,19.99,62.94,13.0,2.67,0.96,7.16,8.43,13.57,41.29,28.14,,,272.04,1.03,164.55,14-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
14-Jan-2020 - 00:00,55.39,134.45,32.04,27.01,59.05,10.78,3.58,0.77,5.52,6.18,13.71,39.29,27.32,,,300.11,1.26,110.15,15-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
15-Jan-2020 - 00:00,42.88,105.24,40.74,8.0,48.74,11.46,8.31,0.66,5.53,5.5,9.05,22.62,25.91,,,321.33,1.3,103.52,16-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
16-Jan-2020 - 00:00,50.66,121.08,43.14,26.63,69.77,12.63,5.71,0.73,5.5,5.82,10.72,24.28,23.83,,,352.3,1.42,106.74,17-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
17-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
18-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,19-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
19-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,20-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
20-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,21-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
21-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,22-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
22-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,23-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
23-Jan-2020 - 00:00,77.17,170.92,51.29,4.73,56.02,14.2,4.7,1.28,5.45,7.47,15.19,44.34,29.28,0.42,,,1.32,98.17,24-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
24-Jan-2020 - 00:00,80.98,192.9,52.21,27.93,80.14,14.84,7.28,1.34,34.01,6.15,12.7,32.45,29.56,47.92,,325.69,0.91,153.85,25-Jan-2020 - 00:00,"Nerul, Navi Mumbai - MPCB"
