from date,NO2,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WS,WD,RH,to date,station
01-Jan-2020 - 00:00,28.23,10.08,15.81,0.51,24.05,34.75,74.89,0.34,22.18,1.25,96.64,76.09,02-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Jan-2020 - 00:00,24.88,8.95,11.06,0.9,22.86,23.34,61.98,0.36,23.78,0.86,98.0,73.01,03-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Jan-2020 - 00:00,26.88,10.24,7.45,0.53,34.2,30.59,72.13,0.35,23.42,0.92,,68.47,04-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Jan-2020 - 00:00,29.89,12.52,6.29,1.14,36.88,55.25,114.05,0.46,23.46,0.67,87.5,67.52,05-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Jan-2020 - 00:00,24.3,14.71,8.22,0.65,42.5,56.1,102.33,0.31,23.58,0.87,96.12,67.99,06-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-Jan-2020 - 00:00,28.51,9.55,11.9,0.99,17.54,26.31,63.71,0.34,23.54,1.29,96.08,73.91,07-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Jan-2020 - 00:00,31.0,9.04,14.18,0.94,18.24,25.8,63.53,0.38,23.82,1.27,92.22,69.82,08-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Jan-2020 - 00:00,34.77,11.55,12.47,0.86,48.59,38.64,82.98,0.39,25.01,1.1,92.0,64.32,09-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Jan-2020 - 00:00,36.43,12.81,5.97,0.8,48.01,47.19,91.6,0.41,24.85,1.02,90.96,62.32,10-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Jan-2020 - 00:00,41.37,13.19,15.54,0.75,33.74,46.12,89.79,0.4,24.65,1.29,90.1,60.6,11-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Jan-2020 - 00:00,31.8,11.54,11.85,0.72,34.35,34.61,69.01,0.3,24.9,1.56,95.12,61.95,12-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Jan-2020 - 00:00,32.22,12.53,9.86,0.83,29.39,44.93,80.38,0.36,25.38,1.09,89.26,67.0,13-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Jan-2020 - 00:00,31.98,12.95,5.86,0.77,42.62,58.23,104.76,0.39,24.16,0.85,86.23,63.82,14-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Jan-2020 - 00:00,41.42,15.03,12.23,0.6,44.15,78.66,133.73,0.54,23.58,1.0,92.29,59.58,15-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Jan-2020 - 00:00,29.74,12.3,14.47,0.72,51.15,53.24,90.0,0.37,23.51,1.16,93.55,57.1,16-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Jan-2020 - 00:00,34.62,12.14,12.71,1.03,61.54,46.67,92.2,0.37,23.02,0.99,92.33,61.19,17-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-Jan-2020 - 00:00,35.27,11.42,15.32,1.03,45.12,38.69,84.76,0.41,22.9,0.98,95.17,58.97,18-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-Jan-2020 - 00:00,27.22,12.18,2.48,0.62,18.75,29.15,68.23,0.32,22.82,1.53,96.5,73.49,19-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-Jan-2020 - 00:00,22.99,8.7,2.93,0.59,28.35,22.04,52.77,0.25,22.84,1.34,93.5,65.43,20-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-Jan-2020 - 00:00,32.26,9.79,3.07,0.67,38.27,35.79,75.48,0.31,22.89,1.25,92.36,59.98,21-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-Jan-2020 - 00:00,34.29,9.87,8.67,0.8,33.17,36.09,75.39,0.28,22.68,1.59,96.26,53.4,22-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-Jan-2020 - 00:00,31.57,10.67,8.17,1.16,26.35,33.77,73.36,0.31,22.86,1.45,92.79,66.16,23-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-Jan-2020 - 00:00,28.61,9.75,8.81,0.71,26.39,35.65,75.23,0.32,22.78,1.4,92.73,63.61,24-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
