from date,PM10,SO2,NOx,CO,WD,Temp,RH,SR,to date,station
01-Jan-2020 - 00:00,40.56,42.18,33.13,1.65,147.57,21.37,80.24,31.37,02-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Jan-2020 - 00:00,40.56,42.94,33.27,1.76,125.35,22.47,81.34,31.5,03-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Jan-2020 - 00:00,40.56,42.81,33.25,1.93,130.0,22.26,81.13,31.48,04-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Jan-2020 - 00:00,40.56,42.39,33.17,2.01,134.18,21.6,80.47,31.4,05-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Jan-2020 - 00:00,40.56,43.71,33.42,1.85,156.91,23.69,82.56,31.65,06-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Jan-2020 - 00:00,40.56,44.79,33.62,1.76,144.16,25.4,84.27,31.86,07-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Jan-2020 - 00:00,40.56,44.89,33.64,1.73,189.92,25.56,84.43,31.88,08-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Jan-2020 - 00:00,40.56,44.29,33.53,1.7,191.79,24.66,83.53,31.77,09-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Jan-2020 - 00:00,40.56,43.28,33.34,2.03,144.56,23.02,81.89,31.57,10-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Jan-2020 - 00:00,40.56,44.17,33.5,2.17,151.76,24.41,83.28,31.74,11-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Jan-2020 - 00:00,40.56,45.23,33.71,1.75,170.28,26.13,85.0,31.95,12-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Jan-2020 - 00:00,40.56,44.77,33.62,1.65,172.82,25.36,84.23,31.86,13-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Jan-2020 - 00:00,40.56,44.32,33.53,1.71,157.87,24.65,83.52,31.77,14-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Jan-2020 - 00:00,40.56,41.39,32.98,1.94,126.33,20.01,78.88,31.2,15-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Jan-2020 - 00:00,40.56,42.81,33.25,1.89,118.81,22.26,81.13,31.48,16-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Jan-2020 - 00:00,40.56,41.21,32.94,2.1,124.07,19.76,78.63,31.17,17-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Jan-2020 - 00:00,40.56,40.9,32.88,2.17,149.59,19.24,78.11,31.11,18-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Jan-2020 - 00:00,40.56,42.73,33.23,2.23,143.18,22.23,81.1,31.47,19-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Jan-2020 - 00:00,40.56,44.11,33.49,1.95,122.34,24.33,83.2,31.73,20-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Jan-2020 - 00:00,40.56,44.68,33.6,1.82,139.3,25.28,84.15,31.85,21-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Jan-2020 - 00:00,40.56,44.46,33.56,1.6,134.51,24.88,83.75,31.8,22-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Jan-2020 - 00:00,40.56,44.76,33.62,1.67,139.66,25.34,84.21,31.86,23-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Jan-2020 - 00:00,40.56,46.02,33.86,2.5,153.27,27.35,86.22,32.1,24-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Jan-2020 - 00:00,40.56,44.9,33.64,1.9,133.76,25.57,84.44,31.88,25-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Jan-2020 - 00:00,,,,,,,,,26-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Jan-2020 - 00:00,,,,,,,,,27-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Jan-2020 - 00:00,40.56,47.45,34.13,2.76,22.42,29.6,88.47,32.38,28-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Jan-2020 - 00:00,,,,,,,,,29-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Jan-2020 - 00:00,,,,,,,,,30-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Jan-2020 - 00:00,40.56,43.78,33.43,1.86,120.58,23.8,82.67,31.67,31-Jan-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
31-Jan-2020 - 00:00,40.56,42.77,33.24,1.7,116.24,22.2,81.07,31.47,01-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Feb-2020 - 00:00,40.56,43.67,33.41,1.79,192.34,23.63,82.5,31.65,02-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Feb-2020 - 00:00,40.56,44.17,33.5,1.94,201.45,24.41,83.28,31.74,03-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Feb-2020 - 00:00,40.56,43.7,33.42,1.77,223.22,23.67,82.54,31.65,04-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Feb-2020 - 00:00,40.56,43.38,33.35,1.73,127.45,23.17,82.04,31.59,05-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Feb-2020 - 00:00,40.56,44.6,33.59,2.08,137.96,25.11,83.98,31.83,06-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Feb-2020 - 00:00,40.56,41.57,33.01,1.67,153.42,20.3,79.17,31.24,07-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Feb-2020 - 00:00,40.56,43.18,33.32,1.76,87.42,22.85,81.72,31.55,08-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Feb-2020 - 00:00,40.56,43.81,33.44,2.09,144.86,23.81,82.68,31.67,09-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Feb-2020 - 00:00,40.56,45.25,33.71,2.15,163.16,26.15,85.02,31.95,10-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Feb-2020 - 00:00,40.56,46.08,33.87,2.27,150.99,27.43,86.3,32.11,11-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Feb-2020 - 00:00,40.56,46.51,33.95,1.74,128.04,28.12,86.99,32.2,12-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Feb-2020 - 00:00,40.56,46.74,33.99,1.69,122.41,28.4,87.27,32.23,13-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Feb-2020 - 00:00,40.56,47.11,34.06,1.75,145.05,29.07,87.94,32.31,14-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Feb-2020 - 00:00,40.56,47.09,34.06,2.0,144.93,29.03,87.9,32.31,15-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Feb-2020 - 00:00,40.56,46.48,33.94,1.79,138.13,28.07,86.99,32.2,16-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Feb-2020 - 00:00,40.56,46.04,33.86,1.81,150.37,27.48,86.35,32.12,17-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Feb-2020 - 00:00,40.56,46.78,34.0,1.7,139.16,28.67,87.54,32.26,18-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Feb-2020 - 00:00,40.56,47.13,34.07,1.68,112.22,29.1,87.97,32.32,19-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Feb-2020 - 00:00,40.56,46.66,33.98,1.72,88.44,28.36,87.23,32.23,20-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Feb-2020 - 00:00,40.56,46.15,33.88,1.72,149.68,27.4,86.27,32.11,21-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Feb-2020 - 00:00,40.56,47.61,34.16,1.74,133.03,27.77,86.64,32.41,22-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Feb-2020 - 00:00,40.56,45.71,33.8,1.7,179.5,26.85,85.72,32.04,23-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Feb-2020 - 00:00,40.56,46.7,33.98,1.72,108.25,28.42,87.29,32.23,24-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Feb-2020 - 00:00,40.56,45.64,33.78,1.68,159.88,26.74,85.61,32.03,25-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Feb-2020 - 00:00,40.56,47.32,34.1,2.12,141.46,29.4,88.27,32.35,26-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Feb-2020 - 00:00,40.56,46.5,33.95,1.96,198.34,28.1,86.97,32.19,27-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Feb-2020 - 00:00,40.56,46.16,33.88,1.75,154.98,27.57,86.44,32.13,28-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Feb-2020 - 00:00,40.56,46.09,33.87,1.72,147.54,27.27,86.14,32.09,29-Feb-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Feb-2020 - 00:00,40.56,45.75,33.8,1.71,139.66,26.91,85.78,32.05,01-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Mar-2020 - 00:00,40.56,45.57,33.77,1.73,99.98,26.75,85.62,32.03,02-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Mar-2020 - 00:00,40.56,45.59,33.77,1.86,193.18,26.67,85.54,32.02,03-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Mar-2020 - 00:00,40.56,42.55,33.2,1.86,167.42,21.85,80.72,31.43,04-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Mar-2020 - 00:00,40.56,44.53,33.57,1.8,153.48,25.0,83.87,31.81,05-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Mar-2020 - 00:00,40.56,42.94,33.27,1.75,101.3,22.15,81.02,31.46,06-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Mar-2020 - 00:00,40.56,44.98,33.66,1.95,80.37,25.68,84.55,31.9,07-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Mar-2020 - 00:00,40.56,44.17,33.5,1.84,118.9,24.29,83.16,31.73,08-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Mar-2020 - 00:00,40.56,44.34,33.54,1.81,133.52,24.68,83.55,31.77,09-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Mar-2020 - 00:00,40.56,43.23,33.33,1.66,189.7,23.11,81.98,31.58,10-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Mar-2020 - 00:00,40.56,44.32,33.53,1.83,77.8,24.71,83.58,31.78,11-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Mar-2020 - 00:00,40.56,44.87,33.64,1.84,46.26,25.52,84.39,31.88,12-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Mar-2020 - 00:00,40.56,44.04,33.48,1.86,109.37,24.21,83.08,31.72,13-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Mar-2020 - 00:00,40.56,43.98,33.47,1.99,144.07,24.12,82.99,31.71,14-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Mar-2020 - 00:00,40.56,45.1,33.68,1.97,143.52,25.89,84.76,31.92,15-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Mar-2020 - 00:00,40.56,46.41,33.93,1.96,149.84,27.96,86.83,32.18,16-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Mar-2020 - 00:00,40.56,47.01,34.04,1.81,85.56,28.91,87.78,32.29,17-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Mar-2020 - 00:00,40.56,47.61,34.16,1.89,102.08,29.86,88.73,32.41,18-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Mar-2020 - 00:00,40.56,47.25,34.09,1.69,143.01,29.28,88.15,32.34,19-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Mar-2020 - 00:00,40.56,46.6,33.97,1.77,129.12,28.27,87.14,32.21,20-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Mar-2020 - 00:00,40.56,46.03,33.86,1.76,136.31,27.28,86.15,32.09,21-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Mar-2020 - 00:00,40.56,45.62,33.78,1.89,139.31,26.71,85.58,32.02,22-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Mar-2020 - 00:00,40.56,44.68,33.6,1.88,138.57,25.22,84.09,31.84,23-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Mar-2020 - 00:00,40.56,46.0,33.85,1.81,122.63,27.31,86.18,32.1,24-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Mar-2020 - 00:00,40.56,47.05,34.05,1.66,56.2,28.97,87.84,32.3,25-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Mar-2020 - 00:00,40.56,47.43,34.12,1.98,117.1,29.5,88.37,32.36,26-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Mar-2020 - 00:00,40.56,47.17,34.07,1.83,92.39,29.08,87.95,32.31,27-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Mar-2020 - 00:00,40.56,47.65,34.17,1.95,116.02,30.02,88.89,32.43,28-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Mar-2020 - 00:00,40.56,47.88,34.21,1.93,115.3,30.29,89.16,32.46,29-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Mar-2020 - 00:00,40.56,48.01,34.23,1.87,107.46,30.63,89.5,32.5,30-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Mar-2020 - 00:00,40.56,48.5,34.33,1.86,86.24,31.27,90.14,32.58,31-Mar-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
31-Mar-2020 - 00:00,40.56,47.7,34.18,1.86,112.38,30.01,88.88,32.43,01-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Apr-2020 - 00:00,40.56,47.03,34.05,1.81,125.03,29.03,87.9,32.31,02-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Apr-2020 - 00:00,40.56,47.45,34.13,1.75,98.04,29.6,88.47,32.38,03-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Apr-2020 - 00:00,40.56,48.18,34.27,1.85,115.23,30.77,89.64,32.52,04-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Apr-2020 - 00:00,40.56,47.98,34.23,1.78,159.55,30.46,89.33,32.48,05-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Apr-2020 - 00:00,40.56,44.93,33.65,1.77,129.91,25.62,84.49,31.89,06-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Apr-2020 - 00:00,40.56,47.1,34.06,2.06,61.75,29.05,87.92,32.31,07-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Apr-2020 - 00:00,40.56,43.72,33.42,1.87,117.93,23.7,82.57,31.65,08-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Apr-2020 - 00:00,40.56,42.75,33.23,1.82,81.25,22.16,81.03,31.47,09-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Apr-2020 - 00:00,40.56,41.97,33.09,1.48,221.55,20.93,79.8,31.31,10-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Apr-2020 - 00:00,,,,,,,,,11-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Apr-2020 - 00:00,,,,,,,,,12-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
