from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
08-Feb-2020 - 00:00,262.86,138.91,94.02,81.96,175.95,1.47,,15.8,09-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
09-Feb-2020 - 00:00,299.99,155.11,127.95,94.28,222.22,1.87,,18.02,10-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
10-Feb-2020 - 00:00,366.97,184.63,162.2,115.85,263.03,2.66,,15.93,11-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
11-Feb-2020 - 00:00,396.58,190.06,190.57,130.53,259.43,3.47,,15.83,12-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
12-Feb-2020 - 00:00,335.47,170.78,93.27,100.49,193.75,1.94,,12.81,13-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
13-Feb-2020 - 00:00,198.47,86.59,47.79,78.21,126.01,1.3,,11.95,14-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
14-Feb-2020 - 00:00,186.04,62.68,37.28,68.07,105.35,0.95,,13.44,15-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
15-Feb-2020 - 00:00,213.77,78.16,64.55,88.34,152.89,1.49,,13.45,16-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
16-Feb-2020 - 00:00,283.04,124.05,114.86,109.53,200.33,2.16,,16.29,17-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
17-Feb-2020 - 00:00,233.35,138.43,134.6,126.06,242.6,2.39,,11.94,18-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
18-Feb-2020 - 00:00,282.0,119.33,91.27,104.53,92.75,2.24,,14.84,19-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
19-Feb-2020 - 00:00,327.46,148.07,,,0.0,2.01,,21.05,20-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
20-Feb-2020 - 00:00,194.91,100.26,44.05,45.78,22.46,0.68,,25.0,21-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
21-Feb-2020 - 00:00,81.54,57.95,23.75,32.72,34.5,0.53,,22.09,22-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
22-Feb-2020 - 00:00,139.94,64.55,67.88,41.95,80.67,1.51,,20.54,23-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
