from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,WS,WD,RH,Benzene,Toluene,Xylene,MP-Xylene,AT,SR,BP,to date,station
16-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
27-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
28-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
29-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jun-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
30-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,01-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
01-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
27-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
28-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
29-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
30-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jul-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
31-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,01-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
01-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,02-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,03-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,04-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,05-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,06-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,07-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,08-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,09-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,10-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,11-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,12-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,13-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,14-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,15-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,16-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,17-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,18-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,19-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,20-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,21-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,22-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,23-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,24-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,25-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,26-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,27-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
27-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,28-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
28-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,29-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
29-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,30-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
30-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,31-Aug-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
31-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,01-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
01-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,02-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,03-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,04-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,05-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,06-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,07-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,08-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,09-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,10-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,11-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,12-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,13-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,14-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,15-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,16-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,17-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,18-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,19-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,20-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,21-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,22-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,23-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,24-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,25-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-Sep-2020 - 00:00,56.02,88.63,13.2,0.98,10.74,0.56,4.97,0.3,19.92,4.4,3.91,,0.99,3.02,,,,,910.28,26-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-Sep-2020 - 00:00,35.5,56.17,13.57,2.58,12.5,2.65,5.01,0.31,20.02,2.5,19.26,,1.01,2.99,,,,,907.34,27-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
27-Sep-2020 - 00:00,,,,,,,5.0,0.3,19.97,1.61,33.87,,1.0,2.98,,,,,908.25,28-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
28-Sep-2020 - 00:00,74.82,122.25,12.98,0.47,10.73,0.73,4.97,0.32,19.96,2.03,44.25,,1.0,3.01,,,,,912.49,29-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
29-Sep-2020 - 00:00,24.58,35.77,13.15,0.77,11.01,1.5,5.02,0.31,20.02,1.86,41.9,,1.0,3.0,,,,,910.71,30-Sep-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
30-Sep-2020 - 00:00,32.66,43.25,12.91,0.79,10.76,1.06,5.01,0.32,20.03,2.44,53.22,,1.0,2.99,,,,,909.45,01-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
01-Oct-2020 - 00:00,71.8,113.6,12.78,0.61,10.54,0.45,4.98,0.3,19.98,2.7,41.37,,1.01,2.99,,,,,909.98,02-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-Oct-2020 - 00:00,17.7,28.01,12.95,0.63,10.8,1.14,5.0,0.3,20.03,1.37,65.63,,1.0,2.99,,,,,908.91,03-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-Oct-2020 - 00:00,101.0,159.81,12.98,1.7,11.5,2.36,5.01,0.32,20.02,3.21,62.06,,1.0,3.0,,,,,909.29,04-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-Oct-2020 - 00:00,,,12.98,0.81,11.19,1.43,4.96,0.32,19.89,3.56,36.87,,0.99,2.98,,,,,908.23,05-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-Oct-2020 - 00:00,111.43,176.18,22.77,16.31,26.89,43.93,4.99,0.31,19.97,1.52,53.12,,0.99,2.99,,,,,915.34,06-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-Oct-2020 - 00:00,60.23,95.3,17.1,7.63,17.08,14.48,5.02,0.31,20.07,1.12,47.64,,1.01,3.01,,,,,913.43,07-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-Oct-2020 - 00:00,120.97,191.4,14.4,2.68,13.84,6.16,5.03,0.3,20.09,1.78,46.88,,1.01,2.99,,,,,913.77,08-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-Oct-2020 - 00:00,29.33,46.41,15.69,18.06,15.45,23.16,4.99,0.31,19.98,0.82,93.63,,1.0,3.0,,,,,914.55,09-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-Oct-2020 - 00:00,90.02,142.44,16.76,9.14,17.37,18.04,5.0,0.31,20.02,1.23,76.79,,1.0,3.02,,,,,908.41,10-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-Oct-2020 - 00:00,22.96,36.34,16.32,5.08,16.17,11.52,4.97,0.32,19.88,1.1,62.29,,0.99,3.0,,,,,909.82,11-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-Oct-2020 - 00:00,,,,,,,4.97,0.32,19.95,4.13,36.72,,0.99,2.99,,,,,908.23,12-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-Oct-2020 - 00:00,50.53,79.96,12.79,0.04,10.48,,5.01,0.31,19.99,3.75,19.17,,1.0,3.0,,,,,907.42,13-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-Oct-2020 - 00:00,33.87,53.59,17.7,8.18,19.17,16.83,5.0,0.35,19.98,4.78,35.52,,1.01,3.0,,,,,906.18,14-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-Oct-2020 - 00:00,,,16.74,7.59,18.92,12.05,5.0,0.31,20.12,5.49,53.62,,0.99,3.0,,,,,906.68,15-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-Oct-2020 - 00:00,,,13.17,1.58,11.38,4.58,5.0,,19.95,4.29,53.25,,1.0,2.99,,,,,907.46,16-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-Oct-2020 - 00:00,,,17.59,10.79,17.86,19.68,4.96,,19.85,2.85,49.57,,0.99,3.0,,,,,909.84,17-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-Oct-2020 - 00:00,,,12.83,0.05,10.65,0.03,5.02,,20.1,1.32,54.75,,1.01,3.02,,,,,909.34,18-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-Oct-2020 - 00:00,,,,,,,5.06,,20.1,1.58,40.0,,1.01,3.01,,,,,910.37,19-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-Oct-2020 - 00:00,,,13.25,1.85,11.36,2.5,5.02,0.32,20.02,1.56,68.73,,1.0,2.99,,,,,910.51,20-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-Oct-2020 - 00:00,,,13.23,1.63,11.61,1.79,4.99,0.33,19.96,0.87,33.25,,0.99,3.02,,,,,907.42,21-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-Oct-2020 - 00:00,,,13.42,1.51,11.66,1.87,4.98,0.32,19.87,2.89,37.58,,0.99,2.99,,,,,908.72,22-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-Oct-2020 - 00:00,,,13.07,0.57,10.93,0.98,5.05,0.32,20.12,3.37,35.32,,1.01,2.99,,,,,907.02,23-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-Oct-2020 - 00:00,,,12.82,0.49,10.72,0.63,5.02,0.38,20.04,3.21,31.9,,1.01,2.98,,,,,907.6,24-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-Oct-2020 - 00:00,,,,,,,4.99,,20.0,2.37,41.75,,1.01,3.0,,,,,909.94,25-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-Oct-2020 - 00:00,,,,,,,5.02,,20.02,0.98,35.66,,1.0,3.0,,,,,908.23,26-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-Oct-2020 - 00:00,,,,,,,4.98,,20.07,1.74,51.23,,0.99,3.03,,,,,912.26,27-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
27-Oct-2020 - 00:00,,,12.85,,10.6,,5.02,0.36,19.93,1.68,50.24,,0.99,3.0,,,,,910.06,28-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
28-Oct-2020 - 00:00,,,12.85,,10.62,,4.96,0.3,20.0,2.06,60.81,,0.99,3.04,,,,,906.49,29-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
29-Oct-2020 - 00:00,6.32,10.0,33.05,39.34,40.93,61.94,4.99,0.32,19.98,2.72,38.85,,0.99,3.01,,,,,912.13,30-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
30-Oct-2020 - 00:00,13.06,20.66,450.53,416.91,85.43,184.17,5.0,0.39,20.0,2.65,58.93,,1.0,3.0,,,,,908.0,31-Oct-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
31-Oct-2020 - 00:00,,,,,,,5.01,,20.05,1.39,61.65,,1.01,3.02,,,,,909.01,01-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
01-Nov-2020 - 00:00,9.59,15.18,,,,,5.03,,20.07,1.57,38.98,,1.01,3.01,,,,,912.25,02-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-Nov-2020 - 00:00,31.39,49.67,13.41,2.39,12.05,3.56,4.98,0.34,19.92,1.51,26.67,,0.99,2.99,,,,,910.75,03-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-Nov-2020 - 00:00,6.32,10.0,14.89,2.72,14.12,3.94,5.0,0.34,19.94,1.69,43.64,,1.0,3.01,,,,,912.61,04-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-Nov-2020 - 00:00,,,13.75,0.58,12.13,0.98,5.0,0.33,19.99,1.76,42.34,,1.0,2.99,,,,,912.71,05-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-Nov-2020 - 00:00,,,13.86,0.57,12.12,1.23,5.0,0.32,19.96,2.25,50.24,,1.0,3.0,,,,,911.89,06-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-Nov-2020 - 00:00,11.03,17.46,15.66,5.57,18.34,7.85,5.0,0.33,19.98,1.61,67.98,,1.0,3.01,,,,,909.74,07-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-Nov-2020 - 00:00,10.37,16.59,13.24,0.41,11.27,1.17,4.99,0.31,20.07,2.3,54.81,,0.99,3.03,,,,,910.2,08-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-Nov-2020 - 00:00,6.59,10.43,,,,,4.98,,20.05,1.89,36.74,,1.01,3.01,,,,,907.6,09-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-Nov-2020 - 00:00,29.93,47.36,55.4,72.02,24.49,12.91,5.03,0.47,19.94,2.04,44.34,,1.0,2.97,,,,,907.36,10-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-Nov-2020 - 00:00,22.13,35.01,13.83,1.68,12.34,3.3,4.99,0.37,20.06,1.66,55.56,,1.0,2.99,,,,,902.97,11-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-Nov-2020 - 00:00,26.9,42.57,24.19,15.29,31.71,23.92,5.0,0.45,19.9,1.91,54.01,,0.99,3.0,,,,,903.2,12-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-Nov-2020 - 00:00,12.99,20.56,16.69,17.01,17.79,8.41,5.03,0.91,20.06,2.29,46.4,,1.01,3.02,,,,,908.31,13-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-Nov-2020 - 00:00,12.29,19.45,35.99,34.34,58.24,21.46,5.01,0.35,20.04,2.63,43.66,,1.01,3.01,,,,,907.75,14-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-Nov-2020 - 00:00,23.11,45.65,24.63,11.97,24.17,15.03,5.02,0.32,20.02,2.57,66.56,,1.0,3.0,,,,,909.55,15-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-Nov-2020 - 00:00,16.87,44.77,33.9,43.22,53.61,38.56,5.21,0.43,20.0,2.58,38.38,,0.99,2.99,,,,,905.96,16-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-Nov-2020 - 00:00,17.89,36.33,14.3,2.38,16.72,3.02,4.98,0.28,12.62,1.51,37.62,,1.0,2.98,,,,,908.82,17-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-Nov-2020 - 00:00,32.97,57.88,14.98,5.14,19.91,4.21,5.0,0.37,11.96,2.08,30.41,,1.0,3.0,,,,,907.33,18-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-Nov-2020 - 00:00,13.14,21.37,11.97,7.57,19.26,6.34,5.0,0.37,11.98,1.99,35.03,,1.0,3.0,,,,,909.25,19-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-Nov-2020 - 00:00,10.89,20.6,15.16,9.15,23.56,8.59,5.0,0.48,11.96,2.45,44.07,,1.0,3.02,,,,,908.85,20-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-Nov-2020 - 00:00,43.78,71.65,19.65,11.41,28.68,8.61,5.01,0.66,12.5,1.29,48.42,,0.99,2.98,,,,,905.47,21-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,22-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,23-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,24-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-Nov-2020 - 00:00,19.0,47.62,18.32,2.49,18.49,8.03,4.02,2.23,13.47,2.31,46.72,,0.9,2.66,,,,,909.65,25-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-Nov-2020 - 00:00,19.34,48.35,18.33,2.5,20.56,8.0,4.0,2.48,13.54,1.4,29.44,,0.99,2.99,,,,,905.46,26-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-Nov-2020 - 00:00,19.63,49.2,18.33,2.51,20.59,8.01,4.0,2.47,13.52,1.6,16.75,,0.99,2.97,,,,,904.34,27-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
27-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,28-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
28-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,29-Nov-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
