from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,WS,WD,RH,Benzene,Toluene,Xylene,MP-Xylene,AT,SR,BP,to date,station
01-Jan-2020 - 00:00,28.44,35.04,9.71,3.41,12.95,11.57,4.01,0.43,18.03,1.25,200.89,80.85,0.9,1.5,0.54,0.43,21.17,114.83,866.85,02-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-Jan-2020 - 00:00,27.8,34.24,8.35,3.52,11.79,10.19,3.99,0.32,17.97,1.57,176.33,71.17,0.9,1.5,0.54,0.43,23.55,162.09,872.03,03-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-Jan-2020 - 00:00,30.99,38.18,7.92,3.6,11.48,9.77,4.0,0.33,18.02,1.57,212.23,69.98,0.9,1.5,0.54,0.43,24.39,163.19,872.92,04-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-Jan-2020 - 00:00,23.24,28.63,6.9,3.54,10.35,8.35,4.0,0.31,18.02,0.99,198.78,68.16,0.9,1.5,0.54,0.43,24.98,150.24,871.33,05-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-Jan-2020 - 00:00,18.78,23.13,,,,,4.01,,18.02,1.03,178.1,70.69,0.9,1.5,0.54,0.43,24.28,174.94,874.53,06-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-Jan-2020 - 00:00,30.01,36.97,9.24,3.59,12.74,11.35,4.0,0.92,18.0,2.46,186.84,60.27,0.9,1.5,0.54,0.43,25.34,165.06,873.29,07-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-Jan-2020 - 00:00,17.0,20.94,9.84,4.04,13.83,12.21,3.99,0.3,17.99,2.09,178.99,67.49,0.9,1.5,0.54,0.43,23.55,189.7,876.36,08-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-Jan-2020 - 00:00,17.14,20.68,7.24,3.26,10.44,8.97,3.99,0.31,18.01,1.38,101.04,40.42,0.9,1.5,0.54,0.43,28.35,269.14,886.46,09-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-Jan-2020 - 00:00,26.67,32.86,10.51,3.01,13.43,11.68,4.0,0.34,18.0,1.47,166.22,61.08,0.9,1.5,0.54,0.43,24.76,220.09,880.22,10-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-Jan-2020 - 00:00,24.55,30.24,10.7,4.03,14.72,12.34,3.98,0.38,17.96,2.17,157.87,57.66,0.9,1.5,0.54,0.43,24.49,245.6,883.49,11-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-Jan-2020 - 00:00,17.35,21.38,,,,,3.99,0.31,18.04,1.88,123.8,34.9,0.9,1.5,0.54,0.43,27.05,323.75,893.47,12-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-Jan-2020 - 00:00,22.04,27.15,,,,,3.99,0.47,17.99,1.6,170.6,53.43,0.9,1.5,0.54,0.43,22.61,175.07,874.35,13-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-Jan-2020 - 00:00,29.39,36.21,,,,,4.01,0.38,18.02,1.42,175.93,61.88,0.9,1.5,0.54,0.43,22.17,162.21,872.54,14-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-Jan-2020 - 00:00,33.18,40.88,13.82,3.92,17.57,15.49,4.01,0.38,18.0,2.1,198.3,67.7,0.9,1.5,0.54,0.43,22.1,150.8,871.13,15-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-Jan-2020 - 00:00,31.87,39.26,10.3,3.51,13.75,12.3,4.01,0.38,18.01,1.67,195.81,66.65,0.9,1.5,0.54,0.43,20.97,179.54,874.7,16-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-Jan-2020 - 00:00,25.91,31.74,9.69,4.05,13.73,12.97,4.0,0.4,17.98,2.23,163.63,51.23,0.9,1.51,0.54,0.43,24.9,238.73,882.19,17-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-Jan-2020 - 00:00,19.49,24.01,,,,,4.01,0.36,17.96,2.39,215.35,64.42,0.9,1.5,0.54,0.43,20.46,72.33,861.12,18-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-Jan-2020 - 00:00,24.06,29.64,,,,,3.99,0.32,17.94,2.33,192.78,76.54,0.9,1.5,0.54,0.43,20.95,85.44,862.76,19-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-Jan-2020 - 00:00,15.03,18.52,14.16,4.48,18.61,17.38,4.01,0.31,18.04,1.34,182.12,67.84,0.9,1.5,0.54,0.43,24.57,223.77,880.3,20-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-Jan-2020 - 00:00,10.0,12.32,9.53,4.22,13.61,14.27,4.0,0.43,18.0,1.66,133.08,39.94,0.9,1.5,0.54,0.43,29.56,372.5,899.36,21-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-Jan-2020 - 00:00,21.05,25.94,17.44,12.53,26.68,24.15,4.0,0.33,18.01,2.43,160.47,48.28,0.9,1.5,0.54,0.43,25.61,228.04,880.71,22-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-Jan-2020 - 00:00,22.97,28.3,12.24,4.95,15.65,14.5,4.0,0.38,18.0,1.62,191.04,61.06,0.9,1.5,0.54,0.43,22.62,179.61,874.65,23-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-Jan-2020 - 00:00,24.94,30.73,11.63,3.72,15.18,14.01,4.0,0.33,18.02,2.06,208.81,68.37,0.9,1.5,0.54,0.43,22.95,182.23,875.01,24-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-Jan-2020 - 00:00,24.85,30.62,8.08,3.61,11.66,10.11,4.01,0.37,18.02,1.65,131.23,42.19,0.9,1.5,0.54,0.43,27.12,330.31,893.8,25-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-Jan-2020 - 00:00,22.15,27.29,7.99,3.63,11.6,10.12,4.0,0.42,17.98,1.51,143.29,39.06,0.9,1.5,0.54,0.43,25.52,315.03,891.86,26-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-Jan-2020 - 00:00,23.02,28.36,10.74,3.69,14.41,13.29,3.99,0.4,17.97,2.47,163.65,37.45,0.9,1.5,0.54,0.43,25.28,227.99,880.84,27-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
27-Jan-2020 - 00:00,27.29,33.62,10.77,3.41,14.13,11.99,4.01,,18.03,1.46,211.07,51.54,0.9,1.5,0.54,0.43,23.94,173.54,873.91,28-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
28-Jan-2020 - 00:00,25.96,34.03,10.22,3.62,13.79,13.63,4.01,0.35,41.09,1.22,203.11,55.27,0.9,1.5,0.54,0.43,24.2,175.26,874.19,29-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
29-Jan-2020 - 00:00,29.17,41.72,8.64,2.98,11.53,11.2,4.0,0.34,48.83,2.0,211.75,51.63,0.9,1.5,0.54,0.43,24.7,163.46,872.68,30-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
30-Jan-2020 - 00:00,30.79,44.02,8.07,2.63,10.59,10.18,4.0,0.31,20.55,1.27,219.63,53.3,0.9,1.5,0.54,0.43,23.74,155.82,871.72,31-Jan-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
31-Jan-2020 - 00:00,31.24,44.67,8.04,3.42,11.4,8.41,4.01,0.34,34.83,1.63,198.86,49.0,0.9,1.5,0.54,0.43,24.66,213.08,878.96,01-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
01-Feb-2020 - 00:00,24.94,35.67,6.86,3.4,10.19,6.77,4.0,0.31,15.26,2.96,216.21,58.5,0.9,1.5,0.54,0.43,23.72,166.52,872.13,02-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-Feb-2020 - 00:00,33.91,48.49,8.67,3.11,11.71,8.47,3.99,0.31,19.72,2.93,212.89,55.53,0.9,1.5,0.54,0.43,24.14,178.58,874.45,03-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-Feb-2020 - 00:00,32.81,46.92,9.18,3.17,12.33,8.98,4.01,0.33,21.52,2.56,179.14,49.9,0.9,1.5,0.54,0.43,23.98,154.72,871.37,04-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-Feb-2020 - 00:00,32.56,46.56,8.97,3.97,12.87,8.72,4.0,0.32,7.41,2.21,188.21,55.5,0.9,1.5,0.54,0.43,23.86,167.45,873.19,05-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-Feb-2020 - 00:00,39.85,56.99,7.98,3.45,11.22,8.02,4.0,0.34,4.51,1.91,172.03,60.27,0.9,1.5,0.54,0.43,24.11,188.47,875.77,06-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-Feb-2020 - 00:00,39.46,56.43,9.5,2.85,12.2,9.43,4.0,0.32,29.36,1.77,203.59,58.11,0.9,1.5,0.54,0.43,24.74,174.16,873.89,07-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-Feb-2020 - 00:00,33.68,48.16,7.68,3.0,10.6,7.63,4.01,0.31,46.19,2.04,220.28,56.41,0.9,1.5,0.54,0.43,25.21,188.51,875.67,08-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-Feb-2020 - 00:00,21.2,30.13,8.12,3.18,11.25,7.87,4.01,0.31,15.15,1.86,254.01,54.24,0.9,1.5,0.54,0.43,25.48,188.75,875.83,09-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-Feb-2020 - 00:00,19.92,28.49,8.82,3.71,12.5,9.47,3.99,0.31,21.47,2.29,210.1,60.25,0.9,1.5,0.54,0.43,22.82,235.92,881.81,10-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,11-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,12-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,13-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,14-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,15-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,16-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,17-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,18-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,19-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,20-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,21-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,22-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,23-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,24-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,25-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,26-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,27-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
27-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,28-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
28-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,29-Feb-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
29-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,01-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
01-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,02-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,03-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,04-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,05-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,06-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,07-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,08-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,09-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,10-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,11-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,12-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,13-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,14-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,15-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,16-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,17-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,18-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,19-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,20-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,21-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,22-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,23-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,24-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,25-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,26-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,27-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
27-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,28-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
28-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,29-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
29-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,30-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
30-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,31-Mar-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
31-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,01-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
01-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,02-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
02-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,03-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
03-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,04-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
04-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,05-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
05-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,06-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
06-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,07-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
07-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,08-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
08-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,09-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
09-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,10-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
10-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,11-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
11-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,12-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
12-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,13-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
13-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,14-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
14-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,15-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
15-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,16-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
16-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,17-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
17-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,18-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
18-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,19-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
19-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,20-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
20-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,21-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
21-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,22-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
22-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,23-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
23-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,24-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
24-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,25-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
25-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,26-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
26-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,27-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
27-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,28-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
28-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,29-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
29-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,30-Apr-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
30-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,01-May-2020 - 00:00,"Urban, Chamarajanagar - KSPCB"
