from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,RF,SR,to date,station
27-Jan-2020 - 00:00,,,,,14.66,1.76,23.47,185.04,284.52,0.47,2.42,15.78,1.47,81.34,59.91,741.38,0.0,52.35,28-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
28-Jan-2020 - 00:00,53.4,2.27,30.07,77.3,13.76,1.18,28.79,128.43,170.25,0.3,1.58,16.0,2.93,100.14,63.86,741.28,0.07,46.49,29-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
29-Jan-2020 - 00:00,62.17,2.64,34.38,57.85,15.92,1.2,19.12,86.93,157.16,0.28,2.74,15.63,2.0,58.08,62.21,742.0,0.0,61.65,30-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
30-Jan-2020 - 00:00,59.21,2.58,33.4,48.07,14.88,1.11,28.62,85.69,160.26,0.29,2.9,14.94,2.81,41.93,58.28,742.0,0.0,65.8,31-Jan-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
31-Jan-2020 - 00:00,73.98,2.94,41.42,44.57,13.76,1.15,27.07,88.67,178.97,0.31,2.61,13.4,2.14,47.91,56.02,742.0,0.0,70.43,01-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
01-Feb-2020 - 00:00,72.7,2.79,40.56,53.0,16.91,1.5,31.76,124.09,220.7,0.47,3.78,13.12,1.76,57.96,61.46,742.0,0.0,61.12,02-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
02-Feb-2020 - 00:00,70.49,2.77,39.23,51.42,11.04,1.41,34.61,107.45,182.67,0.33,2.12,13.31,1.92,40.42,59.54,742.17,0.0,68.69,03-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
03-Feb-2020 - 00:00,97.99,3.94,54.32,53.48,13.16,1.83,42.71,125.95,227.72,0.37,2.57,14.7,1.42,57.85,54.93,742.13,0.0,76.58,04-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
04-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,05-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
05-Feb-2020 - 00:00,61.59,2.09,34.28,44.98,13.17,1.13,39.1,84.67,191.0,0.27,3.73,16.75,3.43,50.19,49.78,742.0,0.0,30.72,06-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
06-Feb-2020 - 00:00,90.88,3.22,50.42,52.32,13.17,1.18,33.68,128.29,229.12,0.35,2.8,13.98,1.32,52.09,55.96,742.0,0.0,68.46,07-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
07-Feb-2020 - 00:00,86.31,3.11,47.67,57.67,20.1,1.51,38.07,186.92,308.71,0.48,4.73,13.68,1.64,49.48,56.42,742.12,0.0,57.78,08-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
08-Feb-2020 - 00:00,81.99,2.83,45.08,50.9,13.76,1.27,35.53,131.62,228.46,0.38,3.21,14.78,2.17,41.23,54.92,742.27,0.0,66.62,09-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
09-Feb-2020 - 00:00,84.93,4.39,47.86,49.81,12.74,1.68,42.39,150.33,272.12,0.43,2.97,14.56,1.3,31.75,56.5,742.33,0.0,69.55,10-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
10-Feb-2020 - 00:00,104.29,3.57,57.16,52.89,16.85,2.05,43.19,182.67,334.21,0.51,3.74,14.22,1.19,44.99,57.22,742.15,0.0,65.44,11-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
