from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,365.39,452.94,67.82,48.17,75.32,85.42,12.71,2.5,22.13,2.97,4.98,1.63,99.65,12.07,72.68,740.08,64.38,,02-Jan-2020 - 00:00,"Loni, Ghaziabad - UPPCB"
02-Jan-2020 - 00:00,297.6,391.31,62.59,48.29,72.64,86.23,16.74,2.33,15.25,1.99,9.28,1.34,207.35,14.87,70.19,740.79,66.76,,03-Jan-2020 - 00:00,"Loni, Ghaziabad - UPPCB"
03-Jan-2020 - 00:00,243.49,374.38,63.39,52.96,76.86,88.27,15.2,2.27,14.6,1.88,15.87,1.36,178.07,16.35,68.72,740.62,66.85,,04-Jan-2020 - 00:00,"Loni, Ghaziabad - UPPCB"
04-Jan-2020 - 00:00,254.94,372.36,58.29,35.87,60.24,89.45,9.45,1.86,30.31,1.45,23.97,1.68,272.36,15.4,72.68,740.44,60.9,,05-Jan-2020 - 00:00,"Loni, Ghaziabad - UPPCB"
05-Jan-2020 - 00:00,199.57,297.36,46.66,7.11,30.69,71.15,8.9,1.18,9.23,0.66,3.59,2.33,264.28,15.0,67.46,740.41,61.58,,06-Jan-2020 - 00:00,"Loni, Ghaziabad - UPPCB"
06-Jan-2020 - 00:00,183.23,260.04,49.37,15.68,39.09,72.67,8.72,1.22,22.7,0.86,4.6,1.93,198.22,14.5,74.26,740.26,32.86,,07-Jan-2020 - 00:00,"Loni, Ghaziabad - UPPCB"
07-Jan-2020 - 00:00,127.77,175.72,39.89,8.35,27.95,61.85,7.77,1.41,9.3,0.94,2.5,2.68,85.6,14.96,82.15,740.16,43.05,2.0,08-Jan-2020 - 00:00,"Loni, Ghaziabad - UPPCB"
08-Jan-2020 - 00:00,117.26,142.85,33.68,4.99,22.07,56.98,4.75,1.31,7.56,0.6,3.63,2.31,181.6,13.53,96.06,740.0,19.03,4.88,09-Jan-2020 - 00:00,"Loni, Ghaziabad - UPPCB"
09-Jan-2020 - 00:00,101.22,136.06,27.08,4.12,17.85,42.82,4.46,1.1,20.6,0.41,4.0,3.11,270.95,10.62,87.61,740.08,54.07,,10-Jan-2020 - 00:00,"Loni, Ghaziabad - UPPCB"
10-Jan-2020 - 00:00,142.96,211.85,38.93,5.01,24.87,43.63,4.74,1.22,28.58,0.65,5.24,2.74,259.92,11.06,77.76,740.25,71.66,1.0,11-Jan-2020 - 00:00,"Loni, Ghaziabad - UPPCB"
