from date,Benzene,Eth-Benzene,O Xylene,Toluene,BP,PM10,PM2.5,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
14-Jan-2020 - 00:00,0.15,,1.87,,747.75,93.95,41.75,70.64,185.75,,227.01,2.03,1.31,41.93,16.32,23.11,39.43,30.09,8.1,15-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Jan-2020 - 00:00,0.11,,1.3,,747.77,95.17,47.51,70.64,190.13,,209.58,2.11,1.1,33.58,11.08,20.08,31.15,42.22,10.81,16-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Jan-2020 - 00:00,0.07,,0.98,,747.71,105.79,59.64,71.06,178.44,,200.01,1.78,1.01,30.05,10.01,15.79,25.8,46.77,7.9,17-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-Jan-2020 - 00:00,0.23,,1.49,,747.72,107.81,55.9,64.22,180.03,,212.93,2.02,1.27,36.53,12.88,23.49,36.37,38.81,9.12,18-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Jan-2020 - 00:00,0.19,,1.65,,747.74,108.44,55.74,65.34,181.76,,234.63,2.08,1.1,43.4,14.21,27.61,41.83,30.49,9.75,19-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Jan-2020 - 00:00,0.17,,0.73,,747.73,78.76,38.72,57.96,181.45,,218.73,1.97,0.91,36.82,11.39,23.24,34.63,48.99,8.57,20-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Jan-2020 - 00:00,0.33,,2.39,,747.78,112.31,51.36,59.3,191.53,,232.37,2.23,1.74,59.43,26.25,31.71,57.96,31.4,9.65,21-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Jan-2020 - 00:00,0.36,,2.81,,747.81,114.71,50.95,53.67,196.04,,231.78,2.11,1.62,58.82,24.65,30.93,55.58,28.94,8.39,22-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Jan-2020 - 00:00,0.17,,1.3,,747.75,72.23,32.28,54.88,185.48,,203.96,1.89,1.01,40.28,11.34,25.34,36.69,46.46,9.54,23-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-Jan-2020 - 00:00,0.27,,1.83,,747.76,85.36,36.78,52.99,189.01,,225.16,2.14,1.41,47.82,20.49,25.55,46.03,46.96,10.63,24-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Jan-2020 - 00:00,0.44,,3.41,,747.78,116.86,45.93,50.82,192.53,,235.45,2.1,1.81,60.92,26.54,33.57,60.1,30.85,14.35,25-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
25-Jan-2020 - 00:00,0.38,,3.24,,747.78,123.14,48.84,47.17,196.56,,220.59,1.94,2.02,65.82,29.22,34.58,63.8,33.28,12.62,26-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Jan-2020 - 00:00,0.26,,2.94,,747.81,122.09,48.35,48.68,203.53,,225.54,2.21,1.75,63.7,26.14,32.15,58.29,27.92,9.34,27-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Jan-2020 - 00:00,0.12,,2.84,,747.79,99.19,36.94,51.02,194.78,,251.36,2.49,1.22,45.24,14.26,26.4,40.66,25.9,7.42,28-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Jan-2020 - 00:00,0.09,,1.05,,747.72,81.8,27.35,46.64,180.62,,259.3,2.68,1.0,32.46,10.15,19.91,30.06,56.72,6.64,29-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
29-Jan-2020 - 00:00,0.25,,1.79,,747.81,88.17,30.88,50.63,193.25,,218.23,2.05,1.38,20.56,22.49,25.16,47.62,39.19,11.73,30-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
30-Jan-2020 - 00:00,0.31,,2.1,,747.77,95.48,36.55,50.89,194.76,,236.2,2.18,1.55,16.25,30.96,30.39,61.35,29.73,15.47,31-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
31-Jan-2020 - 00:00,3.06,,1.21,,747.79,85.0,36.24,49.39,197.16,,252.36,2.23,1.16,28.92,19.19,35.2,54.39,30.95,8.54,01-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-Feb-2020 - 00:00,6.5,,2.77,,747.79,90.46,40.37,39.89,201.59,,216.98,2.07,1.61,39.6,25.88,38.6,64.48,30.5,9.57,02-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Feb-2020 - 00:00,5.32,,2.84,,747.81,102.69,45.53,45.01,204.35,,220.38,1.86,1.41,38.72,22.09,38.4,60.49,36.22,13.11,03-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Feb-2020 - 00:00,5.21,,5.1,,747.79,118.7,57.11,52.25,199.07,,242.63,2.24,1.83,44.9,26.0,41.9,67.9,33.86,12.38,04-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Feb-2020 - 00:00,3.68,,3.39,,747.83,98.6,50.31,48.49,202.66,,259.91,2.21,1.42,37.04,19.48,34.44,53.92,33.41,9.74,05-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Feb-2020 - 00:00,3.84,,3.87,,747.84,106.09,45.81,45.32,203.8,,241.03,2.1,1.49,36.84,18.43,37.34,55.77,40.91,13.96,06-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Feb-2020 - 00:00,3.44,,3.19,,747.78,103.59,49.37,46.93,190.77,,229.39,2.05,1.41,33.77,15.1,35.34,50.44,54.1,13.52,07-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Feb-2020 - 00:00,2.68,,2.37,,747.8,86.04,42.27,41.52,195.72,,209.14,1.86,1.09,27.86,11.75,32.04,43.79,54.06,10.79,08-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Feb-2020 - 00:00,2.79,,2.15,,747.81,96.17,48.17,43.8,203.84,,209.34,2.02,1.25,31.55,13.93,37.76,51.69,44.17,15.2,09-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Feb-2020 - 00:00,2.52,,1.84,,747.8,103.41,50.99,45.02,204.76,,207.1,2.05,1.33,34.9,18.36,36.97,55.32,43.27,13.67,10-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Feb-2020 - 00:00,4.54,,4.48,,747.81,125.61,61.13,45.86,207.48,,235.65,2.12,1.93,63.4,26.47,31.86,58.33,35.47,14.7,11-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Feb-2020 - 00:00,4.58,,5.04,,747.8,131.86,66.34,53.1,208.21,,243.85,2.16,1.79,65.43,17.81,22.55,40.36,34.57,13.26,12-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Feb-2020 - 00:00,2.72,,6.61,,747.68,144.76,77.26,56.52,194.06,,228.91,2.2,1.86,71.02,19.34,22.8,42.14,33.91,14.21,13-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Feb-2020 - 00:00,2.84,,3.05,,747.88,104.82,50.87,48.92,211.1,,281.25,2.38,1.21,59.75,11.73,20.44,32.17,35.39,6.05,14-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-Feb-2020 - 00:00,3.4,,2.77,,747.84,107.79,48.67,41.73,209.64,,272.26,2.15,1.43,72.07,14.87,26.89,41.76,41.79,7.68,15-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Feb-2020 - 00:00,4.62,,4.26,,747.7,117.41,55.23,41.78,181.88,,228.31,2.16,2.01,98.01,28.39,33.73,62.12,39.18,9.4,16-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Feb-2020 - 00:00,4.02,,4.01,,747.89,111.55,54.84,38.15,221.0,,247.85,2.45,1.34,99.93,31.46,33.17,64.63,32.78,9.41,17-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-Feb-2020 - 00:00,5.05,,5.41,,747.87,96.93,47.68,31.05,225.82,,249.71,2.22,1.55,91.64,30.32,29.65,59.98,26.63,9.11,18-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Feb-2020 - 00:00,4.67,,4.77,,747.84,84.65,37.22,32.9,209.49,,251.16,2.33,1.55,55.53,18.25,18.41,36.66,27.92,7.44,19-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Feb-2020 - 00:00,4.38,,4.21,,747.79,94.22,43.49,34.62,201.88,,257.13,2.39,1.57,51.45,11.58,19.98,31.57,25.88,8.23,20-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Feb-2020 - 00:00,3.41,,3.0,,747.88,104.61,52.61,35.93,216.48,,227.02,2.49,1.24,46.94,9.94,23.69,33.63,46.35,10.9,21-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Feb-2020 - 00:00,1.78,,1.02,,747.88,91.36,41.58,29.91,210.73,,241.28,2.2,0.93,23.49,9.59,22.03,31.62,63.73,10.8,22-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Feb-2020 - 00:00,2.59,,1.9,,747.88,88.81,44.49,39.86,213.6,,235.56,2.24,1.24,31.55,11.85,33.16,45.01,59.9,14.28,23-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-Feb-2020 - 00:00,1.87,,1.0,,747.85,94.58,58.25,55.96,204.26,,202.48,2.0,1.06,29.58,9.19,25.65,34.84,63.74,11.4,24-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Feb-2020 - 00:00,3.58,,3.03,,747.31,111.37,61.28,61.69,99.21,,270.8,2.51,1.73,35.96,15.13,33.11,48.24,34.02,14.49,25-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
25-Feb-2020 - 00:00,4.39,,3.97,,747.9,100.69,52.05,42.36,214.34,,229.42,2.02,1.84,33.63,19.75,31.07,50.82,34.91,11.4,26-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Feb-2020 - 00:00,3.95,,3.73,,747.93,104.31,49.91,37.31,221.0,,279.53,2.26,1.09,35.74,16.19,26.92,43.06,30.62,8.44,27-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Feb-2020 - 00:00,3.82,,3.42,,747.84,97.08,45.91,39.06,206.63,,245.43,2.3,1.48,33.72,12.34,15.94,28.28,35.09,11.02,28-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Feb-2020 - 00:00,4.32,,3.95,,747.78,114.9,56.17,38.97,187.73,,220.2,2.49,1.59,32.6,11.86,16.23,28.09,43.13,15.35,29-Feb-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
29-Feb-2020 - 00:00,3.1,,2.74,,747.9,97.7,49.39,34.95,213.25,,229.4,2.29,1.14,24.41,8.54,13.21,21.75,60.35,16.79,01-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-Mar-2020 - 00:00,2.29,,1.35,,747.98,88.39,43.99,35.01,226.93,,235.48,2.11,1.01,23.12,9.77,10.83,20.6,48.41,14.71,02-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Mar-2020 - 00:00,3.39,,3.01,,747.87,94.16,48.37,44.59,202.88,,236.27,2.28,1.31,38.56,13.01,17.32,30.32,50.23,15.96,03-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Mar-2020 - 00:00,2.63,,1.6,,747.88,81.11,39.9,36.68,207.1,,270.11,2.2,0.99,30.93,8.67,15.41,24.08,59.94,12.82,04-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Mar-2020 - 00:00,0.93,,0.24,,747.95,85.92,38.24,29.38,218.04,,264.63,2.52,0.91,24.59,12.36,23.93,36.29,52.68,11.42,05-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Mar-2020 - 00:00,0.93,,1.77,,748.0,108.89,47.64,36.16,247.53,,230.86,2.52,1.02,26.92,15.45,30.63,46.07,37.17,9.63,06-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Mar-2020 - 00:00,1.28,,2.59,,748.41,106.41,41.07,39.82,309.16,,261.32,2.97,1.07,29.2,8.53,24.52,33.05,63.51,10.09,07-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Mar-2020 - 00:00,1.29,,2.55,,748.16,70.81,32.44,41.68,263.34,,200.22,2.33,1.04,26.16,10.52,12.19,22.71,49.47,10.34,08-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Mar-2020 - 00:00,1.3,,2.6,,748.17,57.62,28.43,43.08,260.55,,225.86,2.06,1.09,24.8,10.54,11.17,21.72,46.51,12.14,09-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Mar-2020 - 00:00,1.31,,2.58,,748.08,63.01,31.72,39.44,247.13,,186.71,2.05,1.08,23.41,8.66,11.98,20.65,50.28,13.73,10-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Mar-2020 - 00:00,1.28,,2.56,,748.02,73.51,34.85,39.25,235.79,,194.45,2.64,0.74,17.36,7.04,7.57,14.61,68.57,14.68,11-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Mar-2020 - 00:00,1.29,,2.59,,747.94,76.72,30.87,40.75,220.07,,244.71,3.11,0.71,13.98,7.16,5.04,12.2,77.09,10.76,12-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Mar-2020 - 00:00,1.29,,2.53,,748.1,66.85,26.68,26.31,250.34,,239.06,2.56,0.75,16.24,10.68,19.38,30.06,58.7,9.69,13-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Mar-2020 - 00:00,1.3,,2.56,,748.11,116.8,45.27,26.6,249.92,,265.28,2.31,0.67,19.36,11.56,25.68,37.23,55.39,9.19,14-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-Mar-2020 - 00:00,1.27,,2.59,,748.1,82.82,38.2,28.09,248.71,,258.94,2.36,0.62,16.49,9.28,20.61,29.89,71.88,9.11,15-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Mar-2020 - 00:00,1.29,,2.57,,747.94,83.98,42.78,30.52,217.23,,189.42,1.92,0.78,22.43,11.7,32.22,43.88,58.84,13.3,16-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Mar-2020 - 00:00,1.29,,2.58,,748.01,70.01,37.75,33.24,235.18,,225.89,2.16,1.25,28.1,16.18,38.37,54.55,56.14,15.37,17-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-Mar-2020 - 00:00,1.08,,1.88,,748.13,83.31,45.68,33.49,259.23,,200.64,2.0,1.5,42.18,14.73,32.25,46.98,59.14,17.39,18-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Mar-2020 - 00:00,0.89,,1.3,,748.08,80.81,43.84,32.83,260.9,,233.79,2.05,1.5,46.82,14.94,23.21,38.14,47.9,14.11,19-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Mar-2020 - 00:00,0.89,,1.3,,748.35,87.42,48.64,24.27,312.5,,212.86,2.05,2.11,53.56,21.2,21.1,42.3,37.96,14.86,20-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Mar-2020 - 00:00,0.88,,1.29,,747.98,87.51,42.44,29.85,258.41,,238.04,2.61,0.94,34.41,10.02,15.66,25.68,36.77,13.3,21-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Mar-2020 - 00:00,0.88,,1.28,,748.05,68.81,33.23,33.85,278.42,,207.65,2.48,0.84,29.1,8.65,11.54,20.28,41.06,13.54,22-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Mar-2020 - 00:00,0.88,,1.3,,747.92,58.08,29.13,47.73,274.09,,246.87,2.5,0.48,23.49,6.91,6.11,13.02,40.31,10.8,23-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-Mar-2020 - 00:00,0.89,,1.3,,748.08,40.84,21.86,47.88,284.34,,267.06,2.34,0.77,29.21,7.35,7.15,14.5,30.18,10.25,24-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Mar-2020 - 00:00,0.9,,1.29,,747.82,47.1,28.79,38.26,249.32,,274.87,2.3,0.55,28.26,6.83,5.74,12.58,30.14,12.05,25-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
25-Mar-2020 - 00:00,0.89,,1.3,,747.87,43.98,23.18,43.95,233.05,,221.65,2.01,0.47,23.63,6.87,4.95,11.81,36.87,10.15,26-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Mar-2020 - 00:00,0.89,,1.29,,747.77,32.2,15.67,61.25,215.98,,273.15,2.4,0.44,27.73,6.69,3.87,10.56,38.82,9.55,27-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Mar-2020 - 00:00,0.9,,1.28,,747.93,31.2,17.35,70.91,278.41,,230.73,2.14,0.79,29.38,6.97,4.51,11.48,37.65,12.33,28-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Mar-2020 - 00:00,0.89,,1.31,,748.24,42.0,20.93,50.82,319.1,,200.25,2.02,0.59,20.6,6.85,4.76,11.61,48.2,9.4,29-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
29-Mar-2020 - 00:00,0.9,,1.29,,748.22,38.94,20.3,39.4,294.86,,223.96,2.01,0.4,13.62,6.66,5.01,11.7,57.77,6.71,30-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
30-Mar-2020 - 00:00,0.88,,1.28,,748.25,43.58,20.37,39.55,288.37,,231.0,2.09,0.37,7.81,6.81,7.34,14.15,54.33,5.77,31-Mar-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
31-Mar-2020 - 00:00,0.89,,1.29,,748.08,48.47,21.68,36.07,253.56,,252.24,2.54,0.36,6.93,6.82,6.91,13.73,63.36,5.71,01-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-Apr-2020 - 00:00,0.9,,1.3,,748.19,70.11,28.49,27.37,271.96,,264.65,2.37,0.29,5.61,6.96,6.52,13.48,52.44,5.88,02-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Apr-2020 - 00:00,0.89,,1.28,,748.21,49.84,21.78,26.36,276.36,,235.14,2.14,0.25,4.6,6.64,5.58,12.21,62.85,5.87,03-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Apr-2020 - 00:00,0.89,,1.28,,748.22,42.62,20.14,23.1,274.11,,228.51,2.18,0.26,4.51,6.52,3.8,10.3,64.8,5.7,04-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Apr-2020 - 00:00,0.76,,1.46,,748.17,41.48,18.63,25.14,268.7,,235.16,2.09,0.41,11.04,7.01,6.18,13.19,53.42,7.4,05-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Apr-2020 - 00:00,0.69,,1.59,,748.16,49.49,24.52,24.9,270.28,,227.6,2.32,0.51,12.11,6.92,7.47,14.39,43.54,11.15,06-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Apr-2020 - 00:00,0.69,,1.59,,748.21,58.28,30.57,21.69,301.07,,254.97,2.14,0.56,11.95,7.35,8.53,15.85,43.95,11.38,07-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Apr-2020 - 00:00,0.69,,1.59,,748.16,70.51,32.44,20.82,291.09,,264.7,2.34,0.62,11.37,7.31,6.24,13.55,44.5,11.16,08-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Apr-2020 - 00:00,0.69,,1.59,,748.01,76.41,32.57,23.99,261.7,,236.68,2.25,0.63,11.3,7.35,6.92,14.27,36.7,12.26,09-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Apr-2020 - 00:00,0.57,,1.21,,748.08,77.77,31.8,24.4,279.1,,263.1,2.24,0.49,10.58,6.97,7.44,14.41,38.18,9.26,10-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Apr-2020 - 00:00,0.49,,0.99,,748.1,75.32,37.42,24.01,280.67,,264.18,2.18,0.47,11.44,7.2,7.93,15.13,37.86,7.79,11-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Apr-2020 - 00:00,0.49,,0.99,,748.13,67.66,33.17,22.18,288.34,,258.45,2.06,0.59,11.76,7.2,7.33,14.51,45.98,8.0,12-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Apr-2020 - 00:00,0.5,,0.99,,748.16,60.21,32.91,19.34,293.09,,275.63,2.27,0.43,10.25,7.08,5.92,12.97,46.38,8.37,13-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Apr-2020 - 00:00,0.49,,0.99,,748.05,64.96,28.68,20.99,271.55,,317.75,2.43,0.56,9.82,7.01,6.12,13.13,41.55,9.04,14-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-Apr-2020 - 00:00,0.49,,0.99,,748.12,53.32,28.85,18.84,282.5,,298.94,2.38,0.48,9.64,7.53,5.54,13.07,51.91,8.86,15-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Apr-2020 - 00:00,0.49,,0.99,,748.0,53.55,29.21,18.77,253.39,,264.37,2.46,0.5,9.44,7.18,6.36,13.53,44.95,7.86,16-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Apr-2020 - 00:00,0.49,,0.98,,748.18,45.79,24.49,21.3,291.07,,278.96,2.71,0.44,9.81,7.17,5.87,13.03,39.04,7.45,17-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-Apr-2020 - 00:00,0.49,,0.99,,748.08,48.12,23.78,20.7,270.81,,260.89,2.39,0.46,9.25,7.18,5.41,12.58,39.7,7.63,18-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Apr-2020 - 00:00,0.49,,0.98,,748.13,52.85,24.27,22.97,285.36,,275.04,2.91,0.44,5.79,6.6,3.04,9.63,39.86,6.98,19-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Apr-2020 - 00:00,0.49,,0.98,,748.17,74.3,28.21,22.53,294.07,,264.13,2.44,0.42,5.67,6.43,2.74,9.18,50.62,7.32,20-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Apr-2020 - 00:00,0.38,,0.93,,748.06,49.47,22.87,27.01,269.78,,239.39,2.19,0.39,16.28,7.19,9.51,16.71,50.4,10.14,21-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Apr-2020 - 00:00,0.29,,0.89,,748.1,58.84,27.11,30.49,279.11,,280.08,2.29,0.43,18.87,7.0,10.95,17.95,65.71,7.07,22-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Apr-2020 - 00:00,0.29,,0.88,,748.01,60.85,26.47,26.09,265.54,,233.45,2.06,0.47,19.73,7.18,14.16,21.34,61.76,7.29,23-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-Apr-2020 - 00:00,0.24,,0.83,,748.02,57.82,26.37,27.28,273.26,,274.22,2.57,0.22,21.09,7.23,10.81,17.61,46.74,4.86,24-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Apr-2020 - 00:00,0.19,,0.79,,748.19,63.7,27.09,28.52,296.16,,263.88,2.58,0.5,18.51,7.29,9.53,16.83,58.8,5.46,25-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
