from date,Benzene,Eth-Benzene,O Xylene,Toluene,BP,PM10,PM2.5,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,1.9,,0.83,,747.67,169.76,93.98,69.71,175.02,,216.66,2.07,1.02,34.57,10.32,25.48,35.68,43.42,10.55,02-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Jan-2020 - 00:00,1.96,,0.83,,747.56,145.58,85.45,77.44,152.41,,230.9,1.78,0.99,27.76,10.17,21.44,31.61,40.71,6.62,03-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Jan-2020 - 00:00,2.61,,2.0,,747.62,121.25,63.61,72.2,165.33,,215.53,1.76,1.29,40.48,21.56,26.63,48.19,31.06,6.71,04-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Jan-2020 - 00:00,1.95,,1.65,,747.6,124.42,60.58,68.99,167.05,,235.95,2.08,1.46,42.83,21.5,29.5,51.0,22.15,6.69,05-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Jan-2020 - 00:00,2.35,,1.51,,747.67,129.56,59.67,64.11,179.56,,225.82,2.2,1.2,42.22,21.82,28.76,50.58,21.79,7.33,06-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Jan-2020 - 00:00,3.36,,3.31,,747.74,125.58,55.26,60.53,194.47,,222.39,2.22,1.71,49.97,29.41,30.71,60.12,14.78,6.82,07-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Jan-2020 - 00:00,2.16,,0.8,,747.55,98.21,43.17,63.39,152.4,,279.09,2.42,1.05,40.52,13.26,28.3,41.56,19.09,6.32,08-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Jan-2020 - 00:00,0.63,,0.01,,747.73,66.98,28.68,50.69,184.58,,304.16,2.49,0.53,30.38,9.13,17.71,26.84,39.7,6.15,09-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Jan-2020 - 00:00,0.39,,1.26,,747.71,65.88,29.91,52.14,180.63,,177.72,1.72,0.99,35.86,14.68,22.72,37.41,36.28,8.86,10-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Jan-2020 - 00:00,0.38,,1.82,,747.74,82.49,37.72,52.56,186.23,,227.89,2.05,1.25,43.44,16.24,29.29,45.53,34.55,11.02,11-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Jan-2020 - 00:00,0.45,,2.74,,747.76,120.71,52.7,53.52,189.58,,229.86,2.17,1.71,61.31,28.72,32.66,61.38,32.17,15.75,12-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Jan-2020 - 00:00,0.19,,2.26,,747.76,107.45,48.79,60.1,187.55,,218.41,2.37,1.46,49.91,18.12,29.13,47.26,27.28,11.04,13-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Jan-2020 - 00:00,0.18,,2.49,,747.55,108.03,50.48,72.16,144.42,,226.5,2.43,1.47,51.2,17.56,26.91,44.47,23.93,7.68,14-Jan-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
