from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
01-Jan-2020 - 00:00,620.8,424.63,52.43,45.8,98.21,3.4,,9.02,0.0,0.0,0.0,0.0,02-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
02-Jan-2020 - 00:00,271.16,164.26,44.26,47.35,91.62,2.76,,14.45,5.8,0.0,0.0,0.0,03-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
03-Jan-2020 - 00:00,275.03,171.68,63.1,57.48,120.58,3.59,,8.99,3.0,0.0,0.0,0.0,04-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
04-Jan-2020 - 00:00,332.15,203.11,50.51,50.77,101.29,4.48,,9.63,0.03,0.0,0.0,0.0,05-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
05-Jan-2020 - 00:00,219.86,128.41,9.28,30.12,39.39,2.65,,8.27,0.0,0.0,0.0,0.0,06-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
06-Jan-2020 - 00:00,207.23,121.07,12.55,31.92,44.47,1.54,,5.39,0.0,0.0,0.0,0.0,07-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
07-Jan-2020 - 00:00,167.19,103.81,11.87,31.17,43.04,1.33,,18.49,0.0,0.0,0.0,0.0,08-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
08-Jan-2020 - 00:00,129.83,92.84,11.4,29.69,41.09,1.23,,5.64,0.0,0.0,0.0,0.0,09-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
09-Jan-2020 - 00:00,112.39,65.53,5.6,26.36,31.96,1.33,,6.21,2.29,0.0,0.0,0.0,10-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
10-Jan-2020 - 00:00,164.53,96.49,7.79,29.23,37.01,2.73,,8.24,6.91,0.0,0.0,0.0,11-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
11-Jan-2020 - 00:00,206.71,118.87,22.47,36.85,59.32,2.36,,10.42,4.49,0.0,0.0,0.0,12-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
12-Jan-2020 - 00:00,269.67,161.08,36.92,43.4,80.32,2.9,,8.14,5.04,0.0,0.0,0.0,13-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
13-Jan-2020 - 00:00,266.43,164.06,23.47,38.35,61.81,2.23,,12.73,3.14,0.0,0.0,0.0,14-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
14-Jan-2020 - 00:00,150.46,91.92,6.62,26.03,32.64,1.55,,5.09,7.02,0.0,0.0,0.0,15-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
15-Jan-2020 - 00:00,153.62,84.6,6.18,22.84,29.02,1.35,,7.31,0.49,0.0,0.0,0.0,16-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
16-Jan-2020 - 00:00,170.53,110.62,6.3,22.76,29.06,0.55,,4.98,3.32,0.0,0.0,0.0,17-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
17-Jan-2020 - 00:00,126.54,79.23,7.28,22.74,30.02,0.96,,4.54,5.51,0.0,0.0,0.0,18-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
18-Jan-2020 - 00:00,158.76,89.3,7.9,23.26,31.16,0.89,,5.2,0.0,0.0,0.0,0.0,19-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
19-Jan-2020 - 00:00,151.36,97.68,4.34,21.03,25.37,0.83,,6.6,0.0,0.0,0.0,0.0,20-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
20-Jan-2020 - 00:00,203.24,127.18,7.3,23.19,30.48,0.73,,5.54,2.59,0.0,0.0,0.0,21-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
21-Jan-2020 - 00:00,312.7,195.2,20.93,29.05,49.97,1.34,,7.01,0.0,0.0,0.0,0.0,22-Jan-2020 - 00:00,"North Campus, DU, Delhi - IMD"
