from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
28-Jan-2020 - 00:00,46.52,142.88,27.52,3.84,17.84,20.23,11.39,0.72,59.93,21.46,0.85,219.32,61.56,702.62,161.15,0.0,29-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
29-Jan-2020 - 00:00,26.86,125.85,29.82,5.36,20.31,11.63,7.77,0.65,60.12,19.9,1.29,236.8,54.51,706.77,162.27,0.0,30-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
30-Jan-2020 - 00:00,61.42,121.08,38.44,5.53,25.03,19.12,7.6,0.86,56.04,17.32,1.26,158.71,59.83,708.11,164.16,0.0,31-Jan-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
31-Jan-2020 - 00:00,40.83,105.07,45.44,5.69,28.88,14.76,12.04,0.88,55.31,17.43,0.87,171.85,52.42,706.08,181.31,0.0,01-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
01-Feb-2020 - 00:00,35.45,95.66,36.69,4.24,23.05,13.21,8.22,0.75,62.72,18.19,1.06,164.75,47.75,707.73,172.92,0.0,02-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
02-Feb-2020 - 00:00,33.84,89.83,32.81,4.47,21.18,12.31,11.39,0.72,64.95,18.09,1.15,149.98,46.68,709.34,183.17,0.0,03-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
03-Feb-2020 - 00:00,38.05,97.99,32.61,3.93,20.63,15.26,8.06,0.77,60.73,18.76,0.96,144.62,53.15,707.92,177.03,0.0,04-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
04-Feb-2020 - 00:00,49.4,128.27,39.56,5.51,25.61,19.17,10.46,0.96,51.16,20.0,0.95,178.71,59.2,705.55,175.91,0.0,05-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
05-Feb-2020 - 00:00,63.35,136.54,42.25,7.63,28.77,20.32,14.54,1.05,53.59,19.21,1.04,160.8,62.18,706.69,179.22,0.0,06-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
06-Feb-2020 - 00:00,51.67,120.5,36.22,4.28,22.83,17.27,6.65,0.84,66.3,19.9,1.07,152.23,56.2,705.57,180.07,0.0,07-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
07-Feb-2020 - 00:00,60.35,129.53,36.31,4.54,23.08,18.83,14.85,0.85,67.66,19.0,1.49,165.64,59.58,706.91,189.47,0.0,08-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
08-Feb-2020 - 00:00,53.52,120.75,32.25,3.74,20.28,15.94,8.44,0.73,76.74,17.71,1.66,160.86,55.26,709.88,192.81,0.0,09-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
09-Feb-2020 - 00:00,46.68,93.33,33.16,3.73,20.75,15.21,9.47,0.74,80.79,17.71,1.18,149.33,47.95,710.58,197.27,0.0,10-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
10-Feb-2020 - 00:00,49.64,112.92,40.13,3.67,24.42,15.35,13.0,0.89,74.02,19.08,0.81,157.47,48.41,708.96,192.62,0.0,11-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
11-Feb-2020 - 00:00,46.31,104.79,39.37,4.11,24.37,14.88,14.85,0.88,76.26,20.84,0.79,153.83,47.81,709.01,186.76,0.0,12-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
12-Feb-2020 - 00:00,61.32,157.08,50.34,17.66,41.22,17.73,22.51,1.28,65.32,22.04,0.65,175.69,52.97,709.98,185.46,0.0,13-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
13-Feb-2020 - 00:00,85.26,217.77,57.74,16.18,43.95,22.61,13.13,1.59,48.46,23.04,0.62,189.29,54.89,708.29,182.03,0.0,14-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
