from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WS,WD,AT,RH,RF,SR,to date,station
02-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
03-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
04-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
05-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
06-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
07-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
08-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
09-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
10-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
11-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
12-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
13-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
14-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
15-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
16-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
17-Jul-2020 - 00:00,11.57,38.94,16.26,34.32,14.58,4.98,0.79,0.36,3.68,0.44,0.0,0.0,0.0,0.0,6.27,166.34,22.37,88.63,0.0,,18-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
18-Jul-2020 - 00:00,5.26,26.11,9.2,11.09,1.89,7.31,1.21,0.96,1.23,0.11,0.0,0.0,0.0,0.0,0.98,179.64,21.67,92.16,0.0,,19-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
19-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
20-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
21-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
22-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
23-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
24-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
25-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
26-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
27-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
28-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,29-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
29-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,30-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
30-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,31-Jul-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
31-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,01-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
01-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
02-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
03-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
04-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
05-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
06-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
07-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
08-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
09-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
10-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
11-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
12-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
13-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
14-Aug-2020 - 00:00,20.68,38.58,18.76,115.17,96.47,4.35,1.69,1.44,5.17,0.17,0.0,0.0,0.0,0.0,2.2,117.68,26.4,65.1,0.0,197.33,15-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
15-Aug-2020 - 00:00,21.82,33.36,16.34,112.75,96.41,,2.37,2.12,9.16,0.24,0.0,0.0,0.0,0.0,1.56,135.93,,,0.0,199.42,16-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
16-Aug-2020 - 00:00,20.7,36.39,12.29,107.09,94.8,,2.48,2.23,13.21,0.19,0.0,0.0,0.0,0.0,1.7,150.28,,,0.0,420.85,17-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
17-Aug-2020 - 00:00,27.76,42.15,16.84,113.23,96.39,,2.81,2.56,11.86,0.77,0.0,0.0,0.0,0.0,1.4,156.42,,,0.0,228.73,18-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
18-Aug-2020 - 00:00,17.44,33.95,15.71,112.07,96.36,,2.2,1.95,10.73,0.17,0.0,0.0,0.0,0.0,1.75,108.32,,,0.0,484.7,19-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
19-Aug-2020 - 00:00,16.9,29.04,14.01,104.09,90.08,6.5,2.46,2.21,13.78,0.17,0.0,0.0,0.0,0.0,2.54,149.17,,,0.0,139.08,20-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
20-Aug-2020 - 00:00,15.47,31.53,16.22,21.59,5.37,5.53,2.52,2.27,11.65,0.17,0.0,0.0,0.0,0.0,2.12,141.42,,,0.0,332.21,21-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
21-Aug-2020 - 00:00,21.19,32.05,15.91,20.72,4.81,5.43,2.08,1.83,12.48,0.23,0.0,0.0,0.0,0.0,1.84,149.65,,,0.0,240.67,22-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
22-Aug-2020 - 00:00,16.07,31.18,14.57,19.25,4.68,5.87,2.24,1.99,11.06,0.2,0.0,0.0,0.0,0.0,2.27,148.23,,,0.0,243.45,23-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
23-Aug-2020 - 00:00,15.92,28.54,14.01,18.48,4.47,6.16,2.71,2.46,9.24,0.17,0.0,0.0,0.0,0.0,1.96,144.94,,,0.0,211.35,24-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
24-Aug-2020 - 00:00,24.45,34.33,15.29,19.92,4.62,6.0,2.55,2.3,14.25,0.2,0.0,0.0,0.0,0.0,1.74,136.96,,,0.0,205.08,25-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
25-Aug-2020 - 00:00,20.0,31.97,15.77,20.07,4.3,5.88,2.89,2.64,11.7,0.17,0.0,0.0,0.0,0.0,2.12,144.14,,,0.0,402.92,26-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
26-Aug-2020 - 00:00,19.58,32.32,15.68,20.57,4.89,5.74,2.51,2.26,12.14,0.16,0.0,0.0,0.0,0.0,2.52,148.2,,,0.0,348.04,27-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
27-Aug-2020 - 00:00,20.93,33.94,16.48,22.3,5.82,5.57,3.54,3.41,12.14,0.13,0.0,0.0,0.0,0.0,2.32,142.46,,,0.0,114.66,28-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
28-Aug-2020 - 00:00,33.45,41.97,15.98,21.09,5.11,5.54,2.54,2.54,14.01,0.16,0.0,0.0,0.0,0.0,2.22,143.84,,,0.0,268.07,29-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
29-Aug-2020 - 00:00,30.48,33.86,14.13,19.0,4.87,5.98,2.53,2.53,6.53,0.15,0.0,0.0,0.0,0.0,1.92,136.84,,,0.0,29.26,30-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
30-Aug-2020 - 00:00,36.61,43.16,14.47,19.49,5.02,5.83,2.4,2.4,6.6,0.24,0.0,0.0,0.0,0.0,2.08,150.78,,,0.0,384.44,31-Aug-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
31-Aug-2020 - 00:00,28.82,35.48,10.61,13.81,3.21,6.9,1.88,1.88,7.14,0.1,0.0,0.0,0.0,0.0,2.24,139.47,,,0.0,636.24,01-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
01-Sep-2020 - 00:00,18.33,23.67,11.41,14.86,3.45,6.74,2.66,2.66,8.43,0.08,0.0,0.0,0.0,0.0,2.56,130.88,,,0.02,513.01,02-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
02-Sep-2020 - 00:00,23.32,35.67,10.89,14.16,3.27,6.56,2.05,2.05,5.41,0.09,0.0,0.0,0.0,0.0,1.2,110.85,,,0.07,733.7,03-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
03-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
04-Sep-2020 - 00:00,23.04,26.53,7.89,10.24,2.35,7.03,2.37,2.37,9.65,0.07,0.0,0.0,0.0,0.0,1.62,203.25,,,0.01,313.06,05-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
05-Sep-2020 - 00:00,19.14,21.95,8.18,10.84,2.66,6.63,2.03,2.02,8.07,0.06,0.0,0.0,0.0,0.0,1.58,159.35,,,0.08,388.16,06-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
06-Sep-2020 - 00:00,26.86,49.67,10.51,13.46,2.95,6.4,2.24,2.19,8.16,0.07,0.0,0.0,0.0,0.0,2.26,147.43,,,1.11,565.91,07-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
07-Sep-2020 - 00:00,28.39,38.64,15.93,23.03,7.1,5.01,1.85,1.69,6.11,,,,,,1.52,187.95,,,0.07,201.52,08-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
08-Sep-2020 - 00:00,46.04,67.81,11.68,15.97,4.29,6.01,2.16,2.16,6.53,0.07,0.0,0.0,0.0,0.0,1.29,158.4,,,0.11,361.85,09-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
09-Sep-2020 - 00:00,25.72,35.76,14.33,18.81,4.49,5.37,1.92,1.92,7.15,0.22,0.0,0.0,0.0,0.0,1.49,167.96,,,0.49,386.92,10-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
10-Sep-2020 - 00:00,29.83,37.86,12.12,15.55,3.44,5.98,1.77,1.77,9.48,0.14,0.0,0.0,0.0,0.0,1.61,124.8,,80.87,0.02,167.8,11-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
11-Sep-2020 - 00:00,38.22,47.89,11.79,17.23,5.44,5.76,1.92,1.88,4.54,0.35,0.0,0.0,0.0,0.0,1.61,130.1,,,0.09,344.11,12-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
12-Sep-2020 - 00:00,15.44,35.68,14.45,24.95,10.51,4.98,1.85,1.85,4.73,0.26,0.0,0.0,0.0,0.0,1.36,192.42,,90.02,0.2,641.22,13-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
13-Sep-2020 - 00:00,26.02,33.8,13.76,42.51,28.75,2.94,1.37,1.37,4.29,0.12,0.0,0.0,0.0,0.0,1.04,178.58,,94.22,0.12,569.48,14-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
14-Sep-2020 - 00:00,22.69,38.7,16.83,27.57,10.77,3.95,1.77,1.77,4.06,,,,,,1.41,152.9,,91.99,0.04,267.06,15-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
15-Sep-2020 - 00:00,17.67,34.17,14.78,20.78,6.0,5.18,1.65,1.65,3.95,0.04,0.0,0.0,0.0,0.0,2.13,127.71,23.16,89.69,0.04,399.91,16-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
16-Sep-2020 - 00:00,32.85,44.42,15.42,22.26,6.84,4.98,1.38,1.37,3.9,0.04,0.0,0.0,0.0,0.0,1.55,150.42,22.91,92.75,0.38,490.4,17-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
17-Sep-2020 - 00:00,25.01,33.83,13.17,18.33,5.16,5.59,1.67,1.67,4.74,,,,,,1.72,128.23,23.39,89.35,0.03,368.95,18-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
18-Sep-2020 - 00:00,26.28,37.65,14.2,19.87,5.67,5.41,1.52,1.43,4.33,0.0,0.0,0.0,0.0,0.0,1.86,158.91,23.46,90.06,0.06,418.76,19-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
19-Sep-2020 - 00:00,26.4,39.1,14.44,20.5,6.06,5.1,1.78,1.2,5.38,0.0,0.0,0.0,0.0,0.0,1.77,140.12,,,0.21,241.21,20-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
