from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,AT,WS,WD,RH,BP,to date,station
28-Jan-2020 - 00:00,52.72,12.5,24.96,47.33,2.88,1.62,25.03,61.42,160.31,1.36,3.72,24.23,26.59,1.51,161.23,43.17,718.21,29-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
29-Jan-2020 - 00:00,41.26,12.76,8.48,31.7,2.77,1.38,25.37,60.51,141.54,1.33,3.31,24.66,25.58,1.45,144.55,49.15,718.55,30-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
30-Jan-2020 - 00:00,63.16,13.33,81.75,94.38,2.83,1.9,24.78,68.96,182.29,1.38,3.73,24.93,25.77,1.22,143.44,46.59,717.76,31-Jan-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
31-Jan-2020 - 00:00,33.2,12.47,4.31,21.05,2.89,1.28,36.43,52.83,131.33,1.31,2.99,23.37,26.73,1.73,112.82,44.38,715.98,01-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
01-Feb-2020 - 00:00,16.42,12.26,1.44,9.9,3.14,1.0,40.63,57.48,113.61,1.27,2.75,24.12,24.07,1.8,96.32,60.01,719.57,02-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
02-Feb-2020 - 00:00,11.21,9.37,1.16,6.9,2.83,0.9,30.17,39.84,79.22,1.22,2.6,24.72,22.94,2.0,95.14,64.45,719.31,03-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
03-Feb-2020 - 00:00,25.79,8.58,8.48,18.43,2.72,1.02,34.9,36.48,86.3,0.98,2.62,24.07,22.99,1.74,77.28,57.7,719.41,04-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
04-Feb-2020 - 00:00,20.13,8.83,3.05,13.33,2.58,1.06,37.62,33.95,88.19,0.78,2.24,24.17,23.51,1.83,91.79,55.19,720.46,05-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
05-Feb-2020 - 00:00,20.05,8.93,3.12,13.2,2.67,1.03,34.53,33.98,81.77,0.61,1.99,23.68,24.32,1.7,102.6,58.29,718.56,06-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
06-Feb-2020 - 00:00,30.58,9.42,6.94,21.9,2.62,1.28,32.26,45.74,104.81,0.63,2.26,23.7,23.93,1.31,124.79,56.4,717.9,07-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
07-Feb-2020 - 00:00,34.72,10.55,10.56,26.07,2.87,1.29,35.74,59.45,130.64,0.66,2.61,23.85,24.82,1.48,135.41,57.07,718.07,08-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
08-Feb-2020 - 00:00,34.44,9.92,16.58,30.84,2.62,1.42,35.82,55.24,132.96,0.7,2.36,23.64,24.52,1.36,131.98,56.84,718.48,09-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
09-Feb-2020 - 00:00,15.15,9.16,1.85,9.48,2.92,0.95,43.28,42.18,83.57,0.6,1.91,23.69,24.23,1.74,98.43,59.59,718.68,10-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
10-Feb-2020 - 00:00,17.55,8.16,2.34,11.04,2.66,1.02,35.77,36.19,84.86,0.62,2.04,23.82,23.64,2.46,97.07,63.46,734.37,11-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
11-Feb-2020 - 00:00,26.15,7.42,3.57,16.91,2.67,1.08,36.14,37.26,94.11,0.65,2.32,23.27,25.07,2.55,100.59,51.98,748.5,12-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
12-Feb-2020 - 00:00,21.26,7.48,3.61,15.01,2.66,1.01,31.24,36.74,83.29,0.7,2.28,22.84,23.27,3.26,112.67,62.98,728.4,13-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
13-Feb-2020 - 00:00,40.75,7.97,22.6,38.85,2.76,1.31,38.64,40.12,102.28,0.73,2.6,24.47,26.01,1.86,100.03,48.31,719.34,14-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
14-Feb-2020 - 00:00,47.76,10.56,28.66,48.71,2.71,1.84,40.76,51.62,122.48,0.75,2.7,24.77,25.95,1.18,109.27,49.56,717.8,15-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
15-Feb-2020 - 00:00,58.0,10.76,44.85,67.3,2.82,1.7,34.18,56.62,132.59,0.76,2.74,24.36,25.95,1.12,94.34,39.24,717.51,16-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
16-Feb-2020 - 00:00,38.06,9.52,8.56,27.19,2.84,1.12,34.03,41.75,91.69,0.71,2.38,23.03,26.05,1.54,83.53,33.66,718.73,17-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
17-Feb-2020 - 00:00,41.1,10.87,25.73,42.77,2.77,1.42,47.5,44.38,101.03,0.72,2.49,23.75,24.31,1.61,78.0,43.2,719.41,18-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
18-Feb-2020 - 00:00,33.37,10.91,7.93,24.2,2.71,1.13,51.9,44.52,95.08,0.7,2.32,22.33,29.29,1.56,78.81,47.96,719.06,19-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
19-Feb-2020 - 00:00,33.02,10.64,4.76,21.44,2.63,1.05,34.98,45.32,99.82,0.7,2.36,23.01,29.48,1.72,84.25,50.01,718.56,20-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
20-Feb-2020 - 00:00,29.89,11.56,7.55,22.04,2.73,1.01,30.58,48.2,101.12,0.71,2.32,23.68,24.09,1.89,83.8,52.55,718.25,21-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
21-Feb-2020 - 00:00,19.73,10.49,3.76,13.56,2.55,0.93,37.98,30.86,69.32,0.7,2.24,23.93,23.88,1.82,86.91,57.24,719.64,22-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
22-Feb-2020 - 00:00,17.59,11.05,2.95,11.75,2.54,0.97,42.1,33.94,79.46,0.53,2.47,23.57,24.59,2.02,81.86,58.03,720.4,23-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
23-Feb-2020 - 00:00,12.65,10.31,1.64,8.08,2.58,1.01,33.42,38.11,87.63,0.4,2.6,23.65,24.28,1.77,85.8,60.6,719.87,24-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
24-Feb-2020 - 00:00,15.23,9.05,1.78,9.54,2.56,1.08,32.22,38.78,94.09,0.38,2.66,23.92,24.17,1.75,90.11,59.89,717.64,25-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
25-Feb-2020 - 00:00,27.19,9.96,3.12,16.99,2.61,1.1,38.5,43.33,109.56,0.44,2.55,24.61,25.77,1.51,110.32,52.21,716.33,26-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
26-Feb-2020 - 00:00,18.92,9.38,2.48,12.09,2.54,1.1,35.8,35.58,94.65,0.95,1.15,23.8,25.97,1.65,93.65,54.55,716.42,27-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
27-Feb-2020 - 00:00,29.19,9.25,7.08,21.3,2.55,1.23,33.81,38.98,103.56,0.66,1.09,23.86,25.72,1.63,91.33,55.62,717.19,28-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
28-Feb-2020 - 00:00,25.7,9.66,6.45,18.91,2.55,1.2,31.13,39.49,95.51,0.64,1.05,24.36,25.18,1.92,86.7,57.55,716.12,29-Feb-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
29-Feb-2020 - 00:00,23.05,9.39,7.3,18.21,2.6,1.16,39.76,38.39,97.87,0.61,1.07,24.26,25.78,1.75,96.39,54.01,716.09,01-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
01-Mar-2020 - 00:00,15.97,9.5,2.2,10.28,2.69,1.08,50.63,42.95,96.14,0.62,0.97,24.23,25.89,1.76,93.15,56.59,716.29,02-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
02-Mar-2020 - 00:00,33.71,10.22,13.25,28.7,2.67,1.47,31.78,63.95,138.82,0.66,1.32,23.9,25.03,1.39,138.45,61.36,717.24,03-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
03-Mar-2020 - 00:00,41.83,11.59,32.03,48.3,2.68,1.92,30.45,78.6,180.67,0.72,1.69,23.98,26.49,1.23,129.31,54.24,716.78,04-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
