from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,AT,WS,WD,RH,BP,to date,station
26-Apr-2020 - 00:00,3.79,4.49,0.52,2.41,1.38,0.47,31.62,15.78,39.57,0.19,1.04,23.97,27.27,1.47,160.21,58.78,715.78,27-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
27-Apr-2020 - 00:00,4.59,3.9,0.51,2.84,1.35,0.57,33.88,19.34,53.11,0.1,0.92,23.94,27.71,1.25,197.23,59.31,716.5,28-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
28-Apr-2020 - 00:00,3.72,3.98,0.38,2.27,1.38,0.46,32.02,17.83,49.41,0.1,0.89,24.14,27.99,1.33,152.16,58.85,715.35,29-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
29-Apr-2020 - 00:00,6.74,3.78,1.29,4.63,1.32,0.57,33.22,13.9,36.36,0.19,0.96,25.01,24.34,1.18,207.7,73.76,716.36,30-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
30-Apr-2020 - 00:00,8.07,3.83,3.65,7.27,1.35,0.68,34.56,24.22,65.41,0.14,0.92,23.96,27.41,0.88,175.54,58.77,716.08,01-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
01-May-2020 - 00:00,4.66,4.36,0.51,2.89,1.33,0.51,36.25,23.11,56.85,0.14,0.91,24.06,28.1,1.14,186.1,57.12,715.45,02-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
02-May-2020 - 00:00,5.0,4.11,0.46,3.04,1.3,0.54,32.57,19.03,45.74,0.14,0.9,23.8,27.95,1.34,196.05,57.51,714.49,03-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
03-May-2020 - 00:00,4.56,4.06,0.46,2.8,1.41,0.55,37.4,24.48,54.32,0.13,0.89,23.65,28.71,0.94,167.41,53.52,714.42,04-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
04-May-2020 - 00:00,5.95,4.03,0.54,3.61,1.43,0.63,36.23,27.24,73.74,0.12,0.88,23.47,29.47,1.26,164.59,47.21,715.41,05-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
05-May-2020 - 00:00,5.45,4.02,1.09,3.78,1.46,0.61,41.13,30.62,83.16,0.12,0.88,23.5,29.59,1.23,170.51,47.29,714.81,06-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
06-May-2020 - 00:00,5.39,3.82,0.48,3.26,1.42,0.61,32.01,20.98,61.01,0.13,0.89,23.74,28.37,1.46,188.57,54.71,714.69,07-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
07-May-2020 - 00:00,5.66,3.76,0.73,3.6,1.42,0.65,37.04,26.54,68.04,0.19,1.03,23.73,28.22,1.19,171.57,56.93,714.79,08-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
08-May-2020 - 00:00,5.65,3.44,1.51,4.23,1.36,0.62,41.8,19.07,49.82,0.2,1.06,23.54,27.76,1.19,183.98,61.65,714.92,09-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
09-May-2020 - 00:00,3.76,3.61,1.0,2.82,1.45,0.5,32.32,21.59,54.33,0.2,1.01,23.41,29.38,1.3,113.65,53.23,714.65,10-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
10-May-2020 - 00:00,3.08,3.43,0.41,1.97,1.48,0.42,36.65,18.77,49.1,0.2,1.02,23.36,29.19,1.5,118.79,49.96,714.64,11-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
11-May-2020 - 00:00,3.41,3.96,0.36,2.09,1.51,0.42,24.03,15.89,47.97,0.2,1.04,23.31,28.69,1.37,99.86,50.2,714.86,12-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
12-May-2020 - 00:00,2.68,3.05,0.35,1.7,1.69,0.44,17.86,9.99,35.98,0.2,1.16,23.38,28.22,1.47,94.39,53.47,714.26,13-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
13-May-2020 - 00:00,5.03,4.68,1.29,3.61,1.92,0.55,25.53,13.98,42.72,0.19,1.23,23.55,28.16,1.28,144.15,54.48,713.82,14-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
14-May-2020 - 00:00,7.88,7.65,0.82,4.76,1.88,0.57,27.32,23.38,52.76,0.1,1.22,23.35,29.07,1.35,145.77,53.15,712.98,15-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
15-May-2020 - 00:00,8.42,5.05,3.98,7.11,2.34,0.53,26.72,14.37,45.36,0.2,0.84,23.24,29.22,1.1,130.97,52.03,712.2,16-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
16-May-2020 - 00:00,9.48,3.86,3.09,7.56,2.08,0.94,27.73,25.26,68.27,0.22,0.89,23.19,28.63,1.21,206.58,54.44,712.14,17-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
17-May-2020 - 00:00,6.41,3.94,0.85,4.1,2.02,0.76,27.7,19.71,50.94,0.3,1.03,23.14,28.72,1.44,227.65,56.27,711.19,18-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
18-May-2020 - 00:00,9.25,4.14,1.49,6.13,1.71,0.8,25.16,16.44,53.48,0.3,1.06,23.9,26.08,2.27,251.43,69.52,710.53,19-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
19-May-2020 - 00:00,9.03,3.81,2.76,7.05,1.85,0.71,30.68,17.23,85.24,0.2,0.85,23.58,27.16,2.59,251.31,63.74,710.27,20-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
20-May-2020 - 00:00,9.19,3.71,3.14,7.43,1.97,0.62,37.29,17.58,83.25,0.2,0.85,23.67,27.17,2.31,239.99,60.78,711.01,21-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
21-May-2020 - 00:00,9.15,3.55,2.71,7.07,2.14,0.65,35.58,21.89,81.62,0.15,0.94,23.56,27.8,1.99,229.19,59.28,712.3,22-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
22-May-2020 - 00:00,9.41,3.62,1.72,6.41,2.26,0.63,35.33,17.35,60.91,0.2,1.16,23.45,27.9,1.89,237.5,58.28,712.83,23-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
23-May-2020 - 00:00,10.43,3.49,1.13,6.46,1.85,0.67,37.79,21.48,73.49,0.2,1.15,23.3,28.64,1.75,228.04,55.05,713.08,24-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
24-May-2020 - 00:00,6.15,3.62,1.18,4.23,1.27,0.45,36.09,17.89,50.3,0.25,0.97,23.88,26.26,1.76,221.92,70.03,714.03,25-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
25-May-2020 - 00:00,12.02,4.31,2.84,8.7,1.5,0.78,44.43,23.42,66.36,0.3,0.78,24.58,26.8,1.45,217.77,65.89,714.73,26-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
26-May-2020 - 00:00,10.39,4.54,2.55,7.6,1.53,0.53,46.78,18.74,51.13,0.33,0.82,25.62,25.97,1.71,216.53,69.5,714.95,27-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
27-May-2020 - 00:00,13.36,5.8,3.7,10.11,2.39,0.87,39.24,18.61,48.73,0.39,0.87,27.64,25.52,1.49,220.7,74.2,714.33,28-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
28-May-2020 - 00:00,12.38,6.01,3.89,9.75,1.94,0.7,33.61,17.25,57.28,0.4,0.99,28.81,26.0,1.7,227.3,69.46,713.36,29-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
29-May-2020 - 00:00,11.96,5.89,2.71,9.04,2.07,0.7,17.89,18.1,51.59,0.4,1.07,28.99,25.68,1.59,218.38,70.55,713.66,30-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
30-May-2020 - 00:00,11.22,5.64,2.75,9.39,2.22,0.62,26.17,15.64,45.51,0.4,1.08,28.88,25.89,1.17,180.2,69.33,714.03,31-May-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
31-May-2020 - 00:00,5.42,5.81,1.41,4.03,2.6,0.48,24.35,21.12,52.22,0.4,1.02,28.47,27.08,1.35,157.09,66.86,714.4,01-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
01-Jun-2020 - 00:00,6.43,5.03,2.9,5.78,4.81,0.47,25.97,8.34,32.23,0.44,0.98,28.78,26.09,1.76,211.16,70.67,715.06,02-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
02-Jun-2020 - 00:00,6.86,4.82,4.0,6.89,4.56,0.43,24.18,6.7,34.03,0.6,1.29,28.76,25.25,1.93,205.36,71.97,714.5,03-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
03-Jun-2020 - 00:00,6.99,4.61,4.3,7.2,4.51,0.4,15.77,5.82,34.56,0.74,1.53,28.67,25.22,2.33,210.3,71.0,713.95,04-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
04-Jun-2020 - 00:00,8.72,4.63,5.8,9.36,4.49,0.57,21.24,8.81,46.0,0.81,1.66,28.66,26.0,2.2,226.19,69.51,714.18,05-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
05-Jun-2020 - 00:00,8.65,4.52,4.68,8.4,4.46,0.55,20.48,10.89,52.12,0.83,1.69,28.67,26.36,2.14,231.0,65.86,714.26,06-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
06-Jun-2020 - 00:00,8.57,4.71,5.07,8.68,4.45,0.56,20.85,11.99,51.44,0.82,1.68,28.89,25.37,1.91,229.55,72.05,714.05,07-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
07-Jun-2020 - 00:00,8.34,4.69,5.13,8.6,4.38,0.53,13.51,13.39,49.89,0.84,1.72,28.75,25.25,2.02,235.6,71.54,713.7,08-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
08-Jun-2020 - 00:00,11.15,4.71,8.0,12.43,4.54,0.84,19.3,16.08,66.2,0.87,1.8,28.64,26.67,2.15,245.94,62.65,713.21,09-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
09-Jun-2020 - 00:00,11.23,5.41,8.53,12.9,4.44,0.66,24.96,16.43,71.78,0.87,1.79,28.76,26.31,2.14,243.94,66.49,713.0,10-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
10-Jun-2020 - 00:00,9.27,5.16,7.97,11.41,4.72,0.69,23.2,12.78,55.82,0.86,1.76,28.29,25.38,2.21,240.53,71.15,712.05,11-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
11-Jun-2020 - 00:00,9.48,5.27,8.74,12.14,4.48,0.7,13.65,10.31,43.84,0.91,1.87,28.92,24.61,2.52,254.64,73.75,710.89,12-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
12-Jun-2020 - 00:00,9.24,4.57,7.92,11.35,4.11,0.77,19.1,14.76,58.89,0.88,1.79,28.93,24.32,2.94,243.53,69.06,710.32,13-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
13-Jun-2020 - 00:00,8.39,9.17,5.59,9.01,4.03,0.56,19.45,10.11,52.24,0.81,1.66,28.34,24.29,2.31,225.9,75.71,710.73,14-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
14-Jun-2020 - 00:00,6.35,11.63,3.89,6.54,4.12,0.46,15.2,8.15,47.84,0.85,1.75,26.98,25.1,2.93,239.49,73.27,712.05,15-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
15-Jun-2020 - 00:00,7.64,11.63,5.3,8.37,4.21,0.57,22.14,11.33,51.56,0.81,1.69,27.33,25.42,2.68,231.04,70.32,712.06,16-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
16-Jun-2020 - 00:00,6.68,12.08,3.97,6.78,4.14,0.51,25.73,12.16,49.17,0.8,1.64,27.35,25.23,2.49,223.63,72.88,711.32,17-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
17-Jun-2020 - 00:00,9.69,6.13,5.65,9.75,3.29,0.59,14.5,13.0,91.96,0.8,1.7,28.65,24.03,2.43,221.3,78.5,712.76,18-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
18-Jun-2020 - 00:00,16.3,7.51,6.45,14.07,2.24,0.64,14.05,13.06,58.99,0.71,1.47,26.1,23.96,2.44,232.78,75.29,713.47,19-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
19-Jun-2020 - 00:00,16.74,7.54,5.9,14.79,4.42,0.66,17.29,14.52,65.06,0.74,1.5,25.77,25.33,2.47,240.17,70.17,713.9,20-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
20-Jun-2020 - 00:00,17.96,7.47,6.9,16.13,4.0,0.74,15.62,15.16,62.03,0.76,1.54,25.71,25.86,2.45,246.59,66.65,713.64,21-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
21-Jun-2020 - 00:00,14.79,7.55,,11.14,,0.46,15.76,10.04,39.96,0.75,1.52,25.88,24.7,2.36,243.2,71.7,712.82,22-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
22-Jun-2020 - 00:00,17.55,7.48,,16.5,,0.82,14.87,11.17,53.6,0.77,1.54,25.86,24.53,2.38,246.66,71.07,711.71,23-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
23-Jun-2020 - 00:00,18.14,7.55,,14.74,,0.65,24.73,15.18,62.73,0.76,1.54,25.68,26.12,2.14,244.82,64.01,712.58,24-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
24-Jun-2020 - 00:00,18.56,8.62,10.06,15.79,5.42,0.56,29.64,15.13,47.26,0.69,1.38,27.85,22.89,1.68,221.19,76.58,713.14,25-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
25-Jun-2020 - 00:00,20.77,7.7,5.38,15.26,4.27,0.81,29.01,12.72,37.0,0.63,1.28,26.03,21.12,1.38,203.96,75.54,711.57,26-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
26-Jun-2020 - 00:00,18.52,7.49,6.3,14.98,,0.91,27.33,10.39,18.65,0.69,1.43,26.35,19.35,1.33,227.8,86.35,711.65,27-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
27-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,28-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
28-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,29-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
29-Jun-2020 - 00:00,17.0,9.49,,12.24,,0.67,41.47,7.93,61.61,0.66,1.34,26.65,25.6,1.74,213.32,72.46,710.68,30-Jun-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
30-Jun-2020 - 00:00,19.01,10.51,,16.32,,0.85,37.25,13.77,75.65,0.73,1.46,27.87,26.9,1.81,232.0,63.5,710.84,01-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
01-Jul-2020 - 00:00,15.55,9.48,,13.24,,0.4,32.99,14.35,60.73,0.7,1.45,27.09,25.34,2.28,231.4,69.05,711.79,02-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
02-Jul-2020 - 00:00,15.18,8.64,,15.54,,0.49,29.88,7.93,37.53,0.72,1.47,26.81,23.43,1.95,234.28,79.17,711.69,03-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
03-Jul-2020 - 00:00,15.87,7.79,,14.86,,0.41,35.28,7.4,37.75,0.74,1.51,25.35,23.31,2.33,240.89,78.96,711.59,04-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
04-Jul-2020 - 00:00,15.76,7.43,,13.57,,0.44,27.45,8.18,46.79,0.73,1.48,24.61,23.88,2.44,235.38,75.41,711.01,05-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
05-Jul-2020 - 00:00,11.9,7.28,,7.24,,0.26,32.92,8.56,28.48,0.68,1.38,24.6,23.76,2.08,219.51,78.72,710.76,06-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
06-Jul-2020 - 00:00,14.75,7.68,,12.51,,0.49,29.5,15.09,46.0,0.59,1.33,25.76,23.68,2.29,234.04,76.27,711.04,07-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
07-Jul-2020 - 00:00,14.6,8.24,,11.97,,0.6,31.03,11.59,40.14,0.49,1.19,26.85,24.24,2.4,227.89,74.48,712.84,08-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
08-Jul-2020 - 00:00,14.65,8.34,,13.25,,1.26,32.13,12.45,37.13,0.5,1.2,27.76,24.13,2.17,231.14,75.8,713.66,09-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
09-Jul-2020 - 00:00,15.41,8.14,,14.45,,0.89,26.37,13.92,43.37,0.51,1.24,27.44,24.51,1.85,237.1,75.78,712.71,10-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
10-Jul-2020 - 00:00,15.54,8.36,,14.13,,0.71,28.22,16.28,42.41,0.49,1.18,26.91,23.76,1.77,226.35,78.8,713.29,11-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
11-Jul-2020 - 00:00,16.05,8.05,,13.87,,0.54,35.16,17.38,50.0,0.49,1.2,26.18,25.3,1.87,229.61,69.54,712.72,12-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
12-Jul-2020 - 00:00,12.6,7.77,,7.89,,0.33,31.82,9.11,19.48,0.51,1.15,26.14,25.47,2.04,233.41,67.96,712.47,13-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
13-Jul-2020 - 00:00,17.39,7.71,,15.26,,0.84,33.31,19.05,50.47,0.52,1.13,25.98,25.53,1.8,240.42,69.26,711.7,14-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
14-Jul-2020 - 00:00,17.23,7.74,,19.37,,0.88,27.72,17.45,57.08,0.54,1.17,26.15,24.66,1.91,248.78,72.04,711.57,15-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
15-Jul-2020 - 00:00,12.85,7.88,,8.91,,0.58,27.55,12.58,23.34,0.48,1.07,26.56,22.97,1.87,224.72,80.86,711.16,16-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
16-Jul-2020 - 00:00,12.59,7.83,,8.97,,0.49,25.32,9.35,23.04,0.49,1.07,26.98,22.58,1.91,224.62,83.75,710.45,17-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
17-Jul-2020 - 00:00,12.81,7.52,,8.6,,0.5,26.76,9.95,31.8,0.5,1.08,25.62,23.11,2.21,229.1,79.23,711.1,18-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
18-Jul-2020 - 00:00,12.92,7.56,,8.98,,0.5,26.83,10.56,39.41,0.48,1.05,25.92,24.05,1.62,222.32,76.32,712.07,19-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
19-Jul-2020 - 00:00,12.52,7.51,,8.08,,0.49,22.23,11.59,32.14,0.46,0.99,26.29,25.25,1.23,209.14,74.39,712.41,20-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
20-Jul-2020 - 00:00,12.72,7.68,,8.27,,1.09,32.1,12.08,29.65,0.38,0.83,26.6,24.77,1.36,187.72,77.9,714.06,21-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
21-Jul-2020 - 00:00,13.13,7.64,,8.86,,0.36,30.28,9.18,31.08,0.34,0.79,26.57,25.31,1.49,188.04,68.75,712.39,22-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
22-Jul-2020 - 00:00,13.59,8.17,,8.05,,0.36,31.07,24.02,56.3,0.25,0.56,26.28,26.92,1.32,132.2,66.12,712.62,23-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
23-Jul-2020 - 00:00,14.7,8.06,,9.67,,0.49,35.48,18.61,54.81,0.33,0.79,26.42,25.93,1.3,187.53,71.15,712.21,24-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
24-Jul-2020 - 00:00,14.54,8.08,,11.66,,0.49,31.07,14.46,48.46,0.37,0.86,26.54,24.32,1.56,204.94,75.91,713.01,25-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
25-Jul-2020 - 00:00,15.65,7.91,,13.85,,0.63,38.92,11.91,52.82,0.4,0.99,26.74,24.51,2.03,235.68,71.69,714.19,26-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
26-Jul-2020 - 00:00,12.68,8.11,,8.19,,0.46,28.36,12.5,66.36,0.42,1.02,26.75,23.84,2.05,244.0,71.34,715.45,27-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
27-Jul-2020 - 00:00,16.35,8.42,,14.12,,0.37,29.39,17.67,58.19,0.42,1.04,26.72,24.82,1.94,247.31,70.5,714.64,28-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
28-Jul-2020 - 00:00,16.4,8.74,,15.12,,0.51,34.45,17.97,53.1,0.43,1.01,26.25,25.22,1.56,241.65,70.74,712.71,29-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
29-Jul-2020 - 00:00,15.71,8.76,,15.28,,0.59,39.41,14.97,42.34,0.39,0.92,26.67,23.79,1.47,219.3,81.17,711.42,30-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
30-Jul-2020 - 00:00,17.13,8.07,,14.6,,0.47,35.61,12.73,49.08,0.4,0.99,26.65,24.74,1.77,232.64,74.45,711.75,31-Jul-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
31-Jul-2020 - 00:00,14.39,7.27,,11.76,,0.5,32.84,17.16,45.86,0.4,0.93,26.63,24.9,1.9,221.85,75.18,711.49,01-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
01-Aug-2020 - 00:00,14.59,7.69,,12.75,,0.62,33.56,16.22,39.22,0.4,0.98,27.25,23.66,2.04,234.35,78.71,712.1,02-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
02-Aug-2020 - 00:00,13.61,7.44,,9.59,,0.52,36.44,13.2,32.35,0.4,0.99,27.25,23.81,2.5,235.51,76.2,712.05,03-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
03-Aug-2020 - 00:00,14.74,7.34,,13.58,,0.5,43.35,15.69,43.45,0.4,1.0,27.36,23.31,2.44,237.56,78.03,710.89,04-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
04-Aug-2020 - 00:00,14.77,7.31,,14.74,,0.36,26.25,18.03,44.12,0.21,0.62,27.8,22.77,2.95,243.95,77.73,709.3,05-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
05-Aug-2020 - 00:00,14.8,7.74,,13.35,,0.41,24.87,17.69,49.72,0.2,0.6,28.18,22.63,2.82,232.59,78.2,707.59,06-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
06-Aug-2020 - 00:00,14.57,7.83,,13.19,,0.46,32.59,18.29,65.97,0.2,0.6,28.28,24.27,2.56,230.62,75.38,709.07,07-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
07-Aug-2020 - 00:00,15.05,7.38,,14.68,,0.46,35.73,19.28,83.77,0.2,0.6,28.16,24.29,2.49,236.33,75.75,712.0,08-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
08-Aug-2020 - 00:00,15.21,7.08,,14.74,,0.38,36.49,19.99,74.48,0.2,0.61,28.05,23.92,2.44,242.8,76.47,712.99,09-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
09-Aug-2020 - 00:00,14.08,7.13,,11.01,,0.4,30.18,17.5,44.88,0.2,0.61,28.19,22.56,2.34,240.64,80.93,712.27,10-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
10-Aug-2020 - 00:00,16.81,7.52,,14.92,,0.55,26.14,20.64,70.7,0.2,0.6,28.78,22.62,2.47,240.66,77.68,712.64,11-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
11-Aug-2020 - 00:00,16.43,7.72,,14.91,,0.8,32.51,21.95,79.41,0.2,0.6,28.43,23.67,2.09,236.74,76.81,713.48,12-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
12-Aug-2020 - 00:00,15.97,7.3,,14.56,,0.33,31.18,22.22,72.58,0.21,0.63,28.12,23.91,2.65,243.15,73.67,714.44,13-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
13-Aug-2020 - 00:00,16.28,7.01,,15.41,,0.35,30.74,24.8,85.64,0.32,0.9,27.98,24.57,2.63,247.25,70.35,712.92,14-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
14-Aug-2020 - 00:00,15.64,7.06,,15.52,,0.46,29.99,26.53,71.69,0.31,0.88,28.4,23.34,2.29,239.23,74.17,711.72,15-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
15-Aug-2020 - 00:00,14.61,7.0,,12.44,,0.49,24.94,24.12,60.61,0.3,0.87,27.98,23.12,2.38,235.34,73.98,712.08,16-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
16-Aug-2020 - 00:00,14.04,7.06,,11.6,,0.33,25.55,23.14,59.19,0.3,0.87,28.1,22.24,2.23,235.07,78.32,712.75,17-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
17-Aug-2020 - 00:00,14.69,7.04,,14.44,,0.65,30.66,22.27,44.96,0.3,0.84,28.15,22.55,1.98,228.75,81.64,712.48,18-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
18-Aug-2020 - 00:00,13.89,7.17,,16.13,,0.7,26.2,23.97,62.67,0.31,0.93,27.56,23.1,2.14,239.03,78.15,713.02,19-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
19-Aug-2020 - 00:00,15.08,7.43,,16.21,,0.56,31.01,22.46,68.58,0.2,0.79,27.9,23.82,2.13,242.76,74.78,712.07,20-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
20-Aug-2020 - 00:00,15.23,7.07,,16.97,,0.58,30.17,23.74,67.32,0.2,0.77,28.03,23.53,2.14,236.9,75.56,711.99,21-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
21-Aug-2020 - 00:00,14.82,6.92,,14.48,,0.55,29.86,22.12,57.15,0.17,0.7,27.63,24.41,2.02,222.35,74.01,713.77,22-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
22-Aug-2020 - 00:00,14.23,6.85,9.45,12.3,,0.51,24.85,21.34,50.38,0.17,0.72,27.6,25.07,1.68,226.12,73.55,714.49,23-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
23-Aug-2020 - 00:00,13.86,6.91,4.2,12.15,,0.54,26.06,17.39,44.0,0.2,0.8,27.54,25.04,1.75,237.03,72.41,714.3,24-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
24-Aug-2020 - 00:00,15.44,7.12,8.3,15.63,,0.61,34.37,26.24,60.15,0.18,0.84,27.6,25.0,1.51,228.9,72.16,714.66,25-Aug-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
