from date,PM2.5,PM10,SO2,NO2,NO,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,Xylene,WS,WD,RH,SR,RF,Temp,to date,station
01-Jan-2020 - 00:00,185.06,237.84,37.98,27.68,37.06,64.8,4.73,1.87,5.28,4.56,2.37,3.41,0.4,235.21,69.36,121.09,0.09,19.69,02-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
02-Jan-2020 - 00:00,193.69,240.98,31.14,20.91,51.33,72.16,5.72,1.84,5.27,3.77,1.64,2.67,0.41,223.08,74.63,105.1,0.02,20.38,03-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
03-Jan-2020 - 00:00,177.38,233.32,46.55,26.19,58.41,84.52,7.07,1.88,5.26,4.63,2.33,3.91,0.64,177.61,72.56,108.91,0.01,20.33,04-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
04-Jan-2020 - 00:00,163.54,222.76,86.58,38.33,49.4,87.78,6.72,1.74,5.26,4.2,2.06,2.8,0.7,154.34,64.79,105.5,0.06,20.41,05-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
05-Jan-2020 - 00:00,122.83,178.51,97.87,26.25,54.07,80.37,6.14,1.68,5.25,3.4,2.64,3.2,0.66,215.44,55.04,123.71,0.07,22.73,06-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
06-Jan-2020 - 00:00,170.0,241.08,66.41,23.1,61.52,82.93,7.01,1.79,5.32,3.39,2.72,3.8,0.41,234.27,56.28,120.83,0.02,24.45,07-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
07-Jan-2020 - 00:00,172.04,225.56,35.23,19.25,63.15,69.75,5.66,1.83,5.32,5.07,2.26,3.38,0.39,252.38,69.79,103.05,0.0,23.86,08-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
08-Jan-2020 - 00:00,126.66,178.8,48.28,31.59,62.59,78.49,6.71,1.8,5.33,3.75,2.56,4.01,0.55,172.53,63.35,109.68,0.01,23.02,09-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
09-Jan-2020 - 00:00,93.74,148.92,73.58,36.38,48.61,85.04,6.32,1.57,5.28,4.33,1.78,3.19,0.91,162.89,54.88,124.68,0.07,21.06,10-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
10-Jan-2020 - 00:00,96.91,150.62,84.4,36.07,52.66,88.78,6.12,1.65,5.8,3.22,2.3,2.96,0.74,205.19,49.94,119.65,0.08,23.23,11-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
11-Jan-2020 - 00:00,131.48,189.72,46.66,18.79,59.9,78.71,6.84,1.61,5.37,4.47,3.45,3.73,0.37,242.03,56.0,113.42,0.0,24.59,12-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
12-Jan-2020 - 00:00,131.05,177.98,33.12,16.52,66.31,67.74,5.19,1.71,5.38,3.51,1.97,3.14,0.36,247.0,68.1,114.58,0.0,24.54,13-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
13-Jan-2020 - 00:00,89.18,124.51,27.78,12.32,70.54,69.68,4.18,1.48,5.39,1.85,1.8,1.51,0.41,221.31,73.89,104.16,0.01,23.97,14-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
14-Jan-2020 - 00:00,63.84,106.08,59.58,25.04,42.34,65.44,8.53,1.34,5.42,3.55,1.76,1.42,0.77,159.11,55.66,121.51,0.04,22.45,15-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
15-Jan-2020 - 00:00,75.03,109.24,62.63,55.11,58.94,110.65,7.13,1.28,5.72,3.88,1.73,1.78,0.6,146.85,54.78,109.48,0.09,20.34,16-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
16-Jan-2020 - 00:00,93.46,140.4,70.97,26.21,53.26,78.17,6.16,1.55,5.43,4.31,1.93,3.11,0.52,193.16,53.37,128.76,0.12,18.43,17-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
17-Jan-2020 - 00:00,140.4,203.88,75.63,39.63,54.22,93.9,10.54,1.92,5.34,4.08,3.48,4.63,0.65,178.88,56.57,121.7,0.0,18.43,18-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
18-Jan-2020 - 00:00,142.57,199.51,70.45,43.62,54.49,98.17,8.2,1.7,5.39,3.89,3.43,3.08,0.72,165.06,55.23,120.07,0.03,20.64,19-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
19-Jan-2020 - 00:00,106.62,161.37,62.28,45.69,61.61,104.16,7.84,1.64,5.3,4.58,1.93,3.47,0.64,160.74,52.56,117.5,0.07,22.39,20-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
20-Jan-2020 - 00:00,139.03,206.6,61.24,27.99,54.87,82.85,6.26,1.82,5.49,5.19,3.68,3.61,0.41,216.64,59.13,117.89,0.0,23.14,21-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
21-Jan-2020 - 00:00,152.04,203.15,31.16,25.56,63.29,76.43,5.31,1.86,5.41,5.88,2.15,3.18,0.4,181.97,67.43,115.4,0.02,22.69,22-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
22-Jan-2020 - 00:00,146.92,210.57,28.87,34.43,79.41,95.22,9.4,1.92,5.4,4.79,2.71,4.44,0.52,171.83,61.99,112.31,0.03,23.47,23-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
23-Jan-2020 - 00:00,125.54,193.66,25.05,27.06,67.77,94.2,8.17,1.68,5.46,6.18,3.28,3.73,0.67,170.47,57.33,112.47,0.0,24.89,24-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
24-Jan-2020 - 00:00,130.68,200.82,28.84,30.04,79.93,100.23,9.68,1.75,5.58,6.3,2.23,3.87,0.54,185.66,57.72,114.34,0.0,25.08,25-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
25-Jan-2020 - 00:00,127.55,203.47,26.01,32.82,66.63,99.49,8.82,1.9,5.39,5.75,3.69,2.73,0.58,170.7,55.85,103.18,0.0,24.47,26-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
26-Jan-2020 - 00:00,106.58,164.01,22.97,33.16,63.38,95.66,7.69,1.73,5.38,,,,0.52,173.37,56.63,109.77,0.0,23.66,27-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
27-Jan-2020 - 00:00,100.69,170.22,22.3,30.07,68.99,83.02,5.49,1.56,5.38,2.92,8.53,0.52,0.46,209.46,65.82,114.18,0.0,22.63,28-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
28-Jan-2020 - 00:00,58.84,109.46,22.93,17.34,79.91,81.08,4.99,1.21,5.38,2.17,4.43,0.88,0.48,208.21,68.52,88.29,0.0,21.61,29-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
29-Jan-2020 - 00:00,68.53,128.66,19.1,26.88,49.63,72.17,5.36,1.22,5.27,2.31,3.75,1.66,0.57,147.73,57.29,121.39,0.02,20.41,30-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
30-Jan-2020 - 00:00,197.23,268.6,25.69,18.84,60.37,74.51,6.38,2.13,5.3,16.35,4.28,8.54,0.51,192.14,57.42,135.56,0.0,19.65,31-Jan-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
31-Jan-2020 - 00:00,136.36,200.87,33.7,27.79,86.32,93.61,6.12,1.72,5.39,4.87,4.79,4.43,0.48,204.83,62.26,128.27,0.0,20.57,01-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
01-Feb-2020 - 00:00,91.45,159.28,24.15,33.76,58.5,92.31,4.09,1.62,5.36,5.27,14.99,3.29,0.89,173.06,47.43,131.16,0.0,23.01,02-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
02-Feb-2020 - 00:00,125.31,207.85,25.56,16.77,82.42,89.27,4.93,1.69,5.43,6.65,5.58,3.57,0.55,193.7,50.6,132.32,0.01,24.2,03-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
03-Feb-2020 - 00:00,165.57,234.92,27.81,36.0,88.15,98.16,4.41,1.75,5.38,5.84,3.69,4.3,0.43,214.61,66.31,124.97,0.03,22.05,04-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
04-Feb-2020 - 00:00,134.9,193.36,26.78,37.31,73.97,88.18,4.49,1.81,5.38,6.19,9.8,6.36,0.61,200.09,56.34,134.54,0.01,22.19,05-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
05-Feb-2020 - 00:00,127.2,189.95,29.49,38.63,54.36,89.51,2.78,1.85,5.37,5.8,17.34,3.43,0.72,187.92,47.1,133.91,0.0,21.95,06-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
06-Feb-2020 - 00:00,128.04,225.08,27.46,42.95,74.46,94.88,5.18,1.78,5.4,8.99,11.34,5.46,0.55,200.99,54.4,139.65,0.02,21.23,07-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
07-Feb-2020 - 00:00,118.28,174.68,25.52,26.23,73.97,90.79,4.34,1.58,5.39,6.3,15.16,2.35,0.59,170.32,55.09,134.5,0.01,21.0,08-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
08-Feb-2020 - 00:00,134.79,195.67,30.31,33.91,79.04,98.91,5.55,1.9,5.41,9.26,34.08,5.19,0.74,192.39,49.35,133.12,0.01,23.36,09-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
09-Feb-2020 - 00:00,121.23,175.79,26.74,26.83,59.94,86.8,4.1,1.59,5.4,3.51,12.92,2.35,0.7,205.74,43.85,131.4,0.03,24.35,10-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
10-Feb-2020 - 00:00,107.64,168.09,25.86,17.08,76.36,85.2,2.95,1.84,5.46,4.51,8.11,2.7,0.59,205.05,50.72,130.2,0.02,25.6,11-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
