from date,BP,CH4,PM2.5,RH,SR,VWS,WD,WS,CO,NH3,NOx,NO,NO2,SO2,to date,station
01-Jan-2020 - 00:00,993.52,199.73,37.3,91.56,22.0,-0.44,267.53,0.74,1.33,66.51,31.67,6.51,25.87,31.27,02-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
02-Jan-2020 - 00:00,994.11,201.44,33.03,91.83,33.15,-0.46,253.6,0.57,1.66,60.8,28.95,6.32,22.63,4.99,03-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
03-Jan-2020 - 00:00,994.96,765.14,37.64,89.44,35.31,-0.45,193.32,0.62,1.98,63.02,30.01,9.14,20.87,6.48,04-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
04-Jan-2020 - 00:00,992.72,846.16,37.76,87.99,43.21,-0.44,122.57,0.74,1.92,71.48,34.04,8.84,25.22,4.31,05-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
05-Jan-2020 - 00:00,993.52,859.21,21.99,85.04,42.39,-0.43,165.37,0.79,1.87,37.63,17.92,3.94,13.98,3.53,06-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
06-Jan-2020 - 00:00,,790.56,22.12,87.98,38.95,-0.43,293.75,0.85,1.9,52.78,25.13,5.32,19.94,4.57,07-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
07-Jan-2020 - 00:00,,203.3,52.59,78.51,64.32,-0.4,301.83,1.07,0.89,54.53,25.97,4.94,21.31,72.22,08-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
08-Jan-2020 - 00:00,,,62.63,74.67,101.39,-0.44,288.27,0.83,0.89,65.93,33.76,4.42,29.43,42.49,09-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
09-Jan-2020 - 00:00,,553.77,58.14,72.44,259.43,-0.46,271.26,0.63,1.22,42.64,38.76,7.46,31.34,47.78,10-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
10-Jan-2020 - 00:00,,555.27,63.02,74.78,22.36,-0.45,274.77,0.79,1.15,42.65,39.42,5.48,33.94,22.14,11-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
11-Jan-2020 - 00:00,,379.3,64.69,72.83,28.37,-0.44,274.28,0.86,1.21,41.84,45.21,7.67,37.62,19.2,12-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
12-Jan-2020 - 00:00,,,78.44,83.06,20.29,-0.44,271.98,0.8,1.31,44.34,25.07,4.05,21.03,16.52,13-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
13-Jan-2020 - 00:00,,297.87,98.41,76.04,27.49,-0.45,281.22,0.71,1.29,43.39,33.39,4.07,29.32,51.73,14-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
14-Jan-2020 - 00:00,,356.29,100.06,65.95,32.9,-0.45,267.27,0.63,1.55,41.94,45.95,7.97,38.02,59.4,15-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
15-Jan-2020 - 00:00,,98.31,84.25,65.02,28.83,-0.44,274.95,0.72,0.65,43.85,29.26,4.05,25.35,35.22,16-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
