from date,BP,CH4,PM2.5,RH,SR,VWS,WD,WS,CO,NH3,NOx,NO,NO2,SO2,to date,station
16-Jan-2020 - 00:00,,239.73,80.55,67.94,26.88,-0.44,284.87,0.76,0.83,44.25,25.9,4.49,21.65,73.8,17-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
17-Jan-2020 - 00:00,,308.49,58.82,81.44,15.22,-0.43,290.69,0.85,0.95,43.92,27.97,6.52,21.89,66.21,18-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
18-Jan-2020 - 00:00,,98.29,50.55,81.22,58.71,-0.42,293.0,0.93,1.45,44.75,30.52,5.58,25.31,86.48,19-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
19-Jan-2020 - 00:00,,304.72,62.43,75.3,83.13,-0.44,290.99,0.8,1.13,42.37,50.46,10.14,42.17,67.26,20-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
20-Jan-2020 - 00:00,,253.03,67.36,74.4,87.84,-0.44,267.43,0.77,1.48,37.54,81.16,14.37,67.28,50.62,21-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
21-Jan-2020 - 00:00,,176.35,82.12,71.81,78.94,-0.43,279.38,0.9,1.22,39.5,66.91,7.61,59.47,46.17,22-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
22-Jan-2020 - 00:00,,85.01,78.24,76.98,74.02,-0.43,269.94,0.94,1.55,40.72,56.09,6.42,50.01,25.84,23-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
23-Jan-2020 - 00:00,,335.74,92.26,73.99,76.58,-0.43,280.66,0.89,1.32,43.09,36.34,5.56,31.37,37.68,24-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
24-Jan-2020 - 00:00,,337.85,97.13,77.54,35.86,-0.45,269.96,0.79,1.3,39.65,63.18,10.96,52.25,46.3,25-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
25-Jan-2020 - 00:00,,183.07,81.88,75.26,55.62,-0.46,262.16,0.64,1.18,40.5,55.6,11.61,44.06,34.09,26-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
26-Jan-2020 - 00:00,,433.18,60.28,71.0,33.5,-0.45,135.27,0.62,1.13,42.14,39.58,13.37,26.27,8.91,27-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
27-Jan-2020 - 00:00,,267.0,67.08,73.16,65.41,-0.43,83.38,0.71,1.65,42.57,39.27,7.46,31.84,8.28,28-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
28-Jan-2020 - 00:00,,250.64,81.97,71.66,88.73,-0.43,91.72,0.69,1.79,43.25,33.3,6.16,27.15,7.27,29-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
29-Jan-2020 - 00:00,,275.79,71.91,76.91,80.47,-0.43,95.71,0.73,1.43,43.18,33.16,7.96,25.23,6.0,30-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
30-Jan-2020 - 00:00,,226.22,63.94,77.3,84.99,-0.43,95.7,0.74,1.74,42.28,39.6,11.12,28.55,7.14,31-Jan-2020 - 00:00,"Manali, Chennai - CPCB"
31-Jan-2020 - 00:00,,600.58,62.44,75.71,35.24,-0.43,144.79,0.71,2.28,43.16,33.4,7.79,25.62,11.54,01-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
01-Feb-2020 - 00:00,,594.94,68.27,74.96,10.44,-0.44,180.54,0.69,1.67,44.69,31.76,9.03,23.72,18.4,02-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
02-Feb-2020 - 00:00,,,52.61,68.09,81.81,-0.43,244.22,0.77,1.23,44.9,19.81,4.84,15.44,35.89,03-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
03-Feb-2020 - 00:00,,,64.95,70.24,92.74,-0.42,288.73,0.87,1.53,43.94,27.37,6.0,21.48,41.64,04-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
04-Feb-2020 - 00:00,,,70.57,72.89,29.87,-0.43,284.67,0.8,1.41,43.76,28.61,7.23,21.47,43.15,05-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
05-Feb-2020 - 00:00,,299.95,78.44,65.03,45.04,-0.45,215.97,0.65,1.12,45.77,25.58,4.94,21.24,24.32,06-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
06-Feb-2020 - 00:00,,286.53,65.23,66.21,44.35,-0.43,102.48,0.71,1.23,40.18,57.99,16.01,42.45,9.95,07-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
07-Feb-2020 - 00:00,,,52.33,66.74,72.63,-0.42,69.38,0.73,0.82,43.48,30.92,7.77,23.25,10.0,08-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
08-Feb-2020 - 00:00,,,26.92,64.45,102.59,-0.42,80.03,0.79,0.93,44.82,20.11,5.91,14.26,9.8,09-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
09-Feb-2020 - 00:00,,,26.31,69.43,89.71,-0.42,210.22,0.91,1.25,45.05,18.3,4.86,13.46,34.07,10-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
10-Feb-2020 - 00:00,,,42.56,64.65,99.64,-0.4,296.42,1.14,0.87,44.27,26.04,3.84,22.34,13.76,11-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
11-Feb-2020 - 00:00,991.32,300.0,25.18,68.75,45.59,-0.38,292.92,1.31,1.16,42.23,68.83,6.49,64.35,15.65,12-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
12-Feb-2020 - 00:00,987.75,322.79,31.19,71.19,44.66,-0.38,283.71,1.38,1.3,40.78,60.09,9.12,52.07,16.75,13-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
13-Feb-2020 - 00:00,982.88,,77.85,73.91,48.76,-0.4,275.33,1.24,1.22,42.92,36.29,7.12,29.27,39.55,14-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
14-Feb-2020 - 00:00,955.55,,63.29,67.85,52.06,-0.44,247.96,0.7,1.6,43.5,31.88,4.77,27.15,44.2,15-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
15-Feb-2020 - 00:00,897.65,,64.59,67.63,41.3,-0.45,192.64,0.62,1.46,43.03,35.45,5.9,29.74,42.37,16-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
16-Feb-2020 - 00:00,946.22,,36.13,61.64,57.58,-0.44,245.64,0.67,1.13,44.48,23.05,5.07,18.0,34.81,17-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
17-Feb-2020 - 00:00,968.75,,47.16,58.09,57.02,-0.44,226.48,0.63,1.02,44.01,27.86,5.0,22.9,32.08,18-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
18-Feb-2020 - 00:00,940.48,,47.74,62.22,55.31,-0.45,205.11,0.6,1.48,42.87,36.49,7.89,28.61,17.65,19-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
19-Feb-2020 - 00:00,973.25,,46.55,60.5,47.38,-0.43,258.57,0.74,1.11,43.78,28.9,6.28,22.64,36.68,20-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
20-Feb-2020 - 00:00,987.05,,54.28,58.08,55.84,-0.42,288.99,0.84,1.1,44.76,21.44,3.75,17.73,64.88,21-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
21-Feb-2020 - 00:00,975.69,,48.89,69.46,52.64,-0.4,263.22,1.25,1.22,43.3,31.84,8.49,23.49,12.61,22-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
22-Feb-2020 - 00:00,994.05,,34.59,73.44,41.8,-0.38,287.1,1.43,1.81,45.52,15.12,3.28,11.87,16.1,23-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
23-Feb-2020 - 00:00,993.52,,35.29,72.61,38.56,-0.4,289.55,1.13,1.22,45.4,15.61,3.1,12.52,53.37,24-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
24-Feb-2020 - 00:00,976.62,,20.41,77.33,38.21,-0.44,285.7,0.66,1.95,44.8,21.15,3.53,17.69,26.78,25-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
25-Feb-2020 - 00:00,904.29,674.34,38.62,80.44,120.5,-0.43,161.51,0.74,2.07,44.51,22.81,4.94,18.06,23.41,26-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
26-Feb-2020 - 00:00,,726.07,63.97,74.37,331.92,-0.44,221.24,0.67,0.8,44.8,20.93,4.01,16.96,13.52,27-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
27-Feb-2020 - 00:00,,732.96,63.35,70.08,325.48,-0.43,280.79,0.87,1.36,45.13,17.74,3.61,14.17,18.44,28-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
28-Feb-2020 - 00:00,,733.26,71.88,69.96,308.81,-0.42,274.72,0.87,2.1,44.65,23.86,4.64,19.61,49.26,29-Feb-2020 - 00:00,"Manali, Chennai - CPCB"
29-Feb-2020 - 00:00,,717.61,45.86,71.57,311.79,-0.43,278.09,0.79,1.34,43.38,32.47,7.16,25.84,39.96,01-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
01-Mar-2020 - 00:00,,725.46,56.85,63.98,342.7,-0.43,202.97,0.74,0.77,45.07,18.5,4.88,14.38,29.78,02-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
02-Mar-2020 - 00:00,,726.86,57.68,64.95,301.09,-0.43,232.41,0.71,1.26,44.0,28.44,4.22,24.42,51.88,03-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
03-Mar-2020 - 00:00,,729.49,35.05,66.66,313.52,-0.44,188.26,0.71,1.18,43.18,34.12,5.98,28.31,45.63,04-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
04-Mar-2020 - 00:00,,725.79,23.97,74.2,319.16,-0.43,153.35,0.76,1.68,44.06,26.57,5.46,21.19,11.01,05-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
05-Mar-2020 - 00:00,,724.41,22.93,72.18,328.22,-0.41,47.91,0.85,1.24,45.87,22.36,6.3,16.42,4.32,06-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
06-Mar-2020 - 00:00,,736.47,39.87,72.78,304.07,-0.41,46.27,0.87,1.02,45.47,16.67,4.58,12.42,1.81,07-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
07-Mar-2020 - 00:00,,740.96,54.79,70.96,290.97,-0.4,31.0,0.87,1.1,45.34,17.6,7.51,11.89,1.83,08-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
08-Mar-2020 - 00:00,,727.69,44.68,68.28,170.52,-0.42,122.51,0.8,1.43,45.41,17.5,6.23,12.72,12.24,09-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
09-Mar-2020 - 00:00,,711.19,47.44,70.24,54.99,-0.43,154.69,0.76,1.14,44.43,22.83,6.89,16.11,6.33,10-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
10-Mar-2020 - 00:00,,720.06,53.89,67.02,267.68,-0.42,171.83,0.78,0.94,44.59,21.24,6.61,14.65,6.2,11-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
11-Mar-2020 - 00:00,,720.79,20.8,66.65,340.2,-0.42,57.14,0.83,1.35,44.82,19.2,5.8,13.58,13.67,12-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
12-Mar-2020 - 00:00,,727.09,35.11,67.5,339.31,-0.42,48.8,0.76,1.29,44.6,21.82,5.65,16.17,5.62,13-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
13-Mar-2020 - 00:00,,713.83,42.55,72.53,358.0,-0.44,121.8,0.67,1.45,44.63,21.15,6.26,14.95,6.9,14-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
14-Mar-2020 - 00:00,993.58,436.34,54.36,71.42,203.42,-0.44,208.97,0.64,1.07,44.16,25.35,6.35,19.1,44.27,15-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
15-Mar-2020 - 00:00,970.48,294.17,53.81,67.05,152.08,-0.44,283.62,0.73,0.57,44.38,23.8,5.64,18.15,55.54,16-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
16-Mar-2020 - 00:00,993.95,277.41,49.19,68.32,360.56,-0.43,305.63,0.83,1.18,45.22,19.9,4.97,15.08,60.08,17-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
17-Mar-2020 - 00:00,988.34,266.91,63.06,73.66,318.61,-0.43,182.1,0.75,1.28,47.28,18.75,4.6,14.37,6.58,18-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
18-Mar-2020 - 00:00,883.12,381.73,54.84,76.87,269.38,-0.44,169.26,0.67,1.14,44.62,21.5,6.58,15.0,4.01,19-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
19-Mar-2020 - 00:00,863.66,698.97,45.28,69.06,360.89,-0.43,67.27,0.69,1.54,45.61,24.48,5.75,19.0,5.08,20-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
20-Mar-2020 - 00:00,815.74,557.88,42.95,75.77,284.76,-0.42,110.7,0.82,1.82,44.91,19.54,4.48,15.07,5.64,21-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
21-Mar-2020 - 00:00,804.56,614.77,40.78,72.01,266.45,-0.4,60.31,0.88,2.11,45.21,16.8,4.59,12.24,4.71,22-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
22-Mar-2020 - 00:00,804.53,687.78,58.1,68.58,356.4,-0.4,97.81,0.93,1.75,45.99,10.74,3.57,7.22,3.1,23-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
23-Mar-2020 - 00:00,803.33,751.16,33.93,65.94,352.41,-0.42,100.4,0.79,1.48,45.51,14.7,3.76,10.99,4.69,24-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
24-Mar-2020 - 00:00,802.37,655.53,37.71,70.59,364.78,-0.43,158.51,0.72,0.56,47.49,11.44,4.14,7.76,3.47,25-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
25-Mar-2020 - 00:00,,709.86,31.3,69.97,359.42,-0.43,157.48,0.73,1.23,46.59,5.7,3.18,2.72,4.21,26-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
26-Mar-2020 - 00:00,,727.14,43.16,70.8,320.36,-0.44,218.87,0.69,0.88,46.23,8.04,3.81,5.88,9.31,27-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
27-Mar-2020 - 00:00,,720.08,38.27,64.01,365.5,-0.44,144.62,0.65,0.74,46.66,4.7,3.26,1.74,3.91,28-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
28-Mar-2020 - 00:00,,720.58,45.42,68.81,359.19,-0.44,179.79,0.67,0.63,46.56,5.57,3.1,2.51,1.85,29-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
29-Mar-2020 - 00:00,,723.44,36.38,68.48,364.55,-0.43,120.68,0.79,0.66,45.63,22.36,9.29,15.14,2.98,30-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
30-Mar-2020 - 00:00,,731.36,40.83,69.66,360.17,-0.44,116.75,0.66,0.71,44.6,22.29,4.68,18.19,3.89,31-Mar-2020 - 00:00,"Manali, Chennai - CPCB"
31-Mar-2020 - 00:00,,729.13,45.91,69.21,289.54,-0.45,177.65,0.61,0.54,44.5,23.8,3.99,20.7,4.01,01-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
01-Apr-2020 - 00:00,,729.98,53.48,70.32,215.54,-0.44,107.13,0.69,0.78,43.95,28.76,4.45,24.68,2.69,02-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
02-Apr-2020 - 00:00,,737.03,51.2,71.64,215.88,-0.41,65.65,0.82,0.77,45.39,19.22,4.89,14.94,2.52,03-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
03-Apr-2020 - 00:00,,726.5,36.97,74.24,181.5,-0.41,79.59,0.96,0.78,45.14,18.27,4.15,14.34,2.82,04-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
04-Apr-2020 - 00:00,,735.55,27.48,67.27,218.85,-0.42,180.76,0.85,0.75,45.07,19.82,5.54,14.95,3.07,05-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
05-Apr-2020 - 00:00,,718.8,31.43,73.59,258.1,-0.41,38.7,0.85,0.61,45.18,17.06,5.41,12.32,4.92,06-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
06-Apr-2020 - 00:00,,720.83,22.08,72.52,264.96,-0.4,66.21,0.92,0.94,45.19,22.03,10.54,14.02,2.64,07-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
07-Apr-2020 - 00:00,,742.49,21.84,70.25,166.77,-0.4,63.82,0.97,0.85,45.34,16.28,5.03,12.15,3.1,08-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
08-Apr-2020 - 00:00,,744.48,28.17,72.1,156.75,-0.39,58.15,1.11,0.73,45.39,15.54,5.01,11.11,2.35,09-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
09-Apr-2020 - 00:00,,720.66,23.91,80.18,164.57,-0.4,102.33,1.05,0.78,51.05,21.07,6.24,15.86,2.68,10-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
10-Apr-2020 - 00:00,,738.38,24.12,76.78,226.7,-0.43,162.58,0.82,0.6,49.55,22.98,7.47,16.27,2.7,11-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
11-Apr-2020 - 00:00,,723.44,25.3,69.8,213.57,-0.44,170.89,0.75,0.62,43.75,26.85,10.89,16.11,2.87,12-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
12-Apr-2020 - 00:00,,730.29,28.55,71.88,203.81,-0.43,119.65,0.78,0.98,44.52,22.53,6.13,16.57,2.88,13-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
13-Apr-2020 - 00:00,,730.8,30.37,72.05,184.65,-0.43,70.54,0.77,0.93,44.5,23.19,5.11,18.09,3.28,14-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
14-Apr-2020 - 00:00,,736.31,28.23,72.13,216.88,-0.43,136.78,0.84,0.79,45.64,15.5,3.81,11.97,3.17,15-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
15-Apr-2020 - 00:00,,729.34,21.22,71.85,172.05,-0.43,95.76,0.75,0.62,50.99,16.1,6.0,9.93,3.13,16-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
16-Apr-2020 - 00:00,,732.13,19.59,76.64,198.49,-0.41,68.8,0.98,0.67,53.15,17.57,6.55,10.93,3.14,17-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
17-Apr-2020 - 00:00,,742.25,10.53,73.89,246.59,-0.39,54.45,1.12,0.66,51.86,17.9,6.73,11.15,4.76,18-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
18-Apr-2020 - 00:00,,728.49,14.62,73.95,336.16,-0.37,44.62,1.28,0.77,62.05,19.79,7.43,12.32,3.23,19-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
19-Apr-2020 - 00:00,,723.69,13.77,70.02,276.41,-0.4,59.97,1.06,0.73,53.62,21.97,8.21,13.7,2.41,20-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
20-Apr-2020 - 00:00,,725.6,16.73,71.29,200.96,-0.42,95.15,0.86,0.54,36.18,12.7,4.72,7.94,2.89,21-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
21-Apr-2020 - 00:00,,736.27,22.95,65.89,195.4,-0.4,74.18,1.05,0.84,47.69,12.53,4.35,7.83,2.71,22-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
22-Apr-2020 - 00:00,,727.83,23.12,67.81,123.79,-0.38,53.73,1.15,0.56,47.11,23.19,6.73,17.03,2.56,23-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
23-Apr-2020 - 00:00,,724.47,12.26,74.67,186.88,-0.37,51.83,1.32,0.54,44.09,30.29,8.88,23.84,2.91,24-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
24-Apr-2020 - 00:00,,740.9,14.02,73.39,184.84,-0.36,64.75,1.38,0.83,43.71,30.5,6.03,25.8,2.66,25-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
25-Apr-2020 - 00:00,,721.84,20.2,70.75,187.14,-0.36,63.14,1.47,0.93,46.97,29.4,8.1,26.58,1.79,26-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
26-Apr-2020 - 00:00,,769.19,19.27,86.19,242.71,-0.41,97.47,0.96,1.17,45.37,17.07,7.23,11.9,1.58,27-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
27-Apr-2020 - 00:00,,748.24,16.71,85.25,123.02,-0.41,64.58,1.04,1.24,44.89,20.31,6.82,14.62,2.44,28-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
28-Apr-2020 - 00:00,,733.88,8.27,76.28,266.89,-0.41,65.64,0.99,1.11,45.09,18.64,6.63,12.51,2.57,29-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
29-Apr-2020 - 00:00,,737.61,17.52,66.33,191.18,-0.44,155.87,0.69,0.92,44.9,20.04,5.8,15.58,2.27,30-Apr-2020 - 00:00,"Manali, Chennai - CPCB"
30-Apr-2020 - 00:00,,739.93,17.16,68.27,191.13,-0.41,75.86,0.95,0.83,43.83,33.74,8.31,27.69,3.22,01-May-2020 - 00:00,"Manali, Chennai - CPCB"
01-May-2020 - 00:00,,741.81,18.66,67.95,171.86,-0.39,63.65,1.1,1.06,46.36,7.64,3.59,4.3,2.93,02-May-2020 - 00:00,"Manali, Chennai - CPCB"
02-May-2020 - 00:00,,747.51,15.07,69.9,181.82,-0.39,50.78,1.19,0.84,46.57,5.46,3.24,2.4,2.61,03-May-2020 - 00:00,"Manali, Chennai - CPCB"
03-May-2020 - 00:00,,739.47,12.6,68.12,173.96,-0.39,48.88,1.15,1.06,46.68,4.67,3.33,1.67,1.7,04-May-2020 - 00:00,"Manali, Chennai - CPCB"
04-May-2020 - 00:00,,748.79,7.49,69.01,55.54,-0.39,55.07,1.18,0.93,47.05,1.53,3.0,0.63,2.46,05-May-2020 - 00:00,"Manali, Chennai - CPCB"
05-May-2020 - 00:00,,731.32,6.06,71.07,194.94,-0.38,37.72,1.24,1.1,46.47,7.12,3.61,5.14,1.79,06-May-2020 - 00:00,"Manali, Chennai - CPCB"
06-May-2020 - 00:00,,737.2,8.49,70.08,172.52,-0.39,49.25,1.14,0.86,45.3,11.5,3.06,8.6,2.26,07-May-2020 - 00:00,"Manali, Chennai - CPCB"
07-May-2020 - 00:00,,728.11,10.18,70.37,166.48,-0.41,47.43,1.0,1.0,44.93,11.08,2.85,8.72,2.85,08-May-2020 - 00:00,"Manali, Chennai - CPCB"
08-May-2020 - 00:00,,741.03,13.66,69.08,48.15,-0.4,63.93,1.08,0.9,45.51,8.94,2.57,7.01,2.59,09-May-2020 - 00:00,"Manali, Chennai - CPCB"
09-May-2020 - 00:00,,734.89,13.33,70.34,219.61,-0.41,103.27,0.95,0.83,45.57,7.94,2.73,5.68,2.66,10-May-2020 - 00:00,"Manali, Chennai - CPCB"
10-May-2020 - 00:00,,727.03,15.04,68.55,248.75,-0.42,186.11,0.91,0.94,45.6,7.83,3.6,5.08,2.08,11-May-2020 - 00:00,"Manali, Chennai - CPCB"
11-May-2020 - 00:00,,731.62,11.36,28.34,172.03,-0.43,225.42,0.8,0.87,44.92,9.25,3.66,6.0,2.98,12-May-2020 - 00:00,"Manali, Chennai - CPCB"
12-May-2020 - 00:00,,730.64,11.05,46.89,170.73,-0.44,157.32,0.72,0.87,44.48,11.45,3.55,7.98,2.58,13-May-2020 - 00:00,"Manali, Chennai - CPCB"
13-May-2020 - 00:00,,721.24,9.87,32.83,183.56,-0.42,115.46,0.83,0.54,46.89,9.01,2.15,7.47,2.4,14-May-2020 - 00:00,"Manali, Chennai - CPCB"
14-May-2020 - 00:00,,731.24,15.54,18.7,169.44,-0.43,239.09,0.77,0.73,43.18,22.43,6.46,16.44,2.98,15-May-2020 - 00:00,"Manali, Chennai - CPCB"
15-May-2020 - 00:00,,735.56,42.85,22.32,173.86,-0.42,274.52,1.01,1.05,40.99,38.02,13.91,24.51,2.33,16-May-2020 - 00:00,"Manali, Chennai - CPCB"
16-May-2020 - 00:00,,738.58,75.32,41.71,35.56,-0.41,270.04,1.11,1.06,46.29,17.98,6.26,12.22,3.55,17-May-2020 - 00:00,"Manali, Chennai - CPCB"
17-May-2020 - 00:00,,739.54,25.72,30.03,164.16,-0.43,255.24,0.88,0.6,43.28,29.78,7.98,22.25,2.75,18-May-2020 - 00:00,"Manali, Chennai - CPCB"
18-May-2020 - 00:00,,739.51,37.99,0.43,188.93,-0.44,192.54,0.72,1.74,44.6,22.9,5.4,17.83,4.12,19-May-2020 - 00:00,"Manali, Chennai - CPCB"
