from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
28-Jan-2020 - 00:00,48.66,137.61,55.81,7.07,35.43,11.71,10.98,1.13,39.29,23.91,1.32,214.88,57.28,715.55,134.71,0.0,29-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
29-Jan-2020 - 00:00,61.07,153.53,52.07,9.97,35.81,10.74,7.83,1.15,29.24,21.82,0.98,180.73,61.54,719.88,142.3,0.0,30-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
30-Jan-2020 - 00:00,55.23,122.59,42.61,6.49,27.95,11.68,4.82,0.95,45.11,19.11,1.29,105.5,57.01,721.31,145.49,0.0,31-Jan-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
31-Jan-2020 - 00:00,50.34,111.14,45.57,3.76,27.3,9.21,7.23,0.96,43.93,17.88,1.18,138.79,54.14,719.92,151.96,0.0,01-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
01-Feb-2020 - 00:00,62.17,133.81,49.42,5.76,30.97,11.01,8.28,0.99,44.48,18.67,1.16,92.92,51.91,721.28,152.8,0.0,02-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
02-Feb-2020 - 00:00,60.03,137.1,55.26,5.82,34.12,11.03,9.3,1.02,42.05,18.72,0.95,138.53,49.61,723.32,151.64,0.0,03-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
03-Feb-2020 - 00:00,54.78,128.79,47.39,3.79,28.28,11.72,10.82,1.02,48.99,19.72,1.04,102.3,52.36,721.9,151.88,0.0,04-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
04-Feb-2020 - 00:00,81.42,138.17,50.2,5.3,31.0,18.67,7.36,1.03,19.94,17.69,0.88,137.83,79.28,719.67,79.9,0.05,05-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
05-Feb-2020 - 00:00,105.44,176.68,62.12,32.45,59.41,18.95,8.51,1.23,19.35,19.97,0.78,117.14,72.48,720.26,149.75,0.0,06-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
06-Feb-2020 - 00:00,57.28,122.68,44.25,2.93,25.92,12.6,8.59,0.82,46.72,20.67,1.14,115.62,55.74,719.51,136.05,0.0,07-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
07-Feb-2020 - 00:00,71.19,135.98,42.72,3.18,25.3,13.65,22.7,0.84,46.6,20.35,1.23,111.29,63.11,720.19,145.28,0.0,08-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
08-Feb-2020 - 00:00,69.28,142.17,42.54,2.49,24.66,11.25,8.32,0.86,64.01,19.34,1.43,86.84,52.95,723.11,153.12,0.0,09-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
09-Feb-2020 - 00:00,68.48,130.91,47.8,5.1,29.58,12.28,9.63,0.89,57.04,18.79,1.15,132.11,52.5,724.29,150.75,0.0,10-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
10-Feb-2020 - 00:00,74.61,169.09,64.53,10.99,43.26,10.88,8.68,1.21,36.62,19.21,0.86,150.59,49.16,722.75,146.85,0.0,11-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
11-Feb-2020 - 00:00,77.04,171.08,64.0,10.0,42.17,12.62,9.42,1.17,38.03,20.44,0.9,140.56,52.78,722.75,146.18,0.0,12-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
12-Feb-2020 - 00:00,91.31,196.17,71.71,38.35,69.31,14.76,9.71,1.17,36.04,20.97,0.85,156.06,56.59,723.29,144.51,0.0,13-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
13-Feb-2020 - 00:00,78.53,164.81,65.43,45.88,72.11,12.2,9.56,1.2,32.27,22.23,1.12,187.5,56.93,720.81,143.3,0.0,14-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
14-Feb-2020 - 00:00,84.59,225.41,74.27,38.41,70.73,15.27,9.1,1.41,33.88,23.21,0.92,175.09,57.38,718.22,142.54,0.0,15-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
15-Feb-2020 - 00:00,76.51,213.05,67.65,28.91,59.5,13.52,7.16,1.27,32.35,22.51,0.94,179.86,55.27,718.81,143.21,0.0,16-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
16-Feb-2020 - 00:00,64.93,166.4,67.12,57.48,82.43,10.22,7.65,1.11,33.8,22.33,1.02,156.65,48.62,720.78,140.45,0.0,17-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
17-Feb-2020 - 00:00,58.78,156.79,70.6,63.59,79.58,9.17,7.59,1.24,29.13,21.89,1.03,156.06,46.02,721.78,145.3,0.0,18-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
