from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
01-Jan-2020 - 00:00,38.94,38.15,22.19,15.9,28.52,1.35,20.91,127.05,216.12,11.91,19.51,4.32,10.07,69.61,3.32,162.07,195.5,0.0,02-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
02-Jan-2020 - 00:00,34.25,32.02,17.61,14.07,16.67,0.96,14.55,96.99,157.79,9.75,18.09,4.03,9.6,64.04,3.24,199.27,171.84,0.0,03-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
03-Jan-2020 - 00:00,30.24,25.45,12.03,14.8,19.59,0.99,21.34,97.26,168.58,11.24,23.18,6.13,10.76,66.69,3.48,259.94,180.21,0.0,04-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
04-Jan-2020 - 00:00,25.72,17.7,5.32,12.51,22.79,0.79,31.57,122.14,176.75,8.2,16.93,3.56,6.56,86.82,3.78,271.25,179.94,0.0,05-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
05-Jan-2020 - 00:00,18.03,11.02,1.99,10.05,20.04,0.6,35.93,97.02,150.78,6.55,13.97,2.66,4.37,81.07,4.46,299.07,203.03,0.0,06-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
06-Jan-2020 - 00:00,21.38,13.75,3.22,10.29,19.86,0.55,12.94,71.85,102.37,6.02,13.92,2.33,4.61,97.12,3.39,226.67,55.6,0.0,07-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
07-Jan-2020 - 00:00,15.56,9.83,2.12,6.49,11.0,0.4,16.85,39.83,55.09,4.58,12.26,2.12,3.28,97.91,3.71,94.46,48.84,0.0,08-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
08-Jan-2020 - 00:00,23.64,14.01,2.25,11.43,12.75,0.41,18.65,37.3,51.08,5.0,11.92,1.77,3.19,86.62,3.34,149.09,43.32,0.0,09-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
09-Jan-2020 - 00:00,24.63,14.97,2.63,15.7,13.3,0.45,27.65,52.88,79.5,5.57,11.74,1.7,3.24,84.59,4.51,298.5,141.44,0.0,10-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
10-Jan-2020 - 00:00,31.13,18.86,3.24,17.25,7.77,0.61,32.39,66.45,105.3,7.33,13.38,2.85,4.6,90.68,4.49,297.52,199.88,0.0,11-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
11-Jan-2020 - 00:00,42.11,28.33,7.89,23.77,17.21,0.84,31.32,93.61,162.99,9.02,16.77,4.15,7.73,92.98,3.77,289.03,189.98,0.0,12-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
