from date,SO2,CO,Ozone,PM2.5,Benzene,Toluene,MP-Xylene,RH,VWS,BP,SR,Eth-Benzene,WS,WD,NO,NO2,NOx,to date,station
26-Jan-2020 - 00:00,7.77,2.04,46.02,135.42,1.99,6.0,3.99,73.66,-0.24,781.04,80.99,3.01,0.8,219.11,98.15,49.9,99.18,27-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Jan-2020 - 00:00,6.91,1.49,29.75,120.56,2.0,6.01,4.0,68.96,-0.18,775.93,86.11,3.0,0.84,125.06,80.12,72.02,100.16,28-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Jan-2020 - 00:00,8.02,0.74,29.54,75.57,2.0,6.02,4.02,82.73,-0.08,773.83,95.8,3.0,1.43,117.92,4.85,62.17,34.1,29-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Jan-2020 - 00:00,8.94,0.74,42.54,43.43,1.99,6.01,4.0,78.22,-0.2,783.61,106.68,3.0,0.75,210.97,10.04,47.87,30.7,30-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Jan-2020 - 00:00,8.37,0.74,48.54,53.86,2.02,6.0,3.98,78.07,-0.19,785.28,121.78,3.01,0.97,270.9,6.4,44.82,25.65,31-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-Jan-2020 - 00:00,9.09,1.03,48.84,58.68,2.01,5.97,3.98,79.85,-0.21,782.55,115.22,3.01,0.81,229.72,20.1,48.76,39.25,01-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Feb-2020 - 00:00,8.72,2.05,46.2,72.43,2.01,6.0,3.98,75.09,-0.2,786.14,113.06,3.0,0.88,195.84,64.27,52.41,77.12,02-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Feb-2020 - 00:00,8.41,2.29,52.42,69.19,2.0,6.01,4.01,77.48,-0.21,789.19,117.27,3.0,0.87,240.28,12.53,35.94,27.17,03-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Feb-2020 - 00:00,9.16,2.79,50.62,87.04,2.0,5.99,4.0,69.74,-0.23,786.9,122.27,3.0,0.82,228.26,69.43,45.11,77.44,04-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Feb-2020 - 00:00,8.82,3.49,46.5,107.85,2.0,6.01,4.01,67.5,-0.23,783.91,119.0,3.0,0.71,169.89,115.14,60.89,122.53,05-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Feb-2020 - 00:00,7.84,2.96,54.57,115.31,2.0,6.01,4.01,72.31,-0.21,784.41,128.42,3.0,0.87,231.78,51.8,48.46,65.12,06-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Feb-2020 - 00:00,7.88,2.5,57.95,72.13,2.0,6.0,3.99,72.27,-0.22,783.75,126.12,3.0,0.78,226.85,28.32,43.9,43.91,07-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Feb-2020 - 00:00,9.0,3.01,54.9,105.24,1.98,5.97,3.99,69.81,-0.22,787.04,119.57,3.0,0.83,240.47,90.95,54.13,99.52,08-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Feb-2020 - 00:00,8.19,2.2,68.51,89.6,2.0,6.01,4.02,71.68,-0.2,789.99,128.16,3.01,0.96,248.0,15.12,44.88,33.87,09-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Feb-2020 - 00:00,8.81,2.35,60.83,93.69,2.0,6.0,3.98,68.6,-0.23,790.38,126.22,3.0,0.84,237.29,23.93,46.85,41.69,10-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Feb-2020 - 00:00,8.91,3.18,64.9,114.64,2.0,6.01,4.02,71.51,-0.22,787.53,125.13,3.0,0.87,227.4,71.15,50.34,81.68,11-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Feb-2020 - 00:00,9.81,3.21,54.03,133.19,1.99,5.98,4.0,66.46,-0.22,787.6,141.2,3.0,0.9,230.69,99.47,45.11,102.06,12-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Feb-2020 - 00:00,8.85,2.07,67.58,102.46,1.97,6.01,4.03,65.7,-0.16,786.13,136.31,2.99,1.28,259.03,24.76,34.6,36.27,13-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Feb-2020 - 00:00,11.51,1.44,72.44,59.77,1.99,6.0,4.04,56.21,-0.13,780.6,139.55,2.99,1.45,279.15,9.9,25.53,19.57,14-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Feb-2020 - 00:00,12.05,1.73,79.88,60.81,1.99,6.01,4.02,56.96,-0.07,776.91,160.3,3.02,1.74,285.96,8.5,20.44,15.81,15-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Feb-2020 - 00:00,11.4,1.77,86.58,50.52,2.0,5.99,3.99,45.71,-0.12,777.5,127.75,2.99,1.47,271.82,10.32,26.39,20.18,16-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Feb-2020 - 00:00,12.95,2.3,68.35,75.91,2.0,6.0,3.99,53.72,-0.2,781.95,156.71,3.01,1.02,228.29,43.57,44.04,56.34,17-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Feb-2020 - 00:00,11.09,2.66,49.34,92.08,1.99,5.99,3.97,62.19,-0.21,783.89,129.08,3.0,0.94,225.15,66.25,44.88,74.83,18-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Feb-2020 - 00:00,11.69,2.4,55.06,72.56,1.99,6.0,4.04,52.03,-0.2,780.37,176.2,3.0,1.06,222.01,76.34,46.31,84.53,19-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Feb-2020 - 00:00,11.69,2.05,59.96,84.88,2.01,5.99,3.98,56.64,-0.09,776.46,161.64,2.99,1.45,127.91,111.43,37.76,107.44,20-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Feb-2020 - 00:00,10.97,1.72,82.24,82.94,2.02,6.02,4.0,48.6,0.02,774.76,171.66,2.99,1.88,88.82,8.68,31.25,21.66,21-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Feb-2020 - 00:00,11.54,2.24,9.71,46.18,2.0,6.04,4.05,93.33,-0.22,786.98,28.54,3.0,0.54,130.63,24.79,38.39,38.33,22-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Feb-2020 - 00:00,6.42,1.64,29.79,49.49,2.97,5.98,3.96,73.39,-0.16,786.43,191.9,2.99,1.05,135.28,36.35,36.01,43.4,23-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Feb-2020 - 00:00,2.89,1.59,34.21,94.62,2.01,6.03,4.01,78.5,-0.2,783.93,122.3,2.99,0.85,220.6,23.06,42.95,40.09,24-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Feb-2020 - 00:00,5.16,1.11,25.02,67.57,1.99,6.0,3.99,78.09,-0.21,779.1,138.13,3.01,0.91,236.36,31.3,42.26,44.67,25-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Feb-2020 - 00:00,7.62,0.74,36.88,83.35,1.99,6.0,3.99,71.7,-0.18,776.78,190.08,2.99,1.07,240.56,6.65,46.3,28.33,26-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Feb-2020 - 00:00,10.33,1.28,44.66,101.37,1.98,5.98,3.98,65.11,-0.2,777.21,174.34,3.0,0.97,215.58,89.95,54.72,99.56,27-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Feb-2020 - 00:00,8.29,0.8,21.9,74.34,1.99,6.0,4.02,73.33,-0.15,778.06,124.09,3.01,1.09,129.47,14.72,64.22,43.83,28-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Feb-2020 - 00:00,5.59,0.95,60.44,58.95,2.0,6.04,4.0,69.85,0.01,775.14,137.78,3.01,1.74,97.01,2.48,42.05,22.59,29-Feb-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Feb-2020 - 00:00,3.95,1.01,55.29,34.91,2.0,5.96,4.04,78.45,-0.02,775.39,93.66,3.0,1.55,85.03,4.34,39.04,22.91,01-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Mar-2020 - 00:00,3.43,1.18,69.22,25.89,2.01,5.98,4.0,74.94,-0.17,775.48,178.9,3.0,0.88,181.82,24.89,38.65,38.36,02-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Mar-2020 - 00:00,6.75,1.55,49.47,74.59,2.01,6.02,3.99,75.73,-0.22,774.94,165.55,3.0,0.81,216.32,56.58,50.49,70.62,03-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Mar-2020 - 00:00,7.86,1.53,45.03,77.07,1.99,6.01,3.99,67.44,-0.21,772.69,178.87,3.0,0.87,217.8,72.61,50.67,83.65,04-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Mar-2020 - 00:00,5.16,1.26,49.03,62.97,2.01,6.01,4.01,67.54,-0.16,771.54,177.05,2.99,0.79,136.15,93.9,49.67,100.2,05-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Mar-2020 - 00:00,1.4,0.84,57.78,35.87,1.99,5.99,4.0,72.89,-0.04,772.29,162.28,3.0,1.6,125.34,5.48,42.3,25.24,06-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Mar-2020 - 00:00,1.78,1.71,49.61,15.72,2.0,6.01,3.99,84.01,0.02,771.42,155.55,2.99,2.01,120.69,5.52,54.95,31.45,07-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Mar-2020 - 00:00,2.69,1.08,43.01,24.79,2.0,6.01,4.01,85.55,-0.17,777.99,134.24,2.99,0.8,155.43,14.46,57.64,39.31,08-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Mar-2020 - 00:00,5.97,0.68,41.07,43.4,2.02,5.99,4.01,71.71,-0.18,780.61,260.24,3.01,0.92,247.94,33.8,50.74,49.68,09-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Mar-2020 - 00:00,7.08,0.53,45.38,50.85,2.0,6.01,4.01,71.26,-0.16,777.87,227.92,3.0,1.15,265.04,2.96,41.9,23.02,10-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Mar-2020 - 00:00,5.96,0.58,64.06,57.95,2.01,6.0,4.04,65.16,-0.19,774.56,207.0,3.0,0.79,165.11,3.89,45.87,25.48,11-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Mar-2020 - 00:00,2.37,0.99,60.23,40.97,1.99,5.95,4.06,66.94,-0.05,769.71,255.74,3.02,1.47,89.72,3.45,52.88,28.56,12-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Mar-2020 - 00:00,3.68,0.86,36.37,41.95,3.62,6.0,3.98,58.58,-0.16,773.48,183.16,2.99,0.92,130.86,14.66,72.43,44.81,13-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Mar-2020 - 00:00,2.39,0.86,45.29,54.29,2.0,5.98,4.0,48.13,-0.19,776.17,215.37,3.0,0.92,238.8,14.78,58.96,40.84,14-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Mar-2020 - 00:00,3.26,0.87,45.01,41.93,2.01,6.0,4.02,73.08,-0.13,778.68,158.48,2.98,1.07,185.11,6.66,49.99,28.3,15-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Mar-2020 - 00:00,4.99,0.77,62.79,53.32,2.01,5.99,3.99,68.66,-0.18,781.49,161.33,3.0,0.87,210.43,6.48,56.79,33.61,16-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Mar-2020 - 00:00,6.27,1.53,55.86,54.01,2.0,5.99,4.01,73.14,-0.21,781.05,155.25,2.99,0.82,235.48,3.31,54.48,29.61,17-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Mar-2020 - 00:00,7.88,1.45,58.86,52.82,1.99,5.98,4.0,66.21,-0.19,780.38,196.38,3.0,0.97,249.81,19.11,53.01,41.48,18-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Mar-2020 - 00:00,7.71,1.46,63.12,62.18,2.0,6.0,3.99,63.03,-0.19,777.24,223.45,3.01,0.99,248.58,17.75,59.01,43.71,19-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Mar-2020 - 00:00,4.84,0.87,65.83,68.31,1.99,5.99,4.0,64.44,-0.2,771.74,148.25,3.0,0.81,219.08,46.32,57.84,57.17,20-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Mar-2020 - 00:00,1.84,1.03,80.42,69.03,2.0,5.98,4.01,60.54,-0.17,769.89,204.79,2.99,0.91,138.23,49.47,17.8,48.98,21-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Mar-2020 - 00:00,2.91,0.75,68.08,51.93,2.0,6.01,4.02,50.04,-0.2,770.66,201.5,2.99,0.77,233.94,36.34,18.12,38.56,22-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Mar-2020 - 00:00,3.17,0.85,63.83,65.45,2.0,5.98,4.02,56.36,-0.19,773.09,204.69,3.0,0.76,171.49,19.17,25.87,28.88,23-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Mar-2020 - 00:00,2.76,0.84,50.57,46.67,2.0,5.99,4.03,55.96,-0.23,772.9,181.49,2.99,0.74,210.25,20.81,28.56,31.54,24-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Mar-2020 - 00:00,1.88,0.71,46.47,42.34,2.0,5.99,3.99,61.89,-0.19,771.15,165.36,2.99,0.62,147.86,10.69,30.02,24.12,25-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Mar-2020 - 00:00,1.57,0.51,41.66,28.17,2.0,6.0,3.98,63.63,-0.19,771.25,197.52,3.0,0.74,213.35,11.65,25.13,22.4,26-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Mar-2020 - 00:00,2.33,0.41,37.3,25.43,2.01,5.99,4.02,62.84,-0.16,773.85,144.12,2.99,1.05,250.98,6.63,19.57,15.4,27-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Mar-2020 - 00:00,1.15,0.31,37.16,18.15,2.0,6.02,4.0,75.18,-0.13,776.49,107.54,3.02,0.95,174.99,5.65,19.94,14.74,28-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Mar-2020 - 00:00,1.55,0.38,37.55,16.79,2.0,5.99,3.99,68.09,-0.18,777.45,262.4,3.0,0.85,262.26,5.88,20.21,15.14,29-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Mar-2020 - 00:00,2.74,0.39,53.5,21.01,2.01,6.06,4.05,62.68,-0.17,774.58,182.63,2.99,0.92,249.91,6.05,17.92,14.03,30-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Mar-2020 - 00:00,2.55,0.5,72.42,34.47,1.99,5.99,4.02,50.44,-0.16,773.24,283.61,3.01,1.02,256.5,5.29,17.08,13.09,31-Mar-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-Mar-2020 - 00:00,7.52,0.47,65.45,24.74,1.99,6.04,3.99,52.38,-0.13,772.22,165.24,2.98,0.97,205.95,6.62,18.65,15.05,01-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Apr-2020 - 00:00,8.0,0.48,60.19,26.18,2.0,5.99,3.99,54.69,-0.17,769.95,226.9,3.0,0.89,243.45,7.71,20.58,16.89,02-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Apr-2020 - 00:00,8.01,0.41,68.34,30.76,2.01,6.0,3.98,51.07,-0.14,770.91,236.7,3.0,1.09,233.46,5.92,16.68,13.42,03-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Apr-2020 - 00:00,8.0,0.38,82.7,26.16,2.0,6.01,4.0,40.03,-0.17,772.99,234.65,3.0,0.85,239.93,5.85,15.82,12.86,04-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Apr-2020 - 00:00,7.99,0.54,74.39,29.71,1.99,5.99,3.99,40.65,-0.2,772.69,235.08,2.99,0.83,230.1,6.57,14.41,12.78,05-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Apr-2020 - 00:00,7.98,0.72,66.41,47.86,2.01,6.01,3.96,43.63,-0.21,773.06,217.17,3.0,0.72,188.91,9.98,19.88,18.39,06-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Apr-2020 - 00:00,7.99,0.7,65.83,44.84,2.0,6.0,4.01,35.53,-0.18,770.39,229.32,3.01,0.7,194.21,7.02,17.65,14.85,07-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Apr-2020 - 00:00,8.03,0.44,75.92,31.69,1.99,5.99,4.0,41.32,-0.11,768.38,228.91,3.0,0.88,184.22,6.16,12.98,11.68,08-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Apr-2020 - 00:00,7.99,0.48,79.56,26.37,2.0,6.0,4.0,35.7,-0.15,769.42,233.54,2.99,0.9,259.71,5.65,11.66,10.58,09-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Apr-2020 - 00:00,7.97,0.57,85.93,28.51,2.0,5.98,4.02,35.32,-0.19,770.2,241.63,3.01,0.81,239.06,6.21,16.01,13.3,10-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Apr-2020 - 00:00,8.01,0.85,69.88,45.74,1.99,6.0,3.99,33.96,-0.21,770.65,231.04,3.0,0.77,199.29,15.07,28.04,26.68,11-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Apr-2020 - 00:00,7.97,0.84,102.83,43.3,2.0,5.99,3.98,33.97,-0.18,771.35,226.92,3.01,0.86,197.94,16.94,24.29,26.26,12-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Apr-2020 - 00:00,7.96,0.67,84.03,34.45,2.0,5.99,4.0,33.11,-0.19,768.57,240.88,2.99,0.87,246.73,5.69,15.06,12.35,13-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Apr-2020 - 00:00,7.98,0.91,68.77,46.6,2.0,5.99,4.0,32.31,-0.21,764.98,232.01,2.99,0.86,223.57,8.83,26.47,20.84,14-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Apr-2020 - 00:00,7.99,1.11,72.92,46.81,2.01,5.99,4.0,31.81,-0.22,764.92,205.94,2.99,0.74,153.7,9.18,32.35,24.13,15-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Apr-2020 - 00:00,7.99,0.97,53.38,55.87,1.99,5.99,4.0,24.44,-0.21,764.22,215.33,3.01,0.68,179.97,9.39,28.47,22.27,16-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Apr-2020 - 00:00,7.99,0.87,73.36,57.52,2.0,5.98,3.99,23.54,-0.18,762.87,209.23,3.0,0.82,232.99,6.49,21.22,16.14,17-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Apr-2020 - 00:00,8.0,0.67,95.56,28.3,2.0,6.0,4.01,24.32,-0.09,761.83,211.77,2.99,1.16,120.09,5.1,15.6,12.06,18-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Apr-2020 - 00:00,7.98,0.65,91.73,30.97,2.01,6.0,3.98,32.67,-0.05,764.83,213.39,3.0,1.45,93.47,5.13,16.58,12.59,19-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Apr-2020 - 00:00,8.0,0.68,78.9,32.17,2.0,6.0,3.98,37.68,-0.18,765.03,241.37,2.99,0.79,218.0,5.1,22.74,15.63,20-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Apr-2020 - 00:00,7.76,0.75,59.05,47.11,2.01,6.01,3.99,38.54,-0.2,767.18,150.15,2.99,0.71,200.76,9.66,28.81,22.74,21-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Apr-2020 - 00:00,1.8,0.73,85.99,31.11,2.0,6.0,4.02,38.04,-0.19,767.06,217.17,3.0,0.71,224.65,4.63,20.45,13.98,22-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Apr-2020 - 00:00,6.38,0.93,91.33,47.8,1.99,6.02,4.0,31.79,-0.21,764.58,236.42,3.0,0.64,210.39,7.59,29.91,21.55,23-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
