from date,SO2,CO,Ozone,PM2.5,Benzene,Toluene,MP-Xylene,RH,VWS,BP,SR,Eth-Benzene,WS,WD,NO,NO2,NOx,to date,station
01-Jan-2020 - 00:00,17.87,3.94,24.64,305.99,1.99,6.0,4.02,80.61,-0.21,791.29,90.42,2.99,0.96,175.05,207.3,52.82,205.52,02-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Jan-2020 - 00:00,18.65,4.1,16.96,326.72,1.99,5.98,4.01,81.56,-0.26,790.04,83.12,3.0,0.74,219.38,213.2,76.4,295.82,03-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Jan-2020 - 00:00,3.71,3.19,7.23,201.61,2.0,6.0,4.0,79.68,-0.23,786.21,80.94,3.0,0.8,173.43,154.22,59.8,166.33,04-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Jan-2020 - 00:00,5.54,1.97,31.02,149.17,2.0,6.0,4.01,81.96,-0.25,785.02,86.99,2.98,0.78,231.0,100.02,57.19,115.78,05-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Jan-2020 - 00:00,5.03,1.35,44.31,127.93,2.0,5.98,4.0,75.17,-0.24,785.7,88.44,3.01,0.67,220.31,53.44,56.85,70.78,06-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Jan-2020 - 00:00,7.63,1.33,10.91,131.85,2.0,6.0,3.99,73.66,-0.21,786.35,71.02,3.0,0.84,142.28,71.09,76.94,95.64,07-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Jan-2020 - 00:00,6.9,0.8,9.7,77.93,2.01,6.0,4.02,80.93,-0.13,782.5,72.37,3.0,1.2,112.26,12.51,60.73,40.17,08-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Jan-2020 - 00:00,8.89,0.96,1.71,82.16,2.0,5.99,4.02,89.81,-0.21,780.66,40.89,3.01,0.74,187.96,31.24,47.05,48.03,09-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Jan-2020 - 00:00,7.59,0.72,15.79,55.65,2.0,5.99,4.0,89.46,-0.2,789.17,71.71,3.0,0.82,279.8,3.22,32.26,17.58,10-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Jan-2020 - 00:00,6.94,1.09,33.47,83.11,1.98,6.03,4.01,86.3,-0.22,790.09,77.93,2.99,0.78,249.71,6.58,46.53,27.97,11-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Jan-2020 - 00:00,6.52,1.2,57.74,103.31,1.99,5.98,4.01,76.51,-0.24,788.85,86.72,3.0,0.65,227.32,17.12,53.15,39.66,12-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Jan-2020 - 00:00,7.5,2.2,67.24,142.05,1.99,6.0,4.0,73.94,-0.25,783.72,89.12,3.01,0.7,214.69,134.59,53.89,147.84,13-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Jan-2020 - 00:00,5.39,1.48,26.72,142.64,2.01,6.03,4.0,78.74,-0.2,775.7,85.75,3.01,0.67,199.77,49.85,66.92,73.19,14-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Jan-2020 - 00:00,7.36,0.95,17.16,66.7,2.0,5.99,4.03,88.34,-0.21,782.22,94.98,3.0,0.7,257.3,6.71,42.61,25.83,15-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Jan-2020 - 00:00,8.13,0.95,33.68,81.18,2.01,6.01,4.01,85.44,-0.23,784.03,98.51,3.0,0.64,256.04,11.73,50.69,34.22,16-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Jan-2020 - 00:00,6.91,1.01,,79.6,1.99,5.99,3.99,88.35,-0.24,783.12,48.11,3.02,0.6,241.14,12.31,40.6,29.48,17-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Jan-2020 - 00:00,8.4,1.08,22.29,68.08,2.0,6.01,4.01,89.44,-0.22,784.05,99.24,3.0,0.77,255.18,17.07,42.91,33.6,18-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Jan-2020 - 00:00,8.35,1.3,24.33,81.51,2.01,5.99,4.01,88.8,-0.24,786.96,63.24,2.99,0.66,253.34,32.54,46.84,48.67,19-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Jan-2020 - 00:00,7.08,0.78,54.81,80.84,2.0,6.01,3.99,87.65,-0.18,788.87,90.48,3.0,0.99,275.7,2.43,35.12,17.96,20-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Jan-2020 - 00:00,9.09,1.21,41.17,76.37,2.01,6.0,4.0,89.26,-0.22,786.7,92.86,2.99,0.77,253.63,23.57,36.24,36.11,21-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Jan-2020 - 00:00,7.12,1.73,35.31,128.23,1.99,6.01,3.97,81.7,-0.23,786.89,92.97,3.01,0.6,187.43,59.2,52.44,73.15,22-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Jan-2020 - 00:00,6.99,1.95,32.7,123.71,1.99,6.0,4.01,89.15,-0.23,790.63,79.19,2.99,0.81,262.29,74.16,43.86,80.56,23-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Jan-2020 - 00:00,7.63,0.7,56.87,62.18,1.99,6.02,4.01,66.99,-0.15,787.84,96.07,3.0,1.25,281.11,2.53,40.09,20.12,24-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Jan-2020 - 00:00,8.39,0.9,67.43,57.59,2.01,6.02,4.0,58.48,-0.17,784.19,93.98,2.99,1.17,256.33,3.76,47.65,25.43,25-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Jan-2020 - 00:00,9.76,1.91,50.35,92.44,1.99,6.0,3.98,72.18,-0.23,784.25,100.08,3.0,0.8,223.52,90.33,56.99,98.61,26-Jan-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
