from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
01-Jan-2020 - 00:00,11.71,,973.21,2.13,22.81,106.72,19.61,97.95,26.78,561.47,403.09,71.32,14.22,71.01,156.86,0.77,0.06,,02-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
02-Jan-2020 - 00:00,14.4,,972.59,2.47,16.92,91.33,15.31,82.29,43.21,520.49,283.69,70.21,15.22,68.03,158.21,0.54,0.03,,03-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
03-Jan-2020 - 00:00,16.25,,971.85,2.51,12.73,68.62,8.24,60.27,33.68,345.06,179.81,69.89,11.47,71.88,174.58,0.62,0.05,,04-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
04-Jan-2020 - 00:00,15.9,,971.86,1.15,20.86,42.3,44.08,56.04,36.23,278.27,138.78,68.15,12.39,67.31,200.9,0.55,0.0,,05-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
05-Jan-2020 - 00:00,15.62,,971.62,0.85,22.78,33.33,61.45,59.86,23.94,240.54,117.15,63.72,12.33,68.47,211.18,0.69,0.0,,06-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
06-Jan-2020 - 00:00,16.13,,971.37,0.95,22.4,46.64,68.21,74.33,16.32,236.62,113.4,64.77,14.25,36.55,164.0,0.53,0.0,,07-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
07-Jan-2020 - 00:00,16.7,3.93,971.6,0.68,27.12,22.04,48.71,43.9,19.46,154.14,78.51,70.82,12.55,35.75,107.83,1.11,0.11,15.93,08-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
08-Jan-2020 - 00:00,14.93,4.01,974.48,0.69,27.55,33.72,39.24,48.38,16.77,137.1,86.92,84.7,10.38,7.71,163.54,0.41,0.01,9.44,09-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
09-Jan-2020 - 00:00,12.53,,971.4,0.58,15.68,15.35,31.85,29.44,19.91,134.1,74.93,74.21,11.1,76.75,208.85,0.72,0.0,,10-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
10-Jan-2020 - 00:00,12.55,,971.62,1.13,15.16,25.21,47.62,45.96,21.42,207.73,109.18,71.7,12.55,84.74,209.91,0.72,0.0,,11-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
11-Jan-2020 - 00:00,13.94,,971.36,1.71,16.14,44.89,55.86,66.31,25.99,252.55,123.22,62.59,13.21,87.15,201.26,0.57,0.0,,12-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
12-Jan-2020 - 00:00,15.2,,971.47,1.94,17.93,101.31,65.72,117.54,21.7,397.31,213.32,65.58,14.8,84.4,202.71,0.66,0.0,,13-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
