from date,Benzene,Toluene,BP,CO,Eth-Benzene,MP-Xylene,O Xylene,NO,NO2,NOx,Ozone,PM2.5,RH,SO2,SR,Temp,VWS,WD,WS,to date,station
01-Jan-2020 - 00:00,0.04,0.09,763.32,0.52,0.08,,0.0,8.59,17.41,25.88,19.19,29.55,,3.74,43.14,25.36,-0.48,106.89,0.39,02-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
02-Jan-2020 - 00:00,0.1,0.1,763.81,0.54,0.0,,0.09,10.62,15.83,26.43,13.81,39.04,,4.86,31.0,26.37,-0.48,100.05,0.35,03-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
03-Jan-2020 - 00:00,0.12,0.18,762.71,0.93,0.0,,0.0,13.24,16.14,29.33,24.95,46.16,,5.93,33.57,26.69,-0.5,131.6,0.15,04-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
04-Jan-2020 - 00:00,0.04,0.16,761.3,0.56,0.07,,0.0,8.52,11.53,20.02,30.53,35.91,,6.34,33.73,26.89,-0.5,125.45,0.14,05-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
05-Jan-2020 - 00:00,0.0,0.0,761.41,0.38,0.23,,0.0,4.83,12.93,17.6,39.27,41.68,,8.89,42.35,27.22,-0.49,120.7,0.23,06-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
06-Jan-2020 - 00:00,0.05,0.11,763.35,0.59,0.13,,0.0,7.09,14.61,21.61,20.34,24.42,,7.24,30.91,25.73,-0.45,98.33,0.7,07-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
07-Jan-2020 - 00:00,0.07,0.08,763.04,0.45,0.0,,0.0,2.87,16.76,19.11,21.65,28.12,,5.77,39.19,26.61,-0.46,124.37,0.59,08-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
08-Jan-2020 - 00:00,0.04,0.08,762.85,0.45,0.0,,0.0,13.34,29.01,42.18,20.19,39.67,,6.66,41.07,25.52,-0.46,110.92,0.58,09-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
09-Jan-2020 - 00:00,0.09,0.0,762.72,0.66,0.0,,0.0,13.6,24.63,37.93,19.0,39.68,,3.98,27.86,24.69,-0.49,148.64,0.32,10-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
10-Jan-2020 - 00:00,0.0,0.0,763.04,0.51,0.0,,0.0,17.64,24.33,41.92,21.24,43.4,,5.06,36.38,25.13,-0.45,115.17,0.73,11-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
11-Jan-2020 - 00:00,0.04,0.08,763.68,0.55,0.25,,0.0,14.04,23.92,37.89,23.02,18.16,,3.81,31.64,25.21,-0.45,105.03,0.75,12-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
12-Jan-2020 - 00:00,0.08,0.09,762.65,0.56,0.0,,0.0,8.08,24.97,32.7,25.13,52.92,,7.8,43.15,25.28,-0.45,94.12,0.65,13-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
13-Jan-2020 - 00:00,0.06,0.1,761.93,0.62,0.0,,0.0,5.09,24.66,29.15,29.81,62.26,,11.25,41.47,24.58,-0.48,106.42,0.39,14-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
14-Jan-2020 - 00:00,0.05,0.0,762.23,0.71,0.0,,0.0,14.38,28.13,42.23,29.18,118.35,,10.74,30.93,24.29,-0.48,150.19,0.42,15-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
15-Jan-2020 - 00:00,0.04,0.09,762.34,0.46,0.07,,0.0,6.95,18.36,25.29,28.69,36.4,,4.02,33.94,25.0,-0.47,127.51,0.52,16-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
16-Jan-2020 - 00:00,0.1,0.0,762.31,0.44,0.0,,0.0,8.78,19.99,28.72,27.56,26.45,,4.9,32.76,24.93,-0.48,95.65,0.35,17-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
17-Jan-2020 - 00:00,0.0,0.17,762.29,0.46,0.0,,0.0,9.39,14.18,23.55,17.62,28.49,,3.94,44.78,25.29,-0.46,116.69,0.59,18-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
