from date,PM10,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
11-Jan-2020 - 00:00,,0.35,243.03,60.75,752.26,72.97,55.79,84.57,74.36,27.24,116.61,12.63,1.46,5.57,0.57,3.22,14.34,4.84,3.23,2.65,12-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
12-Jan-2020 - 00:00,,0.42,186.92,67.88,750.22,81.17,185.27,80.44,114.25,22.09,195.18,13.98,2.5,8.37,0.57,5.72,21.65,9.03,5.27,5.23,13-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
13-Jan-2020 - 00:00,,0.43,179.57,73.32,747.11,49.85,44.75,55.61,62.47,17.09,179.81,15.09,1.29,7.0,0.89,2.3,11.31,2.52,1.71,3.0,14-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
14-Jan-2020 - 00:00,,0.25,219.67,88.55,749.62,68.9,22.08,46.95,42.61,15.02,94.73,12.9,0.51,8.84,0.7,0.42,7.68,0.77,0.73,0.93,15-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
15-Jan-2020 - 00:00,,0.19,180.75,80.86,750.35,87.36,24.13,53.74,47.89,23.83,79.16,13.08,0.76,12.11,0.63,0.43,8.92,0.24,1.16,0.48,16-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
16-Jan-2020 - 00:00,,0.42,158.28,90.45,749.65,74.26,30.51,50.53,50.29,6.44,106.95,11.98,0.91,10.77,0.58,1.04,11.12,0.56,1.58,1.16,17-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
17-Jan-2020 - 00:00,,0.44,215.9,95.46,750.38,80.55,35.11,40.9,49.82,9.38,101.55,12.69,1.31,11.87,0.5,2.6,10.77,1.72,1.18,1.07,18-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
18-Jan-2020 - 00:00,,0.45,222.27,89.14,751.53,87.64,33.48,55.78,56.44,11.22,113.57,12.33,1.19,11.25,0.43,1.59,11.17,1.84,0.64,1.97,19-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
19-Jan-2020 - 00:00,,0.48,276.9,87.99,752.21,96.74,17.03,61.84,46.51,24.16,102.09,10.3,0.59,6.56,0.98,0.87,4.94,0.0,0.0,0.0,20-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
20-Jan-2020 - 00:00,,0.3,244.74,91.55,751.43,63.74,33.2,59.25,58.08,19.83,135.29,11.21,1.27,8.95,0.62,16.11,47.72,17.89,10.26,7.75,21-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
21-Jan-2020 - 00:00,,0.07,123.11,86.52,751.72,51.47,98.22,53.19,106.78,17.26,213.17,13.18,2.15,14.66,0.6,24.56,75.08,38.66,20.78,18.62,22-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
22-Jan-2020 - 00:00,,0.07,225.5,90.75,753.02,53.48,57.87,59.92,78.17,10.11,192.31,11.99,1.74,13.12,0.6,17.79,55.42,18.76,14.4,9.94,23-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
23-Jan-2020 - 00:00,,0.06,292.04,57.88,751.93,62.36,15.57,67.18,48.19,30.35,77.12,13.43,0.62,8.72,0.95,5.92,14.43,4.85,3.71,2.37,24-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
24-Jan-2020 - 00:00,,0.06,269.4,45.31,750.28,61.9,19.18,81.05,58.45,36.92,77.46,13.72,0.85,12.32,1.11,6.04,19.31,6.32,4.05,2.96,25-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
25-Jan-2020 - 00:00,,0.05,220.59,57.27,750.39,56.53,65.24,69.94,89.4,31.91,141.08,13.66,1.5,12.91,0.52,15.59,46.59,20.24,12.15,9.87,26-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
26-Jan-2020 - 00:00,,0.05,210.68,69.11,749.16,56.86,120.33,47.21,120.65,28.6,201.87,14.38,2.24,16.42,0.55,13.78,51.18,23.33,13.84,10.44,27-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
27-Jan-2020 - 00:00,,0.02,113.9,67.61,747.41,36.45,106.14,67.43,120.52,12.1,193.85,15.1,1.93,13.96,0.77,11.35,34.95,21.32,12.55,8.35,28-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
28-Jan-2020 - 00:00,,0.05,116.82,81.42,746.53,54.1,19.21,67.3,51.16,26.17,102.35,15.13,0.97,9.51,1.12,6.03,14.61,6.44,3.87,3.07,29-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
29-Jan-2020 - 00:00,,0.05,155.67,74.98,750.43,102.71,28.16,65.38,57.29,23.08,66.95,14.39,0.92,9.79,0.63,7.24,31.48,12.97,9.96,7.42,30-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
30-Jan-2020 - 00:00,,0.08,288.3,73.3,751.03,79.57,21.33,76.7,57.86,24.44,72.7,14.22,0.74,7.29,0.62,6.3,23.53,10.72,9.15,5.96,31-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
31-Jan-2020 - 00:00,,0.08,221.48,70.74,749.75,106.78,24.64,75.47,59.86,24.68,74.97,12.54,0.71,10.25,0.84,8.84,32.94,11.03,8.85,6.01,01-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
01-Feb-2020 - 00:00,,0.07,199.42,71.02,751.48,103.16,78.21,64.26,90.46,28.95,74.14,13.48,0.94,9.99,0.59,9.35,44.76,15.61,12.37,8.98,02-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
02-Feb-2020 - 00:00,,0.08,263.93,74.09,752.51,120.37,29.48,76.36,64.2,28.57,80.59,12.97,1.21,8.64,0.62,8.73,27.93,11.66,7.63,5.55,03-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
03-Feb-2020 - 00:00,,-0.01,221.57,60.7,751.65,87.39,58.81,60.92,79.44,29.89,116.4,13.81,1.51,10.47,0.54,11.9,51.61,22.49,15.05,10.0,04-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
04-Feb-2020 - 00:00,,0.01,119.38,55.33,750.51,71.16,98.27,79.88,109.35,32.62,164.99,14.73,1.71,14.09,0.59,14.52,62.74,27.71,16.86,12.87,05-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
05-Feb-2020 - 00:00,,0.04,246.46,59.42,750.69,61.66,37.52,76.16,70.53,28.46,129.27,14.54,1.11,12.22,0.57,7.37,40.42,12.11,11.01,7.43,06-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
06-Feb-2020 - 00:00,,-0.05,223.29,62.44,750.32,60.93,26.73,77.09,62.4,35.3,110.08,13.45,0.91,10.53,0.6,8.74,28.28,12.58,8.01,6.49,07-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
07-Feb-2020 - 00:00,,-0.11,182.26,60.69,751.84,52.46,53.46,73.0,80.38,29.38,124.23,13.82,1.05,10.5,0.49,8.02,35.35,13.61,12.36,7.37,08-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
08-Feb-2020 - 00:00,,-0.08,275.99,62.6,753.06,57.24,22.29,78.3,59.48,34.68,146.88,14.38,0.76,11.74,0.63,8.62,23.64,7.82,5.38,4.37,09-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
09-Feb-2020 - 00:00,,-0.11,247.29,60.15,753.35,71.62,30.42,77.74,65.68,33.03,151.15,14.77,0.95,13.44,0.47,6.16,24.0,8.42,5.83,4.65,10-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
10-Feb-2020 - 00:00,,-0.1,219.14,60.58,752.08,71.19,74.87,70.04,94.73,38.53,153.28,14.63,1.51,14.64,0.46,11.7,47.43,21.83,16.04,11.99,11-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
11-Feb-2020 - 00:00,,-0.09,202.1,57.39,752.2,89.12,117.71,75.57,121.3,39.3,175.09,15.16,1.77,13.01,0.44,13.37,63.19,25.23,18.31,14.28,12-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
12-Feb-2020 - 00:00,,-0.01,262.83,58.93,751.71,109.22,31.09,81.65,68.3,38.25,147.7,16.42,1.04,12.65,0.92,10.6,30.36,9.8,7.04,6.16,13-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
13-Feb-2020 - 00:00,,-0.03,282.06,47.51,749.66,113.34,12.28,74.86,49.64,38.34,86.88,18.32,0.61,16.35,1.44,6.93,17.37,4.68,2.85,2.84,14-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
14-Feb-2020 - 00:00,,0.08,297.51,45.79,747.91,101.59,10.15,72.83,46.86,44.47,71.25,17.68,0.4,14.92,1.28,4.87,12.42,2.72,2.36,2.03,15-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
15-Feb-2020 - 00:00,,-0.0,272.78,33.91,748.06,104.11,19.17,84.25,60.15,49.59,65.88,17.45,0.81,19.05,1.8,11.4,24.75,6.17,3.81,3.52,16-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
16-Feb-2020 - 00:00,,-0.05,241.8,42.91,750.08,100.41,35.49,80.87,71.2,37.21,106.7,17.71,0.99,18.69,1.27,7.94,24.82,8.46,5.24,4.34,17-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
17-Feb-2020 - 00:00,,-0.03,239.93,53.15,750.78,114.84,103.61,70.12,110.42,33.04,160.92,17.9,1.51,18.61,1.08,12.49,51.33,23.85,14.83,14.47,18-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
18-Feb-2020 - 00:00,,-0.05,240.3,48.79,748.42,137.86,69.74,79.96,91.94,33.46,140.8,17.74,1.59,31.57,0.73,15.12,58.61,22.41,17.65,17.16,19-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
19-Feb-2020 - 00:00,,-0.01,139.79,54.77,747.01,129.44,86.6,65.08,96.7,37.54,168.25,18.27,1.38,13.07,1.23,7.84,28.92,16.47,9.95,9.66,20-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
20-Feb-2020 - 00:00,,-0.0,125.61,53.16,746.51,149.78,4.54,81.16,46.69,60.15,66.71,19.84,0.64,10.36,1.85,3.28,4.87,2.73,1.21,2.24,21-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
21-Feb-2020 - 00:00,,-0.17,58.2,83.04,749.4,105.84,5.47,84.89,48.97,37.25,55.88,16.04,0.48,8.42,2.01,2.93,1.91,2.2,1.19,1.85,22-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
22-Feb-2020 - 00:00,,0.02,63.6,77.13,751.5,103.8,22.19,84.66,62.75,31.52,80.0,17.5,1.24,10.7,0.94,5.15,6.13,9.2,5.46,4.39,23-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
23-Feb-2020 - 00:00,,0.08,142.3,73.41,750.03,98.34,28.78,101.54,75.85,43.06,111.07,19.07,0.94,8.83,0.55,5.23,6.47,6.86,6.48,3.92,24-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
24-Feb-2020 - 00:00,,0.06,209.56,67.12,747.94,108.55,18.88,94.74,65.48,34.49,68.12,18.88,0.85,10.09,0.62,3.65,4.9,6.13,6.17,4.09,25-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
25-Feb-2020 - 00:00,,0.07,256.79,72.81,747.1,116.82,11.12,88.98,56.23,33.55,127.48,19.02,1.15,9.67,0.56,7.76,6.06,7.18,5.17,4.38,26-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
26-Feb-2020 - 00:00,,0.06,194.86,70.96,747.49,112.21,40.53,87.32,78.86,38.6,142.93,19.62,1.39,10.55,0.66,9.39,7.49,11.83,8.44,6.85,27-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
27-Feb-2020 - 00:00,,0.06,136.43,73.4,747.68,102.15,5.65,83.15,48.74,43.42,97.19,19.91,0.78,8.44,1.05,5.02,2.79,4.22,1.87,2.69,28-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
28-Feb-2020 - 00:00,,0.08,136.96,73.2,746.88,100.85,2.91,68.88,38.96,53.27,90.07,19.85,0.71,8.3,1.68,2.28,1.33,1.48,0.45,1.79,29-Feb-2020 - 00:00,"Shadipur, Delhi - CPCB"
29-Feb-2020 - 00:00,,0.07,123.85,74.97,746.43,107.41,3.54,70.8,40.45,49.49,85.51,19.19,0.45,7.51,1.67,2.93,2.17,1.83,0.84,1.91,01-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
01-Mar-2020 - 00:00,,0.07,144.39,70.92,746.83,133.81,10.81,73.95,47.98,42.4,49.17,20.07,0.93,8.57,0.68,2.7,3.5,5.57,3.74,3.08,02-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
02-Mar-2020 - 00:00,,0.06,178.03,73.52,746.55,130.68,47.76,80.97,81.3,43.7,89.05,20.92,1.33,11.93,0.4,7.29,9.08,10.99,12.1,5.24,03-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
03-Mar-2020 - 00:00,,0.04,177.03,61.86,745.56,137.97,41.83,74.64,73.17,34.54,59.77,21.32,0.92,9.38,0.59,5.09,8.0,7.71,7.58,4.85,04-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
04-Mar-2020 - 00:00,,0.05,120.32,61.18,745.1,119.18,15.05,71.35,49.54,48.06,50.5,20.62,0.83,7.96,1.15,3.72,4.85,3.45,2.93,2.17,05-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
05-Mar-2020 - 00:00,,0.09,128.5,72.54,745.33,121.86,4.46,59.72,34.32,41.91,51.16,18.85,0.64,4.74,1.54,1.65,5.58,1.02,0.26,1.27,06-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
06-Mar-2020 - 00:00,,0.11,133.8,88.1,744.92,158.93,1.89,160.13,77.74,42.85,22.12,16.01,0.68,2.82,2.02,2.3,7.78,1.91,0.73,1.75,07-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
07-Mar-2020 - 00:00,,0.11,146.7,84.33,747.58,99.74,21.43,62.66,43.91,41.43,22.18,16.67,0.76,3.46,0.95,2.49,10.09,3.64,2.16,2.18,08-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
08-Mar-2020 - 00:00,,0.12,254.03,74.01,748.86,167.54,42.83,29.71,50.07,48.77,39.91,18.23,0.94,6.35,0.6,3.54,14.73,5.94,4.75,4.24,09-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
09-Mar-2020 - 00:00,,-0.07,287.0,62.45,747.06,155.51,14.7,25.57,25.36,52.56,33.03,18.34,0.95,5.38,0.75,1.58,5.13,0.92,1.73,1.02,10-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
10-Mar-2020 - 00:00,,-0.12,166.03,58.19,746.11,180.38,14.86,25.89,25.66,65.5,51.96,19.15,0.69,6.88,0.76,2.23,4.62,0.89,1.08,1.09,11-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
11-Mar-2020 - 00:00,,-0.04,131.99,66.97,744.37,175.0,10.69,20.69,19.56,61.95,36.59,20.45,0.68,6.42,1.62,1.89,4.78,1.02,0.38,1.34,12-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
12-Mar-2020 - 00:00,,0.02,134.98,63.41,745.83,164.83,24.27,37.72,39.48,41.34,43.31,21.03,1.23,5.31,1.08,6.17,12.33,3.64,1.71,2.22,13-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
13-Mar-2020 - 00:00,,-0.11,199.11,49.0,747.06,180.95,22.72,39.04,38.94,45.14,52.07,20.84,0.58,5.93,0.74,1.92,8.09,2.44,1.78,2.3,14-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
14-Mar-2020 - 00:00,,-0.03,118.1,81.28,748.06,149.18,14.4,29.37,27.14,35.82,31.82,17.66,0.53,4.25,1.1,1.78,8.57,2.26,1.47,1.52,15-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
15-Mar-2020 - 00:00,,-0.12,145.2,73.74,749.2,142.47,30.11,40.56,45.66,48.35,36.82,17.65,0.94,5.98,0.59,2.52,10.37,2.84,1.86,2.24,16-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
16-Mar-2020 - 00:00,,-0.14,275.89,67.76,748.92,168.55,19.34,43.25,38.48,42.8,33.01,19.51,1.17,3.93,0.53,1.78,11.37,3.21,2.79,2.35,17-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
17-Mar-2020 - 00:00,,-0.06,271.17,62.42,748.83,197.08,17.88,43.14,37.26,55.3,36.11,20.81,1.28,6.31,0.63,1.91,14.83,4.2,3.85,2.59,18-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
18-Mar-2020 - 00:00,,-0.12,235.71,57.82,747.6,190.69,20.03,46.28,40.64,49.67,50.56,22.15,1.26,8.83,0.67,2.2,16.8,4.78,4.86,2.94,19-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
19-Mar-2020 - 00:00,,-0.11,202.41,65.68,745.55,217.48,32.56,45.92,50.47,58.27,56.2,22.54,1.43,9.07,0.62,3.31,16.29,4.43,4.35,2.85,20-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
20-Mar-2020 - 00:00,,-0.08,98.38,59.05,744.93,179.54,38.79,49.3,57.23,72.06,58.91,23.53,1.29,6.68,0.83,3.74,14.51,5.15,5.74,2.97,21-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
21-Mar-2020 - 00:00,,-0.06,204.63,56.2,745.11,159.45,20.1,44.71,39.87,56.32,61.33,23.63,1.51,8.96,0.63,3.27,16.27,5.7,5.08,3.64,22-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
22-Mar-2020 - 00:00,,-0.02,170.21,54.26,746.28,179.7,16.93,28.37,28.63,66.7,50.99,23.77,1.15,8.87,0.67,1.74,5.52,0.87,0.69,1.01,23-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
23-Mar-2020 - 00:00,,-0.02,134.82,50.06,745.99,168.22,10.52,21.77,19.98,64.96,43.19,24.17,1.07,7.37,0.64,1.48,4.75,1.53,0.86,1.0,24-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
24-Mar-2020 - 00:00,,-0.01,135.96,56.4,745.21,104.39,10.81,19.72,19.14,56.2,41.1,23.65,0.86,9.75,0.91,1.51,3.38,0.15,0.14,1.08,25-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
25-Mar-2020 - 00:00,,0.05,224.59,61.37,745.4,191.94,12.37,16.7,18.76,45.93,31.5,24.5,0.88,3.32,0.72,1.0,3.34,0.68,0.42,0.7,26-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
26-Mar-2020 - 00:00,,0.08,279.55,63.65,746.34,140.57,9.82,11.08,13.76,38.01,44.75,23.29,0.59,6.18,1.04,0.75,1.61,0.0,0.0,0.11,27-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
27-Mar-2020 - 00:00,,-0.12,167.62,77.18,747.97,121.91,10.53,10.6,14.06,38.37,32.26,20.72,0.45,4.89,1.14,0.49,1.31,0.0,0.0,0.02,28-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
28-Mar-2020 - 00:00,,0.1,258.45,73.54,747.81,238.83,13.13,15.34,18.61,33.36,25.57,21.39,0.73,6.03,0.76,0.47,1.85,0.0,0.05,0.22,29-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
29-Mar-2020 - 00:00,,0.09,299.17,58.57,746.4,193.19,9.94,9.14,12.81,50.57,19.6,22.83,0.47,3.94,0.88,0.03,0.85,0.0,0.0,0.0,30-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
30-Mar-2020 - 00:00,,0.08,296.25,53.82,746.42,138.6,10.4,12.24,14.83,57.62,18.03,22.84,0.69,5.83,0.86,0.32,1.07,0.0,0.0,0.08,31-Mar-2020 - 00:00,"Shadipur, Delhi - CPCB"
31-Mar-2020 - 00:00,,0.06,237.24,50.24,745.56,136.14,9.7,9.53,12.82,63.1,17.6,23.8,0.66,6.66,1.0,0.15,1.11,0.0,0.0,0.01,01-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
01-Apr-2020 - 00:00,,0.05,225.3,53.15,744.95,146.86,10.47,9.49,13.37,56.87,16.27,24.41,0.67,7.73,0.89,0.42,1.34,0.0,0.0,0.24,02-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
02-Apr-2020 - 00:00,,0.07,271.79,50.3,745.23,209.38,9.15,7.86,11.49,58.5,15.61,23.82,0.58,5.5,0.87,0.12,0.73,0.0,0.0,0.0,03-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
03-Apr-2020 - 00:00,,0.07,303.69,37.73,746.11,218.21,9.67,10.86,13.51,72.98,19.66,23.02,0.61,5.83,0.73,0.33,1.12,0.0,0.0,0.01,04-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
04-Apr-2020 - 00:00,,0.06,227.21,39.26,746.06,199.07,9.79,18.62,17.73,60.87,17.06,23.86,1.01,6.99,0.62,0.88,2.41,0.22,0.31,0.4,05-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
05-Apr-2020 - 00:00,,0.04,111.06,41.9,746.42,175.36,10.01,21.66,19.53,67.67,15.68,24.94,1.01,8.22,0.78,1.27,2.88,0.05,0.0,0.65,06-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
06-Apr-2020 - 00:00,,0.04,195.5,38.07,745.58,167.0,10.25,22.64,20.25,64.42,17.69,27.15,0.75,7.75,0.69,0.75,0.61,0.41,0.83,0.45,07-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
07-Apr-2020 - 00:00,,0.0,262.81,41.99,744.46,202.97,9.64,14.94,15.66,65.3,18.98,25.52,0.68,7.58,1.14,0.0,0.0,0.11,0.02,0.0,08-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
08-Apr-2020 - 00:00,,-0.03,283.08,35.07,744.86,198.52,9.46,12.94,14.45,69.93,15.82,25.39,0.8,8.07,0.82,0.0,0.0,0.0,0.0,0.11,09-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
09-Apr-2020 - 00:00,,0.05,238.35,36.55,745.19,182.92,9.81,17.56,17.19,71.68,20.59,25.23,1.13,8.69,0.81,0.0,0.0,0.09,0.07,0.05,10-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
10-Apr-2020 - 00:00,,-0.01,179.7,33.91,745.66,235.3,12.28,28.09,24.76,57.79,16.69,26.97,1.07,10.09,0.4,0.02,0.0,0.21,0.39,0.47,11-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
11-Apr-2020 - 00:00,,0.01,166.92,32.21,746.19,175.4,9.86,18.85,17.92,73.5,15.54,28.58,0.85,10.52,0.59,0.07,0.0,0.0,0.01,1.94,12-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
12-Apr-2020 - 00:00,,0.03,271.7,33.93,744.86,180.22,9.22,13.48,14.54,68.53,19.16,27.82,0.87,9.7,0.74,0.1,0.02,0.32,0.53,0.06,13-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
13-Apr-2020 - 00:00,,0.02,226.63,34.69,743.51,158.02,12.19,21.53,21.2,57.58,13.67,29.14,1.08,8.35,0.61,0.51,0.01,0.54,1.49,0.16,14-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
14-Apr-2020 - 00:00,,0.01,146.95,32.63,743.68,132.18,9.39,22.72,19.59,63.05,15.59,30.54,1.29,7.5,0.53,0.33,0.18,0.48,1.48,0.54,15-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
15-Apr-2020 - 00:00,,0.0,193.09,25.14,743.39,178.11,14.52,19.85,22.17,55.98,15.16,30.82,1.06,6.68,0.7,0.87,0.0,0.04,1.35,0.06,16-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
16-Apr-2020 - 00:00,,0.0,221.38,25.22,742.73,216.18,14.5,23.02,23.84,60.55,14.22,30.09,1.01,7.99,0.68,0.87,0.01,0.15,0.68,0.27,17-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
17-Apr-2020 - 00:00,,-0.0,165.01,28.23,742.45,199.86,9.22,9.8,12.58,77.55,14.81,29.2,0.78,7.49,1.18,0.26,0.0,0.0,0.05,0.0,18-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
18-Apr-2020 - 00:00,,0.03,83.29,40.53,743.78,211.67,9.1,11.05,13.08,66.61,15.89,27.11,1.17,4.27,1.34,0.12,0.0,0.03,0.34,0.0,19-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
19-Apr-2020 - 00:00,,0.03,216.7,41.42,743.52,223.36,9.61,26.49,21.77,53.09,18.58,26.95,1.1,5.93,0.69,0.14,0.0,0.0,0.5,0.14,20-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
