from date,PM10,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
01-Jan-2020 - 00:00,,0.36,97.76,75.35,753.38,107.77,119.64,69.11,120.2,11.95,386.95,11.39,2.37,29.06,0.62,11.71,39.3,17.91,2.35,2.15,02-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
02-Jan-2020 - 00:00,,0.04,89.18,70.79,753.04,96.42,128.37,54.05,121.64,11.79,385.11,14.0,3.09,27.83,0.58,10.45,51.88,19.15,3.65,2.1,03-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
03-Jan-2020 - 00:00,,0.2,134.3,71.49,751.49,86.84,138.77,48.39,121.34,10.81,265.54,15.28,3.02,26.7,0.52,9.69,66.83,19.86,3.49,2.97,04-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
04-Jan-2020 - 00:00,,0.36,189.5,72.3,750.92,56.8,93.26,78.02,99.08,13.35,261.54,14.63,2.27,21.88,0.47,7.09,34.2,11.55,1.91,1.74,05-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
05-Jan-2020 - 00:00,,0.4,217.85,64.04,751.24,49.65,20.46,85.65,57.26,18.57,178.8,14.21,1.39,7.14,0.63,1.49,6.97,0.29,0.88,0.98,06-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
06-Jan-2020 - 00:00,,0.35,124.36,69.89,751.77,42.58,24.85,87.72,62.19,5.98,182.9,14.04,1.26,9.05,0.68,1.14,3.22,0.49,0.36,0.47,07-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
07-Jan-2020 - 00:00,,0.4,103.98,82.62,750.23,57.26,19.62,86.55,57.14,6.02,150.92,14.64,1.24,13.99,0.86,3.32,12.68,1.98,0.2,0.52,08-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
08-Jan-2020 - 00:00,,0.19,169.34,97.27,749.08,14.85,21.97,86.67,59.12,3.41,81.79,12.86,0.71,4.1,0.56,1.77,8.07,0.85,0.93,1.0,09-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
09-Jan-2020 - 00:00,,0.44,310.55,89.67,752.43,67.11,11.54,79.97,44.96,15.71,67.14,10.27,0.76,1.62,0.65,0.79,5.04,0.35,0.25,0.5,10-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
10-Jan-2020 - 00:00,,0.31,264.26,80.28,752.55,74.14,26.65,83.66,58.18,22.59,101.8,10.84,1.04,3.08,0.59,4.37,12.92,1.93,0.89,1.21,11-Jan-2020 - 00:00,"Shadipur, Delhi - CPCB"
