from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
24-Jan-2020 - 00:00,31.77,0.78,15.89,52.62,45.27,56.06,,7.77,61.5,139.25,0.0,0.0,0.0,22.14,54.72,2.06,201.6,187.44,712.62,0.0,0.0,25-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
25-Jan-2020 - 00:00,32.12,0.8,14.23,60.02,48.96,62.51,,14.03,66.98,148.39,0.0,0.0,0.0,22.48,54.51,1.52,212.99,173.47,712.21,0.0,0.0,26-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
26-Jan-2020 - 00:00,32.43,0.64,19.66,54.64,44.89,57.08,,15.93,61.06,129.66,0.0,0.0,0.0,22.96,53.16,1.65,274.87,174.09,711.26,0.0,0.0,27-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
27-Jan-2020 - 00:00,32.3,0.5,25.96,43.42,34.92,44.97,0.41,3.97,47.17,100.56,0.0,0.0,0.0,23.26,53.12,2.1,298.55,183.91,710.25,0.0,0.0,28-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
28-Jan-2020 - 00:00,32.22,0.47,30.66,38.27,33.57,41.12,0.42,4.49,42.34,89.66,0.0,0.0,0.0,23.35,51.84,2.71,325.5,172.71,710.23,0.0,0.0,29-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
29-Jan-2020 - 00:00,31.73,0.55,19.5,43.62,42.01,48.86,0.24,16.88,52.5,125.52,0.0,0.0,0.0,23.17,52.28,1.85,321.73,152.74,711.55,0.0,0.0,30-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
30-Jan-2020 - 00:00,32.39,0.73,18.98,50.44,44.39,54.26,4.93,22.69,71.23,162.51,0.0,0.0,0.0,22.15,58.69,1.73,266.91,163.25,711.49,0.04,0.0,31-Jan-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
31-Jan-2020 - 00:00,32.67,0.59,23.71,45.83,41.4,49.88,4.13,12.46,61.82,137.57,0.0,0.0,0.0,22.38,59.11,2.37,110.18,166.91,710.3,0.0,0.0,01-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
01-Feb-2020 - 00:00,33.22,0.37,21.9,39.68,30.34,39.92,7.39,5.36,33.0,74.46,0.0,0.0,0.0,22.9,55.48,2.86,249.43,184.85,710.54,0.0,0.0,02-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
02-Feb-2020 - 00:00,32.57,0.41,18.43,39.02,29.5,39.04,6.69,5.62,36.87,79.2,0.0,0.0,0.0,22.23,63.64,2.74,174.59,113.27,712.27,0.0,0.0,03-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
03-Feb-2020 - 00:00,32.63,0.42,13.88,42.15,31.69,48.09,7.87,2.0,31.66,74.05,0.0,0.0,0.0,22.27,62.08,2.22,239.3,172.25,712.56,0.0,0.0,04-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
