from date,PM2.5,PM10,NO,NOx,NO2,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,AT,BP,SR,RH,WD,RF,WS,to date,station
01-Jan-2020 - 00:00,130.99,191.37,45.03,86.0,11.29,14.87,12.33,1.8,17.89,1.45,0.32,0.98,16.89,929.01,185.14,76.12,139.54,0.02,0.92,02-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
02-Jan-2020 - 00:00,59.89,102.28,14.17,36.53,12.38,14.3,12.22,0.68,17.9,0.5,0.12,0.36,18.65,896.31,242.83,71.09,134.64,0.01,1.06,03-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
03-Jan-2020 - 00:00,70.72,102.37,16.61,37.69,9.74,13.68,12.23,0.71,17.86,0.54,0.12,0.33,16.08,929.92,98.54,87.27,148.83,0.04,0.99,04-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
04-Jan-2020 - 00:00,96.53,132.18,23.52,46.88,7.7,15.44,12.03,0.95,17.99,0.58,0.13,0.43,16.63,921.57,188.27,84.21,152.6,0.07,0.68,05-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
05-Jan-2020 - 00:00,96.57,136.95,41.38,78.07,9.47,15.56,12.25,1.29,17.92,0.77,0.2,0.61,15.86,930.92,140.97,86.03,211.67,0.07,0.82,06-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
06-Jan-2020 - 00:00,97.48,165.91,17.57,39.79,10.21,14.08,11.77,0.87,18.7,0.43,0.11,0.33,15.13,931.57,231.19,85.22,159.19,0.02,0.8,07-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
07-Jan-2020 - 00:00,158.58,271.73,58.56,109.48,12.45,16.44,12.61,1.66,19.67,2.9,144.61,144.98,14.82,914.6,259.08,83.57,162.12,0.08,0.73,08-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
08-Jan-2020 - 00:00,151.68,224.01,68.38,125.71,12.54,16.36,12.59,1.74,17.92,57.39,474.09,474.28,15.86,909.6,229.69,80.83,153.19,0.02,0.88,09-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
09-Jan-2020 - 00:00,153.46,208.37,37.57,73.06,10.61,17.97,12.43,1.73,18.02,0.94,286.21,286.47,16.39,832.5,174.08,84.47,140.45,0.04,0.9,10-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
10-Jan-2020 - 00:00,160.6,228.98,57.07,106.73,12.18,18.56,12.86,1.86,18.3,8.2,43.14,43.68,16.75,905.07,231.52,82.89,133.56,0.07,0.82,11-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
11-Jan-2020 - 00:00,167.84,245.54,73.53,134.9,13.26,19.21,12.97,1.86,18.02,1.17,0.38,0.98,16.41,918.13,247.66,81.46,141.4,0.07,0.82,12-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
12-Jan-2020 - 00:00,146.5,226.0,86.33,158.26,15.38,17.91,13.18,1.62,18.03,1.11,0.32,0.92,16.58,929.3,270.54,78.2,116.62,0.03,0.94,13-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
13-Jan-2020 - 00:00,151.57,237.44,76.86,141.1,13.93,16.54,13.1,1.69,18.18,1.16,0.42,1.16,16.84,910.52,287.62,78.21,115.41,0.03,0.92,14-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
