from date,PM2.5,PM10,NO,NOx,NO2,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,AT,BP,SR,RH,WD,RF,WS,to date,station
14-Jan-2020 - 00:00,205.96,292.69,79.32,145.75,14.49,17.9,13.21,1.9,18.19,1.11,0.33,0.95,17.32,914.56,249.67,77.83,143.57,0.11,0.75,15-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
15-Jan-2020 - 00:00,362.94,471.21,91.04,165.37,14.86,24.72,13.42,3.74,18.44,2.27,402.38,402.67,18.14,928.53,238.36,77.11,128.58,0.07,0.7,16-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
16-Jan-2020 - 00:00,161.77,228.93,69.19,125.6,11.22,27.03,13.44,2.07,18.11,2.88,294.26,294.41,18.62,929.19,248.96,75.47,116.07,0.04,0.75,17-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
17-Jan-2020 - 00:00,128.32,207.51,73.97,136.61,14.17,21.2,13.79,1.41,18.21,1.05,0.3,0.86,18.44,932.78,260.27,76.86,106.0,0.02,0.93,18-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
18-Jan-2020 - 00:00,150.73,242.1,78.31,145.84,16.1,20.4,14.17,1.53,19.69,1.24,0.3,0.9,18.92,919.89,248.7,76.27,154.44,0.08,0.74,19-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
19-Jan-2020 - 00:00,117.5,187.19,69.71,128.79,13.39,22.13,13.75,1.32,18.24,0.8,0.21,0.65,18.52,899.1,181.37,82.43,163.79,0.02,0.77,20-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
20-Jan-2020 - 00:00,78.07,119.9,6.46,20.0,8.77,17.5,12.47,0.59,21.01,0.17,0.05,0.14,17.65,930.05,212.02,75.87,232.98,0.06,1.71,21-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
21-Jan-2020 - 00:00,126.93,192.37,19.12,45.05,12.74,16.12,12.67,0.99,21.07,9.84,36.49,36.63,16.04,913.66,212.3,78.5,190.84,0.06,0.92,22-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
22-Jan-2020 - 00:00,133.59,212.17,51.82,101.89,15.71,17.05,13.36,1.38,20.42,0.42,0.11,0.34,16.2,916.05,241.94,76.55,157.81,0.08,0.73,23-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
23-Jan-2020 - 00:00,134.58,212.28,50.91,103.05,18.17,16.82,13.07,1.32,18.18,2.75,14.89,15.28,15.77,904.29,249.69,72.28,175.93,0.07,0.96,24-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
24-Jan-2020 - 00:00,187.11,272.95,47.58,97.02,17.64,16.22,13.87,1.82,19.01,14.37,51.3,51.57,14.31,932.09,107.43,83.21,158.63,0.07,0.57,25-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
25-Jan-2020 - 00:00,170.56,279.85,70.23,133.18,16.69,15.69,13.23,1.8,17.92,0.0,0.0,0.0,14.5,919.59,268.39,78.99,132.88,0.01,0.85,26-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
26-Jan-2020 - 00:00,157.67,238.7,60.87,113.71,12.86,16.15,13.15,1.72,18.14,0.0,0.0,0.0,15.13,910.12,267.12,78.0,131.7,0.03,0.82,27-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
27-Jan-2020 - 00:00,138.86,243.29,79.21,149.25,17.92,16.65,13.85,1.6,20.67,8.13,26.21,26.21,16.17,892.61,266.63,73.41,180.67,0.04,0.86,28-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
28-Jan-2020 - 00:00,0.0,315.09,79.29,149.3,17.81,18.35,13.68,1.95,18.12,0.0,0.0,0.0,16.59,913.9,197.93,79.42,169.18,0.02,0.69,29-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
29-Jan-2020 - 00:00,109.68,343.0,80.95,156.35,21.88,20.2,13.98,1.97,20.08,5.41,5.19,5.42,16.31,911.59,208.23,81.02,130.02,0.09,0.83,30-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
30-Jan-2020 - 00:00,146.15,232.94,52.13,102.68,15.96,21.6,13.65,1.6,19.0,1.02,0.33,0.95,18.15,917.85,207.62,75.19,148.99,0.07,0.92,31-Jan-2020 - 00:00,"Railway Colony, Guwahati - APCB"
31-Jan-2020 - 00:00,78.65,112.99,11.29,27.99,8.84,17.8,12.86,0.65,18.77,0.31,0.1,0.3,15.44,926.59,99.73,91.8,134.35,0.01,1.35,01-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
01-Feb-2020 - 00:00,123.26,183.23,28.66,57.88,10.11,18.2,13.24,1.23,18.76,0.7,0.26,0.73,16.99,913.08,187.91,83.96,139.28,0.13,0.85,02-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
02-Feb-2020 - 00:00,103.09,172.64,47.7,94.91,15.49,18.3,13.48,1.19,19.11,0.75,0.29,0.86,17.04,917.14,251.04,72.84,201.78,0.06,1.05,03-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
03-Feb-2020 - 00:00,123.72,200.95,64.07,129.02,22.25,15.95,13.95,1.1,23.03,1.06,0.59,1.74,15.78,927.7,286.59,69.85,160.05,0.08,0.86,04-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
04-Feb-2020 - 00:00,140.33,225.15,80.56,157.66,23.73,17.64,15.04,1.35,24.66,0.8,0.35,1.01,16.47,921.59,290.98,73.18,134.17,0.02,0.85,05-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
05-Feb-2020 - 00:00,156.15,256.55,80.76,159.31,24.95,19.26,14.45,1.64,22.17,1.12,0.5,1.47,16.65,872.02,248.51,73.99,161.7,0.06,0.74,06-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
06-Feb-2020 - 00:00,152.2,244.01,53.48,107.93,18.81,19.75,15.19,1.49,26.85,1.1,0.45,1.26,16.86,859.24,264.81,72.98,136.51,0.07,0.8,07-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
07-Feb-2020 - 00:00,138.39,232.94,44.61,95.0,20.33,18.32,13.12,1.39,18.59,0.94,0.32,0.98,17.5,905.44,216.7,71.68,131.4,0.08,0.86,08-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
08-Feb-2020 - 00:00,135.41,235.31,55.13,112.13,20.2,17.54,13.08,1.48,18.42,1.11,0.6,1.05,18.48,905.89,224.37,70.7,134.8,0.12,0.86,09-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
09-Feb-2020 - 00:00,107.53,189.75,35.44,77.24,17.79,17.88,12.6,1.13,18.12,0.71,0.35,0.75,19.51,901.28,236.07,66.92,180.94,0.2,0.91,10-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
10-Feb-2020 - 00:00,104.55,223.01,54.66,110.71,19.58,18.39,13.09,1.03,18.36,0.59,0.26,0.74,18.56,913.62,259.08,69.76,173.64,0.09,0.79,11-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
11-Feb-2020 - 00:00,109.83,215.94,80.66,157.21,23.16,18.52,13.57,1.21,18.35,0.83,0.41,1.22,19.02,880.93,252.29,66.63,144.78,0.13,0.81,12-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
12-Feb-2020 - 00:00,119.85,224.02,84.43,164.86,24.37,19.32,13.8,1.19,18.35,0.94,0.38,1.21,19.15,906.72,276.11,64.82,161.78,0.07,0.75,13-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
13-Feb-2020 - 00:00,134.71,254.82,91.7,182.9,30.64,21.74,15.29,1.3,18.57,0.95,0.46,1.35,18.96,914.17,261.57,65.39,165.19,0.08,0.95,14-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
14-Feb-2020 - 00:00,142.01,265.19,58.08,124.68,27.39,23.65,13.58,1.23,19.34,0.79,0.31,1.03,19.16,933.05,187.46,67.7,171.11,0.04,0.97,15-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
15-Feb-2020 - 00:00,171.62,289.98,47.42,112.02,31.89,23.7,13.49,1.36,18.98,0.75,0.36,1.03,19.63,912.24,204.85,66.38,136.09,0.09,0.7,16-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
16-Feb-2020 - 00:00,209.17,300.15,42.53,95.74,24.19,24.22,13.49,1.64,18.58,0.97,0.37,1.14,19.89,916.21,165.95,73.51,132.24,0.11,0.88,17-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
17-Feb-2020 - 00:00,202.86,299.38,61.94,127.98,24.55,24.94,13.72,1.8,18.61,0.99,0.4,1.37,20.62,916.84,168.74,75.21,127.22,0.08,0.79,18-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
18-Feb-2020 - 00:00,161.28,308.23,36.68,76.12,14.84,28.57,14.06,1.29,19.54,0.8,1.54,4.49,20.77,906.78,187.19,75.2,163.48,0.14,1.23,19-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
19-Feb-2020 - 00:00,95.24,128.65,17.69,43.31,13.31,24.5,13.38,0.63,18.8,0.3,1.07,1.49,19.18,927.42,148.5,88.48,110.78,0.03,1.04,20-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
20-Feb-2020 - 00:00,131.75,195.92,50.78,102.1,17.53,25.41,13.97,1.27,18.52,0.67,0.53,1.21,19.6,875.6,189.43,83.45,106.8,0.05,0.88,21-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
21-Feb-2020 - 00:00,111.29,180.68,43.4,90.1,17.57,21.96,14.05,1.15,18.6,0.67,0.25,1.06,20.21,884.26,229.43,75.12,110.72,0.15,1.02,22-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
22-Feb-2020 - 00:00,125.1,210.45,62.05,121.52,18.32,21.17,14.33,1.27,18.5,0.88,0.16,1.15,19.98,907.46,164.77,76.01,124.45,0.12,0.98,23-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
23-Feb-2020 - 00:00,119.47,205.03,61.0,123.64,21.88,20.57,14.48,1.17,18.68,0.69,0.13,1.0,20.94,898.33,190.27,75.23,115.68,0.21,1.08,24-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
24-Feb-2020 - 00:00,89.34,153.41,28.91,67.66,18.85,15.7,13.69,0.84,19.02,0.53,0.05,0.65,21.68,917.49,272.63,70.32,121.54,0.09,0.93,25-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
25-Feb-2020 - 00:00,69.6,132.28,19.09,50.82,18.17,15.07,13.19,0.57,18.56,0.52,0.13,0.63,20.22,865.61,114.03,70.35,133.4,0.16,1.03,26-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
26-Feb-2020 - 00:00,28.46,54.03,2.78,17.54,12.09,13.25,13.25,0.13,18.87,0.15,0.03,0.3,18.8,898.75,200.05,77.93,114.49,0.07,1.64,27-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
27-Feb-2020 - 00:00,50.93,87.61,19.52,48.66,15.51,13.51,13.62,0.3,19.04,0.24,0.06,0.45,18.23,877.97,324.48,76.88,124.96,0.06,1.08,28-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
28-Feb-2020 - 00:00,66.73,139.06,54.11,112.75,22.31,12.77,14.12,0.64,18.9,0.5,0.11,0.95,19.67,904.17,266.01,68.69,112.36,0.13,1.28,29-Feb-2020 - 00:00,"Railway Colony, Guwahati - APCB"
29-Feb-2020 - 00:00,86.42,172.63,73.52,152.83,30.03,13.22,14.05,0.76,20.16,9.09,25.42,26.18,20.87,925.15,306.6,68.26,109.91,0.13,1.08,01-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
01-Mar-2020 - 00:00,136.14,205.21,64.33,138.93,31.11,16.45,13.62,0.93,19.12,0.76,0.44,1.17,22.28,915.69,271.79,64.41,132.11,0.06,0.91,02-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
02-Mar-2020 - 00:00,88.78,180.07,40.21,97.49,29.39,16.47,13.41,0.91,18.96,0.86,0.49,1.15,23.01,911.91,252.68,62.04,150.77,0.21,1.1,03-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
03-Mar-2020 - 00:00,61.02,104.28,22.17,59.64,21.7,17.15,13.54,0.47,19.45,0.34,0.13,0.67,19.58,902.42,206.87,79.79,113.06,0.13,2.47,04-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
04-Mar-2020 - 00:00,37.86,68.16,4.94,25.35,16.11,15.17,13.38,0.22,19.25,0.13,0.05,0.37,20.0,897.04,294.92,77.15,121.17,0.05,1.2,05-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
05-Mar-2020 - 00:00,45.08,109.44,3.28,21.03,14.6,11.94,13.06,0.28,18.75,0.14,0.08,0.36,21.06,907.22,255.36,71.48,100.2,0.09,1.47,06-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
06-Mar-2020 - 00:00,60.36,104.8,12.7,37.7,15.71,12.46,13.23,0.35,18.6,0.21,0.14,0.5,19.64,881.33,190.64,76.92,129.86,0.12,1.13,07-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
07-Mar-2020 - 00:00,76.42,123.43,36.83,80.64,18.82,16.28,13.8,0.68,18.59,0.33,0.17,0.71,17.88,898.36,93.08,85.63,145.76,0.13,0.8,08-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
08-Mar-2020 - 00:00,64.58,136.91,32.79,71.41,16.43,16.83,13.58,0.58,19.06,0.26,0.12,0.5,21.29,907.79,310.41,75.48,192.74,0.05,1.44,09-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
09-Mar-2020 - 00:00,65.83,165.5,20.69,55.84,20.41,15.09,13.3,0.43,19.02,0.2,0.08,0.44,21.36,897.14,275.14,74.06,133.24,0.12,1.15,10-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
10-Mar-2020 - 00:00,96.77,164.91,22.78,61.11,22.12,13.42,13.26,0.66,19.03,0.38,0.09,0.52,22.69,897.83,282.68,67.13,165.32,0.19,1.04,11-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
11-Mar-2020 - 00:00,83.69,169.46,48.38,84.52,33.64,13.21,13.63,0.72,19.54,0.34,0.1,0.63,22.53,906.32,290.39,63.32,174.53,0.12,1.35,12-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
12-Mar-2020 - 00:00,90.94,207.61,31.15,37.26,28.79,17.38,13.64,0.72,19.02,0.4,0.11,0.73,22.99,930.97,294.32,66.78,106.7,0.08,1.22,13-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
13-Mar-2020 - 00:00,86.58,189.98,32.57,40.51,33.29,15.51,13.37,0.53,19.06,0.26,0.08,0.49,23.62,920.12,309.41,65.91,113.9,0.21,1.1,14-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
14-Mar-2020 - 00:00,90.65,198.82,23.6,28.14,21.63,14.88,13.64,0.82,19.42,0.49,0.1,0.77,24.16,908.93,222.13,66.33,179.13,0.06,1.7,15-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
15-Mar-2020 - 00:00,86.29,165.73,12.12,18.98,20.41,13.45,13.25,0.43,18.99,0.18,0.05,0.26,22.72,902.66,152.55,70.61,164.59,0.24,1.1,16-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
16-Mar-2020 - 00:00,59.9,161.57,16.94,21.15,17.49,11.53,13.49,0.53,20.12,0.32,0.05,0.47,24.67,911.3,312.4,56.51,208.7,0.13,2.04,17-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
17-Mar-2020 - 00:00,91.72,197.41,41.94,49.97,38.33,14.05,14.06,0.53,22.3,0.44,0.1,0.94,23.92,902.04,316.73,49.52,162.11,0.14,1.48,18-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
18-Mar-2020 - 00:00,104.89,219.15,54.36,61.54,43.1,14.19,13.58,0.79,19.68,0.66,0.11,1.21,23.18,910.97,378.59,51.86,163.54,0.13,1.28,19-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
19-Mar-2020 - 00:00,107.14,227.15,39.47,48.74,39.59,16.35,13.75,0.88,21.22,0.51,0.12,1.01,23.97,922.53,295.88,55.86,175.14,0.12,1.14,20-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
20-Mar-2020 - 00:00,101.91,193.69,20.62,28.5,26.94,20.62,14.38,0.78,24.2,0.34,0.21,0.38,23.58,913.37,279.68,63.73,154.15,0.04,1.21,21-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
21-Mar-2020 - 00:00,104.55,167.46,24.24,31.26,27.05,19.35,14.75,0.72,19.3,0.27,0.33,0.12,22.9,913.32,281.21,64.05,116.73,0.08,1.01,22-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
22-Mar-2020 - 00:00,111.12,153.71,13.87,18.83,17.41,17.39,14.56,0.71,18.8,0.32,0.28,0.09,20.06,905.61,51.19,77.46,141.51,0.19,0.93,23-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
23-Mar-2020 - 00:00,75.64,113.01,35.18,35.07,18.12,18.05,14.88,0.56,18.85,0.32,0.2,0.18,22.13,915.42,285.95,67.39,138.36,0.11,1.02,24-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
24-Mar-2020 - 00:00,80.22,135.74,25.54,30.42,23.35,16.1,14.87,0.44,19.19,0.21,0.27,0.12,23.8,924.41,317.43,62.9,143.56,0.1,1.12,25-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
25-Mar-2020 - 00:00,97.05,133.36,30.85,35.46,25.58,16.66,15.2,0.54,19.37,0.32,0.46,0.05,25.3,947.82,300.92,59.61,161.32,0.14,1.35,26-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
26-Mar-2020 - 00:00,104.25,144.12,15.33,22.46,22.64,18.29,15.51,0.62,19.6,0.39,0.85,0.11,26.01,899.89,268.18,60.57,156.49,0.2,1.26,27-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
27-Mar-2020 - 00:00,119.29,165.17,14.54,21.9,22.66,20.12,15.53,0.71,19.58,0.25,0.22,0.27,26.95,916.25,233.68,60.62,157.08,0.2,1.07,28-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
28-Mar-2020 - 00:00,100.41,220.28,9.74,14.39,14.62,18.48,15.67,0.64,20.21,0.23,0.1,0.27,28.37,958.77,246.36,57.14,196.87,0.17,1.79,29-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
29-Mar-2020 - 00:00,7.4,213.92,1.38,3.92,5.94,11.72,15.4,0.09,22.1,0.06,0.01,0.05,27.73,971.05,310.73,45.42,239.97,0.24,2.71,30-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
30-Mar-2020 - 00:00,21.03,150.53,14.41,20.27,19.55,12.29,14.83,0.28,27.85,0.14,0.08,0.25,27.07,961.28,351.43,41.11,208.51,0.1,1.74,31-Mar-2020 - 00:00,"Railway Colony, Guwahati - APCB"
31-Mar-2020 - 00:00,134.43,235.39,19.11,28.91,30.09,15.86,16.08,0.95,35.47,0.38,0.24,0.88,26.23,961.2,269.18,49.03,166.24,0.06,1.12,01-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
01-Apr-2020 - 00:00,132.92,206.01,11.81,21.91,26.89,19.73,17.36,0.99,39.15,0.42,0.19,0.7,26.0,958.11,251.62,51.01,145.67,0.11,1.19,02-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
02-Apr-2020 - 00:00,142.39,214.03,7.66,12.69,14.31,20.55,16.79,0.72,54.57,0.28,0.11,0.43,26.2,966.49,299.18,54.9,123.17,0.12,1.54,03-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
03-Apr-2020 - 00:00,96.75,215.67,4.42,11.21,16.23,14.0,15.46,0.5,40.84,0.18,0.03,0.12,25.97,956.75,325.72,58.34,157.19,0.15,1.47,04-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
04-Apr-2020 - 00:00,82.01,165.75,7.44,14.63,18.63,12.84,16.13,0.47,36.02,0.21,0.05,0.2,26.19,893.17,329.27,52.08,149.45,0.12,1.5,05-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
05-Apr-2020 - 00:00,78.65,164.33,3.75,10.57,15.97,10.16,16.13,0.47,43.83,0.18,0.04,0.16,25.67,931.32,311.93,53.28,139.18,0.14,1.4,06-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
06-Apr-2020 - 00:00,69.54,135.54,2.42,9.14,15.07,7.99,16.71,0.44,55.89,0.15,0.03,0.11,25.84,950.26,330.73,54.04,110.12,0.07,1.14,07-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
07-Apr-2020 - 00:00,83.3,237.7,0.89,4.02,6.88,6.68,16.13,0.33,67.02,0.1,0.0,0.05,25.31,959.02,276.51,57.11,100.71,0.15,1.75,08-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
08-Apr-2020 - 00:00,77.91,179.45,2.58,8.79,14.1,4.18,15.81,0.4,51.62,0.15,0.02,0.08,25.3,945.77,309.21,58.87,121.85,0.12,1.32,09-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
09-Apr-2020 - 00:00,57.02,108.67,1.33,4.52,7.25,3.68,16.56,0.34,42.45,0.12,0.01,0.05,26.54,941.16,328.97,55.47,179.04,0.16,1.47,10-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
10-Apr-2020 - 00:00,26.69,123.15,0.85,4.0,6.92,5.83,14.72,0.2,67.25,40.69,547.1,547.09,22.96,916.0,355.59,69.22,103.76,0.03,2.04,11-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
11-Apr-2020 - 00:00,61.94,95.75,2.06,5.97,9.11,12.33,15.96,0.62,43.88,0.14,320.86,320.89,23.24,920.5,212.15,70.12,102.6,0.02,1.07,12-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
12-Apr-2020 - 00:00,88.82,126.69,7.21,9.55,8.56,25.19,18.45,0.9,34.89,0.14,0.05,0.25,25.3,916.85,322.07,60.72,148.59,0.09,1.14,13-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
13-Apr-2020 - 00:00,104.04,157.21,17.09,18.2,11.17,31.32,20.26,1.02,37.34,0.12,0.06,0.26,26.39,933.27,328.46,61.06,119.27,0.06,0.99,14-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
14-Apr-2020 - 00:00,101.77,150.09,15.33,16.77,10.94,38.43,21.2,1.03,32.97,15.82,170.16,169.94,28.15,922.14,250.77,58.1,131.04,0.23,1.26,15-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
15-Apr-2020 - 00:00,89.12,117.36,13.86,15.32,10.43,37.4,19.87,0.78,22.68,9.89,13.81,14.03,24.43,912.75,145.83,72.97,144.02,0.18,1.57,16-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
16-Apr-2020 - 00:00,37.42,54.24,2.81,5.23,6.44,28.37,18.55,0.41,34.92,0.05,0.01,0.06,25.27,948.7,306.24,66.96,143.46,0.08,1.48,17-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
17-Apr-2020 - 00:00,18.59,31.95,2.75,5.24,6.57,27.83,17.5,0.3,23.92,0.03,0.01,0.08,21.33,936.11,116.15,86.06,120.48,0.05,1.58,18-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
18-Apr-2020 - 00:00,18.82,26.73,3.17,5.65,6.77,22.84,16.69,0.33,27.89,0.04,0.04,0.15,21.04,916.55,162.0,90.07,122.21,0.14,1.28,19-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
19-Apr-2020 - 00:00,35.97,46.83,3.8,5.48,5.43,25.58,16.93,0.45,24.98,0.06,0.04,0.16,22.56,939.97,255.16,81.2,134.76,0.08,1.51,20-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
