from date,Benzene,Eth-Benzene,MP-Xylene,BP,O Xylene,PM10,PM2.5,RF,RH,SR,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
16-Feb-2020 - 00:00,1.95,0.01,0.0,724.4,5.16,122.32,52.17,0.0,27.15,129.45,98.68,1.12,0.63,17.81,6.24,21.5,27.68,47.78,6.66,17-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Feb-2020 - 00:00,2.15,0.03,0.0,723.97,5.04,115.06,48.47,0.0,27.15,126.66,184.49,1.15,0.74,21.66,6.97,24.81,31.76,52.98,10.06,18-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Feb-2020 - 00:00,2.97,0.19,0.04,724.95,7.69,143.41,62.72,0.0,28.64,122.65,139.74,0.74,0.92,21.45,7.78,25.94,33.71,48.67,17.64,19-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Feb-2020 - 00:00,1.71,0.0,0.0,726.85,5.78,124.83,50.16,0.0,32.83,130.51,178.57,1.39,0.63,21.39,6.6,23.91,30.48,50.32,7.02,20-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Feb-2020 - 00:00,1.12,0.0,0.0,727.24,3.23,110.93,51.1,0.0,33.67,134.46,248.09,1.63,0.44,19.29,7.78,24.22,31.95,56.72,18.03,21-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Feb-2020 - 00:00,1.21,0.0,0.0,724.21,2.72,194.72,58.47,0.0,46.55,121.35,214.59,1.12,0.37,21.73,6.62,23.82,30.22,48.38,6.4,22-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-Feb-2020 - 00:00,1.43,0.0,0.0,723.17,3.2,111.75,58.32,0.0,53.57,136.08,57.05,1.43,0.45,20.0,7.08,24.44,31.51,58.92,5.0,23-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Feb-2020 - 00:00,1.71,0.0,0.0,723.97,4.6,111.72,68.36,0.0,59.07,142.48,55.84,1.51,0.52,19.03,7.84,21.89,29.73,58.05,4.54,24-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-Feb-2020 - 00:00,2.21,0.0,0.0,725.18,6.04,122.11,68.77,0.0,53.58,135.78,169.13,1.1,0.63,21.81,7.25,22.16,29.4,43.22,5.12,25-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Feb-2020 - 00:00,3.13,0.05,0.02,725.73,7.38,150.11,68.98,0.0,42.36,138.48,154.76,0.95,0.78,15.41,7.33,21.29,28.58,49.43,4.73,26-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Feb-2020 - 00:00,2.6,0.03,0.0,725.86,7.57,173.38,64.59,0.0,38.83,127.84,189.03,1.01,0.76,18.72,8.07,25.45,33.52,45.55,3.88,27-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Feb-2020 - 00:00,3.2,0.17,0.04,726.16,8.71,188.88,65.99,0.0,38.99,126.19,197.79,1.06,0.84,26.12,8.3,31.91,40.22,35.21,6.08,28-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Feb-2020 - 00:00,1.81,0.0,0.0,727.22,5.11,168.38,69.11,0.0,38.97,128.37,172.66,1.13,0.62,20.0,6.25,25.59,31.84,39.11,4.28,29-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-Feb-2020 - 00:00,2.21,0.01,0.0,727.76,6.2,150.19,61.08,0.0,42.85,138.64,199.46,0.96,0.59,17.82,5.98,24.36,30.33,40.53,17.84,01-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Mar-2020 - 00:00,1.81,0.0,0.0,726.97,4.34,136.19,55.56,0.0,47.3,152.97,186.67,1.23,0.5,20.45,7.07,24.74,31.8,46.38,9.19,02-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Mar-2020 - 00:00,0.9,0.0,0.0,726.73,2.88,107.21,37.78,0.0,52.49,158.33,108.27,1.29,0.34,19.61,6.88,22.36,28.87,49.44,3.2,03-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Mar-2020 - 00:00,1.84,0.01,0.0,727.31,3.19,126.24,45.54,0.0,40.02,145.44,141.79,1.2,0.49,23.74,7.37,29.64,37.01,52.47,5.59,04-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Mar-2020 - 00:00,1.4,0.0,0.0,727.99,3.73,154.06,49.22,0.0,33.57,150.93,226.99,1.53,0.61,21.53,7.97,27.27,35.12,41.48,8.96,05-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Mar-2020 - 00:00,0.48,0.0,0.0,728.6,2.51,119.05,41.53,0.0,43.11,170.29,219.14,2.15,0.31,20.06,3.06,27.18,30.09,47.31,5.05,06-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Mar-2020 - 00:00,0.86,0.0,0.0,728.51,3.08,104.35,46.44,0.0,64.15,163.79,247.96,2.49,0.35,20.69,4.22,20.28,24.19,39.15,10.02,07-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Mar-2020 - 00:00,1.05,0.0,0.0,725.69,3.17,59.08,31.26,0.0,56.59,169.28,164.53,1.0,0.35,20.32,4.27,23.66,27.69,47.68,7.64,08-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Mar-2020 - 00:00,0.73,0.0,0.0,725.11,2.49,68.31,31.15,0.0,45.45,187.81,82.11,1.89,0.28,19.13,3.9,24.56,28.18,49.43,2.76,09-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Mar-2020 - 00:00,0.6,0.0,0.0,726.35,2.19,83.0,35.22,0.0,39.15,172.25,75.68,1.98,0.31,20.62,4.72,25.07,29.71,51.45,2.24,10-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Mar-2020 - 00:00,0.47,0.0,0.0,728.3,1.98,83.86,35.94,0.0,36.74,175.66,115.14,2.25,0.29,22.87,4.23,29.47,33.52,47.89,2.65,11-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Mar-2020 - 00:00,0.38,0.0,0.0,728.5,1.83,120.08,40.05,0.0,38.28,152.12,208.26,2.21,0.29,21.79,4.94,26.08,30.95,46.01,1.93,12-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Mar-2020 - 00:00,0.3,0.0,0.0,726.85,1.58,111.6,43.24,0.0,27.36,176.84,210.75,1.89,0.26,17.45,3.17,24.78,27.64,47.51,1.45,13-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Mar-2020 - 00:00,0.62,0.0,0.0,725.08,2.09,343.6,106.23,0.0,30.64,145.84,260.0,1.49,0.3,20.01,4.94,26.74,31.59,47.09,3.67,14-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Mar-2020 - 00:00,0.45,0.0,0.0,724.42,1.42,132.94,52.76,0.0,37.43,157.21,163.97,1.12,0.32,18.13,6.03,23.52,29.51,51.13,2.02,15-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Mar-2020 - 00:00,0.52,0.0,0.0,724.39,1.7,112.7,45.16,0.0,38.05,157.8,112.67,1.44,0.32,18.18,5.85,24.62,30.42,53.27,2.24,16-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Mar-2020 - 00:00,0.82,0.0,0.0,724.57,1.94,87.22,40.57,0.0,37.89,161.21,129.7,1.17,0.39,21.69,5.76,28.12,33.38,47.43,1.68,17-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Mar-2020 - 00:00,1.03,0.0,0.0,724.91,2.72,103.31,38.44,0.0,32.59,173.55,67.01,1.58,0.41,20.65,4.76,26.95,31.58,57.6,1.88,18-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Mar-2020 - 00:00,1.13,0.0,0.0,725.69,3.58,100.32,41.25,0.0,30.04,167.92,130.75,1.11,0.46,20.84,5.56,26.76,32.25,53.11,3.21,19-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Mar-2020 - 00:00,1.24,0.0,0.0,727.32,4.17,114.77,45.25,0.0,26.92,134.84,183.13,1.24,0.56,20.92,5.32,27.06,32.35,45.82,4.31,20-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Mar-2020 - 00:00,0.8,0.0,0.0,728.19,2.65,114.02,42.49,0.0,26.38,141.8,221.61,1.61,0.42,20.16,5.48,29.09,34.5,40.46,7.74,21-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Mar-2020 - 00:00,0.96,0.0,0.0,727.45,3.46,116.48,36.61,0.0,37.43,163.91,239.52,1.3,0.42,19.68,6.12,27.73,33.38,36.17,10.18,22-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-Mar-2020 - 00:00,0.69,0.0,0.0,726.67,3.54,124.48,39.3,0.0,45.03,157.23,192.09,1.09,0.32,18.9,6.05,24.96,30.97,31.26,5.86,23-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Mar-2020 - 00:00,0.43,0.0,0.0,726.97,3.48,59.75,24.45,0.0,45.87,171.23,180.2,1.22,0.25,18.98,5.73,24.92,30.56,32.65,2.07,24-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-Mar-2020 - 00:00,0.86,0.0,0.0,727.5,3.02,87.75,34.63,0.0,34.98,142.0,242.02,1.44,0.3,19.9,5.42,27.64,32.91,29.48,2.6,25-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Mar-2020 - 00:00,0.72,0.0,0.0,727.69,2.47,81.14,31.56,0.0,33.96,144.14,156.23,1.18,0.29,18.92,6.19,24.91,31.05,26.02,1.96,26-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Mar-2020 - 00:00,0.27,0.0,0.0,726.15,1.71,51.53,20.57,0.07,63.72,119.49,183.64,2.31,0.23,18.04,7.17,24.49,31.64,27.89,1.52,27-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Mar-2020 - 00:00,0.22,0.0,0.0,725.66,2.09,36.57,13.44,0.01,71.05,168.33,206.28,2.34,0.22,17.37,6.0,25.75,31.65,33.79,1.3,28-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Mar-2020 - 00:00,0.97,0.01,0.0,725.54,3.2,48.35,23.3,0.0,51.6,204.94,194.45,0.99,0.27,17.61,7.36,23.79,31.12,40.04,2.42,29-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-Mar-2020 - 00:00,0.68,0.0,0.0,726.39,2.27,56.28,25.74,0.0,36.95,178.0,122.87,1.13,0.29,17.47,5.88,25.07,30.93,48.33,2.8,30-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-Mar-2020 - 00:00,0.3,0.0,0.0,726.85,1.45,57.61,26.41,0.0,32.6,172.0,138.8,1.36,0.27,17.85,5.73,27.32,32.51,52.87,2.78,31-Mar-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
31-Mar-2020 - 00:00,0.41,0.0,0.0,727.65,2.17,67.17,29.96,0.0,30.77,158.62,180.11,1.98,0.33,16.83,5.68,27.95,32.67,50.75,2.7,01-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Apr-2020 - 00:00,0.36,0.0,0.0,726.96,1.46,156.42,42.66,0.0,36.27,162.9,199.28,1.22,0.29,14.14,5.34,22.97,28.16,42.32,3.58,02-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Apr-2020 - 00:00,0.61,0.0,0.0,726.94,1.73,68.0,26.33,0.0,29.01,167.78,127.46,1.2,0.31,9.71,4.63,12.74,17.29,41.63,2.6,03-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Apr-2020 - 00:00,0.25,0.0,0.0,726.75,1.13,57.14,23.2,0.0,24.41,171.53,113.6,1.48,0.24,10.4,4.46,14.32,18.69,53.81,2.29,04-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Apr-2020 - 00:00,0.44,0.0,0.0,726.95,1.84,53.64,23.46,0.0,18.55,156.92,136.45,1.15,0.3,8.85,4.84,14.93,19.74,53.2,1.65,05-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Apr-2020 - 00:00,0.51,0.0,0.0,726.94,1.74,75.13,32.77,0.0,22.2,159.63,183.47,1.62,0.35,10.39,3.71,15.12,18.74,41.53,3.02,06-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Apr-2020 - 00:00,0.94,0.0,0.0,727.32,2.36,86.96,43.82,0.0,21.28,159.29,205.0,1.1,0.37,10.65,3.91,16.37,20.08,41.7,4.65,07-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Apr-2020 - 00:00,0.81,0.0,0.0,728.36,2.92,83.92,40.33,0.0,21.24,148.06,217.66,1.69,0.38,11.58,3.34,15.59,18.76,44.04,2.91,08-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Apr-2020 - 00:00,0.29,0.0,0.0,727.67,1.66,82.71,33.17,0.0,25.76,146.17,203.08,1.27,0.25,11.42,3.51,14.76,18.14,39.67,1.59,09-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Apr-2020 - 00:00,0.48,-0.02,-0.02,727.34,1.64,68.34,32.28,0.0,21.46,167.32,154.51,1.24,0.28,10.52,3.85,14.29,18.09,45.76,1.59,10-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Apr-2020 - 00:00,1.03,0.0,0.0,726.94,3.21,98.19,45.06,0.0,23.71,144.75,229.17,1.18,0.45,8.35,3.82,13.47,17.17,40.64,2.14,11-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Apr-2020 - 00:00,0.88,0.0,0.0,726.27,2.65,102.4,43.7,0.0,24.13,156.41,183.89,1.05,0.36,9.46,3.45,14.78,18.03,44.46,1.74,12-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Apr-2020 - 00:00,1.1,0.0,0.0,726.95,3.68,95.76,39.88,0.0,25.69,150.82,178.08,1.0,0.33,9.41,4.41,14.37,18.58,39.88,2.53,13-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Apr-2020 - 00:00,1.41,0.0,0.0,727.81,4.47,102.22,43.58,0.0,22.91,126.45,225.49,1.43,0.45,10.52,3.08,13.89,16.54,43.34,3.63,14-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Apr-2020 - 00:00,0.84,0.0,0.0,727.91,2.71,95.78,37.43,0.0,21.24,143.73,214.91,1.68,0.35,9.26,3.58,11.52,14.73,47.46,3.07,15-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Apr-2020 - 00:00,0.33,0.0,0.0,727.7,1.88,76.82,28.75,0.0,23.27,148.0,238.56,1.74,0.26,10.27,4.38,10.97,15.1,37.13,2.28,16-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Apr-2020 - 00:00,0.77,0.0,0.0,728.72,2.43,95.52,31.84,0.0,26.83,151.06,203.61,1.49,0.28,10.33,3.52,11.95,15.27,44.25,2.9,17-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
