from date,Benzene,Eth-Benzene,MP-Xylene,BP,O Xylene,PM10,PM2.5,RF,RH,SR,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,1.56,0.0,0.0,728.82,2.11,158.85,79.98,0.0,65.53,125.74,61.57,2.15,0.69,23.66,9.24,21.12,30.36,42.51,6.33,02-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Jan-2020 - 00:00,1.76,0.0,0.0,729.96,2.73,137.28,99.84,0.0,73.2,124.22,66.08,2.16,0.75,20.75,7.72,21.29,29.16,38.73,4.57,03-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Jan-2020 - 00:00,1.7,0.0,0.0,728.51,3.13,131.71,73.95,0.0,68.27,130.03,118.22,1.08,0.68,22.61,7.83,21.34,29.17,39.77,7.99,04-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Jan-2020 - 00:00,2.05,0.0,0.0,727.25,4.71,113.13,59.38,0.0,60.49,119.81,195.84,0.86,0.79,23.01,10.6,22.31,32.91,41.9,8.02,05-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Jan-2020 - 00:00,2.28,0.0,0.0,726.98,4.87,120.26,76.54,0.0,58.81,125.16,133.21,1.07,0.82,18.45,8.5,20.91,29.4,40.38,6.9,06-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Jan-2020 - 00:00,1.48,0.0,0.0,726.05,5.7,94.84,58.62,0.0,53.06,129.85,156.8,1.05,0.59,21.77,7.95,23.23,31.16,37.75,7.08,07-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Jan-2020 - 00:00,1.54,0.0,0.0,728.15,2.8,127.01,80.09,0.0,66.05,144.96,261.83,1.39,0.6,22.24,7.96,23.4,31.42,32.69,5.88,08-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Jan-2020 - 00:00,1.9,0.0,0.0,730.11,4.42,101.55,65.82,0.0,83.18,110.05,234.08,1.1,0.58,20.83,7.48,24.25,31.66,23.75,5.6,09-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Jan-2020 - 00:00,0.97,0.0,0.0,724.84,2.6,87.1,41.13,0.0,54.88,118.02,53.56,1.75,0.43,21.25,6.72,23.78,30.33,31.68,5.47,10-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Jan-2020 - 00:00,0.58,0.0,0.0,724.38,1.53,87.55,57.79,0.0,47.9,119.87,56.91,2.25,0.39,21.95,7.55,23.27,30.79,44.24,5.82,11-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Jan-2020 - 00:00,0.54,0.0,0.0,723.71,1.7,87.76,53.18,0.0,38.6,127.07,78.6,1.81,0.39,21.09,6.45,23.63,30.02,42.58,7.59,12-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Jan-2020 - 00:00,1.98,0.0,0.0,726.7,7.07,105.31,64.92,0.0,57.06,138.66,146.57,1.14,0.79,16.85,5.3,19.49,24.62,39.88,3.8,13-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Jan-2020 - 00:00,1.88,0.0,0.0,729.43,5.49,104.91,64.17,0.0,78.12,106.93,216.3,1.52,0.64,21.62,5.94,23.97,29.87,31.93,8.45,14-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Jan-2020 - 00:00,1.2,0.0,0.0,727.46,3.01,73.41,47.9,0.0,65.98,134.65,181.9,1.12,0.46,19.11,5.2,22.2,27.32,33.51,4.98,15-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Jan-2020 - 00:00,1.02,0.0,0.0,727.59,2.35,90.17,58.56,0.0,68.89,143.05,147.55,1.38,0.41,19.5,5.6,22.97,28.44,40.49,4.02,16-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Jan-2020 - 00:00,0.92,0.0,0.0,727.07,1.96,97.8,58.85,0.0,65.62,118.63,200.71,1.58,0.41,18.79,5.68,20.97,26.61,30.19,4.97,17-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Jan-2020 - 00:00,1.82,0.0,0.0,726.57,3.21,111.71,65.03,0.0,62.54,127.31,196.21,0.87,0.58,21.62,6.51,22.04,28.45,35.43,5.84,18-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Jan-2020 - 00:00,1.29,0.0,0.0,725.46,4.43,108.72,61.35,0.0,55.67,121.5,195.15,1.1,0.62,20.79,4.82,22.69,27.44,36.87,5.48,19-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Jan-2020 - 00:00,1.07,0.0,0.0,724.12,2.51,88.5,42.55,0.0,47.44,118.53,105.32,1.16,0.5,18.34,5.5,23.52,28.63,41.6,4.38,20-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Jan-2020 - 00:00,1.46,0.0,0.0,724.4,4.72,96.79,47.56,0.0,49.16,132.68,189.48,0.96,0.62,20.89,7.06,24.36,31.35,36.18,6.45,21-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Jan-2020 - 00:00,2.72,0.05,0.01,724.57,9.15,132.75,62.82,0.0,49.03,121.86,196.19,0.86,0.88,21.49,6.63,22.65,29.28,39.47,10.55,22-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-Jan-2020 - 00:00,0.97,0.0,0.0,726.23,2.35,92.93,51.59,0.0,55.82,134.71,30.45,1.41,0.55,19.34,5.98,22.36,28.2,43.48,4.24,23-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Jan-2020 - 00:00,0.45,0.0,0.0,724.55,1.32,69.85,36.56,0.0,44.09,126.39,50.26,1.53,0.41,19.06,6.9,20.68,27.58,42.37,5.39,24-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-Jan-2020 - 00:00,1.74,0.01,0.0,724.63,4.7,101.38,60.74,0.0,41.28,130.68,151.46,1.07,0.7,18.98,5.65,21.64,27.08,33.89,8.75,25-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Jan-2020 - 00:00,2.05,0.0,0.0,725.23,5.36,110.04,59.78,0.07,42.26,132.7,123.68,0.98,0.74,17.89,7.44,23.68,30.92,39.25,9.02,26-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Jan-2020 - 00:00,2.26,0.0,0.0,724.37,5.73,114.5,54.12,0.0,44.67,124.19,146.78,0.8,0.86,20.23,8.51,20.77,29.21,38.43,6.18,27-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Jan-2020 - 00:00,1.77,0.0,0.0,726.26,4.45,89.89,39.73,0.0,48.45,134.01,209.17,1.3,0.64,22.97,7.63,22.61,30.09,32.16,10.21,28-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Jan-2020 - 00:00,1.22,0.0,0.0,725.84,3.09,84.2,53.8,0.0,54.06,156.53,263.33,1.75,0.42,20.06,3.94,19.67,23.28,33.09,47.24,29-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-Jan-2020 - 00:00,1.1,0.0,0.0,723.13,2.51,68.53,41.77,0.0,48.65,127.5,140.2,1.05,0.37,19.45,4.68,19.51,24.04,39.4,5.24,30-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-Jan-2020 - 00:00,1.4,0.0,0.0,722.41,3.2,100.88,56.14,0.0,42.28,127.19,163.88,0.99,0.46,18.54,4.63,18.42,22.87,39.19,5.26,31-Jan-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
31-Jan-2020 - 00:00,1.66,0.01,0.0,723.52,3.69,97.2,47.7,0.0,42.04,126.76,153.1,0.93,0.57,16.8,5.58,20.3,25.85,40.7,7.72,01-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Feb-2020 - 00:00,1.48,0.0,0.0,722.57,4.07,97.97,40.95,0.0,41.9,126.53,163.3,1.02,0.55,20.43,5.28,25.01,30.25,39.53,7.56,02-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Feb-2020 - 00:00,0.93,0.0,0.0,721.91,2.28,101.17,51.44,0.0,39.04,131.54,75.54,1.52,0.42,18.21,5.06,24.81,29.83,43.32,4.74,03-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Feb-2020 - 00:00,0.96,0.0,0.0,722.83,2.78,79.89,46.55,0.0,43.39,130.66,154.22,1.05,0.46,17.09,3.5,20.53,23.9,46.01,10.18,04-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Feb-2020 - 00:00,1.6,0.0,0.0,723.73,4.34,103.85,54.82,0.0,44.91,135.04,168.82,1.07,0.56,15.48,4.7,16.69,20.85,39.55,7.75,05-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Feb-2020 - 00:00,1.04,0.0,0.0,723.01,2.18,95.91,46.29,0.0,48.76,131.86,169.03,1.07,0.44,16.43,5.22,19.76,24.5,48.85,6.56,06-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Feb-2020 - 00:00,1.39,0.0,0.0,723.23,3.4,95.83,58.39,0.0,44.88,126.9,160.66,1.07,0.53,18.92,6.21,21.72,26.29,48.31,6.96,07-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Feb-2020 - 00:00,1.18,0.0,0.0,722.34,3.41,111.89,53.27,0.0,34.99,125.92,77.56,1.38,0.48,16.91,6.01,25.78,31.77,50.18,3.75,08-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Feb-2020 - 00:00,0.72,0.0,0.0,721.22,1.96,96.62,44.74,0.0,38.77,132.01,51.11,1.42,0.39,19.73,6.07,23.87,29.9,54.89,3.98,09-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Feb-2020 - 00:00,1.09,0.0,0.0,721.26,2.64,104.32,53.47,0.0,39.99,136.73,93.09,1.73,0.45,16.41,4.05,23.63,27.51,57.75,5.6,10-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Feb-2020 - 00:00,1.08,0.0,0.0,722.31,2.78,89.7,51.79,0.0,42.53,126.58,162.8,1.16,0.49,18.81,5.03,24.87,29.8,59.11,6.78,11-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Feb-2020 - 00:00,0.85,0.0,0.0,722.53,2.67,87.23,48.77,0.0,42.35,138.44,109.49,1.33,0.45,18.13,5.1,24.86,29.37,65.68,9.64,12-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Feb-2020 - 00:00,1.22,0.0,0.0,722.61,3.22,99.42,59.32,0.0,47.24,134.3,126.68,1.11,0.48,20.09,5.15,24.62,29.7,54.2,12.72,13-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Feb-2020 - 00:00,2.54,0.1,0.02,723.9,6.59,141.76,63.81,0.0,42.65,132.42,169.05,1.22,0.75,19.98,3.95,24.84,28.61,38.4,12.93,14-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Feb-2020 - 00:00,5.02,0.18,0.04,724.78,10.35,152.89,67.71,0.0,46.54,124.3,215.13,0.75,0.9,18.22,6.47,22.92,29.28,48.71,11.14,15-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Feb-2020 - 00:00,3.7,0.09,0.01,725.12,8.02,171.36,80.22,0.03,40.49,132.38,172.22,0.97,0.99,21.25,7.86,24.33,32.17,51.9,7.17,16-Feb-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
