from date,PM10,PM2.5,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
13-Jun-2020 - 00:00,127.36,55.42,10.13,15.86,1.82,,42.25,2.3,0.07,0.11,0.0,14-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
14-Jun-2020 - 00:00,143.11,68.95,10.18,16.01,1.84,,50.07,1.86,0.04,0.1,0.0,15-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
15-Jun-2020 - 00:00,87.27,82.08,10.18,16.05,1.69,,56.31,0.0,0.03,0.04,0.01,16-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
16-Jun-2020 - 00:00,81.32,38.07,13.27,11.74,1.58,,54.0,1.11,0.02,0.05,0.0,17-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
17-Jun-2020 - 00:00,80.93,31.07,1.09,4.32,1.56,,46.34,1.37,0.03,0.05,0.01,18-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
18-Jun-2020 - 00:00,93.61,40.03,1.09,4.37,1.55,,50.52,1.65,0.03,0.1,0.08,19-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
19-Jun-2020 - 00:00,236.35,103.8,5.66,15.48,1.55,,43.65,1.91,0.02,0.08,0.08,20-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
20-Jun-2020 - 00:00,100.48,34.13,4.9,15.75,1.5,,31.43,1.12,0.05,0.01,0.0,21-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
21-Jun-2020 - 00:00,85.35,35.39,3.27,10.93,0.37,,29.97,1.63,0.03,0.07,0.01,22-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
22-Jun-2020 - 00:00,76.36,39.05,10.48,20.36,1.09,0.0,33.75,2.03,0.08,0.06,0.02,23-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
23-Jun-2020 - 00:00,52.09,24.28,29.19,46.51,1.85,,31.43,1.58,0.05,0.15,0.03,24-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
24-Jun-2020 - 00:00,54.68,30.73,8.78,14.39,1.84,,27.82,2.0,0.02,0.06,0.0,25-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
25-Jun-2020 - 00:00,65.71,32.27,11.06,16.37,1.97,,26.33,1.79,0.02,0.1,0.05,26-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
26-Jun-2020 - 00:00,111.53,46.88,8.27,13.33,2.04,,24.42,2.91,0.08,0.09,0.02,27-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
27-Jun-2020 - 00:00,156.91,32.84,10.45,15.13,1.89,,16.84,1.97,0.01,0.11,0.01,28-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
28-Jun-2020 - 00:00,333.19,45.43,9.35,15.06,1.91,,14.21,2.37,0.01,0.12,0.0,29-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
29-Jun-2020 - 00:00,167.97,39.19,7.27,12.24,1.96,,22.66,1.96,0.05,0.13,0.03,30-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
30-Jun-2020 - 00:00,94.55,39.11,5.53,9.78,1.95,,35.24,2.25,0.03,0.03,0.0,01-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
01-Jul-2020 - 00:00,114.98,45.74,15.93,32.98,2.03,,41.39,2.85,0.08,0.16,0.06,02-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
02-Jul-2020 - 00:00,138.61,58.93,38.33,78.87,2.08,,39.74,3.03,0.12,0.1,0.0,03-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
03-Jul-2020 - 00:00,145.18,57.08,12.63,22.75,2.1,,38.89,3.45,0.06,0.19,0.01,04-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
04-Jul-2020 - 00:00,92.46,42.99,19.6,18.73,1.97,,29.61,2.3,0.06,0.12,0.02,05-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
05-Jul-2020 - 00:00,55.19,34.96,4.82,8.39,1.96,,31.59,1.79,0.02,0.18,0.01,06-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
06-Jul-2020 - 00:00,71.86,41.41,5.12,8.92,2.12,,23.83,2.47,0.08,0.21,0.1,07-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
07-Jul-2020 - 00:00,40.71,29.16,4.26,8.31,1.61,,16.02,2.0,0.01,0.11,0.06,08-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
08-Jul-2020 - 00:00,36.6,25.72,4.42,8.47,1.18,,22.96,1.38,0.04,0.11,0.03,09-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
09-Jul-2020 - 00:00,54.55,32.08,6.78,11.33,1.42,,31.07,2.53,0.04,0.05,0.03,10-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
10-Jul-2020 - 00:00,63.29,24.58,3.93,8.05,1.24,,32.07,1.4,0.03,0.08,0.0,11-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
11-Jul-2020 - 00:00,50.71,23.42,3.76,7.7,1.24,,39.94,1.28,0.03,0.19,0.0,12-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
12-Jul-2020 - 00:00,42.42,20.43,3.81,7.67,1.28,,36.26,1.36,0.0,0.08,0.02,13-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
13-Jul-2020 - 00:00,112.55,28.23,5.06,8.97,1.28,,34.18,1.98,0.04,0.02,0.0,14-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
14-Jul-2020 - 00:00,142.92,35.44,5.18,9.15,1.31,,39.33,1.98,0.01,0.11,0.04,15-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
15-Jul-2020 - 00:00,98.37,37.36,4.01,8.14,1.27,,44.74,2.3,0.02,0.03,0.0,16-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
16-Jul-2020 - 00:00,59.1,28.88,30.56,21.98,1.29,,25.16,1.77,0.01,0.07,0.01,17-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
17-Jul-2020 - 00:00,76.31,41.6,10.07,17.63,1.39,,20.55,2.33,0.04,0.05,0.01,18-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
18-Jul-2020 - 00:00,71.8,34.75,9.6,16.51,1.47,,21.34,2.61,0.06,0.11,0.0,19-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
19-Jul-2020 - 00:00,43.61,23.19,8.38,15.24,1.42,,16.53,1.62,0.05,0.06,0.0,20-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
20-Jul-2020 - 00:00,40.53,18.13,10.76,17.29,1.45,,32.63,1.29,0.06,0.08,0.05,21-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
21-Jul-2020 - 00:00,35.66,23.28,10.5,17.07,1.48,,23.0,1.17,0.04,0.04,0.12,22-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
22-Jul-2020 - 00:00,33.72,17.01,10.44,17.19,1.56,,11.07,1.46,0.04,0.05,0.0,23-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
23-Jul-2020 - 00:00,62.22,34.48,12.15,21.41,1.65,,23.51,2.06,0.0,0.12,0.0,24-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
24-Jul-2020 - 00:00,69.46,40.78,12.37,20.09,1.71,,26.39,0.95,0.1,0.11,0.03,25-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
25-Jul-2020 - 00:00,50.8,26.44,9.49,16.21,1.88,,23.62,2.06,0.03,0.32,0.0,26-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
26-Jul-2020 - 00:00,58.95,33.96,10.6,17.48,2.05,,30.79,0.69,0.02,0.19,0.0,27-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
27-Jul-2020 - 00:00,72.08,30.58,10.26,17.58,1.96,,23.24,0.0,0.0,0.22,0.12,28-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
28-Jul-2020 - 00:00,59.74,21.43,9.66,16.62,1.79,,20.39,0.68,0.0,0.59,0.58,29-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
29-Jul-2020 - 00:00,58.91,21.35,12.27,19.14,1.9,,22.31,1.82,0.0,2.02,1.74,30-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
30-Jul-2020 - 00:00,38.58,15.63,11.67,18.48,1.86,,22.33,1.69,0.0,1.3,1.71,31-Jul-2020 - 00:00,"Pusa, Delhi - IMD"
31-Jul-2020 - 00:00,70.73,35.69,13.74,21.1,2.1,,26.91,2.97,0.0,0.38,2.38,01-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
01-Aug-2020 - 00:00,61.11,29.83,11.74,18.85,2.06,,25.53,2.23,0.0,0.38,1.98,02-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
02-Aug-2020 - 00:00,50.35,22.52,9.77,16.95,2.0,,17.93,1.52,0.0,0.24,1.56,03-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
03-Aug-2020 - 00:00,56.1,24.81,9.06,16.23,2.15,,20.3,1.43,0.0,0.16,0.89,04-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
04-Aug-2020 - 00:00,54.44,23.76,8.6,15.48,2.05,,25.37,1.28,0.0,0.16,0.98,05-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
05-Aug-2020 - 00:00,68.17,34.39,12.04,19.22,2.2,,18.1,1.72,0.01,0.18,2.13,06-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
06-Aug-2020 - 00:00,44.31,18.4,8.85,16.13,2.03,,20.39,0.6,0.01,0.1,1.27,07-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
07-Aug-2020 - 00:00,40.56,21.37,8.8,15.75,1.97,,25.8,1.13,0.0,0.04,0.05,08-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
08-Aug-2020 - 00:00,77.08,47.81,9.85,17.13,2.23,,37.44,0.27,0.0,0.0,0.0,09-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
09-Aug-2020 - 00:00,48.03,27.09,8.38,15.73,2.23,,17.16,0.0,0.0,0.0,0.0,10-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
10-Aug-2020 - 00:00,44.17,27.43,8.13,15.78,2.22,,14.15,0.0,0.0,0.0,0.0,11-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
11-Aug-2020 - 00:00,59.75,38.37,9.38,17.89,1.37,,16.52,0.74,0.0,0.31,0.83,12-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
12-Aug-2020 - 00:00,45.04,21.91,7.34,16.18,0.28,,15.35,0.0,0.0,0.11,1.02,13-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
13-Aug-2020 - 00:00,24.13,14.13,8.95,17.52,0.38,,9.33,0.0,0.0,0.21,1.77,14-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
14-Aug-2020 - 00:00,41.28,18.1,10.63,19.58,0.61,,11.5,0.0,0.0,0.14,1.38,15-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
15-Aug-2020 - 00:00,45.46,29.99,6.93,18.15,0.72,,15.58,0.0,0.0,0.17,0.82,16-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
16-Aug-2020 - 00:00,34.79,21.42,7.44,21.52,0.75,,14.85,0.0,0.0,0.1,0.44,17-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
17-Aug-2020 - 00:00,48.7,26.49,7.47,21.55,1.01,,13.36,0.0,0.0,0.03,0.41,18-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
18-Aug-2020 - 00:00,46.71,28.33,5.76,17.69,1.22,,11.53,0.0,0.0,0.0,0.0,19-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
19-Aug-2020 - 00:00,33.5,18.03,7.23,21.19,1.01,,9.81,0.0,0.0,0.0,0.0,20-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
20-Aug-2020 - 00:00,32.26,18.61,6.3,18.29,1.04,,24.92,0.0,0.01,0.15,1.19,21-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
21-Aug-2020 - 00:00,43.65,26.87,7.25,22.08,1.14,,25.13,0.0,0.03,0.17,2.47,22-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
22-Aug-2020 - 00:00,36.61,17.87,8.46,24.86,0.92,,16.38,0.0,0.02,0.15,1.22,23-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
23-Aug-2020 - 00:00,31.6,19.9,7.41,22.05,0.71,,17.25,0.0,0.03,0.05,0.2,24-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
24-Aug-2020 - 00:00,28.44,14.86,51.12,63.53,0.67,,12.64,0.0,0.01,0.16,0.28,25-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
25-Aug-2020 - 00:00,30.69,19.19,11.52,18.65,0.86,,12.97,0.0,0.02,0.09,0.17,26-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
26-Aug-2020 - 00:00,36.94,28.02,16.09,21.51,0.72,,16.01,0.0,0.0,0.09,0.02,27-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
27-Aug-2020 - 00:00,37.87,19.06,16.76,24.66,1.04,,17.53,0.0,0.0,0.17,0.1,28-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
28-Aug-2020 - 00:00,50.64,28.0,20.43,39.41,1.31,,17.96,0.0,0.01,0.21,0.18,29-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
29-Aug-2020 - 00:00,61.35,39.54,18.61,34.94,1.41,,26.85,0.0,0.01,0.84,0.16,30-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
30-Aug-2020 - 00:00,34.09,16.71,14.03,17.98,0.77,,22.17,0.0,0.0,1.2,0.0,31-Aug-2020 - 00:00,"Pusa, Delhi - IMD"
31-Aug-2020 - 00:00,26.75,17.93,12.05,16.71,0.54,,20.31,0.0,0.12,1.4,0.64,01-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
01-Sep-2020 - 00:00,33.05,23.79,11.45,17.68,0.73,,21.3,0.0,0.04,0.8,0.64,02-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
02-Sep-2020 - 00:00,42.65,24.62,8.5,10.73,0.82,,32.74,0.0,0.02,0.55,0.49,03-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
03-Sep-2020 - 00:00,58.73,29.86,17.08,21.97,0.77,,28.03,0.0,0.3,1.57,7.98,04-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
04-Sep-2020 - 00:00,58.44,34.86,19.8,29.92,0.88,,36.93,0.0,0.08,0.26,2.86,05-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
05-Sep-2020 - 00:00,50.39,34.62,23.29,37.15,0.96,,42.97,0.0,0.06,0.26,0.96,06-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
06-Sep-2020 - 00:00,49.01,30.34,20.64,29.71,0.89,,40.92,0.0,0.02,0.25,0.52,07-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
07-Sep-2020 - 00:00,66.4,44.31,22.08,32.75,1.2,,27.56,0.0,0.02,0.26,0.61,08-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
08-Sep-2020 - 00:00,61.63,31.19,16.77,24.76,0.95,,33.72,0.0,0.02,0.18,0.43,09-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
09-Sep-2020 - 00:00,85.16,46.58,17.45,27.72,1.03,,35.24,0.0,0.01,0.11,0.21,10-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
10-Sep-2020 - 00:00,78.61,40.09,18.17,28.98,0.82,0.0,38.14,0.0,0.49,0.41,1.97,11-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
11-Sep-2020 - 00:00,107.08,49.38,24.1,36.34,1.06,,43.57,0.0,1.02,0.67,2.76,12-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
12-Sep-2020 - 00:00,108.94,48.68,19.45,27.69,1.0,,47.39,0.0,0.34,0.46,0.69,13-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
13-Sep-2020 - 00:00,114.91,58.47,20.65,29.06,0.92,,41.28,0.0,0.2,0.47,0.58,14-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
14-Sep-2020 - 00:00,117.82,65.46,22.6,31.37,0.98,,36.66,0.0,0.2,0.37,0.44,15-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
15-Sep-2020 - 00:00,112.92,58.21,21.48,29.79,0.93,,48.23,0.0,0.25,0.39,0.39,16-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
16-Sep-2020 - 00:00,128.04,61.59,24.07,33.47,0.98,,42.66,0.0,0.17,0.4,0.32,17-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
17-Sep-2020 - 00:00,93.59,41.94,19.64,27.62,0.78,,39.29,0.0,0.08,0.36,0.27,18-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
18-Sep-2020 - 00:00,85.39,40.52,19.41,27.76,0.73,,38.43,0.0,0.07,0.36,0.21,19-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
19-Sep-2020 - 00:00,121.6,54.0,24.98,33.95,0.79,,45.03,0.0,0.07,0.3,0.22,20-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
20-Sep-2020 - 00:00,118.56,58.86,23.23,31.55,0.9,,47.97,0.0,0.24,0.31,0.21,21-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
21-Sep-2020 - 00:00,128.17,56.33,23.88,31.81,0.83,,59.29,0.0,0.09,0.29,0.17,22-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
22-Sep-2020 - 00:00,75.7,36.5,31.33,42.56,0.82,,36.47,0.0,0.21,0.25,0.15,23-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
23-Sep-2020 - 00:00,58.05,23.88,31.17,44.55,0.75,,33.75,0.0,0.19,0.18,0.11,24-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
24-Sep-2020 - 00:00,78.28,39.71,27.57,38.85,0.82,,45.05,0.0,0.06,0.23,0.12,25-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
25-Sep-2020 - 00:00,106.96,49.45,29.89,41.51,0.95,,50.77,0.0,0.07,0.22,0.12,26-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
26-Sep-2020 - 00:00,131.58,50.28,32.73,47.51,1.12,,29.33,0.0,0.07,0.19,0.17,27-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
27-Sep-2020 - 00:00,93.49,31.75,20.26,31.21,0.81,,40.92,0.0,0.05,0.19,0.13,28-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
28-Sep-2020 - 00:00,168.24,58.95,23.7,37.87,1.16,,45.29,0.0,0.04,0.21,0.19,29-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
29-Sep-2020 - 00:00,169.41,63.57,17.85,26.12,0.91,,42.34,0.0,0.03,0.12,0.15,30-Sep-2020 - 00:00,"Pusa, Delhi - IMD"
30-Sep-2020 - 00:00,139.62,51.27,14.56,21.8,0.95,,44.96,0.0,0.05,0.17,0.12,01-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
01-Oct-2020 - 00:00,144.93,52.4,13.79,22.5,1.04,,41.67,0.0,0.07,0.19,0.1,02-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
02-Oct-2020 - 00:00,167.22,72.54,11.22,19.29,1.25,,49.97,0.0,0.07,0.21,0.12,03-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
03-Oct-2020 - 00:00,142.5,67.35,13.7,21.22,1.16,,46.21,0.0,0.03,0.17,0.08,04-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
04-Oct-2020 - 00:00,155.57,70.2,12.58,20.03,1.19,,49.65,0.0,0.1,0.18,0.1,05-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
05-Oct-2020 - 00:00,154.71,59.54,9.77,17.01,1.2,,45.25,0.0,0.04,0.16,0.09,06-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
06-Oct-2020 - 00:00,170.98,90.79,9.99,18.76,1.29,,45.5,0.0,0.05,0.14,0.1,07-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
07-Oct-2020 - 00:00,176.4,112.03,7.65,15.14,1.4,,49.71,0.0,0.13,0.1,0.2,08-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
08-Oct-2020 - 00:00,171.13,104.51,23.28,31.56,1.53,0.0,45.79,0.0,0.08,0.09,0.23,09-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
09-Oct-2020 - 00:00,183.23,116.24,28.08,38.78,1.23,0.0,52.67,0.0,0.06,0.1,0.27,10-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
10-Oct-2020 - 00:00,183.47,122.71,26.33,39.4,0.51,,44.31,0.0,0.01,0.09,0.31,11-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
11-Oct-2020 - 00:00,181.07,129.17,29.64,46.75,0.53,,34.7,0.0,0.0,0.1,0.29,12-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
12-Oct-2020 - 00:00,225.84,157.42,31.59,58.14,0.79,,39.26,0.0,0.0,0.35,0.3,13-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
13-Oct-2020 - 00:00,218.89,166.08,12.24,31.07,1.37,,32.98,0.0,0.0,0.71,0.55,14-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
14-Oct-2020 - 00:00,211.59,187.64,6.83,18.34,0.99,12.67,28.46,0.0,0.79,0.43,0.26,15-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
15-Oct-2020 - 00:00,223.48,203.47,25.4,44.35,1.05,,29.52,0.0,1.16,0.47,0.24,16-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
16-Oct-2020 - 00:00,235.29,130.46,48.51,96.54,0.92,,37.8,0.0,0.42,0.29,0.18,17-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
17-Oct-2020 - 00:00,258.46,128.69,52.38,115.05,1.49,,36.04,0.0,0.15,0.15,0.16,18-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
18-Oct-2020 - 00:00,195.91,107.11,40.83,79.29,1.25,,28.85,0.0,0.01,0.2,0.12,19-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
19-Oct-2020 - 00:00,209.73,109.61,39.62,62.48,1.06,,33.43,0.0,0.0,0.19,0.08,20-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
20-Oct-2020 - 00:00,229.55,91.41,45.45,89.38,1.06,,29.71,0.0,0.01,0.19,0.07,21-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
21-Oct-2020 - 00:00,179.68,82.74,49.56,130.89,1.45,,27.84,0.0,0.02,0.13,0.13,22-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
22-Oct-2020 - 00:00,273.98,146.24,31.29,78.13,1.77,,30.23,0.0,0.06,0.1,0.17,23-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
23-Oct-2020 - 00:00,316.88,197.37,33.89,79.76,1.89,,37.8,0.0,0.2,0.05,0.11,24-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
24-Oct-2020 - 00:00,302.22,190.24,47.77,131.23,2.34,,35.89,0.0,0.45,0.42,0.09,25-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
25-Oct-2020 - 00:00,269.18,168.83,56.2,131.27,2.2,,41.42,0.0,0.38,0.28,0.09,26-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
26-Oct-2020 - 00:00,287.21,173.78,55.99,127.99,2.25,,31.31,0.0,0.0,0.0,0.0,27-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
27-Oct-2020 - 00:00,259.74,146.57,43.36,132.0,1.47,,29.11,0.0,0.01,0.0,0.0,28-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
28-Oct-2020 - 00:00,292.98,166.32,86.22,159.3,1.84,,30.77,0.0,0.0,0.0,0.0,29-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
29-Oct-2020 - 00:00,330.26,216.9,113.33,192.42,2.24,,33.32,0.0,0.0,0.0,0.03,30-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
30-Oct-2020 - 00:00,314.27,201.75,77.71,142.94,2.33,,29.05,0.0,0.0,0.0,0.03,31-Oct-2020 - 00:00,"Pusa, Delhi - IMD"
31-Oct-2020 - 00:00,346.86,235.03,123.25,213.73,1.66,,30.71,0.0,0.0,0.0,0.02,01-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
01-Nov-2020 - 00:00,337.53,234.51,336.85,,1.67,,31.48,0.0,0.0,0.0,0.03,02-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
02-Nov-2020 - 00:00,256.35,139.49,216.98,189.31,1.65,,26.08,0.0,0.0,0.0,0.03,03-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
03-Nov-2020 - 00:00,211.83,110.42,124.52,217.42,1.97,,25.35,0.0,0.0,0.0,0.03,04-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
04-Nov-2020 - 00:00,442.73,294.13,117.51,176.21,2.44,,19.31,0.0,0.0,0.0,0.03,05-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
05-Nov-2020 - 00:00,385.78,262.83,115.98,180.71,1.54,,27.5,0.0,0.0,0.0,0.03,06-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
06-Nov-2020 - 00:00,362.69,217.23,136.26,230.99,1.46,,23.03,0.0,0.0,0.0,0.03,07-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
07-Nov-2020 - 00:00,422.53,287.95,113.11,175.54,1.2,,30.59,0.0,0.0,0.0,0.04,08-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
08-Nov-2020 - 00:00,411.06,271.88,128.76,199.71,1.74,,26.08,0.0,0.0,0.01,0.03,09-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
09-Nov-2020 - 00:00,706.66,518.92,148.97,219.59,2.62,,22.83,0.0,0.0,0.0,0.02,10-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
10-Nov-2020 - 00:00,532.97,565.98,150.18,252.82,2.78,,21.17,0.0,0.0,0.0,0.03,11-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
11-Nov-2020 - 00:00,262.37,176.86,156.81,267.18,1.96,,20.82,0.0,0.0,0.0,0.02,12-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
12-Nov-2020 - 00:00,267.84,147.09,157.66,258.08,2.37,,27.52,0.0,0.0,0.0,0.04,13-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
13-Nov-2020 - 00:00,280.98,157.95,126.72,196.61,1.65,,31.17,0.0,0.0,0.01,0.07,14-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
14-Nov-2020 - 00:00,495.56,343.44,115.37,165.39,2.02,,27.93,0.0,0.0,0.0,0.08,15-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
15-Nov-2020 - 00:00,403.7,315.95,68.43,84.12,1.49,,33.45,0.0,0.0,0.02,0.07,16-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
16-Nov-2020 - 00:00,108.19,70.03,45.81,66.11,0.41,,19.32,0.0,0.0,0.0,0.07,17-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
17-Nov-2020 - 00:00,112.24,62.82,53.57,80.32,0.54,,13.64,0.0,0.0,0.0,0.07,18-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
18-Nov-2020 - 00:00,138.9,83.02,55.27,74.72,0.45,,19.72,0.0,4.27,0.98,0.95,19-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
19-Nov-2020 - 00:00,177.89,99.81,73.9,100.41,0.8,,20.11,0.0,26.09,4.9,5.11,20-Nov-2020 - 00:00,"Pusa, Delhi - IMD"
