from date,PM10,PM2.5,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
06-Feb-2020 - 00:00,129.59,67.76,14.02,23.66,1.08,,29.65,5.33,0.0,0.01,0.0,07-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
07-Feb-2020 - 00:00,153.12,83.01,15.57,27.66,1.31,,27.74,6.74,0.0,0.0,0.0,08-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
08-Feb-2020 - 00:00,161.83,89.56,14.04,24.67,1.24,,28.51,6.59,0.0,0.01,0.01,09-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
09-Feb-2020 - 00:00,174.86,90.46,14.2,24.89,1.3,,29.71,6.15,0.0,0.01,0.01,10-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
10-Feb-2020 - 00:00,199.09,104.52,14.56,32.91,1.53,,29.16,3.68,0.01,0.01,0.0,11-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
11-Feb-2020 - 00:00,205.5,109.2,14.98,47.55,2.05,,30.21,5.17,0.0,0.01,0.0,12-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
12-Feb-2020 - 00:00,201.65,99.84,14.0,28.62,1.41,,30.54,7.19,0.0,0.0,0.0,13-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
13-Feb-2020 - 00:00,121.43,60.2,14.09,20.88,1.13,,35.13,4.18,0.0,0.0,0.0,14-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
14-Feb-2020 - 00:00,104.52,46.07,13.66,20.11,1.01,,41.79,2.88,0.0,0.0,0.0,15-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
15-Feb-2020 - 00:00,122.96,51.42,13.43,20.17,1.04,,38.15,3.01,0.0,0.0,0.0,16-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
16-Feb-2020 - 00:00,152.45,75.87,13.9,23.91,1.33,,33.51,4.55,0.0,0.0,0.0,17-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
17-Feb-2020 - 00:00,204.65,100.01,13.8,37.59,1.81,,30.44,6.62,0.0,0.03,0.08,18-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
18-Feb-2020 - 00:00,166.28,78.91,14.06,23.43,1.35,,35.04,5.6,0.01,0.07,0.22,19-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
19-Feb-2020 - 00:00,171.45,77.69,15.28,37.37,1.7,,36.62,6.78,0.0,0.01,0.12,20-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
20-Feb-2020 - 00:00,147.8,75.66,14.85,21.07,1.21,,49.09,5.03,0.0,0.02,0.02,21-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
21-Feb-2020 - 00:00,59.49,30.58,13.76,19.99,1.1,,34.5,2.66,0.0,0.02,0.03,22-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
22-Feb-2020 - 00:00,83.73,45.51,13.61,24.0,1.25,,26.8,3.87,0.01,0.02,0.03,23-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
23-Feb-2020 - 00:00,124.89,66.23,13.72,31.37,1.64,,29.03,4.91,0.01,0.03,0.05,24-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
24-Feb-2020 - 00:00,101.49,48.36,14.01,25.22,1.29,,27.3,3.8,0.01,0.02,0.02,25-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
25-Feb-2020 - 00:00,158.37,77.89,13.81,24.29,1.46,,26.85,5.29,0.0,0.01,0.01,26-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
26-Feb-2020 - 00:00,177.85,88.69,12.58,30.99,1.7,,30.28,6.75,0.0,9.44,1.97,27-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
27-Feb-2020 - 00:00,132.51,70.24,14.24,26.05,1.53,,31.12,4.76,0.0,9.54,3.22,28-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
28-Feb-2020 - 00:00,109.0,58.91,13.72,20.33,1.31,,40.69,3.31,0.0,3.78,1.38,29-Feb-2020 - 00:00,"Pusa, Delhi - IMD"
29-Feb-2020 - 00:00,76.96,42.49,12.91,19.78,1.24,,33.18,2.87,0.0,3.52,0.94,01-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
01-Mar-2020 - 00:00,64.68,31.89,13.33,22.31,1.23,,36.4,2.62,0.0,4.38,1.2,02-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
02-Mar-2020 - 00:00,159.28,83.15,13.64,31.99,1.77,0.0,24.14,6.2,0.03,10.48,6.72,03-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
03-Mar-2020 - 00:00,159.73,71.3,14.07,27.81,1.49,0.53,26.9,5.22,0.0,7.21,3.8,04-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
04-Mar-2020 - 00:00,138.22,40.35,11.99,19.41,1.05,,35.7,3.19,0.0,4.81,1.82,05-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
05-Mar-2020 - 00:00,55.01,19.82,9.06,12.05,0.29,,27.69,0.93,0.0,3.54,1.1,06-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
06-Mar-2020 - 00:00,30.63,11.55,8.82,11.59,0.23,,23.3,0.89,0.02,2.75,0.71,07-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
07-Mar-2020 - 00:00,72.34,23.79,11.17,14.47,0.34,,24.44,1.56,0.0,3.25,0.8,08-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
08-Mar-2020 - 00:00,99.84,29.62,9.76,26.17,0.76,,20.34,2.96,0.01,7.36,2.25,09-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
09-Mar-2020 - 00:00,94.27,26.86,9.82,14.65,0.41,,22.43,1.76,0.0,4.4,1.27,10-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
10-Mar-2020 - 00:00,127.78,36.87,3.11,4.32,0.6,,33.07,2.81,0.0,3.46,1.24,11-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
11-Mar-2020 - 00:00,97.02,31.91,2.6,1.93,0.44,,29.82,1.99,0.01,1.84,0.65,12-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
12-Mar-2020 - 00:00,136.24,33.79,17.2,21.47,0.96,,20.21,1.96,0.01,1.19,0.42,13-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
13-Mar-2020 - 00:00,174.84,40.88,24.09,40.24,2.47,,21.78,2.18,0.01,3.42,1.44,14-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
14-Mar-2020 - 00:00,67.65,22.03,15.67,22.16,2.27,,18.18,1.37,0.01,3.54,0.88,15-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
15-Mar-2020 - 00:00,102.89,30.22,18.92,28.98,2.4,,26.62,2.17,0.04,2.96,1.38,16-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
16-Mar-2020 - 00:00,112.32,31.4,15.64,21.98,2.36,,22.51,1.87,0.02,2.9,1.4,17-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
17-Mar-2020 - 00:00,115.82,30.57,16.77,24.91,2.44,,25.39,2.22,0.03,2.21,1.92,18-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
18-Mar-2020 - 00:00,120.28,34.83,19.13,30.43,2.51,,25.96,2.36,0.03,2.19,1.88,19-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
19-Mar-2020 - 00:00,180.46,48.77,17.85,32.1,2.55,,27.96,3.51,0.03,1.02,2.99,20-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
20-Mar-2020 - 00:00,168.28,51.68,14.63,22.54,2.54,,37.29,4.0,0.05,0.26,1.71,21-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
21-Mar-2020 - 00:00,140.67,42.73,12.45,22.12,2.67,,28.69,2.96,0.1,0.55,1.8,22-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
22-Mar-2020 - 00:00,130.99,84.38,24.81,59.58,2.09,,35.35,3.12,0.02,0.58,2.34,23-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
23-Mar-2020 - 00:00,86.64,57.07,45.21,112.28,1.21,,26.21,2.21,0.0,0.55,2.9,24-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
24-Mar-2020 - 00:00,83.9,62.31,33.96,88.72,0.93,,20.19,2.63,0.0,0.75,2.5,25-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
25-Mar-2020 - 00:00,64.01,82.73,68.88,121.85,0.75,,11.43,1.71,0.01,0.77,2.8,26-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
26-Mar-2020 - 00:00,57.17,48.68,27.08,81.57,0.45,,9.7,1.37,0.0,0.58,2.05,27-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
