from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,to date,station
02-Feb-2020 - 00:00,54.85,106.43,44.7,12.02,32.87,54.3,20.08,1.05,19.59,1.02,1.86,03-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Feb-2020 - 00:00,67.72,181.81,59.77,70.81,88.01,74.87,11.1,1.38,33.52,1.11,2.02,04-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Feb-2020 - 00:00,90.32,253.0,67.63,99.64,115.24,128.11,12.1,1.7,30.95,1.1,2.02,05-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Feb-2020 - 00:00,85.47,218.84,63.0,70.82,89.71,126.98,14.73,1.35,25.13,1.1,2.03,06-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Feb-2020 - 00:00,55.59,141.69,61.3,45.63,68.63,67.44,18.6,1.12,26.69,1.11,2.02,07-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Feb-2020 - 00:00,86.53,229.27,73.23,119.38,133.99,124.75,29.21,1.64,34.32,1.1,2.02,08-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Feb-2020 - 00:00,74.49,164.36,60.36,16.84,45.05,55.32,21.18,1.1,30.06,1.1,2.03,09-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Feb-2020 - 00:00,94.44,197.1,64.53,25.4,53.34,60.39,21.78,1.21,16.46,1.02,1.87,10-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Feb-2020 - 00:00,101.17,223.26,68.26,48.73,74.74,61.4,28.54,1.5,28.42,1.1,2.02,11-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Feb-2020 - 00:00,125.23,285.19,81.55,112.5,132.83,119.19,37.77,1.84,33.96,1.09,2.02,12-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Feb-2020 - 00:00,92.87,202.68,67.03,19.88,51.09,85.11,25.09,1.03,40.55,1.11,2.02,13-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Feb-2020 - 00:00,43.09,111.93,46.01,6.88,29.55,78.33,16.97,0.68,37.73,1.1,2.03,14-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Feb-2020 - 00:00,39.91,128.87,43.79,5.99,27.67,71.53,22.24,0.7,36.83,1.1,2.01,15-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Feb-2020 - 00:00,33.21,99.9,54.83,7.6,34.74,74.2,24.79,0.62,38.67,1.1,2.02,16-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Feb-2020 - 00:00,85.68,172.28,59.36,30.77,55.69,90.83,28.81,1.29,46.58,1.1,2.03,17-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Feb-2020 - 00:00,83.85,155.64,71.11,15.77,49.8,120.57,18.94,0.95,43.02,1.09,2.03,18-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Feb-2020 - 00:00,61.43,175.85,67.89,54.03,78.8,98.33,29.57,1.24,44.02,1.1,2.03,19-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Feb-2020 - 00:00,67.03,189.17,52.12,36.77,56.72,159.33,32.99,0.79,57.21,1.1,2.03,20-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Feb-2020 - 00:00,60.05,185.63,33.92,3.9,20.85,100.2,32.5,0.78,69.06,1.11,2.02,21-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Feb-2020 - 00:00,43.65,97.32,44.85,10.04,31.48,115.86,29.58,0.72,25.92,1.09,2.03,22-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Feb-2020 - 00:00,64.73,130.95,45.45,27.48,45.78,146.18,27.74,0.97,24.03,1.1,2.03,23-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Feb-2020 - 00:00,103.26,177.24,50.78,44.64,62.33,169.9,31.34,1.12,28.55,1.1,2.01,24-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Feb-2020 - 00:00,86.55,147.17,55.45,24.35,48.65,138.61,26.38,1.01,27.98,1.1,2.04,25-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Feb-2020 - 00:00,107.36,174.18,58.34,24.42,50.06,122.81,36.72,1.1,28.5,1.1,2.02,26-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Feb-2020 - 00:00,125.36,241.86,62.93,47.0,70.95,148.83,25.99,1.28,31.54,1.07,1.95,27-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Feb-2020 - 00:00,74.92,159.54,39.96,10.95,29.66,134.22,29.2,0.74,37.62,1.1,2.01,28-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Feb-2020 - 00:00,57.05,134.45,26.25,3.67,16.67,92.66,18.68,0.72,47.59,1.1,2.02,29-Feb-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Feb-2020 - 00:00,48.21,99.11,28.41,4.79,18.63,79.53,5.85,0.58,44.27,1.1,2.02,01-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Mar-2020 - 00:00,28.4,62.08,38.03,20.54,36.47,88.85,0.33,0.71,43.24,1.1,2.02,02-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Mar-2020 - 00:00,90.34,159.54,59.69,57.94,77.65,156.05,0.35,1.1,39.79,1.1,2.03,03-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Mar-2020 - 00:00,83.67,187.54,59.09,78.04,93.46,173.03,14.0,1.14,36.35,1.1,2.04,04-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Mar-2020 - 00:00,59.5,172.2,45.48,69.5,79.49,148.31,4.3,0.86,42.96,1.1,2.02,05-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Mar-2020 - 00:00,18.89,45.8,34.04,9.23,25.32,63.96,6.04,0.44,39.04,1.1,2.02,06-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Mar-2020 - 00:00,10.03,29.97,28.39,5.89,19.56,21.08,2.56,0.35,37.89,1.1,2.02,07-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Mar-2020 - 00:00,21.53,50.49,32.24,18.29,31.46,21.91,5.11,0.6,33.22,1.1,2.02,08-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Mar-2020 - 00:00,69.66,131.56,45.58,46.13,60.73,26.27,1.04,0.97,18.38,1.08,1.97,09-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Mar-2020 - 00:00,40.51,78.8,34.22,5.6,22.37,20.46,0.98,0.51,37.29,1.09,2.03,10-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Mar-2020 - 00:00,57.05,100.38,31.69,4.21,19.93,19.71,1.32,0.64,50.78,1.1,2.02,11-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Mar-2020 - 00:00,34.82,82.45,28.18,4.65,18.46,19.73,1.02,0.54,50.26,1.12,2.02,12-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Mar-2020 - 00:00,33.77,147.77,33.77,16.0,30.47,25.25,1.39,0.49,39.86,1.1,2.01,13-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Mar-2020 - 00:00,44.87,189.92,50.77,17.94,41.13,24.92,1.61,0.58,32.76,1.1,2.03,14-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Mar-2020 - 00:00,54.27,150.69,40.55,16.77,34.63,16.52,4.69,0.65,27.26,1.09,1.99,15-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Mar-2020 - 00:00,59.55,130.26,39.68,20.15,36.89,16.39,4.61,0.73,47.11,1.1,2.02,16-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Mar-2020 - 00:00,57.27,106.17,47.61,8.1,31.34,17.13,1.96,0.79,34.49,1.1,2.02,17-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Mar-2020 - 00:00,65.31,113.71,51.45,26.7,48.3,15.64,3.81,0.91,40.26,1.09,2.03,18-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Mar-2020 - 00:00,78.44,137.48,57.26,25.44,50.31,16.21,5.76,0.92,36.07,1.11,2.02,19-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Mar-2020 - 00:00,68.43,153.05,54.72,27.87,50.94,17.24,3.42,0.9,39.15,1.11,2.02,20-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Mar-2020 - 00:00,49.36,151.78,48.52,15.08,37.44,20.04,12.28,0.77,41.74,1.1,2.02,21-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Mar-2020 - 00:00,32.7,111.11,47.54,20.83,41.55,16.05,28.77,0.73,41.06,1.11,2.02,22-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Mar-2020 - 00:00,61.09,148.57,48.96,25.84,48.86,16.52,27.83,0.85,30.67,1.11,2.03,23-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Mar-2020 - 00:00,36.67,82.63,32.2,6.56,22.08,15.23,25.13,0.63,44.66,1.1,2.02,24-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Mar-2020 - 00:00,30.56,95.58,25.79,5.37,17.78,15.36,26.5,0.45,36.3,1.1,2.02,25-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Mar-2020 - 00:00,17.77,49.62,20.68,5.95,15.57,17.29,28.57,0.36,29.11,1.1,2.01,26-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Mar-2020 - 00:00,17.72,42.02,13.69,3.89,10.27,17.27,30.61,0.26,24.8,1.1,2.01,27-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Mar-2020 - 00:00,9.83,25.61,13.05,3.96,9.99,15.25,33.11,0.21,25.5,1.1,2.02,28-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Mar-2020 - 00:00,8.01,26.28,15.52,3.5,10.91,13.97,35.13,0.23,30.96,1.1,2.01,29-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Mar-2020 - 00:00,20.99,46.54,14.59,3.08,10.1,12.47,37.16,0.19,40.09,1.1,2.01,30-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Mar-2020 - 00:00,22.1,49.59,15.58,2.9,10.46,11.97,38.88,0.27,37.65,1.11,2.03,31-Mar-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
31-Mar-2020 - 00:00,29.95,57.24,15.36,2.65,10.15,11.51,40.64,0.29,9.14,1.1,2.03,01-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Apr-2020 - 00:00,13.24,46.69,16.07,3.31,11.05,10.43,42.81,0.25,4.92,1.09,2.02,02-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Apr-2020 - 00:00,14.14,47.9,13.83,2.78,9.45,10.14,45.27,0.19,13.95,1.1,2.03,03-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Apr-2020 - 00:00,16.84,40.5,16.05,2.48,10.37,10.21,46.3,0.24,13.33,1.11,2.02,04-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Apr-2020 - 00:00,25.32,55.15,20.84,4.75,14.69,10.31,46.55,0.37,4.99,1.1,2.02,05-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Apr-2020 - 00:00,30.84,74.83,24.88,5.48,17.4,10.99,47.02,0.4,1.09,1.09,2.02,06-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Apr-2020 - 00:00,25.32,84.87,22.74,3.83,14.96,11.86,49.19,0.49,0.77,1.11,2.02,07-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Apr-2020 - 00:00,25.3,82.98,16.29,2.68,10.66,12.9,51.86,0.19,1.16,1.1,2.03,08-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Apr-2020 - 00:00,,,,,,,,,,,,09-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Apr-2020 - 00:00,9.5,58.05,20.29,3.48,13.33,9.43,1.46,0.5,55.39,1.03,1.89,10-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Apr-2020 - 00:00,37.16,78.85,28.72,5.57,19.48,11.54,0.32,0.7,41.7,1.09,2.03,11-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Apr-2020 - 00:00,40.44,116.08,27.36,7.33,20.17,13.18,0.3,0.73,48.18,1.1,2.0,12-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
