from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,to date,station
18-May-2020 - 00:00,33.18,126.71,4.65,8.97,6.99,8.6,25.06,0.54,53.57,1.1,2.02,19-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-May-2020 - 00:00,68.85,171.47,4.79,8.23,6.49,8.74,17.33,0.79,62.27,1.09,2.01,20-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-May-2020 - 00:00,57.32,145.97,4.78,2.39,1.8,8.24,1.77,0.57,69.73,1.1,2.01,21-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-May-2020 - 00:00,34.67,113.06,4.76,2.09,1.55,7.48,1.27,0.49,64.64,1.1,2.02,22-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-May-2020 - 00:00,47.26,133.87,4.76,7.61,5.98,8.49,2.11,0.71,48.92,1.1,2.03,23-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-May-2020 - 00:00,41.98,142.05,4.73,2.34,1.73,7.59,1.64,0.32,41.11,1.1,2.01,24-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-May-2020 - 00:00,37.11,123.88,4.79,2.0,1.49,6.69,1.28,0.4,44.45,1.11,2.02,25-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-May-2020 - 00:00,43.9,115.89,4.7,4.04,3.08,7.99,1.55,0.55,41.56,1.1,2.01,26-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-May-2020 - 00:00,42.44,144.92,4.79,6.29,4.93,7.85,2.67,0.59,23.81,1.09,2.02,27-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-May-2020 - 00:00,43.43,141.41,4.85,3.15,2.39,7.96,1.36,0.4,46.41,1.1,2.02,28-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-May-2020 - 00:00,52.85,218.66,4.84,2.04,1.55,12.11,1.54,0.47,38.39,1.1,2.02,29-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-May-2020 - 00:00,37.86,71.06,4.84,2.07,1.57,11.95,1.21,0.43,39.34,1.1,2.01,30-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-May-2020 - 00:00,19.15,36.82,4.76,2.16,1.61,12.13,1.36,0.37,36.36,1.1,2.03,31-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
31-May-2020 - 00:00,81.77,148.03,4.81,2.23,1.69,11.95,1.31,0.36,34.29,1.1,2.02,01-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Jun-2020 - 00:00,23.96,89.21,19.78,3.78,10.82,14.63,5.99,0.48,50.05,1.1,2.03,02-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Jun-2020 - 00:00,26.67,65.84,36.58,3.31,19.15,18.92,1.54,0.4,45.4,1.11,2.02,03-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Jun-2020 - 00:00,28.88,82.83,38.2,5.82,22.13,15.7,5.34,0.62,43.52,1.11,2.02,04-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Jun-2020 - 00:00,38.47,82.68,43.41,6.27,25.11,19.82,6.11,0.69,39.05,1.1,2.02,05-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Jun-2020 - 00:00,25.08,45.8,34.5,3.29,18.05,23.39,2.3,0.62,38.95,1.11,2.02,06-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Jun-2020 - 00:00,31.1,57.17,25.17,2.85,12.83,25.88,1.32,0.6,39.11,1.09,2.02,07-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Jun-2020 - 00:00,33.48,63.79,26.17,2.6,13.15,27.2,1.69,0.5,44.83,1.11,2.02,08-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Jun-2020 - 00:00,34.7,82.76,35.77,4.67,19.79,23.27,3.42,0.64,42.16,1.1,2.02,09-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Jun-2020 - 00:00,41.4,115.32,37.37,5.03,20.94,19.29,14.27,0.65,43.44,1.11,2.02,10-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Jun-2020 - 00:00,44.9,112.08,34.8,6.22,20.56,16.88,30.81,0.59,28.23,1.1,2.02,11-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Jun-2020 - 00:00,37.67,107.02,35.77,8.48,22.55,21.13,29.21,0.68,27.46,1.1,1.99,12-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Jun-2020 - 00:00,50.05,131.79,29.09,3.61,15.51,21.66,30.78,0.78,51.23,1.1,2.03,13-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Jun-2020 - 00:00,56.18,103.98,35.09,5.36,19.9,25.71,27.94,0.75,28.68,1.07,1.95,14-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Jun-2020 - 00:00,54.93,107.24,42.68,15.4,32.04,25.77,19.72,0.84,24.02,1.1,2.01,15-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Jun-2020 - 00:00,38.98,116.04,51.31,11.35,33.3,32.99,19.93,0.85,25.84,1.1,2.02,16-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Jun-2020 - 00:00,44.27,118.75,51.18,10.89,32.97,34.55,20.36,0.86,23.99,1.1,2.01,17-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Jun-2020 - 00:00,33.67,102.64,39.36,10.09,26.05,34.16,21.77,0.64,27.21,1.11,2.03,18-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Jun-2020 - 00:00,40.81,144.37,37.58,9.99,25.03,31.34,23.48,0.67,23.41,1.1,2.02,19-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Jun-2020 - 00:00,65.52,238.71,34.27,5.96,20.09,26.97,24.9,0.62,15.41,1.1,2.02,20-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Jun-2020 - 00:00,37.92,93.83,36.6,8.63,23.42,32.37,29.84,0.52,17.13,1.1,2.01,21-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Jun-2020 - 00:00,39.03,76.67,35.13,12.86,26.06,34.39,33.73,0.52,18.93,1.09,2.02,22-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Jun-2020 - 00:00,34.39,65.63,37.26,7.89,23.07,36.6,33.69,0.62,26.7,1.09,2.0,23-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Jun-2020 - 00:00,37.63,58.15,33.7,7.76,21.2,38.27,30.69,0.51,23.52,1.1,2.0,24-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Jun-2020 - 00:00,26.14,61.92,34.39,7.87,21.68,41.07,30.61,0.51,28.53,1.1,2.03,25-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Jun-2020 - 00:00,50.15,97.11,38.91,8.62,24.63,26.73,32.67,0.52,25.8,1.11,2.02,26-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Jun-2020 - 00:00,31.38,97.24,36.08,11.55,25.52,27.87,34.34,0.56,11.54,1.11,2.03,27-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Jun-2020 - 00:00,41.03,84.65,30.94,10.03,21.6,26.8,35.88,0.46,4.54,1.1,2.02,28-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Jun-2020 - 00:00,58.06,178.88,25.74,19.91,26.65,21.08,30.16,0.63,9.65,1.03,1.89,29-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Jun-2020 - 00:00,39.54,136.08,24.79,7.6,16.44,26.27,25.22,0.41,22.73,1.1,2.02,30-Jun-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Jun-2020 - 00:00,38.29,64.06,25.32,5.93,15.36,23.67,27.73,0.49,35.97,1.09,2.03,01-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Jul-2020 - 00:00,60.17,123.55,29.77,5.37,17.23,22.04,29.71,0.63,35.64,1.1,2.02,02-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Jul-2020 - 00:00,73.33,153.61,32.53,4.08,17.63,21.16,30.99,0.69,40.69,1.1,2.01,03-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Jul-2020 - 00:00,70.97,144.8,30.41,3.48,16.03,22.27,31.92,0.67,34.44,1.1,2.02,04-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Jul-2020 - 00:00,58.12,108.08,28.53,3.76,15.32,24.05,32.78,0.59,32.58,1.1,2.02,05-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Jul-2020 - 00:00,54.2,65.3,28.44,3.75,15.2,10.91,33.81,0.53,44.23,1.05,1.92,06-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Jul-2020 - 00:00,49.51,121.35,18.77,10.37,17.57,23.56,26.96,0.7,29.79,1.07,1.99,07-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Jul-2020 - 00:00,29.28,122.94,19.01,8.92,16.57,27.36,2.73,0.52,15.32,1.08,1.99,08-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Jul-2020 - 00:00,52.98,87.47,18.95,9.18,16.9,28.04,3.17,0.57,17.71,1.09,2.03,09-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Jul-2020 - 00:00,51.05,90.53,15.81,8.07,13.56,28.15,1.35,0.66,20.54,1.1,2.02,10-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Jul-2020 - 00:00,57.03,131.73,12.0,6.33,8.95,28.04,1.15,0.59,22.69,1.1,2.01,11-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Jul-2020 - 00:00,43.95,74.1,12.08,6.31,9.01,28.01,3.21,0.57,30.89,1.1,2.03,12-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Jul-2020 - 00:00,39.4,89.86,12.1,6.42,9.11,28.04,2.72,0.49,29.09,1.1,2.02,13-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Jul-2020 - 00:00,56.17,130.15,14.85,7.82,7.67,26.63,1.21,0.42,24.28,1.11,2.02,14-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Jul-2020 - 00:00,48.25,101.8,18.94,9.35,6.05,25.96,5.4,0.39,25.86,1.1,2.01,15-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Jul-2020 - 00:00,58.76,103.21,18.92,9.26,5.96,26.02,1.4,0.4,35.27,1.1,2.02,16-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Jul-2020 - 00:00,21.36,58.7,19.05,9.22,6.03,25.14,6.3,0.43,21.22,1.07,1.96,17-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Jul-2020 - 00:00,48.28,73.61,18.95,9.51,6.19,26.0,2.21,0.46,26.64,1.1,2.02,18-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Jul-2020 - 00:00,47.56,89.5,19.14,8.75,5.69,26.01,1.02,0.5,34.21,1.1,2.02,19-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Jul-2020 - 00:00,18.29,68.43,18.98,9.32,6.05,25.96,0.88,0.47,23.06,1.1,2.03,20-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Jul-2020 - 00:00,15.39,53.12,19.23,9.33,6.21,25.93,2.86,0.41,26.65,1.1,2.01,21-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Jul-2020 - 00:00,21.19,47.12,18.81,9.57,6.16,26.04,1.21,0.39,19.06,1.1,2.01,22-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Jul-2020 - 00:00,33.21,54.47,18.92,9.22,5.94,25.96,1.32,0.46,10.38,1.1,2.02,23-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Jul-2020 - 00:00,55.56,80.21,19.09,9.32,6.11,25.97,4.69,0.53,18.99,1.1,2.02,24-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Jul-2020 - 00:00,59.78,84.91,18.92,9.32,6.03,26.04,1.48,0.49,24.82,1.1,2.02,25-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Jul-2020 - 00:00,43.4,64.31,18.67,9.54,6.14,26.14,1.83,0.43,21.88,1.1,2.02,26-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Jul-2020 - 00:00,41.15,70.11,19.17,9.7,6.55,25.99,1.17,0.46,28.38,1.1,2.01,27-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Jul-2020 - 00:00,31.66,84.88,19.44,9.25,6.29,28.6,2.84,0.39,23.65,1.1,2.02,28-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Jul-2020 - 00:00,24.07,80.44,15.29,10.83,11.38,29.12,6.22,0.4,19.39,1.35,2.02,29-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Jul-2020 - 00:00,25.52,94.47,13.09,8.05,14.04,31.02,1.31,0.36,20.72,1.58,2.14,30-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Jul-2020 - 00:00,24.48,46.78,14.0,8.95,14.96,34.01,1.13,0.4,25.71,1.5,2.2,31-Jul-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
31-Jul-2020 - 00:00,38.48,89.85,12.27,7.23,13.24,32.84,4.13,0.47,27.89,0.86,1.44,01-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Aug-2020 - 00:00,48.31,105.4,10.95,6.05,12.02,32.02,1.79,0.47,24.45,0.63,0.93,02-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Aug-2020 - 00:00,46.1,72.83,10.96,6.12,12.07,32.0,1.48,0.4,20.58,0.8,0.97,03-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Aug-2020 - 00:00,51.35,79.87,11.35,6.35,11.74,31.15,1.21,0.37,23.77,0.81,0.96,04-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Aug-2020 - 00:00,52.33,89.76,14.02,9.16,10.13,24.46,1.96,0.46,18.71,1.39,0.96,05-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Aug-2020 - 00:00,60.68,118.79,12.3,7.91,11.08,27.22,1.8,0.6,13.41,1.79,0.94,06-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Aug-2020 - 00:00,15.66,42.44,8.71,5.76,10.21,25.57,1.49,0.41,15.88,1.8,0.89,07-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Aug-2020 - 00:00,24.39,50.83,5.23,3.84,7.85,24.79,1.49,0.41,22.61,1.8,0.87,08-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Aug-2020 - 00:00,56.46,102.83,5.75,4.04,7.48,27.49,5.96,0.53,22.99,1.78,0.84,09-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Aug-2020 - 00:00,26.39,67.14,7.03,4.91,7.94,29.01,1.51,0.49,18.68,1.8,0.83,10-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Aug-2020 - 00:00,34.73,78.32,8.74,5.62,8.6,26.63,1.09,0.49,15.24,1.56,0.88,11-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Aug-2020 - 00:00,34.04,111.19,11.76,7.09,10.11,29.11,1.11,0.52,17.21,1.34,0.95,12-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Aug-2020 - 00:00,18.47,63.71,12.31,7.63,10.65,31.26,1.38,0.4,17.3,1.29,0.98,13-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Aug-2020 - 00:00,19.31,72.56,10.86,6.66,9.6,27.53,15.19,0.71,23.22,1.2,0.9,14-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Aug-2020 - 00:00,28.08,84.1,12.74,8.1,11.12,32.26,1.26,0.54,24.64,1.19,0.92,15-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Aug-2020 - 00:00,36.37,71.97,13.98,9.02,12.0,33.62,1.8,0.4,23.71,1.06,1.14,16-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Aug-2020 - 00:00,39.28,77.02,13.93,8.96,11.92,33.41,5.77,0.41,25.12,0.99,1.52,17-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Aug-2020 - 00:00,47.65,87.11,14.03,9.0,12.03,34.0,1.28,0.47,23.43,1.0,1.54,18-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Aug-2020 - 00:00,45.92,81.53,14.36,9.77,12.52,34.01,1.56,0.49,25.11,1.0,1.54,19-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Aug-2020 - 00:00,32.12,61.33,13.99,8.97,11.96,34.0,1.09,0.52,20.97,1.06,1.6,20-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Aug-2020 - 00:00,20.74,57.22,12.88,8.21,11.6,31.31,1.33,0.45,18.71,1.09,1.65,21-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Aug-2020 - 00:00,24.5,60.2,10.98,7.19,11.08,27.0,1.11,0.42,18.68,1.1,1.64,22-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Aug-2020 - 00:00,36.65,67.94,14.13,8.36,13.59,32.6,1.14,0.38,18.65,1.1,1.65,23-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Aug-2020 - 00:00,28.28,46.49,15.98,8.98,14.98,33.76,1.83,0.37,19.41,1.1,1.64,24-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Aug-2020 - 00:00,19.52,35.16,14.78,10.83,13.78,34.16,1.42,0.39,18.55,1.22,1.7,25-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Aug-2020 - 00:00,19.74,45.64,14.58,13.19,13.92,32.96,1.42,0.44,15.13,1.3,1.74,26-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Aug-2020 - 00:00,31.69,48.19,10.32,7.71,8.69,26.9,3.76,0.42,15.26,1.3,1.74,27-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Aug-2020 - 00:00,39.93,60.69,8.03,4.99,5.99,23.0,5.36,0.47,14.65,1.31,1.73,28-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Aug-2020 - 00:00,40.71,61.32,9.9,7.13,8.06,25.51,1.83,0.48,15.06,1.27,1.77,29-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Aug-2020 - 00:00,39.91,63.65,11.02,8.04,9.03,26.98,1.04,0.5,15.1,1.21,1.84,30-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Aug-2020 - 00:00,23.96,56.29,10.99,7.88,8.9,27.0,1.55,0.37,15.2,1.19,1.84,31-Aug-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
31-Aug-2020 - 00:00,15.27,38.25,9.09,6.77,8.38,28.26,1.37,0.39,14.61,1.33,2.03,01-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Sep-2020 - 00:00,32.15,57.51,8.02,5.98,7.99,29.01,1.51,0.4,15.79,1.4,2.14,02-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Sep-2020 - 00:00,30.5,57.65,10.46,7.79,9.8,32.08,2.14,0.42,15.67,1.29,2.02,03-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Sep-2020 - 00:00,44.95,68.16,12.01,9.06,11.05,33.99,1.77,0.48,15.97,1.2,1.94,04-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Sep-2020 - 00:00,43.3,64.65,12.03,8.98,11.0,34.0,1.99,0.47,16.22,1.2,1.94,05-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Sep-2020 - 00:00,36.43,50.73,13.73,7.25,12.79,31.37,2.0,0.48,16.72,1.11,1.69,06-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Sep-2020 - 00:00,27.22,39.04,13.97,7.25,13.12,30.99,1.9,0.53,15.19,1.1,1.64,07-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Sep-2020 - 00:00,42.91,63.4,15.72,8.25,14.16,33.4,1.2,0.54,16.03,1.16,1.82,08-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Sep-2020 - 00:00,36.06,66.31,14.57,7.82,11.95,32.0,1.67,0.54,15.36,1.14,1.81,09-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Sep-2020 - 00:00,72.2,102.44,12.99,7.07,10.04,30.0,1.67,0.63,15.95,1.1,1.75,10-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Sep-2020 - 00:00,73.89,93.87,12.97,7.0,9.97,30.02,8.94,0.59,17.25,1.1,1.74,11-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Sep-2020 - 00:00,85.12,134.82,14.71,8.55,11.92,32.26,3.18,0.8,16.89,1.27,1.86,12-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Sep-2020 - 00:00,64.65,110.47,16.0,9.69,13.3,33.98,8.89,0.74,18.07,1.45,1.88,13-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Sep-2020 - 00:00,76.84,121.48,17.84,11.58,14.91,36.36,4.85,0.65,19.18,1.44,1.9,14-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Sep-2020 - 00:00,77.63,113.59,18.98,13.44,16.26,37.22,6.06,0.71,18.7,1.41,1.95,15-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Sep-2020 - 00:00,76.56,134.24,19.1,13.36,16.15,37.98,2.32,0.76,17.81,1.5,2.04,16-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Sep-2020 - 00:00,71.19,130.73,19.07,12.85,15.91,37.99,5.82,0.72,17.93,1.49,2.04,17-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Sep-2020 - 00:00,43.59,83.13,20.25,14.22,16.62,39.18,4.25,0.55,18.41,1.56,2.15,18-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Sep-2020 - 00:00,39.96,86.51,21.02,14.8,16.84,40.01,1.36,0.53,18.02,1.54,2.3,19-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Sep-2020 - 00:00,53.61,101.77,16.79,13.09,14.32,35.23,4.41,0.59,17.94,1.56,2.22,20-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Sep-2020 - 00:00,59.35,110.2,13.97,11.13,12.09,32.0,1.71,0.52,17.55,1.58,2.12,21-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Sep-2020 - 00:00,71.66,118.93,12.94,10.47,11.47,30.93,1.98,0.62,16.61,1.4,1.94,22-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Sep-2020 - 00:00,48.96,89.85,13.84,11.16,12.77,31.14,7.46,0.58,15.55,1.34,2.01,23-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Sep-2020 - 00:00,30.57,60.93,14.98,11.96,13.96,32.01,1.44,0.45,15.61,1.36,1.99,24-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Sep-2020 - 00:00,40.07,66.34,13.33,10.77,12.2,29.35,15.31,0.49,19.23,1.22,1.77,25-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Sep-2020 - 00:00,75.95,127.7,12.04,10.96,11.63,25.88,6.02,0.69,19.92,1.19,1.6,26-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Sep-2020 - 00:00,79.34,140.2,12.12,9.91,10.93,28.01,1.46,0.48,15.33,1.5,1.84,27-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Sep-2020 - 00:00,57.33,103.86,11.98,11.03,11.74,26.54,5.89,0.51,14.86,1.39,1.67,28-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Sep-2020 - 00:00,72.2,158.22,12.17,10.2,11.19,27.96,1.75,0.49,15.84,1.34,1.67,29-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Sep-2020 - 00:00,73.67,163.55,12.03,9.8,10.85,28.0,1.61,0.51,19.51,1.33,1.73,30-Sep-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Sep-2020 - 00:00,78.68,145.33,14.91,12.47,13.36,32.98,3.77,0.49,40.14,1.39,1.77,01-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Oct-2020 - 00:00,72.05,149.12,17.16,14.03,15.1,35.99,2.41,0.64,41.58,1.47,1.84,02-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Oct-2020 - 00:00,69.84,140.06,16.95,14.12,15.06,36.03,1.93,0.5,53.59,1.53,1.88,03-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Oct-2020 - 00:00,85.3,137.39,16.98,14.53,15.33,36.04,2.38,0.65,54.44,1.55,1.85,04-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Oct-2020 - 00:00,86.57,135.46,17.05,14.23,15.18,35.94,1.9,0.57,66.79,1.52,1.78,05-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Oct-2020 - 00:00,80.43,142.29,15.77,12.91,14.16,34.9,1.67,0.54,52.82,1.55,1.8,06-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Oct-2020 - 00:00,79.91,129.83,15.04,11.29,13.15,34.04,1.67,0.55,53.24,1.49,1.85,07-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Oct-2020 - 00:00,81.54,162.12,15.53,12.22,14.11,36.9,1.6,0.4,51.97,1.47,1.87,08-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Oct-2020 - 00:00,79.07,142.86,15.95,13.6,15.31,39.04,7.91,0.38,55.36,1.39,1.87,09-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
