from date,AT,Benzene,BP,CO,NO,NO2,NOx,Ozone,PM2.5,RF,RH,SO2,SR,Toluene,VWS,WD,WS,Xylene,to date,station
07-Apr-2020 - 00:00,27.4,0.92,750.9,0.79,3.22,4.19,4.72,37.5,38.91,0.0,40.94,14.46,212.53,2.88,-0.01,89.05,1.21,0.36,08-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
08-Apr-2020 - 00:00,27.75,0.87,751.0,0.73,1.63,2.41,2.04,43.09,36.68,0.0,41.71,14.4,214.86,2.24,-0.01,95.26,1.34,0.27,09-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
09-Apr-2020 - 00:00,27.46,1.01,751.0,0.85,2.25,4.2,3.04,59.36,41.04,0.0,45.04,15.28,212.97,2.76,-0.01,98.01,0.99,0.57,10-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
10-Apr-2020 - 00:00,27.96,1.86,751.0,0.94,2.54,3.51,3.63,62.49,57.25,0.0,43.31,14.98,213.92,3.8,-0.01,128.38,0.62,0.74,11-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
11-Apr-2020 - 00:00,27.6,1.77,751.08,0.94,2.87,5.04,4.96,57.78,49.85,0.0,43.04,15.01,209.38,3.85,-0.01,134.06,1.02,0.92,12-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
12-Apr-2020 - 00:00,28.44,1.16,751.0,0.96,1.69,0.96,1.5,66.35,46.52,0.0,44.4,15.1,198.19,1.77,-0.01,103.4,0.63,0.33,13-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
13-Apr-2020 - 00:00,28.15,1.03,750.98,0.84,1.48,3.83,1.39,103.71,42.88,0.0,53.21,15.2,211.54,2.07,-0.01,109.07,0.77,0.42,14-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
14-Apr-2020 - 00:00,29.02,1.0,751.0,0.95,1.75,0.72,0.85,115.17,38.5,0.0,55.09,15.24,197.81,1.63,-0.01,106.65,0.53,0.33,15-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
15-Apr-2020 - 00:00,27.38,0.69,751.0,0.92,1.35,16.02,8.04,97.11,27.1,0.0,55.78,15.09,162.11,0.99,-0.01,106.09,1.06,0.22,16-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
16-Apr-2020 - 00:00,28.16,0.84,750.71,1.21,1.44,16.98,10.18,98.57,43.54,0.0,55.5,15.6,203.24,1.39,-0.01,119.98,0.65,0.28,17-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
17-Apr-2020 - 00:00,28.18,0.91,750.55,1.17,1.36,16.84,9.92,102.91,50.73,0.0,59.65,15.48,194.75,1.67,-0.01,110.9,0.82,0.32,18-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
18-Apr-2020 - 00:00,27.14,1.1,750.88,1.13,1.64,17.76,10.69,101.63,52.58,0.01,62.04,15.25,123.02,1.98,-0.01,75.46,0.72,0.43,19-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
19-Apr-2020 - 00:00,28.41,0.8,750.69,1.29,1.33,16.65,9.81,78.6,40.47,0.0,49.64,15.66,196.88,1.62,-0.01,88.95,1.17,0.33,20-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
20-Apr-2020 - 00:00,26.52,0.68,751.0,1.14,1.55,17.34,10.29,117.89,30.22,0.0,60.29,14.84,130.56,2.31,-0.01,98.49,1.03,0.78,21-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
21-Apr-2020 - 00:00,25.47,0.71,750.98,1.27,1.25,16.76,9.8,108.84,29.24,0.0,65.19,14.67,164.9,1.04,-0.01,110.42,1.65,0.29,22-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
22-Apr-2020 - 00:00,26.17,0.79,750.92,1.21,1.43,17.36,10.22,100.54,35.86,0.0,60.04,14.86,194.4,1.36,-0.01,120.7,0.93,0.36,23-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
23-Apr-2020 - 00:00,27.23,0.73,750.77,1.17,1.39,16.75,9.9,98.1,36.42,0.0,56.22,14.76,192.58,1.04,-0.01,106.17,1.19,0.24,24-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
24-Apr-2020 - 00:00,26.21,0.76,750.71,1.33,1.41,16.66,9.91,108.91,37.46,0.0,61.48,15.33,138.31,1.47,-0.01,107.9,1.16,0.37,25-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
25-Apr-2020 - 00:00,26.62,0.69,750.62,1.18,1.2,16.53,9.65,107.75,33.1,0.0,63.0,14.9,153.35,1.19,-0.01,112.67,0.9,0.3,26-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
26-Apr-2020 - 00:00,24.9,0.62,751.0,1.13,1.35,16.28,9.67,112.79,53.1,0.0,67.55,14.63,131.81,0.69,-0.01,99.6,1.65,0.19,27-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
27-Apr-2020 - 00:00,24.7,0.82,751.0,1.42,1.48,17.79,10.52,128.85,86.94,0.0,70.93,14.58,107.35,1.47,-0.01,104.42,0.89,0.41,28-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
