from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
01-Jan-2020 - 00:00,8.41,3.67,46.2,25.37,24.88,2.74,7.03,90.13,362.51,8.51,0.59,2.53,3.75,02-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
02-Jan-2020 - 00:00,32.73,14.58,36.38,27.14,22.54,3.81,7.05,73.34,275.53,7.25,0.75,2.62,3.77,03-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
03-Jan-2020 - 00:00,33.28,23.79,35.07,28.28,25.86,4.58,6.9,54.31,280.74,6.38,0.95,2.94,4.06,04-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
04-Jan-2020 - 00:00,39.43,17.82,23.83,25.56,22.03,4.19,6.99,53.6,303.62,3.38,0.57,1.18,1.86,05-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
05-Jan-2020 - 00:00,39.19,17.11,23.14,25.83,16.86,3.92,7.06,55.79,260.16,1.97,0.46,0.48,0.95,06-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
06-Jan-2020 - 00:00,39.43,16.18,22.03,25.83,22.16,3.67,7.13,49.66,252.58,3.74,0.78,1.15,2.11,07-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
07-Jan-2020 - 00:00,38.74,16.34,22.67,27.04,25.15,3.42,6.99,31.12,180.73,3.86,0.56,1.04,1.86,08-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
08-Jan-2020 - 00:00,41.21,13.49,19.86,26.24,31.24,3.26,7.33,32.85,257.0,3.22,0.57,1.01,1.78,09-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
09-Jan-2020 - 00:00,39.37,10.2,15.7,25.52,46.69,3.16,6.96,21.71,106.93,2.2,0.57,0.55,1.28,10-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
10-Jan-2020 - 00:00,39.76,10.78,15.91,26.13,50.25,3.06,7.03,30.97,162.87,3.02,0.44,0.55,1.18,11-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
11-Jan-2020 - 00:00,40.18,11.96,17.1,25.68,53.58,3.08,7.0,33.59,141.79,1.69,0.27,0.29,0.64,12-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
12-Jan-2020 - 00:00,36.17,18.1,27.08,26.79,57.37,3.2,7.06,48.18,201.91,3.3,0.45,0.73,1.32,13-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
13-Jan-2020 - 00:00,37.72,22.58,30.39,27.81,56.04,3.19,5.73,74.88,332.94,4.36,0.45,1.8,2.58,14-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
