from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
27-Jan-2020 - 00:00,41.79,73.54,14.72,3.1,17.81,11.83,12.7,0.41,52.52,1.62,35.79,7.38,23.83,75.3,,232.85,1.93,138.61,28-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
28-Jan-2020 - 00:00,23.87,51.12,15.64,3.5,19.13,12.62,15.63,0.31,46.44,16.05,46.79,13.84,23.0,75.46,,229.01,1.95,176.34,29-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
29-Jan-2020 - 00:00,18.99,104.69,16.38,1.92,18.27,6.79,9.36,0.3,68.46,3.57,17.64,11.21,21.61,66.37,,233.46,2.46,154.95,30-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
30-Jan-2020 - 00:00,47.36,118.54,43.31,7.24,50.56,6.74,18.62,0.55,75.0,7.23,23.62,15.49,21.19,60.77,,248.14,2.78,153.56,31-Jan-2020 - 00:00,"Colaba, Mumbai - MPCB"
31-Jan-2020 - 00:00,55.92,122.04,44.2,13.07,57.26,8.89,15.04,0.57,74.94,6.04,20.57,13.21,21.82,63.66,,231.14,2.45,150.58,01-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
01-Feb-2020 - 00:00,70.79,139.24,55.98,14.74,70.72,10.19,12.62,0.67,59.03,6.98,18.06,12.18,22.15,68.38,,223.33,2.24,160.05,02-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
02-Feb-2020 - 00:00,79.38,135.02,43.34,20.43,63.78,13.08,15.77,0.67,45.56,14.76,58.33,14.46,23.78,70.64,,253.18,2.21,205.25,03-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
03-Feb-2020 - 00:00,69.95,112.58,23.32,3.73,27.03,15.1,13.56,0.6,83.73,14.51,39.18,20.1,24.37,74.58,,236.51,1.91,191.88,04-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
04-Feb-2020 - 00:00,78.34,126.9,33.93,4.56,38.49,12.28,12.55,0.62,97.42,4.96,39.23,11.39,23.07,71.06,,218.32,2.03,139.07,05-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
05-Feb-2020 - 00:00,53.09,122.18,44.86,6.95,51.63,7.99,14.74,0.56,93.73,3.53,29.7,11.63,23.73,57.03,,258.36,2.08,103.67,06-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
06-Feb-2020 - 00:00,38.66,92.43,22.54,2.69,25.04,10.44,11.3,0.43,93.33,3.98,14.09,12.67,22.78,61.14,,259.56,2.52,127.77,07-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
07-Feb-2020 - 00:00,39.29,96.99,29.82,3.29,32.99,8.91,15.01,0.44,78.87,3.38,16.86,10.58,22.01,56.38,,252.33,2.54,141.77,08-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
08-Feb-2020 - 00:00,63.09,122.5,42.9,11.48,54.12,9.01,12.5,0.61,68.64,13.82,16.78,11.99,22.17,68.77,,236.27,2.07,148.76,09-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
09-Feb-2020 - 00:00,69.86,151.65,41.01,9.73,50.1,8.08,3.69,0.7,12.77,0.33,10.29,10.37,22.04,70.16,,,2.23,159.19,10-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
10-Feb-2020 - 00:00,60.93,113.99,44.6,11.66,56.26,7.18,,,,,,,,,,,,,11-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
11-Feb-2020 - 00:00,64.5,128.67,46.63,17.32,63.95,7.83,9.5,0.65,56.49,5.58,29.39,12.18,27.46,60.48,,246.11,1.92,182.31,12-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
12-Feb-2020 - 00:00,67.56,134.86,48.38,22.39,70.77,15.26,21.79,0.76,41.44,13.51,140.4,55.71,26.33,67.26,,174.94,1.91,197.32,13-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
13-Feb-2020 - 00:00,77.4,111.96,43.12,24.92,68.04,8.84,13.95,0.68,60.19,10.84,62.93,68.64,25.92,69.3,,180.95,1.92,189.84,14-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
14-Feb-2020 - 00:00,62.7,130.15,51.09,17.23,68.32,14.08,16.43,0.65,22.07,7.39,75.74,95.39,26.11,59.25,,223.56,1.92,150.2,15-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
15-Feb-2020 - 00:00,50.89,139.8,51.15,23.45,74.6,11.62,14.88,0.58,0.05,4.41,78.03,44.58,25.16,54.51,,224.55,1.93,145.84,16-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
16-Feb-2020 - 00:00,65.24,127.29,38.53,8.85,47.39,8.46,11.72,0.63,0.07,3.99,44.14,27.56,24.4,66.56,,222.77,1.92,126.57,17-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
17-Feb-2020 - 00:00,113.01,189.79,57.5,16.36,73.86,9.7,11.68,0.4,62.5,24.49,68.02,58.53,26.02,71.44,,250.2,1.92,171.09,18-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
18-Feb-2020 - 00:00,122.32,198.88,55.59,17.05,72.63,15.5,15.65,0.59,75.26,31.11,103.24,61.87,27.12,67.23,,224.5,1.91,208.33,19-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
19-Feb-2020 - 00:00,97.43,188.86,59.99,18.73,78.71,14.66,23.72,0.69,53.47,37.1,64.3,44.57,25.74,73.5,,228.86,1.91,195.7,20-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
20-Feb-2020 - 00:00,65.78,117.1,41.9,17.89,59.79,12.49,16.97,0.57,34.28,14.51,70.93,57.98,24.68,77.47,,217.4,1.91,178.65,21-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
21-Feb-2020 - 00:00,37.79,85.45,29.39,16.59,45.98,12.8,20.66,0.44,41.28,4.35,50.18,38.7,24.66,74.4,,229.43,1.93,118.32,22-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
22-Feb-2020 - 00:00,69.23,143.23,45.66,7.14,52.79,8.96,22.51,0.65,81.11,2.86,57.7,42.61,24.84,67.23,,225.04,1.92,104.99,23-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
23-Feb-2020 - 00:00,78.19,158.55,52.3,17.31,69.61,8.4,20.37,0.64,71.95,10.5,103.79,76.64,25.35,65.78,,235.41,1.92,116.65,24-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
24-Feb-2020 - 00:00,82.48,146.02,47.98,12.63,60.6,10.41,16.95,0.65,59.72,10.9,60.67,46.63,24.72,71.13,,231.6,1.92,141.41,25-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
25-Feb-2020 - 00:00,48.33,138.8,50.61,10.1,60.72,7.95,18.09,0.51,42.45,4.99,99.69,52.18,26.61,47.36,,257.8,1.93,132.38,26-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
26-Feb-2020 - 00:00,47.04,131.03,54.7,15.89,70.58,7.91,24.48,0.48,47.76,3.33,42.74,47.86,26.51,50.03,,239.87,1.92,146.76,27-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
27-Feb-2020 - 00:00,58.47,142.81,60.15,22.61,82.76,9.3,26.07,0.6,40.51,9.97,61.26,46.03,26.51,55.6,,234.81,1.92,162.87,28-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
28-Feb-2020 - 00:00,76.5,170.29,85.71,26.04,111.75,9.1,25.44,0.62,30.5,16.94,108.54,60.02,25.4,62.52,,240.29,1.91,162.44,29-Feb-2020 - 00:00,"Colaba, Mumbai - MPCB"
29-Feb-2020 - 00:00,69.85,153.46,57.79,29.53,87.31,11.41,25.09,0.55,26.35,34.24,94.47,38.06,24.87,72.82,,222.55,1.92,150.47,01-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
01-Mar-2020 - 00:00,42.5,131.32,23.53,9.02,32.55,9.89,18.49,0.38,16.09,3.94,60.9,54.4,24.77,76.58,,228.37,1.92,92.87,02-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
02-Mar-2020 - 00:00,47.62,112.64,25.45,20.17,45.62,5.22,18.81,0.5,8.94,17.65,90.15,55.99,24.95,74.01,,229.62,1.92,184.59,03-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
03-Mar-2020 - 00:00,44.98,127.04,19.63,6.76,26.39,6.46,36.13,0.39,19.54,3.73,43.81,57.16,24.51,74.16,,213.55,1.91,202.64,04-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
04-Mar-2020 - 00:00,36.45,104.88,12.16,3.15,15.29,8.35,38.61,0.34,29.09,10.88,20.22,50.69,24.31,70.93,,215.01,1.91,178.24,05-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
05-Mar-2020 - 00:00,41.78,109.95,21.9,4.8,26.7,10.32,46.16,0.41,22.71,5.29,32.4,66.49,24.53,72.52,,245.21,1.92,180.37,06-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
06-Mar-2020 - 00:00,18.98,80.0,6.62,2.04,8.66,7.88,26.79,0.23,20.29,2.46,24.1,33.15,25.77,64.03,,213.81,1.91,224.15,07-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
07-Mar-2020 - 00:00,31.55,125.49,11.85,2.64,14.49,6.78,21.68,0.28,25.24,2.12,28.25,36.2,23.96,66.67,,165.01,1.93,104.14,08-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
08-Mar-2020 - 00:00,30.72,115.49,26.99,9.31,36.3,9.53,28.87,0.41,20.0,3.54,38.67,38.19,23.8,64.56,,261.68,2.08,140.91,09-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
09-Mar-2020 - 00:00,38.67,122.28,17.36,3.29,20.64,10.07,21.69,0.4,21.96,4.29,40.81,26.72,23.88,72.23,,252.75,1.97,127.35,10-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
10-Mar-2020 - 00:00,35.61,92.57,13.45,5.29,18.71,6.58,31.87,0.36,9.74,17.63,344.71,107.8,24.52,72.51,,246.61,1.92,167.46,11-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
11-Mar-2020 - 00:00,20.25,76.03,5.9,1.91,7.8,4.64,19.74,0.2,17.49,3.79,71.68,45.72,24.34,63.9,,293.54,1.93,131.79,12-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
12-Mar-2020 - 00:00,21.11,62.04,14.28,4.44,18.63,5.73,15.2,0.23,20.25,4.23,40.11,40.31,23.64,64.79,,238.55,1.95,110.13,13-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
13-Mar-2020 - 00:00,26.74,98.25,20.76,3.18,23.93,7.01,17.97,0.28,26.58,2.41,39.36,58.76,23.39,58.43,,295.68,2.27,134.43,14-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
14-Mar-2020 - 00:00,39.13,120.2,26.17,3.0,29.17,5.55,11.05,0.35,22.5,2.85,26.18,43.14,24.34,55.23,,321.55,2.24,105.98,15-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
15-Mar-2020 - 00:00,48.92,135.04,40.3,16.1,56.39,9.31,24.5,0.58,8.64,4.99,78.44,74.56,25.41,61.05,,268.07,1.96,203.03,16-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
16-Mar-2020 - 00:00,64.24,153.61,44.5,9.9,54.4,9.95,26.83,0.64,10.21,17.29,86.66,50.1,27.05,59.66,,298.09,1.91,176.5,17-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
17-Mar-2020 - 00:00,75.79,159.11,55.59,7.08,62.67,8.79,18.27,0.62,118.49,17.49,24.69,69.69,27.75,63.79,,236.45,1.92,143.99,18-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
18-Mar-2020 - 00:00,46.01,102.78,32.21,8.48,40.7,10.91,15.26,0.46,95.68,5.97,34.03,49.23,26.88,63.31,,266.95,1.93,148.84,19-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
19-Mar-2020 - 00:00,31.06,74.78,24.27,6.04,30.31,6.89,10.34,0.4,77.89,4.82,19.7,33.38,26.1,66.6,,277.46,1.93,179.47,20-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
20-Mar-2020 - 00:00,17.86,41.8,8.37,3.15,11.51,7.71,8.1,0.29,59.08,3.17,24.87,72.0,25.15,72.5,,285.81,1.92,155.32,21-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
21-Mar-2020 - 00:00,20.11,50.27,11.41,3.75,15.16,11.41,13.28,0.29,68.91,7.61,32.21,36.43,24.88,75.11,,243.55,1.91,171.36,22-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
22-Mar-2020 - 00:00,20.3,49.52,4.86,1.9,6.64,6.42,8.08,0.27,68.29,3.65,29.06,34.43,25.56,77.54,,260.59,1.93,120.19,23-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
23-Mar-2020 - 00:00,23.65,54.76,5.53,2.13,7.51,6.36,8.07,0.3,74.05,2.7,39.39,41.35,26.14,79.2,,258.59,1.93,128.33,24-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
24-Mar-2020 - 00:00,33.01,76.06,4.59,1.66,6.24,7.37,8.42,0.37,87.49,6.5,28.32,51.79,26.53,80.74,,240.42,1.93,112.93,25-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
25-Mar-2020 - 00:00,27.98,67.12,4.45,1.68,6.13,8.7,10.02,0.36,77.28,4.75,72.92,42.54,27.07,80.46,,253.41,1.92,184.86,26-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
26-Mar-2020 - 00:00,20.18,58.61,4.65,1.67,6.31,7.43,9.65,0.33,61.33,12.47,58.09,40.92,27.05,80.82,,188.88,1.9,216.14,27-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
27-Mar-2020 - 00:00,21.91,62.33,4.13,1.74,5.85,6.32,10.72,0.35,80.11,3.5,21.11,51.91,26.72,78.46,,217.52,1.93,101.79,28-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
28-Mar-2020 - 00:00,30.56,62.37,8.56,1.94,10.47,7.38,8.79,0.36,84.5,2.36,19.84,31.62,27.3,64.77,,227.83,1.94,122.9,29-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
29-Mar-2020 - 00:00,23.56,58.86,3.64,1.25,4.69,8.35,6.95,0.3,96.13,3.22,19.41,47.81,27.15,65.5,,251.93,1.94,102.14,30-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
30-Mar-2020 - 00:00,21.97,54.57,4.29,1.6,5.89,7.77,6.6,0.31,80.5,2.96,15.14,33.63,26.81,69.97,,228.63,1.94,132.75,31-Mar-2020 - 00:00,"Colaba, Mumbai - MPCB"
31-Mar-2020 - 00:00,23.37,52.64,4.41,2.02,6.38,7.63,7.36,0.31,71.0,3.26,15.39,51.01,26.26,75.75,,231.82,1.93,108.93,01-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
01-Apr-2020 - 00:00,20.49,53.5,2.89,1.38,4.18,8.78,6.86,0.29,74.74,4.09,26.71,54.24,26.39,77.5,,265.13,1.93,58.04,02-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
02-Apr-2020 - 00:00,25.06,69.34,3.96,1.42,5.34,8.2,7.02,0.32,79.2,6.72,17.12,46.63,26.75,77.49,,244.79,1.94,119.16,03-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
03-Apr-2020 - 00:00,24.39,76.0,3.03,1.44,4.42,7.76,7.03,0.3,68.89,7.55,22.72,62.24,27.07,76.83,,263.54,1.94,101.98,04-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
04-Apr-2020 - 00:00,23.09,71.19,3.53,1.72,5.21,7.18,7.83,0.3,66.06,4.73,22.02,50.0,26.76,80.49,,265.17,1.93,145.85,05-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
05-Apr-2020 - 00:00,28.05,69.82,6.17,2.07,8.08,6.86,10.22,0.35,65.94,4.88,21.31,52.47,27.22,80.4,,265.58,1.92,199.24,06-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
06-Apr-2020 - 00:00,20.56,53.94,4.08,1.68,5.66,7.37,10.37,0.29,58.82,1.93,22.59,43.41,26.73,82.25,,270.44,1.89,223.39,07-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
07-Apr-2020 - 00:00,21.63,64.71,3.91,2.29,6.2,6.98,8.95,0.28,45.73,3.82,16.58,30.62,24.59,86.44,,1.97,1.93,197.71,08-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
08-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,09-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
09-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,10-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
10-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
11-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
12-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
13-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,14-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
14-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,15-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
