from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,Ozone,SO2,CO,to date,station
07-Apr-2020 - 00:00,24.66,987.29,92.04,24.09,48.09,203.47,273.22,2.56,,,20.73,8.64,2.26,6.45,59.6,24.21,0.41,08-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Apr-2020 - 00:00,24.41,987.76,78.65,22.8,44.2,214.88,281.52,3.81,,,17.89,9.44,2.28,6.88,61.65,21.08,0.4,09-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Apr-2020 - 00:00,23.89,988.19,75.5,31.91,47.09,208.12,292.55,2.26,,,17.59,14.59,2.39,9.71,62.74,25.48,0.5,10-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Apr-2020 - 00:00,25.04,989.15,105.51,58.79,46.78,207.86,278.59,1.57,,,20.8,23.78,4.95,16.69,55.2,26.94,0.73,11-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Apr-2020 - 00:00,26.51,990.02,108.21,45.95,45.63,202.57,247.77,1.07,,,21.58,18.58,4.61,13.65,67.62,25.66,0.68,12-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Apr-2020 - 00:00,25.86,987.8,90.79,34.83,44.16,216.87,298.19,1.96,,,20.62,12.13,2.51,8.5,62.19,28.75,0.55,13-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Apr-2020 - 00:00,26.49,985.76,131.36,58.41,45.64,208.56,292.57,1.64,,,22.26,22.04,3.39,14.49,52.03,36.51,0.76,14-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Apr-2020 - 00:00,27.39,986.37,129.78,48.5,45.54,159.04,173.54,0.64,,,21.97,30.47,3.8,19.3,51.56,24.85,0.9,15-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Apr-2020 - 00:00,27.44,985.91,190.72,48.94,40.09,196.39,208.25,1.19,,,23.97,25.74,8.01,20.23,48.39,24.87,,16-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-Apr-2020 - 00:00,27.13,984.55,174.57,58.28,39.32,194.72,278.04,1.55,,,25.17,23.82,4.95,16.71,57.41,27.55,,17-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-Apr-2020 - 00:00,27.47,984.36,83.84,18.33,38.21,185.25,188.54,1.55,,,20.76,9.45,2.52,7.09,75.98,22.58,,18-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-Apr-2020 - 00:00,26.04,986.38,109.44,20.47,46.05,185.62,103.38,1.82,,,23.38,10.51,2.63,7.73,66.08,18.51,,19-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-Apr-2020 - 00:00,24.98,985.71,59.1,25.46,52.72,220.91,282.02,1.76,,,25.16,16.27,3.39,11.42,50.01,22.33,,20-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Apr-2020 - 00:00,24.48,986.66,84.35,35.42,51.59,119.98,225.45,0.96,,,25.03,21.61,4.9,15.49,39.2,17.87,,21-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
