from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,RF,SR,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
03-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
04-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
05-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
06-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
07-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
08-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
09-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
10-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
11-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
12-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
13-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
14-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
15-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
16-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
17-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
18-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
19-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
20-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
21-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
22-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
23-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
24-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
25-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
26-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
27-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
28-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
29-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
30-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,31-Jan-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
31-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
01-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
02-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
03-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
04-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
05-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
06-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
07-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
08-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
09-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
10-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
11-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
12-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
13-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
14-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
15-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
16-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
17-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
18-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
19-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
20-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
21-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
22-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
23-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
24-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
25-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
26-Feb-2020 - 00:00,22.0,65.01,15.97,12.48,3.5,38.71,3.59,0.52,1.51,0.0,0.0,0.0,0.0,0.0,18.74,78.4,0.69,124.94,756.05,1.12,164.36,27-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
27-Feb-2020 - 00:00,27.6,103.81,33.5,18.33,15.16,48.75,4.5,0.8,1.51,0.0,0.0,0.0,0.0,0.0,17.01,88.66,2.49,116.42,756.64,0.0,117.96,28-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
28-Feb-2020 - 00:00,59.69,183.51,86.91,12.28,65.85,47.18,3.05,1.26,3.19,2.09,7.99,0.0,0.31,0.0,18.42,82.49,0.27,142.88,756.06,0.0,171.88,29-Feb-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
29-Feb-2020 - 00:00,59.48,121.42,,0.0,,55.99,4.81,1.14,5.6,6.99,25.52,0.0,2.76,0.0,19.81,77.22,0.3,148.64,754.72,0.0,202.3,01-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
01-Mar-2020 - 00:00,65.64,125.42,,0.0,,48.51,4.68,1.21,10.09,5.75,13.84,0.0,1.92,0.0,20.96,74.4,0.25,161.76,754.72,0.0,202.67,02-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
02-Mar-2020 - 00:00,53.02,203.82,,0.0,,50.82,4.89,0.96,8.98,0.0,0.0,0.0,0.0,0.0,21.72,77.07,0.28,179.65,753.88,0.0,173.17,03-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
03-Mar-2020 - 00:00,66.61,223.91,42.23,11.9,17.98,77.68,5.56,1.34,15.59,0.64,3.52,0.0,0.03,0.0,22.14,75.66,0.31,190.44,752.8,0.0,205.18,04-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
04-Mar-2020 - 00:00,98.1,302.73,77.57,26.19,51.38,110.03,5.52,1.81,10.6,0.0,0.0,0.0,0.0,0.0,19.31,86.97,0.29,118.92,753.36,0.0,97.02,05-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
05-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
06-Mar-2020 - 00:00,23.82,96.59,9.43,7.6,1.31,37.7,3.94,0.4,13.85,1.03,8.47,0.0,0.38,0.0,23.02,67.24,1.09,102.53,754.12,0.0,337.97,07-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
07-Mar-2020 - 00:00,28.89,92.09,15.88,10.4,5.48,36.2,3.85,0.49,9.56,0.0,0.0,0.0,0.0,0.0,20.4,80.15,0.66,90.58,755.0,0.0,148.97,08-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
