from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,RF,SR,to date,station
08-Mar-2020 - 00:00,33.15,108.35,21.04,15.19,5.86,51.71,4.52,0.77,11.55,0.0,0.0,0.0,0.0,0.0,20.89,75.26,1.06,248.62,754.82,0.0,201.7,09-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
09-Mar-2020 - 00:00,29.83,121.85,15.99,14.81,1.18,50.94,2.18,0.57,13.41,0.0,0.0,0.0,0.0,0.0,20.04,64.3,1.15,240.23,754.02,0.0,270.81,10-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
10-Mar-2020 - 00:00,68.25,163.69,18.41,14.58,3.83,44.2,3.6,1.19,11.65,0.0,0.0,0.0,0.0,0.0,19.61,65.25,0.58,237.34,754.3,0.0,196.75,11-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
11-Mar-2020 - 00:00,44.92,121.99,14.85,13.35,1.5,41.34,3.44,0.75,11.23,0.0,0.0,0.0,0.0,0.0,20.45,66.77,0.4,207.14,753.95,0.0,147.06,12-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
12-Mar-2020 - 00:00,43.45,142.37,22.87,16.68,6.2,32.27,5.2,0.81,11.2,0.0,0.0,0.0,0.0,0.0,23.13,70.2,0.4,162.91,754.71,0.0,250.54,13-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
13-Mar-2020 - 00:00,52.38,129.94,24.32,12.89,11.45,28.18,3.31,0.89,11.11,1.24,5.07,0.0,0.0,0.0,20.39,86.45,0.5,93.87,756.27,0.05,61.92,14-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
14-Mar-2020 - 00:00,30.04,56.91,12.2,9.27,2.93,20.67,3.44,0.54,10.62,2.48,15.19,0.0,0.0,0.0,17.94,93.96,0.71,145.96,756.42,0.09,38.17,15-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
15-Mar-2020 - 00:00,24.27,89.26,16.94,11.59,5.35,22.45,3.74,0.59,10.01,1.08,7.76,0.0,0.09,0.0,20.76,79.69,0.45,216.64,755.8,0.0,255.62,16-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
16-Mar-2020 - 00:00,38.83,186.41,20.91,15.05,5.86,27.42,3.27,0.72,12.94,1.12,3.9,0.0,0.0,0.0,22.41,64.81,0.94,258.61,755.84,0.0,266.68,17-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
17-Mar-2020 - 00:00,44.36,192.4,24.91,20.4,4.5,47.62,3.55,0.74,12.53,4.3,19.85,0.0,0.0,0.0,21.75,62.07,0.86,254.74,756.31,0.0,261.88,18-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
18-Mar-2020 - 00:00,38.19,197.6,23.48,21.62,1.86,43.25,3.57,0.73,13.56,3.98,18.53,0.0,0.0,0.0,22.54,58.49,0.92,251.94,754.89,0.0,260.89,19-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
19-Mar-2020 - 00:00,39.1,196.4,23.64,20.48,2.92,39.07,2.97,0.71,13.8,4.05,20.07,0.0,0.0,0.0,22.94,58.68,0.75,240.86,753.43,0.0,228.88,20-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
20-Mar-2020 - 00:00,38.85,222.98,30.16,20.17,9.99,40.72,6.31,0.73,13.9,3.98,19.35,0.93,2.33,1.39,23.12,59.7,0.4,172.88,753.09,0.0,253.69,21-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
21-Mar-2020 - 00:00,61.77,246.38,31.79,19.43,12.36,44.43,9.21,1.17,11.05,7.81,24.89,3.16,7.8,4.43,22.18,70.39,0.62,147.33,753.36,0.0,150.76,22-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
22-Mar-2020 - 00:00,51.68,136.98,22.2,16.61,5.58,48.67,8.96,0.91,9.74,5.84,27.03,3.83,7.28,4.42,22.6,68.84,0.33,140.34,754.44,0.0,227.95,23-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
23-Mar-2020 - 00:00,25.01,33.24,14.45,12.29,2.15,35.76,8.68,0.66,10.7,3.78,25.47,3.95,6.39,3.84,23.27,69.19,0.47,112.84,753.94,0.0,247.15,24-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
24-Mar-2020 - 00:00,70.69,95.0,18.47,13.21,5.26,34.55,9.42,0.93,9.99,6.11,28.04,4.46,7.61,4.6,24.0,68.85,0.28,102.16,752.78,0.0,222.74,25-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
25-Mar-2020 - 00:00,71.7,453.91,21.38,14.74,6.64,31.8,9.4,1.12,10.5,7.95,25.9,4.48,7.48,4.48,25.27,67.09,0.29,200.32,751.7,0.0,216.98,26-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
26-Mar-2020 - 00:00,29.18,136.06,17.34,14.6,2.75,34.5,7.71,0.69,12.82,4.76,22.7,4.06,6.41,3.79,26.41,52.28,1.09,252.44,751.94,0.0,266.55,27-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
27-Mar-2020 - 00:00,27.91,139.2,14.89,12.52,2.36,38.27,7.76,0.61,12.09,3.85,23.14,3.99,6.06,3.46,26.82,51.07,1.0,255.49,752.96,0.0,255.43,28-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
28-Mar-2020 - 00:00,18.91,208.69,17.67,15.28,2.39,39.11,7.41,0.42,13.75,2.37,18.5,2.78,3.65,2.21,25.75,54.0,2.03,267.48,752.28,0.0,265.88,29-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
29-Mar-2020 - 00:00,16.16,112.89,14.17,13.23,0.94,36.44,6.85,0.38,16.2,2.2,15.73,2.17,3.1,1.84,25.8,41.89,2.2,268.38,751.29,0.0,278.85,30-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
30-Mar-2020 - 00:00,23.14,413.78,17.28,15.33,1.95,29.87,7.24,0.48,17.6,2.92,15.49,2.1,3.38,2.06,25.21,37.48,1.62,254.33,751.94,0.0,277.17,31-Mar-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
31-Mar-2020 - 00:00,33.66,167.12,16.49,14.45,2.01,29.51,9.56,0.67,15.04,4.58,18.74,2.75,4.85,2.89,24.94,45.36,0.77,238.72,752.25,0.0,277.6,01-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
01-Apr-2020 - 00:00,49.09,160.23,20.04,15.72,4.32,31.69,8.46,0.98,14.23,7.55,21.71,3.23,6.37,3.6,26.15,48.82,0.46,221.92,751.07,0.0,260.57,02-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
02-Apr-2020 - 00:00,35.51,58.16,16.03,14.3,1.74,32.6,8.19,0.76,18.34,5.15,21.1,3.54,6.12,3.47,27.66,44.05,0.7,225.87,750.16,0.0,252.56,03-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
03-Apr-2020 - 00:00,25.83,112.59,12.83,11.87,0.96,27.96,7.02,0.53,18.31,3.18,16.64,2.54,3.88,2.23,26.79,33.11,1.45,250.7,751.85,0.0,284.7,04-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
04-Apr-2020 - 00:00,28.85,137.52,16.76,14.85,1.92,26.48,7.99,0.66,18.02,4.3,17.35,2.54,4.56,2.71,25.1,38.65,0.69,219.96,752.8,0.0,283.4,05-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
05-Apr-2020 - 00:00,33.14,71.37,17.32,14.93,2.39,25.83,7.78,0.84,15.94,6.11,17.9,2.6,4.98,2.82,25.89,38.68,0.71,225.3,753.0,0.0,274.0,06-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
06-Apr-2020 - 00:00,26.89,68.71,14.78,13.63,1.15,26.69,8.04,0.56,20.29,3.74,15.16,2.45,4.12,2.43,28.2,29.59,1.29,256.98,751.39,0.0,266.83,07-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
07-Apr-2020 - 00:00,23.37,65.64,17.36,16.05,1.31,26.64,7.4,0.51,19.75,3.61,13.98,2.46,4.0,2.27,28.74,29.53,1.11,248.21,749.82,0.0,273.64,08-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
08-Apr-2020 - 00:00,29.71,64.52,18.85,16.47,2.38,30.73,9.65,0.68,19.51,4.76,16.95,2.59,4.8,2.78,27.39,37.82,0.77,200.25,750.74,0.0,232.4,09-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
09-Apr-2020 - 00:00,35.81,100.94,25.86,20.34,5.52,35.12,8.21,0.94,15.85,5.95,16.86,2.57,4.94,2.78,27.63,43.66,0.41,206.92,751.4,0.0,241.46,10-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
10-Apr-2020 - 00:00,40.05,92.97,28.53,20.27,8.26,35.98,8.5,1.22,16.65,7.58,13.56,1.78,4.52,2.45,27.81,45.58,0.35,168.89,752.65,0.0,261.28,11-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
11-Apr-2020 - 00:00,39.33,64.37,20.85,17.81,3.03,31.65,7.97,1.01,18.93,0.0,0.0,0.0,0.0,0.0,27.09,56.65,0.35,130.58,753.09,0.0,236.08,12-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
12-Apr-2020 - 00:00,30.28,93.33,16.5,14.49,2.01,30.02,7.78,0.85,22.02,0.0,0.0,0.0,0.0,0.0,27.26,58.11,0.45,88.15,751.78,0.0,234.59,13-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
13-Apr-2020 - 00:00,21.06,86.22,11.38,9.77,1.62,23.67,7.72,0.64,22.42,0.0,0.0,0.0,0.0,0.0,28.11,60.67,0.5,93.54,751.0,0.0,231.59,14-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
14-Apr-2020 - 00:00,25.53,82.95,10.04,8.5,1.55,16.97,8.02,0.7,34.23,0.0,0.0,0.0,0.0,0.0,29.51,59.09,0.4,83.79,751.49,0.0,208.59,15-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
15-Apr-2020 - 00:00,14.94,67.3,10.02,8.41,1.6,16.16,7.9,0.56,19.11,0.0,0.0,0.0,0.0,0.0,25.63,63.08,0.55,85.85,752.09,0.0,190.63,16-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
16-Apr-2020 - 00:00,16.64,85.4,8.88,7.54,1.34,17.94,8.67,0.6,22.31,0.0,0.0,0.0,0.0,0.0,26.22,68.3,0.62,72.49,749.97,0.0,236.61,17-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
17-Apr-2020 - 00:00,13.08,84.87,8.58,6.94,1.63,14.47,9.12,0.62,23.11,0.0,0.0,0.0,0.0,0.0,27.44,69.23,0.64,82.03,749.45,0.0,229.04,18-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
18-Apr-2020 - 00:00,19.44,113.36,8.78,7.34,1.39,12.11,7.76,0.68,24.66,0.95,4.74,0.7,1.07,0.74,27.54,69.05,0.45,122.92,750.59,0.0,198.54,19-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
19-Apr-2020 - 00:00,25.08,131.65,8.98,7.12,1.86,9.99,8.58,0.77,28.48,2.45,12.32,1.68,2.95,1.86,28.29,69.32,0.56,97.8,749.86,0.0,219.88,20-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
20-Apr-2020 - 00:00,14.78,121.46,8.01,6.62,1.38,8.94,8.56,0.63,17.97,0.0,0.0,0.0,0.0,0.0,26.38,65.25,0.45,106.6,750.93,0.0,177.57,21-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
21-Apr-2020 - 00:00,12.29,88.61,10.8,8.17,2.63,8.77,7.86,0.61,14.6,0.0,0.0,0.0,0.0,0.0,23.95,72.14,0.9,91.94,751.65,0.11,231.4,22-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
22-Apr-2020 - 00:00,13.58,141.06,10.43,8.22,2.2,11.07,8.35,0.61,12.92,0.0,0.0,0.0,0.0,0.0,24.86,63.7,0.6,60.37,751.45,0.0,273.9,23-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
23-Apr-2020 - 00:00,21.98,210.27,10.33,8.2,2.13,11.25,8.2,0.73,17.97,0.0,0.0,0.0,0.0,0.0,25.47,70.92,0.66,68.33,750.41,0.0,247.84,24-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
24-Apr-2020 - 00:00,15.24,163.25,9.03,7.04,1.99,10.42,8.35,0.62,14.07,0.0,0.0,0.0,0.0,0.0,24.35,76.47,0.6,82.08,749.87,0.0,146.56,25-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
25-Apr-2020 - 00:00,14.04,160.68,6.39,5.17,1.21,8.69,8.78,0.58,16.38,0.0,0.0,0.0,0.0,0.0,24.54,78.03,0.91,70.39,750.64,0.0,217.12,26-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
26-Apr-2020 - 00:00,7.74,147.09,7.95,6.26,1.69,6.77,8.08,0.62,12.26,0.0,0.0,0.0,0.0,0.0,21.65,87.19,0.72,83.82,752.85,0.17,104.68,27-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
27-Apr-2020 - 00:00,12.77,177.66,10.42,6.81,3.72,8.71,8.76,0.63,14.03,0.0,0.0,0.0,0.0,0.0,24.77,77.28,0.61,75.16,753.84,0.0,231.99,28-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
28-Apr-2020 - 00:00,10.45,156.37,7.28,5.82,1.4,6.87,9.7,0.52,13.66,0.0,0.0,0.0,0.0,0.0,23.69,78.24,0.78,75.84,753.3,0.0,213.91,29-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
29-Apr-2020 - 00:00,10.85,167.51,6.93,5.26,1.67,7.72,8.83,0.5,13.99,0.0,0.0,0.0,0.0,0.0,25.13,72.81,0.45,71.31,751.86,0.0,246.64,30-Apr-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
30-Apr-2020 - 00:00,30.0,219.77,7.26,5.49,1.77,6.55,9.34,0.74,18.66,0.0,0.0,0.0,0.0,0.0,27.12,69.84,0.44,77.04,751.8,0.0,252.66,01-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
01-May-2020 - 00:00,18.05,198.67,6.76,5.57,1.19,5.76,7.79,0.87,14.42,0.0,0.0,0.0,0.0,0.0,23.23,82.02,0.52,94.7,751.39,0.24,120.41,02-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
02-May-2020 - 00:00,42.22,248.14,8.49,6.75,1.74,6.01,8.79,0.64,14.82,0.0,0.0,0.0,0.0,0.0,23.86,78.17,0.46,88.14,750.87,0.0,188.73,03-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
03-May-2020 - 00:00,22.0,239.39,20.43,9.6,10.83,6.23,9.23,0.77,14.89,0.0,0.0,0.0,0.0,0.0,26.19,72.45,0.39,84.05,750.62,0.0,262.84,04-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
04-May-2020 - 00:00,16.63,196.14,9.13,6.42,2.72,5.74,9.53,0.63,18.18,0.0,0.0,0.0,0.0,0.0,27.39,68.74,0.62,78.13,751.01,0.0,255.02,05-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
05-May-2020 - 00:00,11.09,176.96,8.23,6.3,1.93,4.59,8.7,0.6,15.55,0.0,0.0,0.0,0.0,0.0,24.49,80.9,0.58,94.79,750.65,0.32,226.1,06-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
06-May-2020 - 00:00,14.81,145.54,6.6,5.46,1.13,4.89,9.07,0.59,16.36,0.0,0.0,0.0,0.0,0.0,25.53,74.9,0.3,109.22,750.6,0.0,275.06,07-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
07-May-2020 - 00:00,19.48,171.93,8.7,6.55,2.15,4.23,9.02,0.71,13.35,0.0,0.0,0.0,0.0,0.0,24.63,75.05,0.47,99.04,750.74,0.03,238.63,08-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
08-May-2020 - 00:00,21.43,162.44,9.06,6.42,2.64,4.57,9.16,0.7,15.45,0.0,0.0,0.0,0.0,0.0,25.23,73.84,0.45,75.95,750.13,0.0,287.22,09-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
