from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Xylene,Toluene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,132.91,281.36,77.6,50.96,128.6,34.23,31.37,0.98,32.61,17.47,0.77,139.87,5.23,3.33,18.12,72.51,0.27,163.07,0.05,,77.77,0.0,02-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
02-Jan-2020 - 00:00,132.77,256.76,62.1,25.88,88.02,30.24,26.03,0.96,32.03,13.09,0.51,147.42,2.95,1.71,19.21,75.93,0.45,147.82,0.02,,63.24,0.0,03-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
03-Jan-2020 - 00:00,53.06,89.55,39.49,10.93,50.31,32.46,15.17,0.35,24.65,7.53,0.33,110.88,1.8,1.25,17.01,94.52,0.83,108.21,-0.05,,40.43,0.31,04-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
04-Jan-2020 - 00:00,55.45,113.32,43.54,45.12,88.66,33.43,14.4,1.11,17.16,11.03,0.54,152.37,2.91,2.12,16.78,95.5,0.39,132.98,0.04,,44.89,0.0,05-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
05-Jan-2020 - 00:00,106.21,200.97,50.81,84.06,134.96,37.42,21.08,1.01,11.72,18.71,0.91,165.36,5.7,3.92,16.62,94.7,0.24,218.09,0.07,,49.45,0.0,06-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
06-Jan-2020 - 00:00,102.31,206.1,59.86,76.15,136.05,36.37,17.17,0.82,31.75,12.28,0.67,138.4,3.98,2.08,16.58,79.21,0.4,136.67,0.02,,88.37,0.0,07-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
07-Jan-2020 - 00:00,129.47,240.76,59.99,22.99,83.02,27.88,23.14,0.86,35.45,7.97,0.4,134.0,2.08,1.26,16.16,82.7,0.39,182.47,0.03,,82.2,0.0,08-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
08-Jan-2020 - 00:00,136.46,263.42,57.59,59.55,117.17,34.22,17.74,0.98,38.89,13.3,0.63,143.16,3.75,2.67,17.78,79.37,0.54,91.01,0.0,,81.51,0.0,09-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
09-Jan-2020 - 00:00,105.36,211.81,63.69,47.01,110.75,35.43,19.19,1.01,31.26,15.36,0.62,140.75,3.72,2.45,18.37,82.94,0.42,105.6,0.04,,53.97,0.0,10-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
10-Jan-2020 - 00:00,92.62,182.23,56.12,28.62,84.78,29.81,26.19,0.54,39.93,11.81,0.5,138.54,2.79,2.03,17.76,76.03,0.35,254.42,0.07,,76.9,0.0,11-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
11-Jan-2020 - 00:00,82.6,158.12,51.06,19.49,70.59,24.91,23.31,0.58,45.76,5.74,0.31,123.5,1.46,0.93,15.93,78.24,0.34,257.93,0.07,,80.94,0.0,12-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
12-Jan-2020 - 00:00,95.89,199.53,62.54,45.76,108.34,27.57,23.44,0.86,46.4,8.46,0.41,125.25,2.24,1.25,16.46,74.71,0.28,218.13,0.07,,87.27,0.0,13-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
13-Jan-2020 - 00:00,110.53,253.09,80.84,49.95,130.83,30.54,28.06,0.98,47.05,10.43,0.58,137.05,3.36,1.94,17.16,67.98,0.29,208.26,0.05,,87.01,0.0,14-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
14-Jan-2020 - 00:00,119.82,279.85,87.73,98.68,186.48,42.86,21.56,1.43,49.33,17.84,0.89,138.98,5.62,3.91,17.63,71.82,0.37,124.1,0.04,,81.95,0.0,15-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
