from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
28-Jan-2020 - 00:00,60.51,126.76,12.44,34.08,22.89,43.66,22.85,0.97,25.02,11.98,119.7,2.0,1.26,1.01,70.77,56.52,2.74,259.81,0.0,29-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
29-Jan-2020 - 00:00,46.04,109.9,10.77,30.05,19.86,39.82,17.55,0.93,20.83,12.03,120.11,2.0,1.26,1.0,76.56,73.58,1.5,194.84,0.0,30-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
30-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
31-Jan-2020 - 00:00,50.2,105.96,17.69,27.4,9.71,46.79,26.34,0.81,69.99,11.99,120.5,2.0,1.25,1.0,51.97,153.16,1.67,85.24,0.0,01-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
01-Feb-2020 - 00:00,52.76,106.4,17.11,29.49,12.39,44.48,37.2,0.93,45.15,12.01,120.23,2.0,1.26,1.0,58.61,158.54,2.47,103.65,0.0,02-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
02-Feb-2020 - 00:00,63.22,141.39,14.62,43.58,29.32,48.78,97.19,1.19,25.91,11.97,120.0,2.0,1.26,1.0,62.68,146.11,3.54,122.42,0.0,03-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
03-Feb-2020 - 00:00,66.6,130.46,17.16,26.57,9.41,39.94,35.45,0.7,86.65,12.01,120.39,2.0,1.26,1.0,57.08,137.26,1.62,160.59,0.0,04-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
04-Feb-2020 - 00:00,63.04,112.92,17.22,33.03,16.13,41.19,32.08,0.88,45.69,11.99,120.05,2.0,1.26,1.0,55.73,127.04,1.52,114.57,0.0,05-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
05-Feb-2020 - 00:00,62.42,125.01,17.18,38.31,22.55,45.94,53.6,1.16,51.11,12.03,119.92,2.0,1.26,0.99,51.44,167.98,2.02,163.63,0.0,06-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
06-Feb-2020 - 00:00,59.29,112.89,18.83,32.51,13.78,39.64,36.14,1.02,36.76,12.01,119.97,2.0,1.25,1.0,58.8,50.9,1.44,103.43,0.0,07-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
07-Feb-2020 - 00:00,58.27,101.36,17.4,29.82,12.43,37.76,32.37,0.92,44.94,12.01,119.99,2.0,1.26,1.0,56.47,149.28,1.66,78.87,0.0,08-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
08-Feb-2020 - 00:00,56.26,111.13,16.58,27.08,10.5,44.36,62.79,0.94,55.67,11.99,120.16,1.99,1.26,1.0,54.76,201.77,2.89,109.29,0.0,09-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
09-Feb-2020 - 00:00,63.14,136.49,16.96,37.24,20.33,50.96,83.01,1.07,44.76,11.98,119.69,2.0,1.26,1.0,55.01,173.99,3.41,123.23,0.0,10-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
10-Feb-2020 - 00:00,72.11,146.67,18.5,38.17,21.01,56.19,72.29,1.16,49.8,12.01,120.1,2.0,1.26,1.0,59.1,77.92,2.86,112.4,0.0,11-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
11-Feb-2020 - 00:00,77.51,143.21,15.39,36.88,21.92,49.84,92.11,1.16,28.59,11.99,119.69,2.0,1.26,1.0,62.17,72.22,2.96,123.06,0.0,12-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
12-Feb-2020 - 00:00,76.96,146.34,16.28,37.64,21.8,57.45,86.41,1.27,35.8,12.01,119.96,2.0,1.26,1.0,59.81,68.79,2.51,108.94,0.0,13-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
13-Feb-2020 - 00:00,77.01,148.77,12.18,40.79,34.28,62.37,47.76,1.27,40.95,12.01,120.08,2.0,1.26,1.0,54.66,68.13,2.01,110.58,0.0,14-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
14-Feb-2020 - 00:00,67.96,123.16,13.55,35.63,28.49,60.5,32.55,1.11,41.71,12.02,119.94,2.0,1.26,1.0,55.83,69.33,1.63,125.82,0.0,15-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
15-Feb-2020 - 00:00,59.6,120.03,16.5,37.69,24.23,46.67,31.98,1.36,41.45,11.99,120.25,2.0,1.26,1.0,47.95,81.35,2.19,208.34,0.0,16-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
16-Feb-2020 - 00:00,75.13,143.47,17.83,32.9,15.38,47.79,57.52,1.24,46.7,11.98,119.73,2.0,1.26,1.0,55.71,87.17,2.66,135.11,0.0,17-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
17-Feb-2020 - 00:00,58.93,131.81,18.4,33.8,15.56,66.85,67.96,1.27,45.98,11.98,120.02,2.0,1.26,1.0,47.63,104.22,2.83,124.95,0.0,18-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
18-Feb-2020 - 00:00,61.37,128.13,18.41,35.21,17.02,61.09,86.25,1.24,49.59,11.97,119.93,2.0,1.26,1.0,45.7,114.84,2.37,126.55,0.0,19-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
19-Feb-2020 - 00:00,86.17,153.25,15.15,30.13,15.47,52.88,41.2,1.3,65.19,11.97,120.27,2.0,1.26,1.0,57.22,89.85,2.93,224.81,0.0,20-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
20-Feb-2020 - 00:00,81.86,128.72,13.41,29.42,18.87,41.55,31.18,1.17,46.25,11.98,119.86,2.0,1.26,1.0,64.45,96.45,2.8,242.92,0.0,21-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
