from date,AT,PM2.5,PM10,RF,RH,SR,Temp,WD,WS,Benzene,Eth-Benzene,Toluene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,22.04,39.51,116.18,0.0,80.31,28.48,30.29,96.73,0.88,0.25,0.46,1.94,0.96,27.35,4.37,16.33,12.34,29.88,23.76,02-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
02-Jan-2020 - 00:00,22.47,31.41,89.21,0.0,86.2,36.85,30.51,100.69,1.02,0.22,0.61,2.13,0.82,28.94,5.53,15.15,12.65,24.41,14.12,03-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
03-Jan-2020 - 00:00,22.5,40.57,114.15,0.0,82.48,30.32,30.74,121.31,0.9,0.22,1.51,2.49,0.8,28.55,6.85,16.99,14.69,27.63,15.45,04-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
04-Jan-2020 - 00:00,20.94,42.01,116.63,0.0,84.54,45.53,30.85,86.46,1.04,0.27,1.91,2.16,0.82,27.29,10.76,20.15,19.56,25.21,12.26,05-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
05-Jan-2020 - 00:00,20.95,40.6,114.91,0.0,74.15,47.86,31.57,95.89,0.62,0.27,0.78,2.6,0.71,26.52,4.58,15.56,12.1,26.18,13.84,06-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
06-Jan-2020 - 00:00,19.56,39.99,132.66,0.0,69.5,46.66,31.08,124.36,0.52,0.31,3.39,5.95,0.91,24.57,19.37,23.18,28.17,20.59,17.27,07-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
07-Jan-2020 - 00:00,20.04,58.04,212.68,0.0,65.56,52.08,30.63,187.51,0.53,0.38,1.7,5.97,1.71,31.16,34.48,29.96,44.07,19.81,14.05,08-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
08-Jan-2020 - 00:00,19.63,44.05,152.05,0.0,77.96,31.75,30.71,210.89,0.84,0.24,1.2,3.97,1.03,30.78,30.69,23.64,37.61,20.16,14.54,09-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
09-Jan-2020 - 00:00,16.88,34.68,94.5,0.0,72.05,41.73,30.41,83.49,1.18,0.19,1.03,2.87,0.44,27.85,3.36,17.84,12.21,21.3,13.07,10-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
10-Jan-2020 - 00:00,15.32,32.98,84.32,0.0,70.84,49.42,30.72,83.19,0.94,0.17,1.13,2.48,0.63,26.03,4.21,18.54,13.29,20.85,11.53,11-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
11-Jan-2020 - 00:00,16.27,34.64,94.16,0.0,66.41,47.78,31.2,119.0,0.61,0.21,1.17,3.5,1.06,27.49,6.52,22.55,17.4,21.55,13.73,12-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
12-Jan-2020 - 00:00,17.25,41.59,135.46,0.0,66.5,47.18,31.64,151.25,0.51,0.35,0.4,4.23,1.58,29.05,23.76,29.79,35.26,20.06,16.17,13-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
13-Jan-2020 - 00:00,18.9,56.68,209.38,0.0,69.89,45.51,32.08,202.71,0.47,0.5,1.43,5.98,1.59,31.07,27.84,31.4,39.44,18.05,14.31,14-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
14-Jan-2020 - 00:00,19.68,53.17,183.22,0.0,82.06,31.76,31.22,164.81,0.64,0.29,1.88,5.16,1.42,35.58,21.2,26.12,31.24,17.47,14.68,15-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
15-Jan-2020 - 00:00,19.85,41.91,122.43,0.0,81.28,37.22,31.14,121.2,0.68,0.22,0.62,4.18,1.33,33.67,5.86,19.43,15.19,18.15,14.72,16-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
16-Jan-2020 - 00:00,18.88,57.69,159.25,0.0,86.69,21.15,31.27,173.35,0.69,0.36,1.23,3.94,1.44,30.56,8.41,19.06,17.06,16.88,13.6,17-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
17-Jan-2020 - 00:00,17.95,38.67,106.72,0.0,78.19,44.78,31.34,109.83,0.85,0.27,1.27,3.64,0.87,30.27,4.47,18.1,13.36,17.75,12.75,18-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
18-Jan-2020 - 00:00,16.81,36.33,88.05,0.0,86.49,40.58,31.18,84.02,0.96,0.26,1.52,3.56,0.83,32.92,4.57,17.55,13.14,17.28,11.56,19-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
