from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WD,WS,RF,to date,station
01-Jan-2020 - 00:00,97.12,101.55,67.02,53.03,15.88,2.56,22.09,174.59,236.61,23.18,107.0,11.86,14.18,7.71,80.99,224.45,114.19,2.04,0.0,02-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
02-Jan-2020 - 00:00,89.52,72.44,37.99,73.0,21.69,2.13,14.33,147.55,206.89,19.62,135.28,13.34,14.49,7.89,78.21,221.65,175.48,1.86,0.0,03-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
03-Jan-2020 - 00:00,78.13,41.56,8.51,65.71,15.94,1.49,24.45,99.31,132.4,12.83,45.69,4.83,6.84,3.65,83.53,222.28,207.08,1.76,0.0,04-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
04-Jan-2020 - 00:00,79.6,64.98,37.64,60.29,10.5,1.64,23.81,79.22,121.34,11.38,37.55,3.85,5.9,3.54,80.06,222.7,244.56,2.03,0.0,05-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
05-Jan-2020 - 00:00,52.57,23.63,6.67,27.36,10.28,1.61,19.59,79.67,106.5,7.07,28.37,1.47,3.02,1.49,77.47,238.43,244.04,2.28,0.0,06-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
06-Jan-2020 - 00:00,59.63,38.93,16.92,35.13,8.76,1.92,10.57,78.41,116.8,9.1,38.49,3.26,5.05,2.4,87.53,119.54,157.96,2.32,0.0,07-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
07-Jan-2020 - 00:00,73.25,53.28,21.92,36.21,7.11,2.24,7.08,65.68,97.01,11.38,42.97,5.99,9.2,4.83,90.67,124.15,98.84,2.55,0.01,08-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
08-Jan-2020 - 00:00,53.71,36.24,15.42,36.37,4.56,1.77,6.72,58.91,67.9,9.6,36.26,4.0,7.32,3.87,99.04,26.33,178.56,2.43,0.04,09-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
09-Jan-2020 - 00:00,37.47,15.46,4.43,22.99,4.68,1.28,13.48,40.72,56.63,6.04,27.31,1.3,2.68,1.46,95.41,171.75,300.22,2.59,0.0,10-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
10-Jan-2020 - 00:00,53.28,30.83,14.67,21.73,4.82,1.75,13.99,54.7,78.86,7.14,22.69,1.36,2.48,1.27,86.98,231.82,287.1,2.4,0.0,11-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
