from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WD,WS,RF,to date,station
11-Jan-2020 - 00:00,78.41,35.2,6.14,26.93,9.86,1.91,12.5,67.96,105.99,8.05,27.63,1.76,3.28,1.6,74.52,254.15,280.79,2.07,0.0,12-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
12-Jan-2020 - 00:00,60.5,84.52,77.51,38.57,14.18,3.0,10.67,87.88,146.57,11.57,36.55,3.64,6.45,3.12,79.59,190.33,218.94,1.79,0.0,13-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
13-Jan-2020 - 00:00,57.19,66.47,55.92,44.97,18.39,3.17,19.03,99.08,162.51,14.72,46.13,8.43,12.7,6.72,85.48,129.43,169.0,2.78,0.01,14-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
14-Jan-2020 - 00:00,44.03,10.36,0.54,27.7,8.39,1.89,18.99,37.78,46.76,6.7,30.04,1.33,2.57,1.34,94.41,167.63,299.77,2.47,0.0,15-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
15-Jan-2020 - 00:00,51.95,21.95,8.67,34.8,9.91,1.45,17.9,50.53,68.59,8.61,30.12,3.38,4.57,2.9,91.04,247.22,261.43,2.15,0.0,16-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
16-Jan-2020 - 00:00,51.18,18.01,2.62,39.16,6.57,1.22,9.88,61.05,74.15,7.38,32.19,2.01,3.42,1.39,97.6,95.01,249.52,1.96,0.08,17-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
17-Jan-2020 - 00:00,51.38,23.3,6.31,41.91,6.91,1.57,8.7,64.01,80.15,8.92,36.01,3.1,4.01,1.5,98.81,249.15,255.39,2.1,0.0,18-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
18-Jan-2020 - 00:00,57.73,27.2,5.11,38.62,7.17,1.56,9.28,61.83,88.47,10.68,48.2,4.37,5.97,2.39,97.9,140.27,249.62,1.73,0.0,19-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
19-Jan-2020 - 00:00,42.57,11.55,2.16,31.88,3.27,1.29,13.29,54.48,68.14,6.71,25.38,1.36,2.23,0.98,97.41,227.49,280.68,2.7,0.0,20-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
20-Jan-2020 - 00:00,46.63,27.88,15.97,36.58,3.8,1.76,10.67,60.37,81.92,8.56,22.35,1.41,3.0,1.22,98.88,162.02,252.71,1.99,0.0,21-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
21-Jan-2020 - 00:00,66.17,74.61,56.07,64.24,8.74,2.63,12.21,84.86,172.32,16.7,73.33,8.66,10.94,4.77,94.94,203.56,116.86,1.91,0.0,22-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
22-Jan-2020 - 00:00,59.28,34.78,11.48,49.47,4.94,1.98,5.5,-444.4,149.73,13.81,58.23,5.88,7.11,3.23,98.62,146.31,276.57,2.19,0.0,23-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
23-Jan-2020 - 00:00,50.21,18.29,1.71,32.2,4.78,1.03,13.12,,90.25,5.34,16.24,0.89,1.71,0.73,74.98,308.05,288.31,3.51,0.0,24-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
24-Jan-2020 - 00:00,40.55,30.5,20.97,30.13,2.43,0.97,16.32,,83.48,4.52,12.59,0.58,1.02,0.47,63.37,338.51,273.15,3.31,0.0,25-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
25-Jan-2020 - 00:00,50.3,57.52,46.36,45.23,8.28,1.34,17.17,,108.4,7.57,36.73,2.68,3.99,1.53,74.22,288.47,250.44,1.86,0.0,26-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
26-Jan-2020 - 00:00,49.61,60.46,50.06,57.16,7.84,1.57,16.95,,126.94,9.72,38.18,3.52,5.86,2.38,77.33,275.92,273.2,2.06,0.0,27-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
27-Jan-2020 - 00:00,53.1,83.69,77.4,63.31,9.8,2.53,21.04,,151.24,11.46,41.54,6.92,9.65,5.94,82.66,107.05,106.39,2.47,0.01,28-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
28-Jan-2020 - 00:00,58.1,25.11,2.25,35.82,7.59,2.26,24.7,,68.15,7.8,31.79,3.22,5.05,3.3,91.22,107.26,123.56,3.18,0.04,29-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
29-Jan-2020 - 00:00,48.07,25.68,9.15,27.58,6.99,1.78,20.32,,62.17,6.74,31.72,2.39,3.22,2.05,84.32,299.21,242.47,2.32,0.0,30-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
30-Jan-2020 - 00:00,42.61,17.94,5.09,24.09,8.11,1.91,17.35,,70.84,6.83,26.53,1.83,2.74,1.67,86.59,266.41,290.84,2.67,0.0,31-Jan-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
31-Jan-2020 - 00:00,36.9,33.99,23.78,19.43,8.16,2.21,13.81,,66.38,7.84,27.03,2.04,3.14,1.84,88.19,220.78,238.67,2.18,0.0,01-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
01-Feb-2020 - 00:00,27.59,37.77,33.41,23.87,9.02,2.39,17.41,,103.79,11.46,62.47,4.97,6.32,4.0,84.96,291.4,239.11,2.18,0.0,02-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
02-Feb-2020 - 00:00,26.9,24.34,16.67,22.46,5.8,1.97,17.01,,78.08,7.72,27.65,1.48,2.56,1.69,86.41,254.19,275.31,2.33,0.0,03-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
03-Feb-2020 - 00:00,20.7,36.21,35.97,21.12,10.53,2.57,17.31,,111.53,10.95,27.92,2.17,3.84,2.31,73.63,312.88,221.25,1.94,0.0,04-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
04-Feb-2020 - 00:00,11.69,73.01,89.57,28.07,19.94,3.67,20.16,,209.69,23.03,96.29,12.56,16.42,11.19,67.79,293.59,100.92,2.19,0.0,05-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
05-Feb-2020 - 00:00,17.55,25.13,26.51,23.02,12.86,1.79,23.68,,116.52,8.11,26.07,3.51,2.93,2.37,77.58,304.43,295.93,2.54,0.0,06-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
06-Feb-2020 - 00:00,18.5,18.92,17.78,21.05,10.89,1.26,18.78,,89.17,7.87,26.91,2.07,3.32,1.73,78.28,279.41,230.81,2.07,0.0,07-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
07-Feb-2020 - 00:00,12.61,76.29,100.6,16.44,14.66,1.7,17.83,,162.9,14.32,70.74,6.86,8.06,4.84,76.85,276.29,252.6,2.05,0.0,08-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
08-Feb-2020 - 00:00,18.23,11.72,9.79,16.1,17.1,1.24,18.35,,117.55,8.8,32.43,1.88,2.77,1.55,78.4,295.45,290.38,2.51,0.0,09-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
09-Feb-2020 - 00:00,14.05,37.19,48.48,13.47,10.93,1.35,19.04,,125.34,8.8,31.8,1.82,3.21,1.82,74.3,294.32,282.68,2.04,0.0,10-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
10-Feb-2020 - 00:00,15.0,26.8,34.13,15.0,16.75,1.53,19.62,,141.18,10.06,35.22,2.28,3.8,2.02,73.1,288.53,277.15,2.01,0.0,11-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
11-Feb-2020 - 00:00,14.71,52.12,69.18,16.41,16.62,1.67,20.48,,160.09,10.69,48.37,3.06,4.91,2.62,73.77,306.3,280.59,1.91,0.0,12-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
12-Feb-2020 - 00:00,18.26,19.67,21.84,16.13,19.24,1.37,19.71,,145.06,8.65,26.46,1.66,3.21,1.66,78.39,317.32,273.35,3.02,0.0,13-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
13-Feb-2020 - 00:00,22.97,4.48,1.1,16.88,12.67,1.04,19.97,,84.6,6.25,19.84,0.86,1.67,1.01,57.76,356.82,274.98,3.23,0.0,14-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
14-Feb-2020 - 00:00,22.8,5.14,1.92,16.71,9.09,0.9,19.93,22.61,91.26,5.29,18.46,0.81,1.26,0.75,67.94,291.48,288.5,3.88,0.0,15-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
15-Feb-2020 - 00:00,23.64,8.0,2.93,16.17,16.23,1.51,20.9,45.06,85.53,6.29,15.04,0.79,1.28,0.79,56.25,353.53,282.16,3.47,0.0,16-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
16-Feb-2020 - 00:00,20.6,22.37,19.28,18.17,36.91,3.09,24.89,96.89,131.07,9.25,24.41,2.09,3.4,1.84,56.3,346.08,272.67,2.39,0.0,17-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
17-Feb-2020 - 00:00,14.94,45.16,49.13,15.35,26.91,1.75,23.19,107.22,152.04,8.81,19.65,2.81,4.55,2.73,64.12,342.82,265.2,2.49,0.0,18-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
18-Feb-2020 - 00:00,16.9,28.28,27.61,5.87,34.56,0.79,16.26,85.28,141.23,9.14,20.36,1.12,2.54,1.36,55.31,355.81,255.49,2.48,0.0,19-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
19-Feb-2020 - 00:00,14.22,59.21,72.74,9.19,16.85,1.11,23.83,98.48,175.53,11.86,36.63,7.26,9.32,4.84,56.05,314.65,119.06,3.11,0.0,20-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
20-Feb-2020 - 00:00,20.9,9.51,2.09,9.98,10.66,0.61,31.47,68.27,155.76,7.49,20.18,2.19,3.28,1.74,44.06,304.04,116.46,4.15,0.0,21-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
21-Feb-2020 - 00:00,21.29,8.08,1.21,8.45,12.31,0.5,26.9,39.23,55.59,6.57,40.31,2.36,2.96,1.61,84.37,164.62,86.89,4.85,0.0,22-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
22-Feb-2020 - 00:00,15.76,10.3,4.6,8.78,23.85,0.65,23.4,61.09,79.98,8.76,36.92,3.31,4.51,2.61,79.6,281.08,91.98,2.9,0.0,23-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
23-Feb-2020 - 00:00,10.72,15.14,12.29,7.23,40.03,0.75,24.21,94.58,115.75,9.25,34.56,2.85,4.01,2.12,78.06,299.93,232.05,2.11,0.0,24-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
24-Feb-2020 - 00:00,10.72,15.81,13.53,7.37,23.72,0.68,22.94,72.28,105.17,8.64,34.08,2.47,3.73,2.01,74.52,311.71,265.04,2.1,0.0,25-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
25-Feb-2020 - 00:00,7.02,29.62,33.12,5.45,19.94,0.91,20.53,88.01,122.88,10.83,43.3,3.69,4.4,2.3,79.72,291.41,272.39,2.14,0.0,26-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
26-Feb-2020 - 00:00,9.27,36.09,41.56,6.03,17.97,1.0,22.35,99.55,168.08,11.11,37.89,4.61,5.54,3.03,75.88,312.89,200.43,2.4,0.0,27-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
27-Feb-2020 - 00:00,10.36,33.23,37.81,7.48,16.66,1.01,24.6,103.09,163.7,11.66,42.08,6.68,8.07,4.65,75.08,274.49,108.57,2.7,0.0,28-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
28-Feb-2020 - 00:00,14.76,5.3,1.57,6.97,6.8,0.56,32.89,70.71,114.93,7.42,20.49,3.07,3.7,2.05,74.2,283.34,116.61,4.29,0.0,29-Feb-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
29-Feb-2020 - 00:00,14.48,5.52,1.71,5.35,7.29,0.53,29.33,52.52,89.54,7.03,23.44,2.66,3.35,1.91,72.09,208.67,100.96,4.98,0.08,01-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
01-Mar-2020 - 00:00,14.05,7.06,3.1,4.33,16.88,0.55,26.78,35.64,54.02,6.58,26.91,2.6,3.98,2.09,73.96,359.93,150.64,2.94,0.0,02-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
02-Mar-2020 - 00:00,10.62,31.29,35.23,5.02,32.27,0.88,25.58,100.81,140.61,10.55,42.08,5.41,7.4,3.81,76.01,327.04,254.14,2.31,0.0,03-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
03-Mar-2020 - 00:00,11.08,22.83,24.21,3.77,41.29,0.69,24.24,90.78,138.99,9.45,31.18,3.47,4.63,2.29,66.18,372.15,221.71,2.94,0.0,04-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
04-Mar-2020 - 00:00,12.18,48.21,57.47,38.57,15.7,0.78,26.69,83.99,161.15,10.06,56.5,5.44,5.88,3.52,67.62,296.17,133.96,4.08,0.0,05-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
05-Mar-2020 - 00:00,20.68,13.19,3.38,62.7,7.9,0.41,26.85,31.09,45.22,5.26,24.62,2.4,3.02,1.65,71.64,235.39,109.74,4.67,0.08,06-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
06-Mar-2020 - 00:00,20.22,15.06,5.41,46.5,5.42,0.45,23.39,20.43,26.93,5.7,29.11,2.99,3.69,2.45,88.92,345.57,113.63,5.2,0.21,07-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
07-Mar-2020 - 00:00,18.84,19.13,10.39,12.96,12.48,0.62,25.35,35.65,56.09,6.48,33.92,3.22,4.35,2.34,87.52,247.12,151.07,3.32,0.0,08-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
08-Mar-2020 - 00:00,23.96,31.8,18.05,35.78,20.89,0.8,22.66,66.06,95.36,9.96,51.31,7.26,7.54,4.13,79.85,361.8,252.59,3.24,0.0,09-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
09-Mar-2020 - 00:00,14.92,8.01,3.59,12.76,2.67,0.44,21.89,43.38,69.43,5.9,24.47,2.0,2.82,1.48,71.31,443.75,291.34,4.1,0.0,10-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
10-Mar-2020 - 00:00,13.31,6.9,3.74,14.09,8.56,0.61,28.91,61.19,87.26,6.84,32.07,1.88,2.6,1.38,77.28,229.38,208.56,3.17,0.0,11-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
11-Mar-2020 - 00:00,14.41,7.64,3.68,11.81,5.49,0.49,32.55,45.07,65.96,6.47,28.91,2.65,3.63,2.27,72.52,271.78,118.4,4.62,0.01,12-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
12-Mar-2020 - 00:00,18.36,15.91,7.69,7.58,10.15,0.65,24.62,53.64,118.37,7.24,25.98,3.46,4.65,2.47,62.33,401.5,136.84,4.12,0.0,13-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
13-Mar-2020 - 00:00,19.25,17.3,7.9,34.72,21.47,0.51,18.4,69.85,152.66,7.11,22.06,3.82,5.09,2.66,58.05,445.46,231.58,3.11,0.0,14-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
14-Mar-2020 - 00:00,12.38,6.68,3.98,45.07,12.57,0.82,79.77,53.03,100.05,5.5,19.77,1.92,2.23,1.27,70.12,316.88,191.75,3.66,0.0,15-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
15-Mar-2020 - 00:00,21.44,30.09,19.06,57.16,20.26,0.66,41.8,72.72,110.02,7.87,38.87,3.41,4.19,2.32,84.59,153.48,215.96,2.7,0.0,16-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
16-Mar-2020 - 00:00,20.51,7.68,2.38,36.68,13.03,0.5,44.32,56.56,85.86,5.89,24.53,2.25,2.8,1.58,73.86,424.13,304.44,3.18,0.0,17-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
17-Mar-2020 - 00:00,35.77,17.25,6.55,35.09,13.1,0.62,35.04,54.71,103.99,7.2,31.64,2.96,3.5,2.08,52.17,484.55,299.45,3.29,0.0,18-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
18-Mar-2020 - 00:00,26.48,11.51,4.5,29.99,18.02,0.63,42.7,60.22,109.17,7.02,36.79,2.72,3.53,1.84,61.89,401.05,300.62,3.41,0.0,19-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
19-Mar-2020 - 00:00,43.6,30.48,17.89,39.46,27.13,0.85,41.5,83.06,143.9,8.74,31.98,2.52,3.4,1.75,75.63,299.65,223.7,2.9,0.0,20-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
20-Mar-2020 - 00:00,60.95,28.24,7.0,30.72,22.03,0.95,48.19,88.36,163.94,10.22,58.8,5.76,5.92,3.37,60.2,353.55,122.16,3.09,0.0,21-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
21-Mar-2020 - 00:00,40.76,14.6,2.93,34.33,25.38,0.74,39.19,79.85,126.51,8.45,42.08,3.58,4.4,2.29,60.37,357.19,257.33,2.97,0.0,22-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
22-Mar-2020 - 00:00,37.83,15.06,3.88,30.14,26.19,0.73,38.61,89.42,122.81,9.71,48.87,3.24,2.83,1.62,60.81,411.18,229.7,3.12,0.0,23-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
23-Mar-2020 - 00:00,27.4,6.86,1.28,25.42,26.35,0.59,36.3,50.86,72.32,6.99,20.59,1.31,1.31,4.05,53.54,333.72,197.89,2.63,0.0,24-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
24-Mar-2020 - 00:00,28.35,6.52,1.44,25.05,16.72,0.61,52.42,52.08,79.19,6.97,19.44,1.27,1.88,1.88,55.13,298.56,131.56,3.05,0.01,25-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
25-Mar-2020 - 00:00,22.4,3.73,1.13,25.32,15.06,0.54,37.5,34.64,54.45,6.98,20.19,1.28,1.98,1.92,,,227.81,3.03,0.0,26-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
26-Mar-2020 - 00:00,17.19,2.02,0.88,24.24,11.5,0.45,35.9,37.58,51.06,7.06,19.97,1.23,1.98,1.97,,,282.28,3.45,0.0,27-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
27-Mar-2020 - 00:00,17.07,2.33,1.14,25.9,8.69,0.35,40.15,22.27,31.75,6.9,20.25,1.22,1.98,1.92,,,171.61,3.62,0.05,28-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
28-Mar-2020 - 00:00,17.42,2.39,1.23,24.54,3.59,0.39,34.63,12.59,18.8,6.96,20.02,1.22,2.0,1.97,,,302.22,3.28,0.0,29-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
29-Mar-2020 - 00:00,15.18,1.68,1.0,17.81,6.14,0.37,35.09,27.55,39.45,6.94,20.07,1.26,1.98,1.95,,,304.67,4.18,0.0,30-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
30-Mar-2020 - 00:00,17.78,2.55,1.52,20.19,22.92,0.45,36.96,32.91,52.8,7.09,20.22,1.27,1.88,1.86,,,290.83,3.59,0.0,31-Mar-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
31-Mar-2020 - 00:00,16.99,2.91,1.88,20.4,12.06,0.42,41.99,28.77,45.58,7.02,20.36,1.27,1.79,1.78,,,273.99,3.41,0.0,01-Apr-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
01-Apr-2020 - 00:00,17.89,3.2,2.22,18.74,5.86,0.43,40.99,27.25,46.71,6.95,19.73,1.27,1.9,1.88,,,248.41,3.42,0.0,02-Apr-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
02-Apr-2020 - 00:00,15.73,1.73,0.95,17.13,7.9,0.36,38.91,28.48,44.77,6.82,20.49,1.26,1.95,1.95,,,300.44,4.15,0.0,03-Apr-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
03-Apr-2020 - 00:00,18.49,3.34,1.75,13.88,18.52,0.41,38.6,31.24,51.84,7.06,20.12,1.26,1.94,1.87,,,293.25,3.6,0.0,04-Apr-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
04-Apr-2020 - 00:00,20.59,4.07,1.87,15.23,13.84,0.5,41.55,36.55,81.45,6.82,20.19,1.22,1.89,1.89,33.59,642.23,296.81,3.26,0.0,05-Apr-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
05-Apr-2020 - 00:00,18.92,3.97,1.72,15.08,13.04,0.56,52.28,45.86,73.31,6.98,20.04,1.25,1.91,1.86,42.6,474.63,185.37,2.97,0.0,06-Apr-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
06-Apr-2020 - 00:00,19.62,4.82,2.26,17.05,15.26,0.74,49.4,59.54,93.04,7.05,20.03,1.25,1.86,1.83,40.69,532.89,254.3,2.83,0.0,07-Apr-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
07-Apr-2020 - 00:00,15.52,2.85,1.77,17.8,16.12,0.45,40.98,41.03,90.8,7.03,19.61,1.27,1.93,1.91,50.38,406.8,258.48,3.94,0.0,08-Apr-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
08-Apr-2020 - 00:00,14.4,1.93,1.19,12.86,11.22,0.36,38.59,27.79,62.31,6.94,20.56,1.25,1.94,1.84,40.19,467.13,309.02,4.14,0.0,09-Apr-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
09-Apr-2020 - 00:00,7.35,3.39,5.29,13.09,5.53,0.33,47.08,13.83,57.22,4.91,22.46,0.84,1.09,1.42,29.24,474.97,297.66,3.81,0.0,10-Apr-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
10-Apr-2020 - 00:00,12.18,4.66,3.94,11.45,8.62,0.4,46.73,27.08,64.46,6.5,32.02,1.18,1.78,3.15,22.72,483.9,192.26,2.77,0.0,11-Apr-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
11-Apr-2020 - 00:00,17.34,4.83,1.86,13.87,10.12,0.52,47.27,57.3,94.79,7.68,33.26,1.62,2.79,3.99,34.71,443.24,221.67,3.01,0.0,12-Apr-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
12-Apr-2020 - 00:00,12.71,3.29,2.86,15.87,21.53,0.48,45.18,49.47,89.06,7.43,25.37,0.94,1.41,2.95,39.68,281.67,284.74,3.66,0.0,13-Apr-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
13-Apr-2020 - 00:00,17.54,4.31,1.87,17.77,20.23,0.59,46.72,57.47,112.59,9.07,25.03,1.07,1.74,3.05,39.28,399.45,260.22,3.3,0.0,14-Apr-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
14-Apr-2020 - 00:00,22.03,5.61,1.45,18.65,18.55,0.7,44.15,72.2,143.93,9.55,30.25,1.57,2.61,3.35,33.73,305.12,175.98,2.4,0.0,15-Apr-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
15-Apr-2020 - 00:00,23.11,6.93,1.81,12.92,7.74,0.58,34.66,66.02,162.86,8.22,29.72,2.16,4.05,3.85,24.11,430.62,232.79,2.97,0.0,16-Apr-2020 - 00:00,"Arya Nagar, Bahadurgarh - HSPCB"
