from date,Temp,BP,RH,VWS,WD,WS,SR,PM2.5,CO,CH4,NO2,NO,NOx,NH3,SO2,NMHC,THC,to date,station
27-Jan-2020 - 00:00,15.19,,76.97,-0.05,222.95,0.41,173.15,193.12,2.32,303.93,19.12,10.88,18.87,6.95,10.87,573.69,877.62,28-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
28-Jan-2020 - 00:00,16.65,,80.45,-0.09,106.04,0.38,119.23,219.03,1.85,303.43,19.0,11.09,18.98,7.6,9.39,568.46,871.89,29-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
29-Jan-2020 - 00:00,16.69,,85.22,0.35,175.8,0.64,100.34,207.34,1.86,298.37,18.74,13.14,12.89,9.95,8.81,570.77,869.14,30-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
30-Jan-2020 - 00:00,15.08,,73.66,0.98,311.8,0.98,203.59,69.15,1.95,304.31,56.86,11.51,8.31,20.06,6.74,571.68,875.99,31-Jan-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
31-Jan-2020 - 00:00,14.35,,66.99,0.73,309.97,0.85,292.48,79.98,2.06,303.06,56.08,11.57,8.3,19.99,14.09,572.03,875.1,01-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
01-Feb-2020 - 00:00,14.62,,65.31,0.31,291.18,0.61,143.97,139.37,1.42,557.57,35.76,12.44,21.09,17.01,8.25,528.92,870.32,02-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
02-Feb-2020 - 00:00,13.77,,70.29,0.72,289.66,0.88,188.35,119.27,0.57,804.1,28.62,18.85,30.31,20.41,5.61,499.88,,03-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
03-Feb-2020 - 00:00,14.1,,69.61,0.31,282.88,0.57,181.84,177.96,0.8,675.62,37.61,15.78,32.63,22.83,5.27,504.97,919.19,04-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
04-Feb-2020 - 00:00,14.95,,69.66,-0.18,182.08,0.21,190.7,186.11,0.6,410.39,46.89,11.83,34.41,24.75,7.06,568.68,928.24,05-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
05-Feb-2020 - 00:00,15.55,,59.8,0.57,280.94,0.75,218.09,200.55,0.86,395.24,34.4,11.02,27.12,22.3,19.52,545.09,938.26,06-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
