from date,Temp,BP,RH,VWS,WD,WS,SR,PM2.5,CO,CH4,NO2,NO,NOx,NH3,SO2,NMHC,THC,to date,station
20-Apr-2020 - 00:00,29.73,998.5,40.06,-0.36,137.7,0.84,383.43,63.4,1.0,881.03,12.36,4.26,9.98,42.22,3.7,29.83,873.97,21-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
21-Apr-2020 - 00:00,28.12,998.17,45.58,-0.38,157.6,0.85,384.46,34.29,1.01,948.37,12.4,5.81,11.21,43.32,3.52,33.7,954.13,22-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
22-Apr-2020 - 00:00,29.1,997.97,46.22,-0.29,208.14,0.82,385.78,53.2,1.03,299.52,20.27,4.09,14.05,40.98,3.34,31.79,317.72,23-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
23-Apr-2020 - 00:00,27.8,996.82,48.32,-0.51,129.36,0.89,476.76,92.4,1.05,856.09,33.9,7.28,23.61,37.24,4.78,43.84,832.22,24-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
24-Apr-2020 - 00:00,30.05,996.1,42.83,-0.42,165.36,0.75,828.18,67.84,0.96,324.73,18.62,5.28,14.12,40.51,3.56,30.25,225.22,25-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
25-Apr-2020 - 00:00,28.49,996.7,60.07,-0.56,108.86,0.78,815.92,81.38,1.02,521.79,20.27,5.07,14.63,30.97,4.41,14.08,462.76,26-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
26-Apr-2020 - 00:00,26.1,998.65,72.96,-0.47,123.28,0.81,705.32,50.55,1.01,940.78,8.98,4.9,8.29,34.26,4.11,11.07,943.38,27-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
27-Apr-2020 - 00:00,25.74,,74.71,-0.49,112.95,0.77,779.46,28.87,1.01,981.51,11.7,3.91,9.35,33.38,3.58,12.45,987.02,28-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
28-Apr-2020 - 00:00,28.06,998.56,63.23,-0.56,125.47,0.79,828.18,47.42,0.99,953.33,9.22,4.35,8.38,33.74,3.79,14.68,942.67,29-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
29-Apr-2020 - 00:00,27.96,998.23,65.08,-0.6,139.99,0.75,833.01,37.84,1.01,981.28,13.92,4.06,10.65,31.96,3.17,30.66,976.25,30-Apr-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
30-Apr-2020 - 00:00,32.17,998.1,46.93,-0.53,169.29,0.74,830.02,54.34,0.92,801.74,13.61,3.89,10.29,33.17,3.74,19.1,809.64,01-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
01-May-2020 - 00:00,26.47,997.88,65.82,-0.44,120.52,0.82,822.07,35.42,1.01,690.51,11.26,4.43,9.38,32.87,3.45,18.23,678.51,02-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
02-May-2020 - 00:00,27.87,997.34,65.91,-0.64,116.67,0.78,817.5,38.39,1.01,945.2,7.47,3.84,6.96,34.74,3.69,16.9,940.36,03-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
03-May-2020 - 00:00,29.89,996.96,56.58,-0.67,136.26,0.82,816.55,43.83,0.99,916.67,9.89,3.84,8.01,34.01,4.18,20.66,927.43,04-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
04-May-2020 - 00:00,29.19,997.82,66.97,-0.3,114.46,0.73,790.66,61.05,1.04,932.25,16.39,6.09,12.69,30.01,4.29,23.31,937.71,05-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
05-May-2020 - 00:00,25.0,998.2,80.51,-0.22,135.97,0.79,803.0,31.26,0.95,504.29,12.05,3.38,8.53,19.41,2.65,130.49,552.21,06-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
06-May-2020 - 00:00,26.62,997.83,67.79,-0.36,128.58,0.75,828.26,35.0,0.61,768.75,12.28,2.92,8.8,9.21,2.74,169.98,824.71,07-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
07-May-2020 - 00:00,27.38,997.38,63.52,-0.68,135.28,0.74,810.88,42.29,0.47,723.41,9.92,2.42,7.2,8.14,1.71,151.04,657.57,08-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
08-May-2020 - 00:00,30.16,996.22,56.79,-0.71,148.07,0.71,816.61,58.57,0.46,884.24,8.7,2.61,6.71,8.04,2.86,152.39,904.98,09-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
09-May-2020 - 00:00,30.89,997.05,53.79,-0.63,119.76,0.78,817.81,74.15,0.67,889.86,8.67,2.47,6.59,8.04,3.51,195.75,982.27,10-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
10-May-2020 - 00:00,28.05,998.23,69.67,-0.6,137.24,0.7,683.85,77.32,0.63,792.84,9.15,2.76,6.94,8.04,3.73,137.34,879.86,11-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
11-May-2020 - 00:00,27.89,998.63,66.0,-0.38,157.91,0.73,375.36,36.97,0.62,855.53,11.54,2.73,8.32,8.72,3.87,228.8,923.12,12-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
12-May-2020 - 00:00,30.69,997.45,60.7,-0.54,136.8,0.73,368.1,71.5,0.5,219.55,10.73,2.66,7.84,8.74,3.63,265.25,459.44,13-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
13-May-2020 - 00:00,30.91,996.34,60.0,-0.55,160.42,0.69,368.09,81.5,0.53,5.12,11.13,2.59,8.0,8.3,4.0,161.71,166.84,14-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
14-May-2020 - 00:00,32.02,995.96,53.27,-0.49,221.63,0.75,367.95,75.71,0.6,0.0,11.52,2.76,8.34,9.18,3.18,0.0,0.0,15-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
15-May-2020 - 00:00,34.13,993.68,43.74,-0.55,261.63,0.81,367.9,98.13,0.48,0.0,15.96,2.67,10.63,8.29,4.02,0.0,0.0,16-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
16-May-2020 - 00:00,33.66,993.1,35.26,-0.33,308.58,0.84,367.9,65.14,0.6,0.0,10.43,2.73,7.73,7.84,4.68,0.0,0.0,17-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
17-May-2020 - 00:00,34.1,992.0,29.08,-0.42,275.01,0.85,367.91,83.86,0.66,0.0,14.3,3.4,10.33,9.61,3.25,0.0,0.0,18-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
18-May-2020 - 00:00,34.22,990.56,30.47,-0.5,257.31,0.8,367.96,92.88,0.61,0.0,18.01,5.08,13.42,10.67,4.83,0.0,0.0,19-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
19-May-2020 - 00:00,33.74,989.85,29.55,-0.46,186.55,0.75,367.91,85.08,0.62,0.0,18.43,3.56,12.64,9.78,3.97,0.0,0.0,20-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
20-May-2020 - 00:00,32.93,988.66,46.85,-0.48,147.49,0.7,368.03,105.42,0.52,0.0,15.41,2.92,10.5,9.46,4.37,0.0,0.0,21-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
21-May-2020 - 00:00,33.45,988.56,37.41,-0.49,247.36,0.83,367.9,90.53,0.48,0.0,12.98,2.73,9.08,8.27,5.73,0.0,0.0,22-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
22-May-2020 - 00:00,33.93,989.78,35.91,-0.52,168.17,0.71,367.9,122.69,0.6,0.0,18.62,3.4,12.62,10.51,4.22,3.84,3.84,23-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
23-May-2020 - 00:00,33.39,991.57,58.66,-0.49,127.78,0.7,367.9,80.44,0.99,138.03,18.5,5.11,13.89,11.96,3.29,147.39,285.56,24-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
24-May-2020 - 00:00,36.07,990.66,45.21,-0.5,214.3,0.75,367.9,103.52,1.11,410.34,33.82,7.05,23.63,16.39,2.43,305.42,715.76,25-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
25-May-2020 - 00:00,37.39,989.96,26.73,-0.53,297.66,0.91,621.31,92.68,0.94,413.08,31.08,7.01,22.13,15.04,3.35,304.16,717.24,26-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
26-May-2020 - 00:00,37.11,988.73,23.88,-0.46,251.54,0.83,367.9,108.52,1.09,406.97,29.97,8.92,22.75,15.15,3.29,299.14,706.11,27-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
27-May-2020 - 00:00,36.12,987.44,36.22,-0.48,158.68,0.69,372.59,122.34,1.13,427.78,24.99,6.93,18.84,12.83,1.78,308.61,736.39,28-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
28-May-2020 - 00:00,30.66,991.41,55.43,-0.58,118.05,0.69,367.9,58.9,1.03,431.61,17.36,6.32,14.29,9.04,1.64,307.72,738.93,29-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
29-May-2020 - 00:00,30.84,994.41,61.95,-0.53,130.41,0.68,372.06,70.9,0.97,393.43,19.39,6.35,15.4,9.62,2.01,305.54,687.22,30-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
30-May-2020 - 00:00,27.6,995.21,79.82,-0.55,114.86,0.68,800.83,69.49,1.12,439.27,24.03,7.3,18.62,11.97,2.42,308.09,720.47,31-May-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
31-May-2020 - 00:00,27.41,997.18,80.07,-0.84,144.02,0.7,826.6,49.47,1.0,430.74,20.51,6.56,16.16,10.56,2.13,295.37,726.11,01-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
01-Jun-2020 - 00:00,30.88,996.81,71.11,-0.68,142.16,0.68,831.14,69.27,0.92,477.47,21.91,6.99,17.24,14.22,1.22,307.1,773.05,02-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
02-Jun-2020 - 00:00,30.74,995.42,61.4,-0.62,207.76,0.83,829.93,71.9,0.87,339.53,24.64,12.35,22.99,15.12,1.72,257.43,596.96,03-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
03-Jun-2020 - 00:00,31.68,993.51,56.96,-0.55,206.46,0.79,833.25,90.23,1.15,411.82,30.14,13.19,26.59,18.32,2.83,308.78,720.6,04-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
04-Jun-2020 - 00:00,28.05,993.49,75.78,-0.59,153.43,0.72,812.29,93.91,0.83,413.12,20.88,12.0,20.57,18.24,2.76,306.39,719.5,05-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
05-Jun-2020 - 00:00,23.12,993.38,93.69,-0.66,49.46,0.73,782.79,85.82,1.02,401.54,31.49,12.54,26.79,27.33,2.58,305.4,706.94,06-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
06-Jun-2020 - 00:00,27.73,992.82,77.74,-0.65,129.43,0.69,829.44,49.97,1.07,410.67,20.66,10.47,19.37,21.19,3.01,304.21,714.88,07-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
07-Jun-2020 - 00:00,31.07,991.54,66.28,-0.68,181.01,0.72,826.26,37.49,1.08,411.8,19.39,9.76,18.12,20.17,2.75,304.65,716.45,08-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
08-Jun-2020 - 00:00,33.14,990.38,56.81,-0.63,252.79,0.81,819.86,61.74,0.99,415.44,24.3,9.77,20.74,22.37,2.96,304.16,719.6,09-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
09-Jun-2020 - 00:00,35.09,989.8,48.76,-0.6,220.16,0.77,826.27,96.02,1.2,404.99,32.8,10.8,26.09,26.79,2.87,307.07,712.06,10-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
10-Jun-2020 - 00:00,34.69,989.4,58.75,-0.5,111.49,0.69,830.94,117.52,1.15,415.49,19.54,9.55,18.02,20.14,3.14,305.3,720.79,11-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
11-Jun-2020 - 00:00,33.79,988.38,65.49,-0.61,102.26,0.72,821.4,107.33,1.14,412.74,16.44,9.97,20.88,19.35,2.73,307.92,720.67,12-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
12-Jun-2020 - 00:00,34.34,987.07,61.93,-0.6,121.52,0.67,832.35,105.7,1.05,415.19,2.49,8.79,8.32,12.04,2.84,305.31,720.5,13-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
13-Jun-2020 - 00:00,33.85,987.91,64.23,-0.67,122.93,0.69,824.95,74.82,0.97,411.59,2.13,8.92,8.27,12.04,2.96,305.41,717.0,14-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
14-Jun-2020 - 00:00,33.91,989.4,63.55,-0.67,125.32,0.69,825.25,58.93,0.99,388.3,1.95,8.74,8.02,11.85,2.96,308.52,696.83,15-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
15-Jun-2020 - 00:00,31.94,988.07,73.85,-0.78,105.1,0.68,818.75,64.42,1.0,402.52,2.11,8.5,7.93,11.72,2.43,303.82,706.33,16-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
16-Jun-2020 - 00:00,31.47,985.89,74.37,-0.77,121.65,0.66,831.69,53.91,1.1,414.08,1.96,8.91,8.14,11.9,3.2,305.72,719.8,17-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
17-Jun-2020 - 00:00,29.62,984.8,85.55,-0.74,98.37,0.68,817.22,65.38,1.07,414.43,1.86,8.67,7.93,11.75,2.95,303.52,717.95,18-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
18-Jun-2020 - 00:00,30.07,985.88,84.78,-0.79,140.17,0.7,818.02,54.14,1.16,410.47,1.98,8.59,7.93,11.7,2.98,306.83,717.29,19-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
19-Jun-2020 - 00:00,31.01,988.38,80.67,-0.75,117.24,0.65,831.8,58.22,1.03,413.16,1.82,8.92,8.1,11.89,3.11,307.28,720.44,20-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
20-Jun-2020 - 00:00,30.18,989.39,81.65,-0.69,81.82,0.64,834.32,69.6,0.92,409.8,1.7,8.75,7.88,11.72,2.83,306.88,716.68,21-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
21-Jun-2020 - 00:00,28.44,989.33,89.0,-0.71,60.07,0.7,791.52,44.58,1.07,412.72,1.52,8.79,7.84,11.75,2.81,305.39,718.12,22-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
22-Jun-2020 - 00:00,29.66,988.64,84.39,-0.72,83.85,0.66,523.58,47.97,0.94,409.89,1.66,8.34,7.56,11.43,2.86,305.69,715.58,23-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
23-Jun-2020 - 00:00,28.77,990.96,90.93,-0.66,105.12,0.63,369.55,64.64,1.07,416.83,1.92,8.76,8.03,11.82,2.81,307.86,724.69,24-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
24-Jun-2020 - 00:00,29.95,991.67,88.92,-0.45,125.95,0.65,367.9,76.31,1.16,417.86,2.0,8.76,8.07,11.86,2.67,304.16,722.02,25-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
25-Jun-2020 - 00:00,27.71,989.67,93.77,-0.86,204.66,0.76,374.84,71.89,1.21,409.35,2.08,8.77,8.13,11.92,3.11,305.53,714.89,26-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
26-Jun-2020 - 00:00,29.34,988.41,86.37,-0.87,152.75,0.71,392.6,60.95,0.84,418.02,1.93,9.06,8.26,11.93,2.52,307.06,725.07,27-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
27-Jun-2020 - 00:00,29.37,987.8,82.91,-0.65,270.37,0.9,374.02,40.92,0.48,409.6,1.6,8.68,7.81,11.62,3.0,306.06,715.66,28-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
28-Jun-2020 - 00:00,30.78,987.36,81.44,-0.63,223.97,0.82,380.41,40.29,0.57,409.94,1.42,8.88,7.86,11.67,2.67,306.59,716.53,29-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
29-Jun-2020 - 00:00,28.35,990.68,86.21,-0.66,166.81,0.68,370.65,39.87,0.7,406.55,1.72,8.65,7.84,11.64,2.96,305.53,712.08,30-Jun-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
30-Jun-2020 - 00:00,30.73,990.78,80.88,-0.6,120.23,0.64,368.28,61.94,0.45,392.34,1.76,8.78,7.97,11.78,3.05,305.05,697.38,01-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
01-Jul-2020 - 00:00,30.24,988.99,85.47,-0.64,131.92,0.69,367.91,55.35,0.56,409.17,1.56,8.76,7.84,11.71,3.4,305.58,714.75,02-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
02-Jul-2020 - 00:00,33.0,986.22,74.29,-0.69,112.38,0.65,368.23,92.3,0.54,411.31,1.88,8.83,8.06,11.86,2.94,307.84,719.12,03-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
03-Jul-2020 - 00:00,31.6,986.82,85.32,-0.68,128.82,0.69,502.35,77.71,0.66,415.71,3.61,8.75,8.55,11.69,2.88,304.06,719.76,04-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
04-Jul-2020 - 00:00,30.89,987.07,84.35,-0.8,125.47,0.64,631.51,83.94,0.99,388.24,7.31,8.68,9.83,11.64,2.72,288.69,676.93,05-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
05-Jul-2020 - 00:00,30.13,986.91,82.37,-0.81,122.44,0.65,371.97,41.77,0.48,358.83,6.86,9.11,9.88,11.66,3.25,304.66,663.49,06-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
06-Jul-2020 - 00:00,27.52,986.62,92.87,-0.93,117.46,0.64,521.15,44.03,0.64,414.36,7.19,8.76,9.83,11.7,3.08,307.34,721.69,07-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
07-Jul-2020 - 00:00,27.47,989.63,94.81,-1.45,109.66,0.68,607.73,47.1,0.59,360.22,9.22,8.84,11.22,11.66,2.93,206.71,620.39,08-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
08-Jul-2020 - 00:00,29.57,991.13,88.37,-1.54,145.33,0.69,825.0,53.53,1.51,789.99,16.82,8.84,15.86,11.7,0.47,289.53,977.66,09-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
09-Jul-2020 - 00:00,30.62,987.23,88.13,-1.45,270.28,0.86,820.99,41.38,0.93,848.15,16.77,8.97,16.04,11.93,1.33,169.5,905.43,10-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
10-Jul-2020 - 00:00,29.73,985.78,88.06,-0.81,266.64,0.92,815.04,37.26,1.0,732.33,16.29,8.69,15.54,11.45,2.2,200.86,829.96,11-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
11-Jul-2020 - 00:00,30.99,985.73,82.0,0.33,280.18,0.94,805.94,29.95,1.13,324.99,16.23,8.89,15.75,11.6,1.69,278.62,506.92,12-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
12-Jul-2020 - 00:00,31.48,986.83,80.84,0.2,271.76,0.92,798.02,27.12,1.2,8.5,16.14,8.74,15.58,11.45,1.8,893.41,899.36,13-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
13-Jul-2020 - 00:00,31.96,986.87,77.93,0.18,276.75,0.88,797.41,40.33,1.11,3.97,16.45,8.93,15.89,11.71,1.82,894.38,895.45,14-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
14-Jul-2020 - 00:00,29.24,989.21,88.15,-0.12,198.32,0.87,530.73,43.71,0.94,29.74,16.89,8.86,15.99,11.78,2.33,866.61,894.06,15-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
15-Jul-2020 - 00:00,30.93,989.46,83.44,-0.07,106.95,0.81,228.63,62.06,1.11,97.8,16.5,8.59,15.65,11.49,1.76,793.42,891.22,16-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
16-Jul-2020 - 00:00,31.18,987.71,84.43,0.19,104.5,0.77,209.1,58.14,1.09,99.2,16.59,8.29,15.46,11.36,1.7,794.59,893.79,17-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
17-Jul-2020 - 00:00,32.77,988.92,78.23,0.08,114.15,0.86,226.9,72.09,1.09,94.44,16.5,8.99,15.97,11.82,2.31,795.21,889.66,18-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
18-Jul-2020 - 00:00,31.94,990.36,81.21,0.19,125.34,0.81,204.48,72.69,1.0,103.76,16.89,8.61,15.87,11.71,2.05,793.92,897.68,19-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
19-Jul-2020 - 00:00,29.65,988.32,89.59,-0.03,244.14,0.9,187.01,43.08,0.94,97.26,16.26,8.61,15.54,11.44,1.88,795.39,892.64,20-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
20-Jul-2020 - 00:00,28.34,987.18,93.47,0.13,246.97,0.86,191.98,27.39,1.16,103.58,16.37,8.85,15.78,11.11,1.56,794.13,897.72,21-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
21-Jul-2020 - 00:00,28.48,990.62,87.16,-0.1,201.29,0.85,218.51,35.41,0.98,100.81,16.43,8.78,15.76,11.65,1.76,792.81,893.62,22-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
22-Jul-2020 - 00:00,28.8,990.82,87.39,-0.04,156.13,1.04,222.53,24.8,0.97,103.97,16.26,8.54,15.48,11.41,1.62,793.71,897.68,23-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
23-Jul-2020 - 00:00,30.31,990.45,78.65,0.18,211.99,1.01,233.83,41.28,1.0,102.14,16.49,8.6,15.66,11.51,1.73,793.37,895.5,24-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
24-Jul-2020 - 00:00,29.92,994.05,87.78,0.14,133.22,1.01,200.71,58.95,0.97,100.5,16.45,8.63,15.65,11.5,1.83,792.66,893.17,25-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
25-Jul-2020 - 00:00,30.8,996.15,82.35,0.21,126.12,0.98,224.05,55.09,0.98,107.69,16.4,8.89,15.84,11.71,2.06,793.56,901.24,26-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
26-Jul-2020 - 00:00,31.98,995.53,78.66,0.26,216.67,0.99,222.09,48.79,1.17,92.01,16.31,8.56,15.52,11.4,1.94,795.18,887.18,27-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
27-Jul-2020 - 00:00,31.7,992.26,78.25,0.21,198.5,1.04,217.76,46.55,0.98,95.02,16.41,8.84,15.81,11.68,1.77,792.43,887.45,28-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
28-Jul-2020 - 00:00,29.47,990.48,90.1,0.14,151.25,1.04,193.99,38.15,0.99,94.9,16.7,8.16,15.4,11.3,1.71,718.86,813.76,29-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
29-Jul-2020 - 00:00,26.91,992.36,93.08,0.07,257.9,1.02,187.94,32.57,1.25,101.15,16.61,8.83,15.89,11.74,1.69,792.93,894.08,30-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
30-Jul-2020 - 00:00,28.86,992.96,88.75,-0.19,135.78,0.99,199.37,38.29,1.12,95.91,16.63,8.43,15.53,11.38,1.57,789.71,885.61,31-Jul-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
31-Jul-2020 - 00:00,28.97,991.98,91.47,-0.14,52.43,1.02,191.95,20.89,1.19,121.7,16.72,9.97,16.63,12.45,2.58,793.36,896.91,01-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
01-Aug-2020 - 00:00,29.3,990.98,90.15,0.09,132.81,1.03,205.92,20.27,1.2,118.31,16.34,8.76,15.61,11.5,1.81,792.9,911.2,02-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
02-Aug-2020 - 00:00,30.31,988.36,83.46,0.54,291.49,1.03,213.67,13.6,1.01,106.1,16.31,8.53,15.5,11.4,2.17,794.32,900.42,03-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
03-Aug-2020 - 00:00,29.02,983.98,90.5,0.23,261.15,1.01,199.36,22.41,0.99,96.64,16.12,9.17,15.91,11.72,2.15,796.23,892.87,04-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
04-Aug-2020 - 00:00,30.43,980.67,87.07,-0.15,277.82,1.01,205.12,40.13,0.96,97.79,16.63,8.6,15.68,11.63,2.19,795.18,892.97,05-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
05-Aug-2020 - 00:00,31.08,982.19,82.65,-0.1,128.3,0.93,223.96,35.61,1.29,101.81,16.6,9.1,15.84,20.63,2.54,796.24,897.94,06-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
06-Aug-2020 - 00:00,30.56,986.14,80.82,0.27,66.54,0.83,204.19,35.47,0.9,103.44,16.33,8.98,15.87,26.71,2.0,796.48,899.93,07-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
07-Aug-2020 - 00:00,31.4,989.91,80.38,0.4,106.42,0.88,223.44,39.5,1.01,99.5,16.46,8.97,15.93,34.4,1.72,724.04,823.52,08-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
08-Aug-2020 - 00:00,31.36,987.44,84.19,0.71,164.47,0.99,200.48,55.93,1.3,96.78,16.54,8.52,15.61,44.48,0.65,794.39,891.17,09-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
09-Aug-2020 - 00:00,31.14,986.78,87.72,0.84,108.63,1.1,204.66,51.51,1.01,97.05,16.09,8.91,15.56,44.48,2.67,797.17,894.21,10-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
10-Aug-2020 - 00:00,31.51,988.04,84.26,1.31,103.83,1.36,217.65,60.5,1.11,105.01,16.52,8.79,15.82,39.8,3.77,792.61,897.62,11-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
