from date,NO,CO,NO2,NOx,Ozone,PM10,PM2.5,RH,SR,Temp,WD,WS,VWS,SO2,to date,station
03-Feb-2020 - 00:00,45.83,2.53,52.81,98.64,36.37,160.69,49.43,41.58,199.13,30.83,193.35,0.49,0.34,26.9,04-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
04-Feb-2020 - 00:00,54.25,2.22,49.04,103.29,36.67,157.37,46.85,48.14,150.21,28.33,172.24,0.38,0.35,28.4,05-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
05-Feb-2020 - 00:00,39.34,2.13,44.91,84.25,33.38,148.42,47.16,46.02,163.98,28.39,216.75,0.59,0.34,27.36,06-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
06-Feb-2020 - 00:00,51.1,2.37,46.86,97.95,32.08,173.47,60.1,49.84,154.87,27.48,139.99,0.42,0.34,27.43,07-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
07-Feb-2020 - 00:00,23.21,1.74,33.99,57.2,34.4,121.18,46.67,45.71,164.46,25.84,120.12,0.37,0.34,26.41,08-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
08-Feb-2020 - 00:00,26.1,1.76,29.49,55.59,39.39,120.01,47.4,58.94,159.75,25.37,213.19,0.91,0.34,26.01,09-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
09-Feb-2020 - 00:00,28.51,1.81,27.98,56.49,34.9,107.0,41.57,66.16,116.1,25.43,291.09,1.33,0.34,25.68,10-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
10-Feb-2020 - 00:00,42.56,2.04,30.81,73.37,28.98,108.38,34.99,68.65,109.86,25.69,300.74,0.95,0.33,24.79,11-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
11-Feb-2020 - 00:00,38.82,1.98,30.93,69.76,27.01,103.57,35.09,63.43,144.83,26.91,308.41,0.97,0.33,24.92,12-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
12-Feb-2020 - 00:00,40.73,2.28,37.64,78.37,36.93,126.59,40.81,55.32,142.07,27.5,300.21,0.98,0.34,25.53,13-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
13-Feb-2020 - 00:00,36.5,2.06,40.54,77.04,40.38,124.27,47.1,50.06,161.38,27.99,275.56,0.67,0.34,23.82,14-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
14-Feb-2020 - 00:00,47.26,2.03,51.13,98.39,40.44,159.38,56.08,43.06,178.98,27.62,233.36,0.42,0.35,24.49,15-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
15-Feb-2020 - 00:00,36.4,2.21,45.24,81.64,40.42,148.09,55.65,42.39,173.87,28.49,197.82,0.4,0.34,25.52,16-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
16-Feb-2020 - 00:00,55.5,2.73,54.9,108.94,40.41,178.7,57.8,36.94,181.01,29.44,300.12,0.8,0.35,26.37,17-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
17-Feb-2020 - 00:00,29.32,2.54,47.41,76.7,40.39,136.57,51.09,38.7,178.42,29.84,294.86,0.83,0.35,26.0,18-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
18-Feb-2020 - 00:00,33.79,2.33,49.36,83.16,40.37,136.81,44.49,33.02,181.1,29.51,262.94,0.7,0.35,26.76,19-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
19-Feb-2020 - 00:00,30.99,2.38,44.58,75.56,40.41,150.57,47.16,32.62,182.04,29.22,255.98,0.58,0.35,27.74,20-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
20-Feb-2020 - 00:00,37.27,2.77,47.87,85.15,40.39,135.29,47.74,45.11,176.74,29.13,250.0,0.6,0.34,26.94,21-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
21-Feb-2020 - 00:00,59.87,2.49,47.93,107.8,40.39,153.84,54.14,44.64,181.95,28.46,317.28,0.86,0.34,28.59,22-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
22-Feb-2020 - 00:00,53.01,2.84,44.88,97.88,40.35,143.85,42.56,37.04,186.5,28.9,297.06,0.81,0.36,25.5,23-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
23-Feb-2020 - 00:00,35.11,2.45,36.41,71.52,40.38,103.36,34.33,38.11,188.88,29.26,288.03,0.74,0.34,25.1,24-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
24-Feb-2020 - 00:00,38.25,2.47,43.28,81.54,69.26,122.71,38.27,40.04,186.3,29.72,182.99,0.41,0.35,26.31,25-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
25-Feb-2020 - 00:00,25.16,1.57,36.61,61.78,107.03,126.23,37.2,33.14,190.3,29.41,233.68,0.85,0.34,26.09,26-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
26-Feb-2020 - 00:00,24.92,1.21,39.07,63.98,84.86,107.45,33.45,28.06,196.01,28.25,248.13,0.98,0.36,25.73,27-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
27-Feb-2020 - 00:00,34.89,1.57,49.23,84.12,48.77,128.83,41.96,30.43,192.82,28.56,265.63,0.82,0.36,25.53,28-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
28-Feb-2020 - 00:00,30.94,1.9,45.64,76.57,62.84,139.72,43.29,33.28,191.13,29.17,271.86,0.91,0.36,26.39,29-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
29-Feb-2020 - 00:00,37.53,2.0,41.09,78.62,69.92,139.25,45.96,44.47,158.85,29.65,258.29,0.87,0.34,27.49,01-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
01-Mar-2020 - 00:00,22.59,1.53,24.63,47.22,69.97,104.72,41.81,64.27,188.75,27.86,290.38,1.01,0.36,26.96,02-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
02-Mar-2020 - 00:00,45.63,1.97,33.51,79.14,69.88,132.64,46.02,61.77,215.43,28.22,199.3,0.34,0.33,27.53,03-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
03-Mar-2020 - 00:00,29.76,2.22,28.02,57.78,69.91,118.51,42.68,42.39,204.6,29.57,181.03,0.54,0.35,28.2,04-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
04-Mar-2020 - 00:00,15.02,0.98,20.28,35.3,69.91,70.82,24.77,34.07,241.31,28.05,154.57,0.75,0.37,27.47,05-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
05-Mar-2020 - 00:00,43.88,1.58,37.01,80.9,69.96,161.59,46.98,35.38,224.94,27.6,175.18,0.48,0.37,25.92,06-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
06-Mar-2020 - 00:00,21.25,1.78,23.23,44.48,69.96,118.75,36.2,48.39,231.98,27.1,131.88,0.52,0.34,26.82,07-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
07-Mar-2020 - 00:00,30.66,1.52,24.99,55.65,69.92,124.06,27.33,47.14,193.8,27.19,192.96,0.5,0.36,27.3,08-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
08-Mar-2020 - 00:00,33.88,2.04,35.93,69.8,69.93,135.71,38.24,42.01,207.75,30.08,187.99,0.31,0.35,27.35,09-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
09-Mar-2020 - 00:00,63.88,1.02,31.67,94.54,70.13,120.81,50.23,43.82,153.43,28.88,142.75,2.68,1.01,26.45,10-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
10-Mar-2020 - 00:00,117.24,0.74,20.51,137.72,64.26,123.79,59.46,41.67,176.6,29.9,161.91,16.94,0.94,27.36,11-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
11-Mar-2020 - 00:00,162.05,1.5,18.66,180.7,46.93,95.21,29.8,51.56,133.19,29.14,131.49,3.45,0.63,24.96,12-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
12-Mar-2020 - 00:00,24.6,2.22,21.3,45.89,36.43,76.15,17.22,40.19,224.47,29.77,178.25,0.49,0.34,25.13,13-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
13-Mar-2020 - 00:00,14.22,1.8,13.26,27.46,36.45,91.66,23.25,44.98,222.16,29.88,163.22,0.52,0.34,24.66,14-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
14-Mar-2020 - 00:00,14.66,1.59,14.25,28.9,36.44,90.45,24.18,31.87,224.36,30.02,184.23,0.57,0.33,25.35,15-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
15-Mar-2020 - 00:00,18.07,2.03,20.23,38.28,36.45,103.56,33.02,35.07,211.38,31.21,224.31,0.62,0.35,24.95,16-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
16-Mar-2020 - 00:00,26.94,2.67,23.96,50.9,36.42,97.38,31.44,40.64,207.29,32.31,294.7,0.87,0.34,25.32,17-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
17-Mar-2020 - 00:00,27.15,2.8,25.34,52.49,36.43,98.03,34.67,38.72,205.92,33.12,248.48,0.58,0.33,25.54,18-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
18-Mar-2020 - 00:00,16.9,2.11,15.19,32.08,36.42,81.61,29.94,36.36,204.31,33.34,194.98,0.55,0.33,26.09,19-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
19-Mar-2020 - 00:00,15.95,1.98,17.34,33.26,36.42,73.42,27.3,41.12,203.17,31.51,189.67,0.49,0.35,25.48,20-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
20-Mar-2020 - 00:00,20.55,1.92,16.66,36.57,36.53,78.06,25.84,23.75,240.11,30.89,172.82,0.56,0.36,24.98,21-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
21-Mar-2020 - 00:00,19.08,1.65,15.63,34.45,36.44,100.13,30.12,24.9,249.03,29.97,170.12,0.56,0.34,26.06,22-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
22-Mar-2020 - 00:00,13.64,1.64,9.74,21.89,36.45,77.6,29.88,26.49,241.5,31.0,195.12,0.46,0.36,26.24,23-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
23-Mar-2020 - 00:00,13.05,1.62,10.53,23.49,36.42,84.97,29.58,29.22,232.48,32.42,209.96,0.49,0.36,19.07,24-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
24-Mar-2020 - 00:00,11.18,1.45,3.62,14.64,36.46,95.48,37.47,41.09,244.52,33.64,245.71,0.82,0.34,4.54,25-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
25-Mar-2020 - 00:00,,,,,,,,,,,,,,,26-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
26-Mar-2020 - 00:00,,,,,,,,,,,,,,,27-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
27-Mar-2020 - 00:00,,,,,,,,,,,,,,,28-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
28-Mar-2020 - 00:00,,,,,,,,,,,,,,,29-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
29-Mar-2020 - 00:00,,,4.26,,,,,,,,,,,,30-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
30-Mar-2020 - 00:00,7.69,0.02,0.81,7.69,36.41,61.43,31.85,32.5,306.18,34.8,175.0,,0.44,4.12,31-Mar-2020 - 00:00,"Solapur, Solapur - MPCB"
31-Mar-2020 - 00:00,7.39,0.0,1.82,6.84,36.38,55.69,29.39,37.87,218.19,29.1,196.46,30.94,0.44,4.73,01-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
01-Apr-2020 - 00:00,6.72,0.0,0.8,5.56,36.43,57.35,32.38,36.73,229.49,32.33,168.22,39.12,1.49,4.66,02-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
02-Apr-2020 - 00:00,6.81,0.0,0.74,5.74,36.46,70.37,36.6,33.11,193.96,31.09,146.14,21.59,0.79,4.77,03-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
03-Apr-2020 - 00:00,7.01,0.0,0.52,5.25,36.44,72.62,38.01,36.41,214.74,32.87,199.16,29.5,1.16,4.81,04-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
04-Apr-2020 - 00:00,5.51,0.0,1.02,4.19,36.39,66.42,36.59,36.06,196.63,31.29,140.3,43.22,0.62,5.2,05-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
05-Apr-2020 - 00:00,5.15,0.0,0.19,2.72,36.34,66.84,35.41,34.19,199.43,33.45,119.0,26.66,0.33,4.43,06-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
06-Apr-2020 - 00:00,4.68,0.0,1.28,2.15,36.42,80.35,33.94,46.09,218.66,29.77,161.14,35.09,0.4,4.9,07-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
07-Apr-2020 - 00:00,6.97,0.0,0.23,4.05,36.42,53.94,28.15,40.03,181.58,30.59,232.44,27.85,0.68,4.89,08-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
08-Apr-2020 - 00:00,6.26,0.0,3.2,3.4,36.43,59.6,21.88,36.41,212.1,30.88,149.06,49.12,0.61,5.19,09-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
09-Apr-2020 - 00:00,1.14,0.0,0.31,0.43,36.39,73.26,26.21,35.22,193.59,32.41,165.01,23.03,2.79,4.58,10-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
10-Apr-2020 - 00:00,1.62,0.0,0.16,0.29,36.39,57.28,24.68,39.94,227.63,29.54,151.33,40.71,0.49,4.97,11-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
11-Apr-2020 - 00:00,2.53,0.0,1.47,1.76,36.42,59.54,26.86,36.61,171.98,32.02,223.04,17.55,0.5,4.94,12-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
12-Apr-2020 - 00:00,1.92,0.0,0.65,0.79,36.41,59.03,29.43,30.82,113.15,32.96,170.16,40.81,0.52,4.89,13-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
13-Apr-2020 - 00:00,1.51,0.0,0.22,0.24,36.46,61.27,28.93,32.29,202.5,31.67,157.0,26.58,1.4,4.68,14-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
14-Apr-2020 - 00:00,2.2,0.0,1.64,1.32,36.42,58.52,30.82,36.61,204.95,30.26,164.28,39.02,0.57,4.86,15-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
15-Apr-2020 - 00:00,1.5,0.0,2.1,1.63,36.42,83.22,37.89,29.68,217.25,35.05,176.0,36.72,0.71,6.59,16-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
16-Apr-2020 - 00:00,2.62,0.0,0.3,1.08,36.44,75.98,35.88,39.57,196.63,29.09,175.22,29.78,1.37,4.7,17-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
17-Apr-2020 - 00:00,5.57,0.0,3.25,3.16,36.47,63.11,31.23,47.61,236.74,32.02,203.86,19.5,0.83,4.68,18-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
18-Apr-2020 - 00:00,7.11,0.0,0.18,3.47,36.44,69.38,33.23,57.19,195.08,31.1,206.02,20.55,1.87,5.17,19-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
19-Apr-2020 - 00:00,11.98,0.0,1.84,9.02,36.44,56.77,32.73,53.49,145.15,29.32,162.66,37.36,1.11,5.11,20-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
20-Apr-2020 - 00:00,14.89,0.0,0.05,11.37,36.44,42.32,21.48,41.62,211.97,29.83,180.65,27.21,0.55,5.22,21-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
21-Apr-2020 - 00:00,13.77,0.0,0.31,10.52,36.47,48.51,26.99,40.25,261.96,32.07,159.0,19.86,0.43,5.11,22-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
22-Apr-2020 - 00:00,13.17,0.0,,9.28,36.45,55.6,22.21,35.45,220.18,28.65,130.0,37.25,0.49,5.11,23-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
23-Apr-2020 - 00:00,10.73,0.0,0.17,7.18,36.45,73.02,26.51,38.61,191.44,30.78,120.45,31.78,0.6,4.99,24-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
24-Apr-2020 - 00:00,7.48,0.0,0.11,3.93,36.46,58.4,25.2,37.63,199.08,31.34,130.45,28.21,0.48,5.35,25-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
25-Apr-2020 - 00:00,6.64,0.0,0.03,3.15,36.45,49.01,20.21,42.57,222.88,29.02,151.05,29.49,0.43,5.0,26-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
26-Apr-2020 - 00:00,7.6,0.0,2.15,4.39,36.43,52.38,17.87,32.27,157.63,31.49,138.85,30.46,0.41,4.97,27-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
27-Apr-2020 - 00:00,6.32,0.0,0.42,3.32,36.43,59.44,20.72,35.15,241.77,30.9,147.34,30.13,0.74,4.89,28-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
28-Apr-2020 - 00:00,8.15,0.0,0.08,5.13,36.44,66.32,24.57,40.14,182.26,31.05,163.02,39.87,0.38,5.27,29-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
29-Apr-2020 - 00:00,5.68,0.0,0.14,2.61,36.44,46.31,19.24,45.68,142.16,30.79,163.84,38.8,0.92,5.6,30-Apr-2020 - 00:00,"Solapur, Solapur - MPCB"
30-Apr-2020 - 00:00,3.84,0.0,0.11,0.94,36.42,48.8,22.31,41.45,215.62,32.5,146.02,48.54,0.39,5.35,01-May-2020 - 00:00,"Solapur, Solapur - MPCB"
01-May-2020 - 00:00,5.18,0.0,2.66,2.5,36.4,70.11,27.24,54.45,194.22,33.68,199.5,49.21,0.34,5.68,02-May-2020 - 00:00,"Solapur, Solapur - MPCB"
02-May-2020 - 00:00,7.21,0.0,0.72,1.83,36.46,66.04,25.77,38.17,225.98,34.04,223.07,2.89,0.34,5.2,03-May-2020 - 00:00,"Solapur, Solapur - MPCB"
03-May-2020 - 00:00,4.78,0.0,0.41,1.19,36.43,62.12,24.73,37.44,241.48,36.33,173.13,0.47,0.34,4.89,04-May-2020 - 00:00,"Solapur, Solapur - MPCB"
04-May-2020 - 00:00,5.37,0.0,0.09,2.26,36.44,58.17,22.35,29.72,258.75,36.16,155.54,0.49,0.35,4.58,05-May-2020 - 00:00,"Solapur, Solapur - MPCB"
05-May-2020 - 00:00,8.74,0.0,0.15,5.63,36.44,61.19,18.02,29.73,247.51,36.48,171.77,0.64,0.35,4.57,06-May-2020 - 00:00,"Solapur, Solapur - MPCB"
06-May-2020 - 00:00,9.91,0.0,0.2,6.97,36.47,90.41,25.58,23.88,240.07,37.55,190.72,0.55,0.34,4.85,07-May-2020 - 00:00,"Solapur, Solapur - MPCB"
07-May-2020 - 00:00,10.98,0.0,0.37,7.96,36.43,77.98,21.98,31.02,259.5,36.89,225.45,0.64,0.35,4.82,08-May-2020 - 00:00,"Solapur, Solapur - MPCB"
08-May-2020 - 00:00,12.71,0.0,0.09,9.5,36.44,70.84,23.98,42.48,244.18,35.2,235.65,0.71,0.34,7.21,09-May-2020 - 00:00,"Solapur, Solapur - MPCB"
09-May-2020 - 00:00,13.19,0.0,1.08,10.31,36.44,61.13,22.65,41.31,215.2,35.4,188.27,0.42,0.34,9.2,10-May-2020 - 00:00,"Solapur, Solapur - MPCB"
10-May-2020 - 00:00,14.17,0.0,0.02,10.67,36.44,42.17,19.68,48.86,190.5,33.2,252.56,0.98,0.34,7.57,11-May-2020 - 00:00,"Solapur, Solapur - MPCB"
11-May-2020 - 00:00,10.66,0.0,0.28,7.47,36.46,39.59,16.89,49.11,235.09,32.63,225.09,0.68,0.35,6.94,12-May-2020 - 00:00,"Solapur, Solapur - MPCB"
12-May-2020 - 00:00,7.57,0.0,0.27,4.7,36.45,45.33,21.23,42.87,251.61,34.32,194.11,0.43,0.35,5.08,13-May-2020 - 00:00,"Solapur, Solapur - MPCB"
13-May-2020 - 00:00,2.95,0.0,,0.49,36.46,55.81,23.04,48.29,228.32,33.77,155.5,0.64,0.34,5.17,14-May-2020 - 00:00,"Solapur, Solapur - MPCB"
14-May-2020 - 00:00,4.17,0.0,0.1,1.55,36.44,49.58,23.87,43.76,246.3,34.94,224.01,0.63,0.35,5.15,15-May-2020 - 00:00,"Solapur, Solapur - MPCB"
15-May-2020 - 00:00,3.5,0.0,,0.61,36.48,34.72,18.48,55.37,203.28,32.55,181.05,0.63,0.35,5.54,16-May-2020 - 00:00,"Solapur, Solapur - MPCB"
16-May-2020 - 00:00,6.14,0.0,,2.03,36.47,40.94,19.56,64.83,202.3,31.35,170.63,0.65,0.34,5.62,17-May-2020 - 00:00,"Solapur, Solapur - MPCB"
17-May-2020 - 00:00,4.12,0.0,0.13,1.17,36.48,71.0,24.59,49.42,203.43,33.8,180.99,0.55,0.34,5.39,18-May-2020 - 00:00,"Solapur, Solapur - MPCB"
18-May-2020 - 00:00,4.36,0.0,0.16,1.32,36.52,87.32,26.72,46.61,168.59,34.22,148.26,0.72,0.35,5.28,19-May-2020 - 00:00,"Solapur, Solapur - MPCB"
19-May-2020 - 00:00,3.48,0.0,,0.73,36.52,73.54,20.35,45.76,222.74,33.9,144.51,0.98,0.35,5.57,20-May-2020 - 00:00,"Solapur, Solapur - MPCB"
