from date,NO,CO,NO2,NOx,Ozone,PM10,PM2.5,RH,SR,Temp,WD,WS,VWS,SO2,to date,station
01-Jan-2020 - 00:00,31.47,2.48,37.62,69.09,27.55,101.71,34.05,71.17,118.97,26.45,194.13,0.66,0.34,14.57,02-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
02-Jan-2020 - 00:00,40.56,2.56,33.08,73.64,22.3,99.71,31.86,74.99,125.62,26.54,260.5,0.52,0.36,14.58,03-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
03-Jan-2020 - 00:00,26.71,1.98,33.4,60.11,31.14,122.26,46.41,61.69,164.74,25.43,178.11,0.46,0.34,14.42,04-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
04-Jan-2020 - 00:00,31.71,1.69,27.54,59.25,27.91,100.56,37.08,71.4,154.42,23.97,241.57,0.63,0.33,14.75,05-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
05-Jan-2020 - 00:00,28.95,1.92,32.62,61.57,33.04,118.54,47.38,69.22,145.52,24.03,276.64,0.79,0.35,14.61,06-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
06-Jan-2020 - 00:00,38.39,2.25,38.01,76.4,34.47,118.42,43.8,69.19,136.77,25.04,277.35,0.87,0.34,14.63,07-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
07-Jan-2020 - 00:00,43.6,2.62,29.98,73.57,24.58,97.53,29.33,71.38,145.22,26.93,285.48,0.64,0.34,13.24,08-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
08-Jan-2020 - 00:00,43.43,2.38,34.64,78.05,25.74,113.99,36.14,74.25,119.79,26.75,219.11,0.54,0.36,5.55,09-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
09-Jan-2020 - 00:00,27.68,2.05,29.12,56.79,35.8,112.26,48.86,71.08,116.97,24.47,232.63,0.59,0.34,3.16,10-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
10-Jan-2020 - 00:00,,,,,,,,,,,,,,,11-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
11-Jan-2020 - 00:00,,,,,,,,,,,,,,,12-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
12-Jan-2020 - 00:00,,,,,,,,,,,,,,,13-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
13-Jan-2020 - 00:00,,,,,,,,,,,,,,,14-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
14-Jan-2020 - 00:00,,,,,,,,,,,,,,,15-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
15-Jan-2020 - 00:00,,,,,,,,,,,,,,,16-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
16-Jan-2020 - 00:00,,,,,,,,,,,,,,,17-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
17-Jan-2020 - 00:00,48.79,2.42,60.35,109.14,10.51,148.4,43.31,43.69,223.43,27.17,210.78,0.36,0.36,2.45,18-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
18-Jan-2020 - 00:00,54.84,2.62,49.86,104.7,20.62,168.75,46.89,58.26,143.89,25.67,208.63,0.46,0.35,3.18,19-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
19-Jan-2020 - 00:00,54.58,2.67,40.4,94.97,34.35,122.95,38.5,60.17,137.5,27.11,200.75,0.4,0.34,2.04,20-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
20-Jan-2020 - 00:00,57.19,2.89,45.62,102.81,28.88,165.1,43.5,60.86,138.34,27.22,248.67,0.54,0.34,2.18,21-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
21-Jan-2020 - 00:00,54.93,2.92,43.73,98.66,26.15,138.72,44.54,57.14,151.48,27.74,257.88,0.69,0.34,2.22,22-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
22-Jan-2020 - 00:00,31.0,2.19,29.96,60.97,25.89,98.24,30.98,51.5,215.84,27.2,300.18,1.15,0.35,2.18,23-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
23-Jan-2020 - 00:00,91.3,3.56,65.53,156.75,27.89,207.34,48.64,40.73,234.97,29.76,299.5,0.78,0.35,19.65,24-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
24-Jan-2020 - 00:00,49.99,2.87,47.07,97.05,28.06,135.82,40.91,47.03,162.97,27.36,280.71,0.71,0.33,27.72,25-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
25-Jan-2020 - 00:00,67.49,3.1,50.94,114.78,27.02,161.42,52.23,49.33,158.65,27.32,259.32,0.56,0.35,27.95,26-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
26-Jan-2020 - 00:00,62.37,1.89,39.33,101.7,22.45,249.91,51.09,50.36,214.94,25.86,163.7,0.72,0.74,18.72,27-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
27-Jan-2020 - 00:00,55.14,2.67,45.54,95.7,33.27,175.9,48.2,47.39,145.62,27.85,119.81,0.61,0.47,23.97,28-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
28-Jan-2020 - 00:00,25.58,3.05,34.45,60.03,36.2,118.14,34.69,52.58,144.82,26.21,132.77,0.43,0.34,28.16,29-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
29-Jan-2020 - 00:00,22.31,2.53,30.04,52.35,30.08,89.76,31.61,54.7,162.3,25.47,159.88,0.5,0.36,28.47,30-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
30-Jan-2020 - 00:00,31.11,2.22,36.3,67.41,25.81,124.71,31.94,51.72,167.01,25.35,189.72,0.47,0.33,29.85,31-Jan-2020 - 00:00,"Solapur, Solapur - MPCB"
31-Jan-2020 - 00:00,37.16,1.99,48.77,84.61,37.83,151.84,47.95,52.41,158.47,26.06,232.04,0.52,0.34,28.19,01-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
01-Feb-2020 - 00:00,72.54,2.15,50.24,104.39,33.67,187.05,56.41,50.32,167.67,27.03,202.3,0.59,0.35,27.84,02-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
02-Feb-2020 - 00:00,19.54,1.48,18.12,37.68,52.53,91.63,37.91,67.36,10.57,22.91,270.44,1.45,0.34,27.12,03-Feb-2020 - 00:00,"Solapur, Solapur - MPCB"
