from date,NO2,SO2,CO,Ozone,PM2.5,PM10,NH3,Benzene,RH,SR,WS,WD,RF,to date,station
01-Jan-2020 - 00:00,4.35,12.77,0.54,10.35,51.07,127.67,3.73,1.24,81.02,162.41,0.53,225.34,0.0,02-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
02-Jan-2020 - 00:00,11.31,9.33,0.38,9.44,55.84,139.6,6.18,0.68,84.32,145.53,0.9,319.1,0.0,03-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
03-Jan-2020 - 00:00,22.39,11.77,0.33,11.77,54.63,136.59,10.86,0.99,83.37,134.83,0.83,286.91,0.0,04-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
04-Jan-2020 - 00:00,27.05,10.04,0.49,4.32,89.92,224.78,12.9,2.39,85.04,102.68,0.49,266.0,0.0,05-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
05-Jan-2020 - 00:00,6.16,10.91,,13.35,68.58,107.4,4.37,,84.74,139.21,1.5,318.96,0.0,06-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
06-Jan-2020 - 00:00,6.07,7.82,,6.61,44.95,69.91,4.29,,93.06,119.24,1.27,288.26,0.05,07-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
07-Jan-2020 - 00:00,6.88,9.74,,9.08,39.21,60.97,4.15,,94.75,126.36,0.73,178.13,0.05,08-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
08-Jan-2020 - 00:00,7.77,9.86,,12.5,49.4,76.83,4.17,,94.7,137.88,1.2,291.17,0.0,09-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
09-Jan-2020 - 00:00,3.91,9.25,,15.59,59.71,92.87,3.23,,93.13,158.87,1.88,310.0,0.0,10-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
10-Jan-2020 - 00:00,3.31,11.25,,17.65,75.96,118.14,2.98,,84.96,158.81,1.91,313.62,0.0,11-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
11-Jan-2020 - 00:00,6.93,22.99,,13.62,107.47,165.82,5.76,0.28,77.88,169.04,1.4,310.46,0.0,12-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
12-Jan-2020 - 00:00,4.03,11.45,,10.13,105.33,163.82,5.9,1.09,91.03,134.01,0.61,246.48,0.0,13-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
13-Jan-2020 - 00:00,6.31,13.73,,10.64,130.56,199.61,7.14,2.13,94.67,115.86,1.34,171.15,0.19,14-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
14-Jan-2020 - 00:00,2.78,11.46,,12.93,42.3,61.17,5.1,0.85,93.57,145.81,1.38,306.77,0.0,15-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
15-Jan-2020 - 00:00,3.7,8.58,,9.9,57.14,88.86,4.23,0.96,94.48,178.96,1.02,318.06,0.0,16-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
16-Jan-2020 - 00:00,3.29,6.31,,10.9,53.61,83.39,3.32,1.21,95.08,150.16,1.49,307.82,0.01,17-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
17-Jan-2020 - 00:00,3.91,7.83,,8.81,69.08,95.73,3.73,1.41,94.27,161.37,0.65,220.42,0.0,18-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
18-Jan-2020 - 00:00,5.37,7.15,,8.3,84.57,131.37,5.55,1.54,93.33,149.16,0.56,213.89,0.0,19-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
19-Jan-2020 - 00:00,5.94,7.11,,10.99,41.1,80.03,7.57,0.93,90.0,99.9,1.28,305.02,0.0,20-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
20-Jan-2020 - 00:00,10.94,11.16,,10.28,84.7,165.42,9.78,1.55,87.26,259.45,0.57,239.05,0.0,21-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
21-Jan-2020 - 00:00,5.96,12.92,,9.72,64.58,126.54,7.93,0.86,81.54,711.37,0.76,268.49,0.0,22-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
22-Jan-2020 - 00:00,7.18,9.01,,10.0,42.91,85.63,8.82,0.67,83.12,,1.6,306.0,0.0,23-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
23-Jan-2020 - 00:00,4.29,7.47,,13.48,40.79,81.4,7.18,0.84,83.31,,2.31,318.78,0.0,24-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
24-Jan-2020 - 00:00,10.78,12.96,,13.82,61.33,122.39,10.16,1.17,79.18,176.1,1.71,307.33,0.0,25-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
25-Jan-2020 - 00:00,18.41,19.11,,10.05,88.83,177.17,15.2,1.93,89.86,,0.55,148.46,0.0,26-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
26-Jan-2020 - 00:00,14.46,8.83,,10.09,37.01,73.67,11.13,1.91,90.61,,0.95,256.99,0.0,27-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
27-Jan-2020 - 00:00,14.3,14.78,,7.27,65.92,131.19,12.1,1.45,95.06,,0.65,200.79,0.02,28-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
28-Jan-2020 - 00:00,5.38,11.32,,11.69,55.79,111.16,7.14,0.71,90.81,7.0,1.85,140.36,0.0,29-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
29-Jan-2020 - 00:00,8.87,8.54,,12.36,24.96,49.67,9.54,0.62,88.63,,0.88,218.35,0.0,30-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
30-Jan-2020 - 00:00,7.67,7.13,,12.88,22.82,45.44,11.84,0.64,87.18,,1.85,314.84,0.0,31-Jan-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
31-Jan-2020 - 00:00,9.1,5.63,,10.82,37.86,75.35,7.65,1.26,92.72,,0.99,271.77,0.0,01-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
01-Feb-2020 - 00:00,9.43,5.67,,10.21,39.02,77.65,9.15,1.35,92.13,,1.03,272.82,0.0,02-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
02-Feb-2020 - 00:00,2.9,5.59,,14.19,41.43,82.46,7.63,1.42,87.22,8.6,1.74,308.66,0.01,03-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
03-Feb-2020 - 00:00,8.44,7.31,,10.86,47.85,95.23,10.81,1.69,83.7,113.64,0.93,242.68,0.0,04-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
04-Feb-2020 - 00:00,9.1,6.19,,19.42,56.06,111.54,11.22,1.63,86.59,10.95,0.99,218.65,0.0,05-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
05-Feb-2020 - 00:00,3.71,6.12,,20.75,43.79,87.14,8.69,1.05,84.26,,1.62,306.19,0.0,06-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
06-Feb-2020 - 00:00,6.16,7.05,,19.04,56.91,113.26,9.91,1.52,77.32,,0.68,253.94,0.0,07-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
07-Feb-2020 - 00:00,6.55,9.76,,17.81,42.42,84.41,9.75,1.36,85.62,,0.98,260.58,0.0,08-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
08-Feb-2020 - 00:00,17.67,9.75,,20.44,37.9,75.43,13.94,1.51,81.14,1.37,1.23,286.9,0.0,09-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
09-Feb-2020 - 00:00,32.01,9.43,,20.23,43.37,86.32,20.4,1.75,84.28,10.68,0.68,281.42,0.0,10-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
10-Feb-2020 - 00:00,26.78,9.09,,20.97,37.28,74.18,17.8,1.33,83.59,,1.2,291.7,0.0,11-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
11-Feb-2020 - 00:00,25.24,8.45,,18.78,38.62,76.85,17.74,1.13,81.17,,1.06,288.17,0.0,12-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
12-Feb-2020 - 00:00,16.57,7.58,,16.54,52.55,104.58,14.06,0.98,80.79,,2.42,313.37,0.0,13-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
13-Feb-2020 - 00:00,14.82,10.33,,14.15,49.35,98.19,13.2,0.63,85.7,,2.11,308.87,0.0,14-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
14-Feb-2020 - 00:00,15.85,10.75,,14.03,48.07,95.67,13.38,0.8,81.54,,2.21,302.22,0.0,15-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
15-Feb-2020 - 00:00,19.15,9.46,,15.05,55.74,110.92,14.52,0.29,76.49,,1.6,297.03,0.0,16-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
16-Feb-2020 - 00:00,12.47,8.79,,16.95,54.03,107.52,12.03,0.0,71.3,,1.33,294.27,0.0,17-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
17-Feb-2020 - 00:00,9.02,14.12,,14.85,40.39,82.44,10.83,0.0,72.4,,1.71,306.35,0.03,18-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
18-Feb-2020 - 00:00,26.23,19.49,,13.7,51.2,111.81,19.11,0.0,73.28,,1.26,265.52,0.0,19-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
19-Feb-2020 - 00:00,17.46,14.4,,12.64,50.79,110.88,14.77,0.43,76.33,,2.21,134.29,0.0,20-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
20-Feb-2020 - 00:00,14.81,17.28,,13.72,39.1,85.38,13.26,1.13,69.87,3.6,2.36,140.3,0.0,21-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
21-Feb-2020 - 00:00,14.14,20.53,,14.4,15.32,33.47,13.42,1.24,78.17,35.1,1.27,150.06,0.0,22-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
22-Feb-2020 - 00:00,15.78,13.33,,13.22,20.98,45.8,13.75,1.39,79.43,,1.46,295.9,0.0,23-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
23-Feb-2020 - 00:00,16.73,17.92,,13.22,27.01,58.98,14.0,1.43,78.57,,1.31,263.56,0.0,24-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
24-Feb-2020 - 00:00,11.2,14.06,,13.37,23.21,50.68,11.56,1.47,79.37,,1.14,238.26,0.0,25-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
25-Feb-2020 - 00:00,8.74,33.8,,14.98,39.8,86.91,11.4,1.44,83.1,,0.92,229.64,0.0,26-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
