from date,PM10,PM2.5,NOx,NO2,NO,CO,CO2,Ozone,to date,station
01-Jan-2020 - 00:00,385.21,327.03,24.51,7.67,22.47,3.43,,54.06,02-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
02-Jan-2020 - 00:00,281.8,226.24,20.11,9.17,10.93,3.96,,41.71,03-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
03-Jan-2020 - 00:00,206.25,141.83,56.42,24.56,31.86,3.34,,23.64,04-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
04-Jan-2020 - 00:00,226.21,161.1,41.07,22.32,18.75,2.81,,25.46,05-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
05-Jan-2020 - 00:00,231.71,159.74,29.78,19.59,10.18,2.64,,28.31,06-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
06-Jan-2020 - 00:00,196.42,129.81,31.31,21.35,9.96,2.37,,19.71,07-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
07-Jan-2020 - 00:00,137.97,101.17,17.04,11.2,5.84,2.21,,23.14,08-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
08-Jan-2020 - 00:00,123.71,97.95,31.11,22.07,23.8,2.55,,11.11,09-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
09-Jan-2020 - 00:00,103.85,76.51,15.76,9.73,6.03,2.27,,24.81,10-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
10-Jan-2020 - 00:00,148.77,100.34,22.4,16.08,6.32,2.45,,30.59,11-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
11-Jan-2020 - 00:00,183.41,118.63,31.33,22.21,9.11,2.41,,29.47,12-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
12-Jan-2020 - 00:00,241.66,160.77,37.28,21.92,15.36,2.49,,27.97,13-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
13-Jan-2020 - 00:00,233.41,171.71,19.27,12.69,6.58,2.41,,30.41,14-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
14-Jan-2020 - 00:00,121.92,87.87,20.53,12.89,7.63,1.85,,21.38,15-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
15-Jan-2020 - 00:00,169.05,106.78,29.69,19.98,9.71,1.56,,22.98,16-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
16-Jan-2020 - 00:00,187.43,125.28,34.89,21.0,13.89,1.57,,10.39,17-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
17-Jan-2020 - 00:00,121.59,82.33,25.47,13.67,11.8,1.51,,14.88,18-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
18-Jan-2020 - 00:00,164.45,107.1,41.26,19.72,21.54,2.02,,16.91,19-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
19-Jan-2020 - 00:00,156.09,101.78,14.52,8.12,6.4,1.51,,25.83,20-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
20-Jan-2020 - 00:00,166.45,100.43,18.79,10.76,8.03,1.51,,21.1,21-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
21-Jan-2020 - 00:00,222.79,134.0,17.76,9.87,7.89,1.56,,25.58,22-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
22-Jan-2020 - 00:00,207.48,129.53,54.12,24.46,29.66,2.27,,20.99,23-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
23-Jan-2020 - 00:00,91.76,49.16,30.45,16.9,13.55,1.01,,35.16,24-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
24-Jan-2020 - 00:00,96.25,47.94,19.0,12.52,6.48,1.13,,43.77,25-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
25-Jan-2020 - 00:00,164.43,82.7,27.76,19.52,8.24,1.66,,32.26,26-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
26-Jan-2020 - 00:00,229.96,125.88,39.27,19.2,20.08,2.5,,10.16,27-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
27-Jan-2020 - 00:00,206.65,116.66,26.5,16.96,9.54,2.16,,6.38,28-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
28-Jan-2020 - 00:00,156.34,103.53,14.46,8.63,5.82,1.94,,6.44,29-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
29-Jan-2020 - 00:00,92.75,51.97,21.7,13.27,8.43,1.79,,6.34,30-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
30-Jan-2020 - 00:00,128.64,68.19,26.77,17.33,9.43,1.86,,6.21,31-Jan-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
31-Jan-2020 - 00:00,132.5,70.73,26.23,15.14,11.09,1.94,,6.16,01-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
01-Feb-2020 - 00:00,158.18,80.65,39.09,18.45,20.64,2.36,,6.17,02-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
02-Feb-2020 - 00:00,138.1,75.29,21.88,12.26,9.61,1.8,,6.12,03-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
03-Feb-2020 - 00:00,185.32,90.43,25.49,15.2,10.29,1.73,,6.35,04-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
04-Feb-2020 - 00:00,188.37,97.56,16.13,9.25,6.89,1.24,,6.3,05-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
05-Feb-2020 - 00:00,221.86,114.08,14.61,6.96,7.66,1.6,,24.51,06-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
06-Feb-2020 - 00:00,169.87,89.96,16.15,8.8,7.35,1.14,,32.55,07-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
07-Feb-2020 - 00:00,229.57,133.09,22.89,10.81,12.08,1.53,,34.71,08-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
08-Feb-2020 - 00:00,211.19,121.75,15.85,8.68,7.16,1.03,,39.56,09-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
09-Feb-2020 - 00:00,201.88,115.87,14.08,8.0,6.07,1.12,,39.97,10-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
10-Feb-2020 - 00:00,256.84,145.16,16.34,8.98,7.36,1.42,,36.96,11-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
11-Feb-2020 - 00:00,250.4,152.31,19.94,10.42,9.52,2.16,,35.97,12-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
12-Feb-2020 - 00:00,276.95,145.55,16.26,8.68,7.57,1.47,,44.11,13-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
13-Feb-2020 - 00:00,122.32,65.0,10.29,5.02,5.26,0.86,,52.0,14-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
14-Feb-2020 - 00:00,135.45,66.78,11.83,6.01,5.83,1.09,,43.98,15-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
15-Feb-2020 - 00:00,114.09,49.79,9.8,4.83,4.96,1.22,,5.38,16-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
16-Feb-2020 - 00:00,190.39,109.0,13.46,8.01,5.45,1.69,,4.23,17-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
17-Feb-2020 - 00:00,221.14,113.65,15.8,8.73,7.07,2.0,,4.18,18-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
18-Feb-2020 - 00:00,173.55,73.43,13.05,7.62,5.43,1.46,,4.14,19-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
19-Feb-2020 - 00:00,162.71,82.88,10.91,5.64,5.27,1.43,,4.2,20-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
20-Feb-2020 - 00:00,173.65,90.68,8.77,3.78,4.99,1.57,,42.77,21-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
21-Feb-2020 - 00:00,75.49,51.26,9.54,4.33,5.21,1.64,,42.79,22-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
22-Feb-2020 - 00:00,101.23,63.75,11.6,5.23,6.37,1.63,,29.46,23-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
23-Feb-2020 - 00:00,161.18,94.1,15.49,6.4,9.09,2.03,,37.07,24-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
24-Feb-2020 - 00:00,133.86,71.35,12.58,6.04,6.54,1.43,,37.34,25-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
25-Feb-2020 - 00:00,212.28,100.66,13.45,7.05,6.4,1.7,,35.59,26-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
26-Feb-2020 - 00:00,226.86,110.3,13.19,5.92,7.28,1.58,,39.56,27-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
27-Feb-2020 - 00:00,155.0,92.21,16.5,9.84,6.1,1.43,,41.29,28-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
28-Feb-2020 - 00:00,127.79,79.99,18.87,11.64,7.22,1.57,,55.91,29-Feb-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
29-Feb-2020 - 00:00,102.38,63.93,22.06,13.56,13.31,1.35,,51.03,01-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
01-Mar-2020 - 00:00,53.28,30.61,21.0,12.78,8.22,1.06,,43.85,02-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
02-Mar-2020 - 00:00,142.99,74.96,42.18,22.27,19.9,1.85,,41.83,03-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
03-Mar-2020 - 00:00,177.35,81.61,60.22,31.18,29.05,2.38,,34.85,04-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
04-Mar-2020 - 00:00,143.95,73.83,31.46,19.33,12.13,2.03,,43.54,05-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
05-Mar-2020 - 00:00,52.47,29.93,22.67,14.87,7.8,1.79,,45.96,06-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
06-Mar-2020 - 00:00,27.0,18.42,19.61,12.17,7.45,1.61,,44.56,07-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
07-Mar-2020 - 00:00,62.84,32.69,18.19,10.83,7.37,1.6,,39.96,08-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
08-Mar-2020 - 00:00,66.57,26.81,25.29,15.3,9.96,1.48,,54.5,09-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
