from date,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM10,PM2.5,NH3,SO2,Benzene,MP-Xylene,to date,station
01-Jan-2020 - 00:00,121.97,74.35,47.2,61.42,109.42,105.84,42.01,8.79,2.15,0.8,0.0,402.26,304.32,20.45,12.78,12.79,0.66,02-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
02-Jan-2020 - 00:00,155.48,72.26,47.37,62.45,119.32,113.43,27.1,10.91,1.96,0.62,0.0,359.96,251.28,19.37,12.26,12.58,1.06,03-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
03-Jan-2020 - 00:00,183.81,70.83,45.47,56.42,92.29,93.73,15.73,12.5,2.11,0.52,0.0,332.96,219.51,25.67,9.53,12.58,2.04,04-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
04-Jan-2020 - 00:00,233.18,71.89,42.83,44.84,54.25,64.73,22.0,11.83,1.89,0.56,0.0,457.09,269.07,36.28,6.63,12.93,1.93,05-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
05-Jan-2020 - 00:00,228.35,67.43,47.25,12.25,26.64,23.97,38.45,11.81,1.31,0.55,0.0,298.86,191.4,20.68,3.77,7.7,0.97,06-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
06-Jan-2020 - 00:00,165.28,69.79,26.12,13.37,25.18,24.09,28.86,11.83,1.2,0.61,0.0,276.17,170.52,21.17,4.06,6.57,1.38,07-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
07-Jan-2020 - 00:00,110.03,73.72,31.24,11.57,25.18,22.65,25.84,12.46,1.38,0.64,0.01,177.54,131.31,19.95,5.24,6.46,1.45,08-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
08-Jan-2020 - 00:00,201.14,87.33,14.77,12.17,20.64,20.71,21.03,11.28,1.05,0.45,0.23,128.83,110.49,23.34,3.63,6.54,1.84,09-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
09-Jan-2020 - 00:00,279.59,85.25,37.17,12.66,20.82,21.21,35.97,9.27,0.83,0.47,0.0,134.75,97.07,21.37,2.71,4.11,1.33,10-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
10-Jan-2020 - 00:00,265.19,86.13,48.97,19.06,32.22,32.39,41.75,9.56,1.29,0.57,0.0,255.74,140.2,19.27,3.72,4.93,1.21,11-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
11-Jan-2020 - 00:00,244.21,78.95,49.49,14.96,30.52,28.2,43.88,10.39,1.49,0.56,0.0,319.04,189.64,19.76,3.81,6.44,2.01,12-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
12-Jan-2020 - 00:00,219.92,80.33,51.27,18.76,34.21,33.2,37.18,11.62,1.79,0.62,0.0,319.62,206.66,21.6,4.22,8.19,2.88,13-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
13-Jan-2020 - 00:00,189.77,83.23,35.46,20.95,39.39,37.72,32.12,12.65,1.89,0.62,0.0,301.46,198.34,23.85,3.85,8.86,4.71,14-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
14-Jan-2020 - 00:00,188.48,90.88,35.7,10.21,19.14,18.34,36.36,11.02,0.87,0.43,0.0,146.08,98.29,23.25,2.86,5.52,2.04,15-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
15-Jan-2020 - 00:00,161.81,87.33,52.73,12.98,24.59,23.46,47.29,10.83,0.95,0.55,0.0,203.8,116.96,20.73,3.84,4.7,2.0,16-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
16-Jan-2020 - 00:00,194.18,92.76,29.65,11.27,23.14,21.32,24.89,10.41,1.06,0.47,0.02,197.33,147.45,20.87,3.91,5.09,1.81,17-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
17-Jan-2020 - 00:00,199.9,94.83,34.17,14.61,23.07,23.96,23.88,11.09,1.22,0.5,0.04,179.71,136.22,21.67,4.13,5.78,3.0,18-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
18-Jan-2020 - 00:00,159.98,93.39,33.33,13.18,25.48,24.1,27.51,10.23,1.24,0.49,0.0,185.96,119.11,20.56,3.27,6.03,1.9,19-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
19-Jan-2020 - 00:00,302.89,90.76,49.01,16.48,28.61,28.41,37.42,9.43,1.01,0.65,0.0,246.51,136.52,19.45,3.16,5.21,1.34,20-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
20-Jan-2020 - 00:00,254.3,91.77,37.92,15.93,23.96,25.49,40.59,10.31,1.69,0.54,0.0,379.13,186.82,18.79,3.71,5.7,1.38,21-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
21-Jan-2020 - 00:00,127.13,92.66,39.23,30.01,37.39,43.89,32.09,11.15,2.75,0.56,0.0,416.43,299.3,20.5,5.34,11.35,3.21,22-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
22-Jan-2020 - 00:00,239.28,95.13,37.37,21.66,29.76,33.15,123.57,9.83,2.19,0.63,0.0,257.06,195.83,20.19,4.77,11.3,1.79,23-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
23-Jan-2020 - 00:00,308.88,74.84,59.12,14.94,29.47,27.63,41.9,11.22,0.76,0.74,0.0,206.6,96.89,21.28,4.48,6.73,1.25,24-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
24-Jan-2020 - 00:00,266.44,70.83,58.11,23.95,42.5,41.77,42.49,11.04,1.01,0.85,0.0,234.9,116.57,28.27,6.0,4.96,1.96,25-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
25-Jan-2020 - 00:00,208.8,77.64,54.31,47.83,63.86,72.23,39.0,11.07,1.59,0.5,0.0,328.62,186.36,28.83,4.68,6.29,1.52,26-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
26-Jan-2020 - 00:00,243.04,81.22,52.67,50.45,51.87,67.18,39.62,11.77,2.24,0.6,0.0,408.04,278.43,31.6,5.31,8.7,1.27,27-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
27-Jan-2020 - 00:00,122.73,84.85,31.06,63.1,76.16,90.99,23.41,12.07,2.51,0.66,0.03,343.39,229.38,28.66,4.56,10.92,1.43,28-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
28-Jan-2020 - 00:00,112.96,86.41,46.09,17.3,35.86,32.92,33.75,12.7,0.95,0.81,0.06,130.7,102.81,35.6,4.29,6.31,0.7,29-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
29-Jan-2020 - 00:00,177.83,76.73,41.51,12.94,40.6,29.02,48.62,13.0,0.84,0.58,0.0,205.69,90.62,15.98,4.18,3.11,1.55,30-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
30-Jan-2020 - 00:00,222.68,85.01,52.68,13.74,32.73,28.37,34.17,11.44,0.9,0.55,0.0,237.57,112.09,13.12,3.19,3.72,2.03,31-Jan-2020 - 00:00,"DTU, Delhi - CPCB"
31-Jan-2020 - 00:00,243.83,86.53,44.63,17.85,35.86,33.35,28.68,10.01,1.08,0.62,0.0,311.19,127.8,10.76,3.48,4.1,2.05,01-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
01-Feb-2020 - 00:00,170.6,83.95,58.61,35.15,36.8,47.69,39.38,10.76,1.51,0.51,0.0,261.65,134.91,13.09,3.7,5.25,2.1,02-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
02-Feb-2020 - 00:00,248.87,88.05,49.49,9.69,31.15,24.32,32.98,10.21,1.3,0.62,0.0,234.47,162.56,10.34,3.38,5.0,2.26,03-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
03-Feb-2020 - 00:00,244.86,78.11,59.65,10.41,34.33,26.59,46.52,11.3,1.39,0.6,0.0,295.57,176.37,11.14,4.01,6.45,2.51,04-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
04-Feb-2020 - 00:00,144.29,78.01,54.06,23.04,44.48,42.09,57.04,11.36,1.99,0.6,0.0,364.75,215.03,9.9,4.9,8.07,3.68,05-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
05-Feb-2020 - 00:00,177.17,78.79,59.29,11.29,32.22,26.18,36.31,11.66,1.13,0.56,0.0,311.54,214.16,10.76,4.89,7.4,3.25,06-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
06-Feb-2020 - 00:00,216.34,79.71,57.98,7.8,30.77,22.34,42.67,10.92,0.8,0.57,0.0,289.41,164.14,10.05,4.19,5.02,3.01,07-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
07-Feb-2020 - 00:00,163.78,80.42,57.18,15.39,32.06,29.37,39.24,10.85,0.83,0.52,0.0,270.91,154.45,10.41,4.3,5.83,3.69,08-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
08-Feb-2020 - 00:00,223.06,79.28,56.35,5.19,26.56,18.28,45.42,11.66,0.73,0.59,0.0,267.99,179.65,11.72,4.66,6.03,3.17,09-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
09-Feb-2020 - 00:00,280.63,89.02,69.52,6.67,27.04,19.71,29.08,10.29,0.92,0.64,0.0,318.15,216.66,10.49,4.23,5.75,3.09,10-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
10-Feb-2020 - 00:00,221.38,66.28,47.09,8.22,53.55,29.82,64.66,13.55,0.73,0.6,0.0,307.03,127.41,19.27,5.85,3.27,2.21,11-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
11-Feb-2020 - 00:00,221.45,78.97,58.89,17.25,43.51,36.95,41.59,12.04,1.06,0.56,0.0,333.25,198.36,12.41,5.58,6.71,5.28,12-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
12-Feb-2020 - 00:00,299.3,77.38,56.6,16.71,44.14,36.85,45.15,13.53,0.94,0.82,0.0,382.86,222.3,13.54,6.13,6.22,4.72,13-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
13-Feb-2020 - 00:00,301.63,71.34,58.94,5.36,31.71,21.15,54.26,15.05,0.5,0.94,0.0,257.28,126.59,14.46,7.78,5.48,2.84,14-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
14-Feb-2020 - 00:00,311.32,67.7,62.37,3.98,29.8,19.04,66.78,14.62,0.4,0.89,0.0,306.95,96.71,15.29,6.57,3.26,2.66,15-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
