from date,BP,Benzene,MP-Xylene,O Xylene,Toluene,CO,Eth-Benzene,PM2.5,NO,NO2,NOx,Ozone,RH,SR,SO2,VWS,WD,WS,to date,station
14-Jul-2020 - 00:00,993.88,,,,,0.81,,5.92,4.45,17.92,22.37,2.79,86.43,76.46,7.01,0.08,263.96,0.77,15-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Jul-2020 - 00:00,,,,,,0.7,,5.42,3.75,14.93,18.68,2.72,92.53,82.57,7.01,0.11,255.07,0.63,16-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Jul-2020 - 00:00,,,,,,0.74,,7.49,3.83,14.2,17.51,2.44,92.69,99.46,6.98,0.12,254.23,0.64,17-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Jul-2020 - 00:00,999.5,,,,,0.75,,4.53,3.52,13.53,16.75,3.01,91.51,89.85,7.01,0.14,258.04,0.76,18-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Jul-2020 - 00:00,,,,,,0.67,,6.0,3.77,13.66,17.43,2.53,88.28,101.31,6.98,0.12,253.13,0.59,19-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Jul-2020 - 00:00,,,,,,0.72,,8.11,3.93,15.58,19.51,2.69,85.35,120.8,7.0,0.1,228.88,0.56,20-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Jul-2020 - 00:00,995.94,,,,,0.73,,5.06,4.07,15.41,19.48,2.95,89.05,132.94,6.99,0.08,203.99,0.52,21-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Jul-2020 - 00:00,990.66,,,,,0.77,,8.1,3.68,15.02,18.28,2.51,78.73,171.24,7.01,0.08,209.03,0.55,22-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Jul-2020 - 00:00,993.11,,,,,0.73,,20.26,3.69,17.4,21.09,5.52,79.05,132.96,6.98,0.09,138.94,0.59,23-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Jul-2020 - 00:00,992.02,,,,,0.7,,8.03,3.91,17.77,21.68,4.06,82.08,125.07,6.99,0.09,217.65,0.51,24-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Jul-2020 - 00:00,985.85,,,,,0.75,,7.78,4.22,17.39,21.6,2.89,89.31,87.3,6.98,0.08,234.19,0.47,25-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Jul-2020 - 00:00,997.88,,,,,0.83,,6.25,5.47,20.85,26.32,3.04,83.8,137.92,7.01,0.09,255.77,0.65,26-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Jul-2020 - 00:00,986.7,,,,,0.81,,7.92,3.99,16.95,20.11,3.42,81.71,123.02,7.0,0.07,263.16,0.72,27-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Jul-2020 - 00:00,979.54,,,,,0.78,,7.33,5.01,21.52,26.53,3.55,81.18,128.19,6.98,0.08,258.77,0.76,28-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Jul-2020 - 00:00,996.03,,,,,0.93,,6.27,7.54,29.36,36.89,2.53,78.89,133.62,7.03,0.07,251.59,0.57,29-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Jul-2020 - 00:00,994.98,,,,,0.78,,6.94,6.04,21.93,27.92,1.93,91.94,76.48,7.0,0.12,229.5,0.64,30-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Jul-2020 - 00:00,989.71,,,,,0.81,,4.35,5.42,18.46,23.86,2.37,86.66,114.8,7.01,0.09,252.3,0.61,31-Jul-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
31-Jul-2020 - 00:00,988.93,,,,,0.82,,2.82,4.12,16.53,20.11,2.78,85.19,140.44,7.03,0.09,245.65,0.6,01-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Aug-2020 - 00:00,990.51,,,,,0.84,,,3.92,13.72,17.02,2.23,88.53,105.49,6.99,0.11,251.14,0.72,02-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Aug-2020 - 00:00,986.41,0.0,,0.0,0.0,0.69,0.0,,3.6,14.25,17.69,3.36,85.73,120.61,6.99,0.11,242.85,0.84,03-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Aug-2020 - 00:00,951.17,,,,,0.77,,157.46,4.42,15.91,20.33,2.93,90.78,84.31,7.02,0.07,243.04,0.85,04-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Aug-2020 - 00:00,750.77,,,,,0.74,,17.37,5.04,17.86,22.89,4.65,91.36,75.84,6.98,0.04,249.84,0.96,05-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Aug-2020 - 00:00,871.56,,,,,0.78,,17.72,4.24,16.13,19.8,6.46,90.37,78.75,6.99,0.05,245.66,1.0,06-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Aug-2020 - 00:00,926.98,,,,,0.77,,20.52,4.23,18.66,20.36,4.77,88.39,117.9,7.01,0.03,246.75,0.94,07-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Aug-2020 - 00:00,972.43,,,,,0.85,,17.42,4.71,18.23,22.64,4.25,88.47,86.6,7.0,0.06,250.1,0.94,08-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Aug-2020 - 00:00,981.06,,,,,0.82,,18.9,5.29,19.85,24.84,4.19,87.33,103.54,7.0,0.09,254.15,0.94,09-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,10-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Aug-2020 - 00:00,973.47,,,,,1.6,,,3.28,10.63,13.61,8.63,71.24,89.4,6.98,0.01,265.24,1.02,14-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Aug-2020 - 00:00,962.97,,,,,0.85,,21.28,4.09,16.98,21.07,6.91,86.31,79.28,7.0,0.07,258.68,0.86,15-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Aug-2020 - 00:00,986.03,,,,,0.88,,21.87,3.76,16.08,19.59,7.28,85.73,80.34,7.0,0.07,256.63,0.84,16-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Aug-2020 - 00:00,985.75,,,,,0.9,,21.97,4.79,16.59,21.08,6.27,91.77,63.78,6.98,0.1,258.0,0.75,17-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Aug-2020 - 00:00,972.73,,,,,1.31,,21.91,4.18,19.49,19.55,5.93,91.71,83.58,6.97,0.07,254.73,0.66,18-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Aug-2020 - 00:00,974.88,,,,,0.84,,22.05,4.22,18.13,21.76,5.12,88.58,85.55,7.02,0.04,260.01,0.74,19-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Aug-2020 - 00:00,987.51,,,,,0.8,,22.0,5.11,19.14,24.21,6.81,86.5,95.31,7.0,0.08,263.55,0.75,20-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Aug-2020 - 00:00,983.98,,,,,0.8,,22.03,4.6,18.82,23.41,5.84,88.65,77.33,7.0,0.09,259.97,0.68,21-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Aug-2020 - 00:00,997.81,,,,,0.75,,21.84,4.13,15.34,19.47,5.67,89.65,121.33,6.97,0.11,246.1,0.64,22-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,23-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Aug-2020 - 00:00,970.71,,,,,0.68,,22.41,3.38,15.28,17.77,4.94,88.77,34.91,7.06,0.1,254.51,0.47,24-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Aug-2020 - 00:00,980.9,,,,,0.81,,22.04,4.63,19.76,23.96,5.55,83.18,96.97,7.0,0.04,258.81,0.59,25-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Aug-2020 - 00:00,980.11,,,,,0.84,,21.89,5.59,19.7,25.29,4.45,70.33,125.69,7.01,0.04,244.66,0.62,26-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Aug-2020 - 00:00,987.3,,,,,0.8,,21.86,,,,3.59,72.15,120.73,7.01,0.05,257.15,0.6,27-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Aug-2020 - 00:00,983.72,,,,,0.83,,22.08,,,,3.78,71.49,95.09,6.98,0.05,261.12,0.68,28-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Aug-2020 - 00:00,987.91,,,,,0.79,,22.02,,,,5.16,66.79,126.39,7.0,0.03,258.3,0.67,29-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Aug-2020 - 00:00,983.77,,,,,0.8,,21.8,,,,7.37,66.48,129.84,7.0,0.03,250.04,0.67,30-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Aug-2020 - 00:00,998.28,,,,,0.8,,21.96,,,,5.52,70.54,123.57,6.98,0.04,258.83,0.63,31-Aug-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
31-Aug-2020 - 00:00,961.06,,,,,1.59,,22.13,,,,7.52,73.52,137.54,7.0,0.06,220.85,0.55,01-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Sep-2020 - 00:00,963.49,,,,,1.26,,21.91,,,,5.06,84.21,116.76,7.0,0.09,236.83,0.45,02-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Sep-2020 - 00:00,946.51,,,,,0.75,,22.03,,,,3.3,90.51,83.6,7.01,0.1,223.81,0.5,03-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Sep-2020 - 00:00,977.59,,,,,0.71,,22.16,,,,4.63,84.7,116.54,7.01,0.08,177.5,0.5,04-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Sep-2020 - 00:00,934.65,,,,,0.76,,22.08,,,,5.0,81.55,113.33,7.0,0.1,172.12,0.6,05-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Sep-2020 - 00:00,907.66,,,,,0.74,,21.97,,,,5.89,87.28,76.11,6.98,0.11,166.35,0.59,06-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Sep-2020 - 00:00,904.69,,,,,0.75,,21.86,10.61,18.79,29.22,9.23,81.52,111.12,7.0,0.05,176.97,0.61,07-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Sep-2020 - 00:00,967.96,,,,,0.71,,22.01,9.51,16.35,25.27,6.71,82.85,147.18,7.01,0.07,240.31,0.62,08-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Sep-2020 - 00:00,974.07,,,,,0.92,,21.99,8.29,12.02,19.88,5.89,82.29,153.17,7.01,0.04,229.06,0.61,09-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Sep-2020 - 00:00,945.97,,,,,0.7,,22.06,8.28,12.86,21.14,10.59,85.27,126.25,6.99,0.07,238.49,0.59,10-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Sep-2020 - 00:00,932.09,,,,,0.78,,21.96,8.21,12.65,20.85,7.27,86.46,110.31,7.02,0.06,252.67,0.73,11-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Sep-2020 - 00:00,929.35,,,,,0.59,,22.16,8.24,12.57,20.81,5.56,89.27,95.0,7.0,0.09,249.86,0.8,12-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Sep-2020 - 00:00,925.84,,,,,0.67,,22.12,8.32,13.02,21.34,5.24,92.44,76.65,7.0,0.04,256.78,0.71,13-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Sep-2020 - 00:00,940.68,,,,,0.67,,22.0,8.53,12.58,20.72,4.64,91.84,82.96,7.0,0.05,266.58,0.77,14-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Sep-2020 - 00:00,935.6,,,,,0.75,,22.03,8.61,12.32,20.3,6.29,86.74,90.91,7.0,0.06,270.75,0.77,15-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Sep-2020 - 00:00,930.76,,,,,0.74,,21.96,8.26,12.9,21.15,5.52,85.41,109.1,6.99,0.08,260.87,0.72,16-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,17-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Sep-2020 - 00:00,991.4,,,,,0.74,,21.91,8.35,13.12,21.45,6.18,76.74,135.11,7.01,0.02,267.94,0.84,19-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Sep-2020 - 00:00,968.5,,,,,0.99,,21.93,10.54,12.23,18.62,4.79,90.58,81.76,6.98,0.06,254.92,0.74,20-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Sep-2020 - 00:00,953.12,,,,,0.71,,21.97,8.36,13.23,21.59,5.75,93.34,72.42,7.03,0.04,263.66,0.78,21-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Sep-2020 - 00:00,952.85,,,,,0.75,,21.82,9.62,11.99,19.28,6.11,89.59,104.72,6.98,0.02,261.93,0.91,22-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Sep-2020 - 00:00,954.38,,,,,0.67,,22.09,7.4,10.33,17.73,7.59,89.57,81.47,7.0,0.02,251.59,0.75,23-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Sep-2020 - 00:00,948.73,,,,,0.73,,22.07,7.32,10.13,17.45,6.97,81.29,101.44,7.01,0.03,259.84,0.74,24-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Sep-2020 - 00:00,955.96,,,,,0.75,,22.11,7.32,10.12,17.43,5.85,82.13,107.9,7.02,0.09,260.2,0.64,25-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Sep-2020 - 00:00,981.28,,,,,0.82,,21.78,7.39,10.56,17.95,6.96,81.17,121.17,7.01,0.08,249.02,0.62,26-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Sep-2020 - 00:00,971.76,,,,,1.08,,21.75,7.96,11.25,18.49,5.22,92.53,69.56,7.01,0.04,270.88,0.59,27-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Sep-2020 - 00:00,962.82,,,,,0.84,,21.92,8.3,10.38,17.59,5.51,82.26,102.04,6.99,0.04,255.22,0.56,28-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Sep-2020 - 00:00,959.65,,,,,1.0,,21.98,7.28,9.81,16.82,6.03,88.41,99.67,6.97,0.08,235.62,0.58,29-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Sep-2020 - 00:00,941.59,,,,,0.99,,21.94,7.33,10.34,17.67,6.4,89.79,97.26,7.01,0.05,249.14,0.56,30-Sep-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Sep-2020 - 00:00,934.45,0.0,0.0,,0.0,0.95,0.0,21.96,8.36,9.94,16.25,5.17,86.25,103.3,6.98,0.08,256.31,0.61,01-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Oct-2020 - 00:00,974.01,,,,,0.85,,21.89,7.51,10.77,17.79,4.73,76.15,132.8,7.02,0.05,269.77,0.71,02-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Oct-2020 - 00:00,940.79,,,,,0.89,,22.05,7.37,10.58,17.95,6.71,76.89,116.09,7.01,0.07,255.6,0.61,03-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Oct-2020 - 00:00,968.13,,,,,0.8,,22.05,7.21,10.28,17.45,6.12,83.55,119.62,6.99,0.05,247.13,0.63,04-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Oct-2020 - 00:00,976.39,,,,,0.83,,22.06,7.42,10.63,18.04,5.1,86.62,102.85,6.98,0.03,256.6,0.79,05-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Oct-2020 - 00:00,976.98,,,,,1.02,,22.01,7.31,10.4,17.71,5.77,77.54,114.93,7.03,0.02,225.46,0.74,06-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Oct-2020 - 00:00,945.5,,,,,1.61,,21.81,7.42,10.66,17.99,4.48,83.84,55.68,6.99,0.11,183.68,0.73,07-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Oct-2020 - 00:00,981.51,,,,,0.95,,21.95,7.31,9.98,17.08,8.73,75.33,107.39,7.0,0.07,227.99,0.61,08-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Oct-2020 - 00:00,970.05,,,,,1.21,,21.86,7.17,8.84,15.21,6.74,80.0,58.05,6.99,0.09,219.62,0.83,09-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Oct-2020 - 00:00,921.0,,,,,0.95,,21.99,7.51,9.54,16.38,10.9,86.22,99.93,6.99,0.09,202.41,0.81,10-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Oct-2020 - 00:00,995.34,,,,,0.94,,22.01,7.3,9.83,16.64,10.47,81.86,124.93,7.0,0.08,229.08,0.64,11-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Oct-2020 - 00:00,987.27,,,,,0.89,,22.09,7.34,10.4,17.74,10.88,92.5,71.74,7.0,0.08,258.26,0.75,12-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Oct-2020 - 00:00,982.07,,,,,0.67,,22.12,7.53,10.44,17.66,10.82,93.06,60.81,7.01,0.08,252.12,0.73,13-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Oct-2020 - 00:00,983.11,,,,,0.73,,21.93,7.36,10.4,17.76,12.7,92.75,61.7,7.01,0.03,251.24,0.81,14-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Oct-2020 - 00:00,976.49,,,,,0.76,,22.1,7.37,10.37,17.74,12.81,89.38,87.47,6.98,0.01,251.77,0.91,15-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Oct-2020 - 00:00,981.69,,,,,0.69,,22.02,7.27,9.81,17.08,9.59,83.11,102.37,6.98,0.04,252.01,0.71,16-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Oct-2020 - 00:00,992.64,,,,,1.01,,21.89,7.16,9.09,16.23,12.37,75.9,113.66,7.02,0.07,260.4,0.68,17-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Oct-2020 - 00:00,988.54,,,,,0.92,,21.97,7.1,8.32,14.75,9.4,77.86,90.98,6.99,0.07,241.62,0.61,18-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Oct-2020 - 00:00,988.19,,,,,0.98,,22.11,7.17,9.12,16.27,4.97,84.32,77.73,6.98,0.06,229.24,0.53,19-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Oct-2020 - 00:00,960.69,,,,,1.44,,17.03,7.35,9.55,16.83,3.86,89.66,80.11,6.99,0.09,250.78,0.54,20-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Oct-2020 - 00:00,967.4,0.0,0.0,,0.0,1.17,0.0,22.72,7.14,7.41,14.51,4.3,90.32,72.77,7.02,0.06,263.78,0.56,21-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Oct-2020 - 00:00,925.3,0.0,0.0,,0.0,1.3,0.0,19.63,3.07,16.01,18.53,5.22,87.79,103.82,7.02,0.1,232.94,0.54,22-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Oct-2020 - 00:00,896.54,0.0,0.0,,0.0,0.83,0.0,18.31,3.15,12.38,15.52,6.2,89.81,102.12,7.0,0.08,245.68,0.66,23-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Oct-2020 - 00:00,872.2,0.0,0.0,,0.0,1.08,0.0,16.93,3.01,10.5,13.45,10.37,88.86,118.72,6.98,0.08,255.02,0.65,24-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Oct-2020 - 00:00,939.96,,,,,0.9,,19.29,3.21,11.21,14.43,11.71,82.54,93.05,7.0,0.08,239.05,0.56,25-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Oct-2020 - 00:00,923.56,,,,,0.97,,21.05,2.97,10.1,13.07,15.58,76.1,98.85,7.01,0.05,216.96,0.53,26-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Oct-2020 - 00:00,946.04,,,,,1.17,,25.79,3.24,11.71,14.95,16.12,69.27,123.35,7.0,0.04,205.56,0.45,27-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Oct-2020 - 00:00,947.93,,,,,0.98,,29.57,2.97,10.94,13.91,26.15,68.54,120.5,7.0,0.01,196.32,0.4,28-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Oct-2020 - 00:00,954.34,,,,,0.96,,27.28,3.04,11.27,14.31,30.06,66.49,124.73,7.0,0.0,222.39,0.45,29-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Oct-2020 - 00:00,940.74,,,,,0.85,,27.66,3.01,11.19,14.18,46.17,64.32,115.09,7.01,-0.03,227.48,0.51,30-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Oct-2020 - 00:00,919.23,,,,,0.92,,23.9,3.0,10.56,13.56,69.12,55.23,117.39,7.0,-0.06,203.01,0.43,31-Oct-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
31-Oct-2020 - 00:00,913.83,,,,,0.98,,26.81,3.01,11.03,14.04,60.92,60.84,119.01,7.01,-0.03,191.56,0.39,01-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Nov-2020 - 00:00,970.92,,,,,0.94,,24.32,2.98,10.01,12.99,85.99,66.6,116.86,7.01,0.0,199.95,0.46,02-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Nov-2020 - 00:00,952.35,,,,,1.06,,23.99,2.95,10.18,13.13,63.72,72.23,91.63,6.98,0.01,196.64,0.46,03-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Nov-2020 - 00:00,924.87,,,,,0.9,,20.43,3.07,10.38,13.46,69.72,70.15,125.29,6.99,0.01,202.45,0.36,04-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Nov-2020 - 00:00,910.91,,,,,0.93,,19.5,3.12,10.75,13.88,34.2,77.73,107.56,6.98,0.05,229.77,0.39,05-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Nov-2020 - 00:00,928.14,,,,,0.8,,17.06,2.73,9.03,11.18,31.14,83.18,111.64,7.06,0.07,203.38,0.49,06-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Nov-2020 - 00:00,,,,,,0.8,,15.89,2.86,8.8,11.66,18.12,82.17,119.3,6.99,0.08,190.13,0.55,07-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Nov-2020 - 00:00,,,,,,0.83,,16.07,3.05,9.35,12.39,12.05,79.38,134.94,6.99,0.07,205.88,0.32,08-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Nov-2020 - 00:00,,,,,,0.87,,17.37,2.94,9.56,12.5,38.94,80.54,111.43,7.0,0.05,220.51,0.37,09-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Nov-2020 - 00:00,946.0,,,,,0.88,,29.9,2.92,10.77,13.63,60.15,73.23,112.08,7.0,0.02,204.35,0.35,10-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Nov-2020 - 00:00,944.95,,,,,0.88,,27.36,3.13,11.91,15.05,69.52,59.12,145.67,7.0,-0.04,216.44,0.44,11-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Nov-2020 - 00:00,944.95,,,,,1.1,,24.06,2.96,10.98,13.68,47.86,72.09,109.81,7.0,0.02,224.9,0.42,12-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Nov-2020 - 00:00,945.0,,,,,0.96,,21.94,3.03,10.32,13.35,32.64,80.87,97.51,6.99,0.05,227.62,0.39,13-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Nov-2020 - 00:00,945.0,,,,,0.76,,20.51,3.06,9.83,12.89,19.59,90.51,86.69,7.02,0.09,212.29,0.41,14-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Nov-2020 - 00:00,939.22,,,,,0.74,,19.89,3.03,9.59,12.55,30.69,79.84,112.57,6.99,0.05,218.37,0.37,15-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Nov-2020 - 00:00,941.19,,,,,0.86,,22.19,3.06,9.99,12.91,18.89,90.56,68.71,7.08,0.11,237.08,0.51,16-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Nov-2020 - 00:00,924.72,,,,,0.7,,18.57,2.91,8.82,11.7,15.92,90.86,75.59,6.99,0.09,183.5,0.52,17-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Nov-2020 - 00:00,911.3,,,,,0.65,,21.0,3.03,9.03,12.04,24.05,86.04,111.22,7.02,0.1,203.94,0.43,18-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Nov-2020 - 00:00,880.38,,,,,0.77,,18.02,2.88,8.62,11.47,22.65,83.82,102.54,7.0,0.1,187.45,0.55,19-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Nov-2020 - 00:00,909.86,,,,,0.77,,18.75,3.0,9.17,12.17,35.87,81.88,109.48,7.02,0.08,197.43,0.46,20-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Nov-2020 - 00:00,879.3,,,,,0.74,,19.21,3.08,9.66,12.74,43.1,71.81,144.72,6.96,0.02,189.37,0.53,21-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Nov-2020 - 00:00,859.86,,,,,0.75,,21.4,3.17,10.72,13.89,39.78,55.6,152.05,7.01,-0.05,211.54,0.45,22-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
