from date,PM2.5,PM10,RH,VWS,BP,SR,AT,WS,WD,SO2,Ozone,NO2,NO,NOx,Benzene,Xylene,Toluene,to date,station
18-Aug-2020 - 00:00,22.59,58.78,77.51,-1.11,751.56,112.89,28.1,0.43,116.79,,22.32,27.13,3.5,9.99,7.77,9.1,20.59,19-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
19-Aug-2020 - 00:00,25.83,61.7,79.28,-1.06,751.44,102.23,27.56,0.61,124.21,,25.32,26.89,3.5,9.93,8.52,10.83,25.39,20-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-Aug-2020 - 00:00,12.9,35.57,74.21,-0.6,750.98,112.75,26.29,2.92,81.67,,21.52,22.39,4.27,9.05,5.38,6.06,15.56,21-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-Aug-2020 - 00:00,6.37,24.99,79.33,-0.7,749.91,74.62,23.96,2.96,103.29,,18.8,15.18,5.53,7.95,4.58,5.0,11.35,22-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-Aug-2020 - 00:00,11.07,28.2,81.03,-0.92,747.89,110.26,24.24,1.04,122.75,,16.67,15.28,5.58,8.02,6.43,7.72,17.3,23-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-Aug-2020 - 00:00,16.22,36.22,76.32,-2.57,747.34,123.72,26.45,0.37,169.78,,19.18,15.12,5.62,7.99,6.76,8.94,21.35,24-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
24-Aug-2020 - 00:00,13.87,65.46,75.1,-1.02,746.82,103.99,26.57,0.38,168.48,,8.71,15.3,5.43,7.91,10.15,22.1,39.48,25-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
25-Aug-2020 - 00:00,23.96,116.62,73.67,-0.95,745.61,114.31,27.87,0.54,214.67,,7.19,15.34,5.53,7.99,12.04,24.18,45.47,26-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
26-Aug-2020 - 00:00,24.57,77.46,84.22,-0.91,746.58,38.02,24.25,0.42,235.8,,4.94,16.44,5.03,7.97,12.89,28.95,59.06,27-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
27-Aug-2020 - 00:00,9.5,24.82,81.74,-1.15,749.39,100.99,23.71,2.17,106.23,,8.6,18.79,5.73,9.1,6.4,10.38,25.41,28-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
28-Aug-2020 - 00:00,6.77,32.44,76.59,-1.33,750.85,110.96,24.94,1.9,104.84,,10.9,26.36,6.3,11.59,5.38,6.56,16.12,29-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
29-Aug-2020 - 00:00,11.81,39.83,72.07,-1.39,749.31,109.25,25.57,0.81,145.38,,12.2,36.57,10.13,17.04,5.51,6.32,16.04,30-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
30-Aug-2020 - 00:00,24.08,129.35,64.83,-1.36,745.82,165.47,28.68,0.33,190.34,,9.9,37.84,12.29,18.83,6.78,9.99,22.33,31-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
31-Aug-2020 - 00:00,36.01,218.32,67.44,-1.2,744.34,161.19,29.34,0.58,214.04,,9.49,39.69,15.02,21.16,11.45,18.14,40.65,01-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
01-Sep-2020 - 00:00,24.04,152.49,71.14,-1.04,743.86,138.59,28.06,0.63,205.53,,6.91,37.01,18.09,22.27,11.27,19.52,39.4,02-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Sep-2020 - 00:00,13.53,33.26,83.05,-1.29,744.3,52.85,23.0,0.85,187.27,,17.01,3.22,4.95,4.19,8.46,15.54,31.17,03-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Sep-2020 - 00:00,24.48,52.48,80.07,-0.79,743.11,105.71,25.53,0.39,120.86,,20.93,10.12,10.11,9.46,9.0,12.25,26.7,04-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-Sep-2020 - 00:00,41.47,104.0,75.05,-0.6,743.38,135.97,28.3,0.31,134.41,,21.45,16.43,13.01,13.26,12.27,22.37,41.1,05-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-Sep-2020 - 00:00,39.46,170.71,72.1,-1.43,744.9,160.0,28.76,0.43,194.81,,35.84,15.81,14.7,14.19,11.56,24.63,45.65,06-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Sep-2020 - 00:00,27.78,120.58,72.98,-1.87,745.81,150.04,28.51,0.53,168.0,,16.53,13.24,14.38,13.25,8.1,18.14,30.14,07-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Sep-2020 - 00:00,29.68,143.5,70.85,-3.07,745.42,117.23,28.49,0.77,194.76,,15.56,16.33,12.48,12.87,9.42,18.81,36.34,08-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Sep-2020 - 00:00,33.87,132.01,71.17,-2.53,744.61,136.97,29.03,0.36,192.9,,15.52,15.86,13.42,13.34,13.89,32.35,53.46,09-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Sep-2020 - 00:00,34.3,140.66,71.31,-3.5,745.22,117.47,29.24,0.3,184.57,,12.92,15.58,13.11,13.08,13.51,29.02,52.82,10-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Sep-2020 - 00:00,31.6,112.2,75.79,-3.54,747.69,96.15,26.87,0.31,192.32,,17.72,15.77,15.64,14.7,12.6,24.86,51.71,11-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Sep-2020 - 00:00,22.0,56.93,78.92,-3.24,747.14,103.4,25.83,0.43,163.83,,21.34,15.04,13.88,13.18,8.76,18.17,35.6,12-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Sep-2020 - 00:00,38.57,89.08,80.04,-3.49,745.04,89.41,26.61,0.3,142.01,,15.79,15.76,13.76,12.6,9.9,17.22,34.1,13-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Sep-2020 - 00:00,52.15,116.45,82.31,-2.4,745.18,69.84,24.94,0.33,141.08,,16.1,13.68,7.31,8.65,11.99,24.31,45.21,14-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Sep-2020 - 00:00,55.11,140.98,77.08,-0.44,745.56,127.28,27.69,0.33,161.81,,13.7,13.27,6.4,7.98,15.39,32.72,60.16,15-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Sep-2020 - 00:00,50.53,144.09,78.15,-0.44,746.11,127.51,26.74,0.44,165.27,,13.48,13.57,6.09,7.86,12.65,28.68,57.21,16-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Sep-2020 - 00:00,45.89,108.72,77.8,-0.39,746.58,128.23,27.28,0.3,123.66,,26.61,12.87,5.92,7.55,11.68,22.06,46.22,17-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Sep-2020 - 00:00,61.92,190.54,73.36,-0.44,747.3,134.7,29.96,0.38,200.36,,15.84,13.55,6.71,8.25,28.77,38.99,62.15,18-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-Sep-2020 - 00:00,47.2,170.63,68.89,-0.42,747.86,171.39,30.79,0.63,175.89,,29.81,13.53,5.55,7.51,12.59,24.32,42.26,19-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
19-Sep-2020 - 00:00,37.15,84.27,77.54,-0.38,748.91,126.12,27.54,0.33,101.64,,29.04,12.6,5.41,7.14,9.58,14.11,28.82,20-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-Sep-2020 - 00:00,34.29,89.1,74.11,-0.37,749.46,119.79,28.01,0.32,102.42,,31.09,12.63,5.9,7.47,8.37,10.1,20.95,21-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-Sep-2020 - 00:00,22.66,64.22,82.08,-0.39,750.76,56.93,23.88,0.42,140.05,,19.59,12.66,6.52,7.91,10.92,18.65,34.93,22-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-Sep-2020 - 00:00,6.67,12.67,84.54,-0.36,750.89,75.1,22.81,1.02,84.58,,19.89,13.18,6.14,7.74,5.38,9.6,16.9,23-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-Sep-2020 - 00:00,16.92,42.85,81.84,-0.38,749.95,107.69,24.39,0.78,141.1,,19.95,14.89,7.43,9.02,8.3,15.31,28.0,24-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
24-Sep-2020 - 00:00,11.87,43.28,81.68,-0.4,748.89,101.2,23.75,0.77,160.94,,15.77,15.15,7.75,9.41,8.57,16.76,37.25,25-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
25-Sep-2020 - 00:00,16.9,61.31,83.6,-0.43,748.92,60.19,21.93,1.45,258.6,,13.71,14.99,7.43,9.14,8.12,17.27,33.42,26-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
26-Sep-2020 - 00:00,40.88,154.61,78.24,-0.4,747.27,115.29,25.38,0.33,173.04,,20.82,16.07,7.16,9.26,12.2,21.72,44.43,27-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
27-Sep-2020 - 00:00,39.73,154.49,71.5,-0.4,745.0,125.01,26.16,0.39,195.17,,25.23,15.92,7.76,9.64,10.99,15.81,35.58,28-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
28-Sep-2020 - 00:00,52.44,201.38,68.58,-0.4,743.79,130.1,26.3,0.62,210.81,,22.3,16.07,7.14,9.27,12.09,21.02,44.42,29-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
29-Sep-2020 - 00:00,77.68,304.5,67.88,-0.44,744.11,135.46,27.29,0.43,204.39,,27.4,16.46,7.41,9.51,16.15,31.6,55.94,30-Sep-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
30-Sep-2020 - 00:00,71.47,259.17,63.9,-0.43,745.34,135.78,26.11,0.61,194.86,,29.45,17.32,6.53,9.21,16.06,30.77,51.63,01-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
01-Oct-2020 - 00:00,70.98,225.74,66.11,-0.43,745.91,108.96,25.63,0.31,169.47,,32.3,17.45,6.84,9.45,18.22,38.1,60.37,02-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Oct-2020 - 00:00,64.83,194.52,65.76,-0.38,745.46,122.02,26.64,0.47,144.14,,37.88,17.19,7.04,9.52,14.76,32.01,51.64,03-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Oct-2020 - 00:00,50.54,127.41,73.7,-0.39,744.58,103.09,24.76,0.54,172.27,,26.13,16.36,6.32,8.77,15.18,28.12,47.57,04-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-Oct-2020 - 00:00,20.98,51.07,76.52,-0.38,744.25,111.78,24.87,0.34,109.62,,23.44,15.57,7.15,9.07,9.18,16.8,32.06,05-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-Oct-2020 - 00:00,26.68,91.73,73.01,-0.42,744.26,97.72,26.45,0.3,182.94,,26.55,18.09,9.85,11.63,11.5,21.71,37.76,06-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Oct-2020 - 00:00,32.2,110.53,70.36,-0.39,743.4,118.59,27.81,0.36,147.91,,18.21,20.26,13.44,14.55,12.05,21.81,39.7,07-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Oct-2020 - 00:00,43.2,123.52,68.04,-0.38,741.71,123.88,27.8,0.44,135.96,,31.26,19.35,12.55,13.77,11.64,18.22,36.72,08-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Oct-2020 - 00:00,52.38,165.41,61.85,-0.39,741.27,126.4,27.12,0.35,123.18,,37.6,20.74,11.23,13.24,12.83,15.2,32.02,09-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Oct-2020 - 00:00,49.59,140.62,59.75,-0.38,741.08,116.39,27.22,0.33,103.46,,30.28,21.5,11.13,13.43,12.51,16.16,34.41,10-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Oct-2020 - 00:00,59.26,185.89,36.62,-0.4,742.07,126.91,27.75,0.35,153.66,,27.92,22.35,12.74,14.74,16.6,28.28,53.49,11-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Oct-2020 - 00:00,68.46,191.69,4.0,-0.39,743.92,127.17,26.4,0.3,116.77,,30.98,21.88,14.85,16.01,17.36,29.54,57.68,12-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Oct-2020 - 00:00,61.9,166.75,4.0,-0.39,744.95,120.28,26.28,0.31,103.86,,32.25,21.35,12.15,14.07,15.4,21.8,53.32,13-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Oct-2020 - 00:00,58.87,133.43,4.0,-0.38,744.64,106.31,27.04,0.31,100.56,,38.49,21.32,11.02,13.26,12.87,14.26,32.65,14-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Oct-2020 - 00:00,53.3,120.71,4.0,-0.38,743.64,111.86,27.76,0.31,104.95,,31.9,18.75,12.01,13.24,11.94,12.14,28.21,15-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Oct-2020 - 00:00,53.05,110.49,4.03,-0.32,743.15,112.91,27.82,0.31,96.16,,35.95,14.97,14.18,13.61,11.09,10.83,25.49,16-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Oct-2020 - 00:00,68.34,151.56,4.0,-0.35,743.27,118.51,28.02,0.33,104.5,,35.0,15.16,14.91,14.14,12.99,12.97,31.11,17-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Oct-2020 - 00:00,75.0,183.23,4.0,-0.31,742.7,110.62,27.78,0.4,152.68,,36.23,15.11,14.55,13.89,15.4,20.37,46.16,18-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-Oct-2020 - 00:00,104.21,290.4,4.0,-0.39,742.06,113.65,26.63,0.35,184.41,,36.5,16.09,15.06,14.51,18.42,29.96,55.05,19-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
19-Oct-2020 - 00:00,120.09,365.72,4.0,-0.4,742.9,105.04,26.33,0.34,161.03,,38.9,16.4,15.66,14.99,23.99,50.7,77.98,20-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-Oct-2020 - 00:00,104.01,306.44,4.0,-0.43,743.15,96.33,25.97,0.31,228.82,,43.84,17.29,13.86,14.05,20.89,43.75,66.17,21-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-Oct-2020 - 00:00,98.95,252.73,4.0,-0.42,742.49,101.4,24.95,0.3,181.82,,45.93,17.46,13.37,13.8,21.71,37.53,46.81,22-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-Oct-2020 - 00:00,91.58,223.95,3.94,-0.4,744.11,90.41,23.94,0.3,128.32,,50.36,17.92,12.93,13.61,18.32,28.52,37.62,23-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-Oct-2020 - 00:00,72.32,201.21,4.07,-0.4,744.41,88.91,23.51,0.39,211.81,,40.65,17.69,12.48,13.26,17.25,27.05,33.13,24-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
24-Oct-2020 - 00:00,84.62,234.21,4.0,-0.39,742.76,109.14,22.32,0.38,222.22,,32.13,18.74,14.8,15.08,20.42,45.36,46.26,25-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
25-Oct-2020 - 00:00,101.21,308.74,4.0,-0.37,740.04,106.21,22.42,0.33,198.56,,36.05,18.57,16.79,16.35,24.34,57.65,58.53,26-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
26-Oct-2020 - 00:00,90.29,270.18,4.0,-0.38,739.33,106.84,22.07,0.42,200.0,,41.69,18.33,16.18,15.89,25.24,68.11,64.51,27-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
27-Oct-2020 - 00:00,98.25,266.22,4.0,-0.37,739.56,103.06,20.25,0.32,205.28,,17.84,18.73,13.93,14.52,21.95,49.8,50.52,28-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
28-Oct-2020 - 00:00,111.93,298.58,3.27,-0.29,738.46,96.39,20.48,0.3,209.72,,23.8,18.67,15.07,15.25,23.18,55.59,53.99,29-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
29-Oct-2020 - 00:00,106.19,315.77,3.0,-0.26,738.06,98.19,20.02,0.3,204.47,,26.11,19.62,16.88,16.71,23.17,55.37,52.46,30-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
30-Oct-2020 - 00:00,95.23,289.04,3.0,-0.25,738.62,101.53,20.12,0.3,215.07,,27.15,19.24,14.93,15.31,19.68,41.54,41.03,31-Oct-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
31-Oct-2020 - 00:00,99.04,307.17,3.56,-0.33,738.84,78.79,19.05,0.33,182.82,,35.07,19.65,13.44,14.44,19.0,39.02,41.2,01-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
01-Nov-2020 - 00:00,119.67,312.38,4.0,-0.37,738.28,90.84,18.92,0.36,194.12,,46.25,19.87,13.87,14.79,17.91,31.16,34.57,02-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Nov-2020 - 00:00,129.7,341.28,4.0,-0.4,737.24,90.42,17.41,0.35,185.01,,39.91,20.26,13.44,14.62,11.29,18.18,22.57,03-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Nov-2020 - 00:00,86.61,255.29,4.0,-0.41,737.42,98.06,16.49,0.65,209.47,,33.9,23.68,13.32,15.44,16.51,32.05,34.02,04-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-Nov-2020 - 00:00,94.62,280.52,4.0,-0.41,738.84,107.17,15.67,0.33,206.2,,28.42,29.76,16.58,19.38,20.31,50.88,48.51,05-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-Nov-2020 - 00:00,112.71,307.53,4.0,-0.39,737.6,101.75,16.17,0.3,215.54,,30.21,29.51,17.97,20.23,23.21,67.88,59.55,06-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Nov-2020 - 00:00,148.39,399.49,4.0,-0.38,735.25,88.28,15.15,0.3,208.03,,29.78,29.46,19.7,21.35,25.64,76.59,65.01,07-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Nov-2020 - 00:00,126.11,305.43,4.0,-0.39,734.61,82.6,14.83,0.3,219.38,,27.26,29.23,19.2,20.97,28.68,92.27,73.8,08-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Nov-2020 - 00:00,164.01,350.85,4.0,-0.38,734.55,73.61,13.46,0.3,203.82,,27.45,28.82,18.7,20.51,28.51,84.44,66.7,09-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Nov-2020 - 00:00,161.52,355.22,4.0,-0.38,735.91,74.61,14.11,0.3,191.29,,22.64,28.02,22.43,22.76,34.36,104.13,85.66,10-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Nov-2020 - 00:00,107.71,243.9,24.45,-0.37,736.72,92.58,15.08,0.34,178.8,,21.21,27.1,26.39,24.99,33.14,111.37,85.82,11-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Nov-2020 - 00:00,59.87,151.2,55.99,-0.36,735.0,104.51,16.92,0.35,248.66,,35.47,42.32,15.51,22.21,18.43,63.29,50.21,12-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Nov-2020 - 00:00,87.56,190.21,32.38,-0.36,734.0,96.86,18.98,0.31,245.75,,36.84,47.61,18.66,25.81,17.29,41.57,39.02,13-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Nov-2020 - 00:00,107.9,267.92,4.0,-0.36,735.09,80.11,19.69,0.3,199.78,,41.61,41.93,18.66,24.2,21.12,55.38,51.0,14-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Nov-2020 - 00:00,146.74,316.72,3.97,-0.36,736.38,90.1,18.88,0.32,213.82,,43.55,40.81,20.67,25.2,27.51,50.5,49.11,15-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Nov-2020 - 00:00,133.34,258.67,4.0,-0.36,736.48,91.5,19.24,0.3,213.55,,52.37,42.56,18.02,23.95,29.64,40.5,44.0,16-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Nov-2020 - 00:00,74.02,192.78,4.0,-0.33,736.56,88.16,14.25,1.85,211.62,,38.0,35.89,14.05,19.44,14.14,23.27,26.23,17-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Nov-2020 - 00:00,81.91,198.84,34.18,-0.39,738.0,99.21,14.64,0.34,215.79,,39.8,44.45,13.66,21.6,17.24,39.15,42.16,18-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-Nov-2020 - 00:00,96.91,180.93,73.49,-0.37,738.81,58.48,13.36,0.31,196.52,0.98,44.64,44.29,6.44,16.79,20.07,38.1,49.77,19-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
19-Nov-2020 - 00:00,76.28,139.07,36.19,-0.35,739.56,71.5,14.75,0.31,203.61,0.41,59.59,26.06,4.63,10.43,16.54,26.14,37.76,20-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-Nov-2020 - 00:00,67.16,135.9,4.0,-0.35,738.36,84.81,15.13,0.5,206.48,,64.26,29.04,8.89,14.09,14.01,21.49,29.65,21-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-Nov-2020 - 00:00,89.58,231.18,4.0,-0.41,737.18,87.93,10.55,0.38,212.06,,72.67,36.4,9.06,16.28,16.58,26.13,33.98,22-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-Nov-2020 - 00:00,85.6,215.12,4.0,-0.4,736.09,95.01,8.03,0.35,220.98,,67.82,43.71,9.59,18.71,15.73,27.15,31.81,23-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-Nov-2020 - 00:00,108.73,247.02,4.0,-0.36,735.27,94.46,9.03,0.3,187.89,,59.56,68.26,35.39,42.7,22.93,55.56,56.89,24-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
24-Nov-2020 - 00:00,143.84,301.66,4.0,-0.36,735.95,86.0,9.5,0.3,178.69,,57.92,75.21,63.5,63.25,30.95,83.64,80.38,25-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
25-Nov-2020 - 00:00,138.92,270.91,4.03,-0.34,736.11,83.97,9.79,0.3,217.25,,60.11,64.24,17.07,29.47,26.54,59.53,65.79,26-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
26-Nov-2020 - 00:00,141.17,279.09,4.0,-0.36,735.52,78.54,10.06,0.31,204.02,,57.27,66.93,49.72,51.81,25.62,52.55,63.46,27-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
27-Nov-2020 - 00:00,192.28,348.94,33.85,-0.38,733.83,35.43,10.08,0.32,189.76,,30.06,89.44,23.0,40.51,30.4,64.26,70.96,28-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
28-Nov-2020 - 00:00,125.33,277.09,41.68,-0.38,733.73,79.85,13.61,0.67,191.03,,52.84,77.93,23.63,37.67,26.5,70.23,66.35,29-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
29-Nov-2020 - 00:00,112.62,290.25,4.0,-0.38,734.67,56.78,13.54,0.72,210.59,,65.36,72.99,9.3,26.8,23.7,66.44,59.83,30-Nov-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
30-Nov-2020 - 00:00,130.1,282.19,4.0,-0.38,735.55,77.14,13.53,0.46,179.48,,39.71,78.54,10.71,29.3,23.19,52.56,54.33,01-Dec-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
01-Dec-2020 - 00:00,178.0,311.0,4.0,-0.38,736.0,4.0,13.5,0.3,60.0,,6.08,113.65,35.05,55.3,28.48,73.13,70.88,02-Dec-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
