from date,PM2.5,PM10,RH,VWS,BP,SR,AT,WS,WD,SO2,Ozone,NO2,NO,NOx,Benzene,Xylene,Toluene,to date,station
21-May-2020 - 00:00,32.03,,43.66,-0.36,748.81,179.39,31.31,2.31,172.98,63.07,60.22,28.77,10.86,15.33,2.17,1.88,5.99,22-May-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-May-2020 - 00:00,44.77,,44.1,-0.34,747.91,182.05,33.11,2.64,148.01,74.75,86.56,28.56,10.82,15.22,3.21,2.42,8.62,23-May-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-May-2020 - 00:00,31.54,,56.71,-0.31,746.78,179.2,31.52,2.89,100.89,69.85,79.99,28.2,11.47,15.57,1.78,0.95,3.71,24-May-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
24-May-2020 - 00:00,59.13,,47.99,-0.37,746.91,171.88,37.16,2.01,199.38,68.22,77.79,28.0,11.1,15.28,2.76,2.03,6.29,25-May-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
25-May-2020 - 00:00,60.52,,29.85,-0.41,747.01,178.05,38.71,2.1,222.52,69.81,62.86,28.29,10.64,14.84,3.89,3.11,9.53,26-May-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
26-May-2020 - 00:00,50.32,,27.02,-0.41,747.59,185.0,38.17,2.62,205.41,122.77,75.46,28.15,12.23,15.56,3.34,2.57,8.13,27-May-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
27-May-2020 - 00:00,29.5,,35.58,-0.34,748.46,155.58,36.94,3.54,149.29,118.57,71.04,27.82,10.96,15.12,1.76,1.65,5.23,28-May-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
28-May-2020 - 00:00,19.07,,55.86,-0.29,747.3,180.54,27.95,4.75,97.45,21.3,94.77,23.11,17.94,15.45,1.11,0.41,1.79,29-May-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
29-May-2020 - 00:00,32.84,,58.55,-0.31,745.56,150.45,28.51,3.43,92.02,25.31,88.49,11.22,14.93,13.05,1.38,1.98,2.2,30-May-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
30-May-2020 - 00:00,30.79,,60.62,-0.33,744.84,154.06,29.03,3.6,100.38,41.84,84.31,12.64,6.77,7.9,2.77,12.19,14.14,31-May-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
