from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,to date,station
02-Aug-2020 - 00:00,,73.37,101.7,21.55,122.03,,1.89,0.7,19.93,2.36,11.23,0.0,1.88,5.04,30.02,81.73,0.54,252.92,743.96,237.14,03-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
03-Aug-2020 - 00:00,,74.34,66.98,22.87,89.85,,1.49,0.74,22.12,1.96,7.32,0.0,1.26,3.87,30.76,80.09,0.52,247.17,744.65,234.86,04-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
04-Aug-2020 - 00:00,,70.09,66.38,16.05,78.74,,1.43,0.48,29.12,1.39,2.06,0.0,0.77,2.92,30.79,78.92,0.82,278.02,747.25,263.84,05-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
05-Aug-2020 - 00:00,,14.49,57.16,15.47,70.9,80.44,1.48,0.52,28.42,0.86,1.98,9.15,8.02,0.51,29.93,81.6,0.59,160.47,748.05,236.7,06-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
06-Aug-2020 - 00:00,,19.47,63.44,13.88,73.71,63.23,1.28,0.25,25.08,0.55,1.5,1.06,0.79,0.35,29.55,79.04,0.91,132.21,748.85,231.1,07-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
07-Aug-2020 - 00:00,,30.05,44.11,14.92,58.82,17.7,1.45,0.42,22.65,0.82,1.2,0.06,0.28,0.75,29.61,80.76,0.4,140.97,745.18,199.2,08-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
08-Aug-2020 - 00:00,,53.01,12.24,12.17,24.41,27.01,1.76,0.56,21.21,1.17,0.98,0.01,0.33,1.24,30.73,79.4,0.35,158.93,743.61,241.7,09-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
09-Aug-2020 - 00:00,,49.9,8.05,7.53,15.59,23.26,1.8,0.4,31.84,0.93,1.16,0.01,0.15,0.46,30.18,82.04,0.51,130.26,743.6,141.11,10-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
10-Aug-2020 - 00:00,,38.95,9.64,8.48,18.11,29.61,2.69,0.34,26.07,0.95,1.84,0.02,0.18,0.55,30.39,78.69,0.63,129.26,744.23,191.81,11-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
11-Aug-2020 - 00:00,,39.55,9.24,9.12,18.33,29.99,3.84,0.38,25.74,0.98,1.19,0.01,0.18,0.59,29.63,83.91,0.5,134.16,743.69,160.18,12-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
12-Aug-2020 - 00:00,,21.38,9.38,10.65,20.03,29.99,3.01,0.37,25.38,0.75,1.16,0.01,0.15,0.48,27.46,91.74,0.47,143.8,744.12,108.58,13-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
